parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 2 | 32 | 2 | ((48*x)/8)=12 | 48 x * 8 / 12 = | 48:book x:dozen *:book 8:mike /:book 12:book =:book
EXPR: 1 | POS | INT | 7 | 32 | 32 | 12=(48*(8/x)) | 12 48 8 x / * = | 12:book 48:book 8:mike x:dozen /:mike *:book =:book
EXPR: 1 | POS | INT | 7 | 32 | 32 | 12=((48*8)/x) | 12 48 8 * x / = | 12:book 48:book 8:mike *:book x:dozen /:book =:book
EXPR: 0 | POS | INT | 7 | 32 | 2 | 12=(x*(48/8)) | 12 x 48 8 / * = | 12:book x:dozen 48:book 8:mike /:book *:book =:book
EXPR: 0 | POS | INT | 7 | 32 | 2 | 12=((48*x)/8) | 12 48 x * 8 / = | 12:book 48:book x:dozen *:book 8:mike /:book =:book
EXPR: 0 | POS | INT | 9 | 32 | 2 | ((12/x)*8)=48 | 12 x / 8 * 48 = | 12:book x:dozen /:book 8:mike *:book 48:book =:book
EXPR: 0 | POS | INT | 9 | 32 | 2 | (12*(8/x))=48 | 12 8 x / * 48 = | 12:book 8:mike x:dozen /:mike *:book 48:book =:book
EXPR: 0 | POS | INT | 9 | 32 | 2 | 12=((x/8)*48) | 12 x 8 / 48 * = | 12:book x:dozen 8:mike /:dozen 48:book *:book =:book
EXPR: 1 | POS | INT | 9 | 32 | 32 | ((12/8)*x)=48 | 12 8 / x * 48 = | 12:book 8:mike /:book x:dozen *:book 48:book =:book
EXPR: 1 | POS | INT | 9 | 32 | 32 | 12=(8*(48/x)) | 12 8 48 x / * = | 12:book 8:mike 48:book x:dozen /:book *:book =:book
EXPR: 1 | POS | INT | 9 | 32 | 32 | 12=((8/x)*48) | 12 8 x / 48 * = | 12:book 8:mike x:dozen /:mike 48:book *:book =:book
EXPR: 1 | POS | INT | 9 | 32 | 32 | ((12*x)/8)=48 | 12 x * 8 / 48 = | 12:book x:dozen *:book 8:mike /:book 48:book =:book
EXPR: 1 | POS | INT | 9 | 32 | 32 | (x*(12/8))=48 | x 12 8 / * 48 = | x:dozen 12:book 8:mike /:book *:book 48:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:book 8:dozen 12:book *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:book 48:book 8:mike *:mike 12:book *:book =:book
EXPR: 1 | POS | INT | 10 | 32 | 32 | x=(48*(8/12)) | x 48 8 12 / * = | x:book 48:book 8:mike 12:book /:mike *:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 144 | x=(48+(8*12)) | x 48 8 12 * + = | x:book 48:book 8:mike 12:book *:book +:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 72 | x=((48/8)*12) | x 48 8 / 12 * = | x:dozen 48:book 8:mike /:book 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:mike 48:book 8:mike *:mike 12:book /:mike =:mike
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:dozen 8:mike 12:book *:book *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | x=(48*(8/12)) | x 48 8 12 / * = | x:dozen 48:book 8:dozen 12:book /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:dozen *:dozen 12:book *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | ((48*8)/12)=x | 48 8 * 12 / x = | 48:book 8:dozen *:dozen 12:book /:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:mike *:book 12:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 144 | (48+(8*12))=x | 48 8 12 * + x = | 48:book 8:mike 12:book *:book +:book x:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:mike *:mike 12:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | ((48*8)/12)=x | 48 8 * 12 / x = | 48:dozen 8:mike *:dozen 12:book /:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | x=(48*(8/12)) | x 48 8 12 / * = | x:dozen 48:dozen 8:mike 12:book /:mike *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | (48*(8*12))=x | 48 8 12 * * x = | 48:book 8:mike 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:dozen 48:book 8:dozen *:dozen 12:book /:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:book 8:dozen *:dozen 12:book *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | (48*(8/12))=x | 48 8 12 / * x = | 48:dozen 8:mike 12:book /:mike *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | (48*(8*12))=x | 48 8 12 * * x = | 48:dozen 8:mike 12:book *:mike *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:mike 48:book 8:mike 12:book *:mike *:mike =:mike
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:dozen 8:mike 12:book *:mike *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 32 | 32 | (48*(8/12))=x | 48 8 12 / * x = | 48:book 8:dozen 12:book /:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | (48*(8*12))=x | 48 8 12 * * x = | 48:book 8:dozen 12:book *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:book 8:mike 12:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:mike *:mike 12:book *:book x:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 4608 | (48*(8*12))=x | 48 8 12 * * x = | 48:book 8:mike 12:book *:mike *:book x:book =:book
EXPR: 1 | POS | INT | 10 | 32 | 32 | (48*(8/12))=x | 48 8 12 / * x = | 48:book 8:mike 12:book /:mike *:book x:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 372 | ((48*8)-12)=x | 48 8 * 12 - x = | 48:book 8:mike *:book 12:book -:book x:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 18 | ((48/8)+12)=x | 48 8 / 12 + x = | 48:book 8:mike /:book 12:book +:book x:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 396 | ((48*8)+12)=x | 48 8 * 12 + x = | 48:book 8:mike *:book 12:book +:book x:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:mike 48:book 8:mike *:mike 12:book *:mike =:mike
EXPR: 0 | POS | INT | 10 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:book 8:mike *:mike 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 32 | 18 | x=((48/8)+12) | x 48 8 / 12 + = | x:book 48:book 8:mike /:book 12:book +:book =:book
EXPR: 0 | POS | INT | 10 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:mike *:mike 12:book *:mike x:mike =:mike
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:book 8:dozen 12:book *:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | x=(48*(8/12)) | x 48 8 12 / * = | x:book 48:book 8:mike 12:book /:mike *:book =:book
EXPR: 0 | POS | INT | 11 | 32 | 144 | x=(48+(8*12)) | x 48 8 12 * + = | x:book 48:book 8:mike 12:book *:book +:book =:book
EXPR: 1 | POS | INT | 11 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:mike 48:book 8:mike *:mike 12:book /:mike =:mike
EXPR: 0 | POS | INT | 11 | 32 | 72 | x=((48/8)*12) | x 48 8 / 12 * = | x:dozen 48:book 8:mike /:book 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:dozen 8:mike 12:book *:book *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | x=(48*(8/12)) | x 48 8 12 / * = | x:dozen 48:book 8:dozen 12:book /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:book 48:book 8:mike *:mike 12:book *:book =:book
EXPR: 0 | POS | INT | 11 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:dozen *:dozen 12:book *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | ((48*8)/12)=x | 48 8 * 12 / x = | 48:book 8:dozen *:dozen 12:book /:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:mike *:book 12:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:mike *:mike 12:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | ((48*8)/12)=x | 48 8 * 12 / x = | 48:dozen 8:mike *:dozen 12:book /:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | x=(48*(8/12)) | x 48 8 12 / * = | x:dozen 48:dozen 8:mike 12:book /:mike *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | (48*(8*12))=x | 48 8 12 * * x = | 48:book 8:mike 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | x=((48*8)/12) | x 48 8 * 12 / = | x:dozen 48:book 8:dozen *:dozen 12:book /:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | (48*(8/12))=x | 48 8 12 / * x = | 48:dozen 8:mike 12:book /:mike *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:book 8:dozen *:dozen 12:book *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | (48*(8*12))=x | 48 8 12 * * x = | 48:dozen 8:mike 12:book *:mike *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:dozen 8:mike 12:book *:mike *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 32 | 32 | (48*(8/12))=x | 48 8 12 / * x = | 48:book 8:dozen 12:book /:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=(48*(8*12)) | x 48 8 12 * * = | x:dozen 48:book 8:mike 12:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | (48*(8*12))=x | 48 8 12 * * x = | 48:book 8:dozen 12:book *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:mike *:mike 12:book *:book x:book =:book
EXPR: 0 | POS | INT | 11 | 32 | 4608 | (48*(8*12))=x | 48 8 12 * * x = | 48:book 8:mike 12:book *:mike *:book x:book =:book
EXPR: 0 | POS | INT | 11 | 32 | 372 | ((48*8)-12)=x | 48 8 * 12 - x = | 48:book 8:mike *:book 12:book -:book x:book =:book
EXPR: 1 | POS | INT | 11 | 32 | 32 | (48*(8/12))=x | 48 8 12 / * x = | 48:book 8:mike 12:book /:mike *:book x:book =:book
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:mike 48:book 8:mike *:mike 12:book *:mike =:mike
EXPR: 0 | POS | INT | 11 | 32 | 4608 | x=((48*8)*12) | x 48 8 * 12 * = | x:dozen 48:book 8:mike *:mike 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 32 | 18 | x=((48/8)+12) | x 48 8 / 12 + = | x:book 48:book 8:mike /:book 12:book +:book =:book
EXPR: 0 | POS | INT | 11 | 32 | 4608 | ((48*8)*12)=x | 48 8 * 12 * x = | 48:book 8:mike *:mike 12:book *:mike x:mike =:mike
EXPR: 1 | POS | INT | 12 | 32 | 32 | ((48/x)*8)=12 | 48 x / 8 * 12 = | 48:book x:dozen /:book 8:mike *:mike 12:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 2 | ((48*x)/8)=12 | 48 x * 8 / 12 = | 48:book x:mike *:book 8:mike /:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 72 | ((x/48)*8)=12 | x 48 / 8 * 12 = | x:dozen 48:book /:dozen 8:mike *:mike 12:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 48 | ((48+x)/8)=12 | 48 x + 8 / 12 = | 48:book x:book +:book 8:mike /:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 4608 | 48=(x/(8*12)) | 48 x 8 12 * / = | 48:book x:book 8:mike 12:book *:mike /:book =:book
EXPR: 1 | POS | INT | 12 | 32 | 32 | ((48/x)*8)=12 | 48 x / 8 * 12 = | 48:book x:mike /:book 8:mike *:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 4608 | 48=(x/(8*12)) | 48 x 8 12 * / = | 48:dozen x:dozen 8:mike 12:book *:book /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 4 | 48=((8-x)*12) | 48 8 x - 12 * = | 48:book 8:mike x:mike -:mike 12:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 372 | ((48*8)-x)=12 | 48 8 * x - 12 = | 48:book 8:mike *:book x:book -:book 12:book =:book
EXPR: 1 | POS | INT | 12 | 32 | 32 | ((48*8)/x)=12 | 48 8 * x / 12 = | 48:book 8:mike *:mike x:dozen /:mike 12:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 2 | 48=(8*(12/x)) | 48 8 12 x / * = | 48:book 8:mike 12:book x:mike /:book *:book =:book
EXPR: 1 | POS | INT | 12 | 32 | 32 | ((48*8)/x)=12 | 48 8 * x / 12 = | 48:book 8:dozen *:book x:dozen /:book 12:book =:book
EXPR: 1 | POS | INT | 12 | 32 | 32 | ((48*8)/x)=12 | 48 8 * x / 12 = | 48:book 8:mike *:book x:mike /:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 12 | 48=((x-8)*12) | 48 x 8 - 12 * = | 48:book x:dozen 8:dozen -:dozen 12:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | ((48/8)*x)=12 | 48 8 / x * 12 = | 48:book 8:dozen /:book x:dozen *:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 6 | ((48/8)+x)=12 | 48 8 / x + 12 = | 48:book 8:mike /:book x:book +:book 12:book =:book
EXPR: 1 | POS | INT | 12 | 32 | 32 | 48=((x/8)*12) | 48 x 8 / 12 * = | 48:book x:dozen 8:book /:dozen 12:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | ((48*x)/8)=12 | 48 x * 8 / 12 = | 48:book x:dozen *:dozen 8:mike /:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 4608 | x=(8*(48*12)) | x 8 48 12 * * = | x:dozen 8:mike 48:dozen 12:book *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 4 | 48=((8-x)*12) | 48 8 x - 12 * = | 48:book 8:dozen x:dozen -:dozen 12:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | ((x*48)/8)=12 | x 48 * 8 / 12 = | x:dozen 48:book *:book 8:dozen /:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 6 | 48=(8*(12-x)) | 48 8 12 x - * = | 48:book 8:mike 12:book x:book -:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 480 | ((48+12)*8)=x | 48 12 + 8 * x = | 48:book 12:book +:book 8:mike *:book x:book =:book
EXPR: 1 | POS | INT | 12 | 32 | 32 | x=(8*(48/12)) | x 8 48 12 / * = | x:dozen 8:mike 48:dozen 12:book /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 12 | (48/(x-8))=12 | 48 x 8 - / 12 = | 48:book x:dozen 8:dozen -:dozen /:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 72 | x=(48*(12/8)) | x 48 12 8 / * = | x:dozen 48:book 12:dozen 8:mike /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 72 | 48=((8*x)/12) | 48 8 x * 12 / = | 48:mike 8:mike x:dozen *:mike 12:book /:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 72 | 48=((x*8)/12) | 48 x 8 * 12 / = | 48:mike x:dozen 8:mike *:mike 12:book /:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 2 | 48=((8/x)*12) | 48 8 x / 12 * = | 48:mike 8:mike x:dozen /:mike 12:book *:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 4608 | x=(8*(48*12)) | x 8 48 12 * * = | x:dozen 8:mike 48:book 12:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 2 | (x*(48/8))=12 | x 48 8 / * 12 = | x:dozen 48:book 8:dozen /:book *:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | (x*(48/8))=12 | x 48 8 / * 12 = | x:mike 48:book 8:mike /:book *:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | 48=((8*12)/x) | 48 8 12 * x / = | 48:mike 8:mike 12:book *:mike x:dozen /:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 2 | (x*48)=(8*12) | x 48 * 8 12 * = | x:dozen 48:book *:book 8:mike 12:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | 48=((8*12)/x) | 48 8 12 * x / = | 48:book 8:dozen 12:book *:book x:dozen /:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 288 | (8*(48-12))=x | 8 48 12 - * x = | 8:mike 48:book 12:book -:book *:mike x:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 72 | 48=((8/12)*x) | 48 8 12 / x * = | 48:mike 8:mike 12:book /:mike x:dozen *:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 72 | 48=(x*(8/12)) | 48 x 8 12 / * = | 48:dozen x:dozen 8:mike 12:book /:mike *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 2 | (48*(x/8))=12 | 48 x 8 / * 12 = | 48:book x:dozen 8:book /:dozen *:book 12:book =:book
EXPR: 1 | POS | INT | 12 | 32 | 32 | ((48/x)*8)=12 | 48 x / 8 * 12 = | 48:book x:dozen /:book 8:dozen *:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | ((48/8)*x)=12 | 48 8 / x * 12 = | 48:book 8:mike /:book x:dozen *:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 4608 | (8*(48*12))=x | 8 48 12 * * x = | 8:mike 48:book 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 72 | ((48*12)/8)=x | 48 12 * 8 / x = | 48:dozen 12:book *:dozen 8:mike /:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 32 | 32 | (48*8)=(x*12) | 48 8 * x 12 * = | 48:book 8:mike *:book x:dozen 12:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 72 | (48*(12/8))=x | 48 12 8 / * x = | 48:dozen 12:book 8:mike /:book *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 6 | (x+(48/8))=12 | x 48 8 / + 12 = | x:book 48:book 8:mike /:book +:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | ((48/8)*x)=12 | 48 8 / x * 12 = | 48:book 8:mike /:book x:mike *:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 12 | (48/(x-8))=12 | 48 x 8 - / 12 = | 48:book x:mike 8:mike -:mike /:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 480 | ((48+12)*8)=x | 48 12 + 8 * x = | 48:book 12:book +:book 8:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 2 | ((8/48)*12)=x | 8 48 / 12 * x = | 8:dozen 48:book /:dozen 12:book *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 32 | 32 | (48*(8/x))=12 | 48 8 x / * 12 = | 48:book 8:mike x:dozen /:mike *:mike 12:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 2 | 48=((8/x)*12) | 48 8 x / 12 * = | 48:book 8:mike x:book /:mike 12:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | 48=(8*(12/x)) | 48 8 12 x / * = | 48:book 8:dozen 12:book x:dozen /:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | ((8/48)*12)=x | 8 48 / 12 * x = | 8:mike 48:book /:mike 12:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 480 | ((48+12)*8)=x | 48 12 + 8 * x = | 48:book 12:book +:book 8:mike *:mike x:mike =:mike
EXPR: 0 | POS | INT | 12 | 32 | 4608 | ((48*12)*8)=x | 48 12 * 8 * x = | 48:book 12:dozen *:dozen 8:mike *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 4608 | x=((48*12)*8) | x 48 12 * 8 * = | x:dozen 48:book 12:dozen *:dozen 8:mike *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 2 | x=((8/48)*12) | x 8 48 / 12 * = | x:book 8:mike 48:book /:mike 12:book *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 72 | x=(48*(12/8)) | x 48 12 8 / * = | x:dozen 48:dozen 12:book 8:mike /:book *:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 32 | 32 | (48*8)=(12*x) | 48 8 * 12 x * = | 48:book 8:mike *:book 12:book x:dozen *:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 2 | (48/8)=(12/x) | 48 8 / 12 x / = | 48:book 8:mike /:book 12:book x:dozen /:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 72 | ((x/48)*8)=12 | x 48 / 8 * 12 = | x:dozen 48:book /:dozen 8:book *:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 72 | x=((48*12)/8) | x 48 12 * 8 / = | x:dozen 48:book 12:dozen *:dozen 8:mike /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 144 | 48=(x-(8*12)) | 48 x 8 12 * - = | 48:book x:book 8:mike 12:book *:book -:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 4608 | (x/(48*8))=12 | x 48 8 * / 12 = | x:book 48:book 8:mike *:mike /:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 396 | (x-(48*8))=12 | x 48 8 * - 12 = | x:book 48:book 8:mike *:book -:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 18 | (x-(48/8))=12 | x 48 8 / - 12 = | x:book 48:book 8:mike /:book -:book 12:book =:book
EXPR: 0 | POS | INT | 12 | 32 | 72 | (48*(12/8))=x | 48 12 8 / * x = | 48:book 12:dozen 8:mike /:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 32 | 48 | ((x+48)/8)=12 | x 48 + 8 / 12 = | x:book 48:book +:book 8:mike /:book 12:book =:book
