parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 2 | 16 | 16 | (192/x)=12 | 192 x / 12 = | 192:ball x:dozen /:ball 12:ball =:ball
EXPR: 0 | POS | INT | 14 | 16 | 204 | 12=(x-192) | 12 x 192 - = | 12:ball x:ball 192:ball -:ball =:ball
EXPR: 0 | POS | INT | 20 | 16 | 2304 | x=(192*12) | x 192 12 * = | x:ball 192:ball 12:dozen *:ball =:ball
EXPR: 1 | POS | INT | 20 | 16 | 16 | x=(192/12) | x 192 12 / = | x:ball 192:ball 12:dozen /:ball =:ball
EXPR: 0 | POS | INT | 20 | 16 | 2304 | x=(192*12) | x 192 12 * = | x:ball 192:dozen 12:ball *:ball =:ball
EXPR: 1 | POS | INT | 20 | 16 | 16 | (192/12)=x | 192 12 / x = | 192:ball 12:dozen /:ball x:ball =:ball
EXPR: 0 | POS | INT | 20 | 16 | 204 | (192+12)=x | 192 12 + x = | 192:dozen 12:dozen +:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 20 | 16 | 2304 | (192*12)=x | 192 12 * x = | 192:ball 12:dozen *:ball x:ball =:ball
EXPR: 0 | POS | INT | 20 | 16 | 2304 | (192*12)=x | 192 12 * x = | 192:dozen 12:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 20 | 16 | 180 | (192-12)=x | 192 12 - x = | 192:dozen 12:dozen -:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 20 | 16 | 204 | x=(192+12) | x 192 12 + = | x:dozen 192:dozen 12:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 20 | 16 | 180 | x=(192-12) | x 192 12 - = | x:dozen 192:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 21 | 16 | 2304 | x=(192*12) | x 192 12 * = | x:ball 192:ball 12:dozen *:ball =:ball
EXPR: 1 | POS | INT | 21 | 16 | 16 | x=(192/12) | x 192 12 / = | x:ball 192:ball 12:dozen /:ball =:ball
EXPR: 0 | POS | INT | 21 | 16 | 2304 | x=(192*12) | x 192 12 * = | x:ball 192:dozen 12:ball *:ball =:ball
EXPR: 1 | POS | INT | 21 | 16 | 16 | (192/12)=x | 192 12 / x = | 192:ball 12:dozen /:ball x:ball =:ball
EXPR: 0 | POS | INT | 21 | 16 | 204 | (192+12)=x | 192 12 + x = | 192:dozen 12:dozen +:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 21 | 16 | 2304 | (192*12)=x | 192 12 * x = | 192:dozen 12:ball *:ball x:ball =:ball
EXPR: 0 | POS | INT | 21 | 16 | 180 | (192-12)=x | 192 12 - x = | 192:dozen 12:dozen -:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 21 | 16 | 2304 | (192*12)=x | 192 12 * x = | 192:ball 12:dozen *:ball x:ball =:ball
EXPR: 0 | POS | INT | 21 | 16 | 204 | x=(192+12) | x 192 12 + = | x:dozen 192:dozen 12:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 21 | 16 | 180 | x=(192-12) | x 192 12 - = | x:dozen 192:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 16 | 180 | 192=(x+12) | 192 x 12 + = | 192:dozen x:dozen 12:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 16 | 204 | 192=(x-12) | 192 x 12 - = | 192:dozen x:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 16 | 2304 | (x/192)=12 | x 192 / 12 = | x:ball 192:dozen /:ball 12:ball =:ball
EXPR: 1 | POS | INT | 22 | 16 | 16 | 192=(x*12) | 192 x 12 * = | 192:ball x:ball 12:dozen *:ball =:ball
EXPR: 0 | POS | INT | 22 | 16 | 180 | (192-x)=12 | 192 x - 12 = | 192:dozen x:dozen -:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 16 | 180 | 192=(12+x) | 192 12 x + = | 192:dozen 12:dozen x:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 22 | 16 | 16 | 192=(12*x) | 192 12 x * = | 192:ball 12:dozen x:ball *:ball =:ball
EXPR: 0 | POS | INT | 22 | 16 | 2304 | 192=(x/12) | 192 x 12 / = | 192:ball x:ball 12:dozen /:ball =:ball
EXPR: 0 | POS | INT | 22 | 16 | 204 | (x-192)=12 | x 192 - 12 = | x:dozen 192:dozen -:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 16 | 180 | (x+12)=192 | x 12 + 192 = | x:dozen 12:dozen +:dozen 192:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 16 | 180 | (12+x)=192 | 12 x + 192 = | 12:dozen x:dozen +:dozen 192:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 16 | 2304 | (x/12)=192 | x 12 / 192 = | x:ball 12:dozen /:ball 192:ball =:ball
EXPR: 0 | POS | INT | 24 | 16 | 2304 | 12=(x/192) | 12 x 192 / = | 12:ball x:ball 192:dozen /:ball =:ball
EXPR: 1 | POS | INT | 24 | 16 | 16 | (x*12)=192 | x 12 * 192 = | x:ball 12:dozen *:ball 192:ball =:ball
EXPR: 0 | POS | INT | 24 | 16 | 204 | 12=(x-192) | 12 x 192 - = | 12:dozen x:dozen 192:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 24 | 16 | 16 | (12*x)=192 | 12 x * 192 = | 12:dozen x:ball *:ball 192:ball =:ball
EXPR: 0 | POS | INT | 24 | 16 | 204 | (x-12)=192 | x 12 - 192 = | x:dozen 12:dozen -:dozen 192:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 16 | 180 | 12=(192-x) | 12 192 x - = | 12:dozen 192:dozen x:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 16 | 16 | 192=(x*12) | 192 x 12 * = | 192:dozen x:ball 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 16 | 16 | (192/x)=12 | 192 x / 12 = | 192:dozen x:ball /:dozen 12:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 16 | 16 | 192=(12*x) | 192 12 x * = | 192:dozen 12:dozen x:ball *:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 16 | 16 | (12*x)=192 | 12 x * 192 = | 12:dozen x:ball *:dozen 192:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 16 | 16 | (x*12)=192 | x 12 * 192 = | x:ball 12:dozen *:dozen 192:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 16 | 16 | 12=(192/x) | 12 192 x / = | 12:dozen 192:dozen x:ball /:dozen =:dozen
NET 88 non-negative, integer-valued solutions found out of 136 total solutions
