parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 12 | 2 | (7-5)=x | 7 5 - x = | 7:nickel 5:nickel -:nickel x:nickel =:nickel
EXPR: 0 | POS | INT | 4 | 12 | 2 | (5+x)=7 | 5 x + 7 = | 5:nickel x:nickel +:nickel 7:nickel =:nickel
EXPR: 0 | POS | INT | 4 | 12 | 2 | 5=(7-x) | 5 7 x - = | 5:nickel 7:nickel x:nickel -:nickel =:nickel
EXPR: 1 | POS | INT | 4 | 12 | 12 | 5=(x-7) | 5 x 7 - = | 5:nickel x:nickel 7:nickel -:nickel =:nickel
EXPR: 0 | POS | INT | 10 | 12 | 35 | (7*5)=x | 7 5 * x = | 7:nickel 5:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 12 | 35 | x=(7*5) | x 7 5 * = | x:nickel 7:NONE 5:nickel *:nickel =:nickel
EXPR: 0 | POS | INT | 10 | 12 | 35 | (7*5)=x | 7 5 * x = | 7:NONE 5:nickel *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 12 | 35 | (7*5)=x | 7 5 * x = | 7:NONE 5:nickel *:nickel x:nickel =:nickel
EXPR: 0 | POS | INT | 10 | 12 | 35 | x=(7*5) | x 7 5 * = | x:NONE 7:nickel 5:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 12 | 35 | (7*5)=x | 7 5 * x = | 7:nickel 5:NONE *:nickel x:nickel =:nickel
EXPR: 0 | POS | INT | 10 | 12 | 35 | x=(7*5) | x 7 5 * = | x:nickel 7:nickel 5:NONE *:nickel =:nickel
EXPR: 0 | POS | INT | 10 | 12 | 35 | x=(7*5) | x 7 5 * = | x:NONE 7:NONE 5:nickel *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 35 | (7*5)=x | 7 5 * x = | 7:NONE 5:nickel *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 35 | x=(7*5) | x 7 5 * = | x:nickel 7:NONE 5:nickel *:nickel =:nickel
EXPR: 0 | POS | INT | 11 | 12 | 35 | x=(7*5) | x 7 5 * = | x:NONE 7:NONE 5:nickel *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 35 | (7*5)=x | 7 5 * x = | 7:NONE 5:nickel *:nickel x:nickel =:nickel
EXPR: 0 | POS | INT | 11 | 12 | 35 | x=(7*5) | x 7 5 * = | x:NONE 7:nickel 5:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 35 | (7*5)=x | 7 5 * x = | 7:nickel 5:NONE *:nickel x:nickel =:nickel
EXPR: 0 | POS | INT | 11 | 12 | 35 | (7*5)=x | 7 5 * x = | 7:nickel 5:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 12 | 35 | x=(7*5) | x 7 5 * = | x:nickel 7:nickel 5:NONE *:nickel =:nickel
EXPR: 0 | POS | INT | 12 | 12 | 35 | 7=(x/5) | 7 x 5 / = | 7:nickel x:nickel 5:NONE /:nickel =:nickel
EXPR: 0 | POS | INT | 12 | 12 | 35 | (x/7)=5 | x 7 / 5 = | x:nickel 7:NONE /:nickel 5:nickel =:nickel
EXPR: 0 | POS | INT | 12 | 12 | 35 | 7=(x/5) | 7 x 5 / = | 7:NONE x:NONE 5:nickel /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 12 | 35 | (x/7)=5 | x 7 / 5 = | x:NONE 7:nickel /:NONE 5:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 12 | 35 | (x/5)=7 | x 5 / 7 = | x:NONE 5:nickel /:NONE 7:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 12 | 35 | (x/5)=7 | x 5 / 7 = | x:nickel 5:NONE /:nickel 7:nickel =:nickel
EXPR: 0 | POS | INT | 14 | 12 | 35 | 5=(x/7) | 5 x 7 / = | 5:NONE x:NONE 7:nickel /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 12 | 35 | 5=(x/7) | 5 x 7 / = | 5:nickel x:nickel 7:NONE /:nickel =:nickel
EXPR: 0 | POS | INT | 20 | 12 | 2 | x=(7-5) | x 7 5 - = | x:NONE 7:NONE 5:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 12 | 12 | x=(7+5) | x 7 5 + = | x:NONE 7:NONE 5:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 12 | 2 | (7-5)=x | 7 5 - x = | 7:NONE 5:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 12 | 12 | (7+5)=x | 7 5 + x = | 7:NONE 5:NONE +:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 12 | 12 | x=(7+5) | x 7 5 + = | x:NONE 7:NONE 5:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 12 | 12 | (7+5)=x | 7 5 + x = | 7:NONE 5:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 12 | 2 | x=(7-5) | x 7 5 - = | x:NONE 7:NONE 5:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 12 | 2 | (7-5)=x | 7 5 - x = | 7:NONE 5:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 12 | 12 | (x-7)=5 | x 7 - 5 = | x:NONE 7:NONE -:NONE 5:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 12 | 2 | (7-x)=5 | 7 x - 5 = | 7:NONE x:NONE -:NONE 5:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 12 | 2 | 7=(x+5) | 7 x 5 + = | 7:NONE x:NONE 5:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 12 | 12 | 7=(x-5) | 7 x 5 - = | 7:NONE x:NONE 5:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 12 | 2 | 7=(5+x) | 7 5 x + = | 7:NONE 5:NONE x:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 12 | 12 | (x-5)=7 | x 5 - 7 = | x:NONE 5:NONE -:NONE 7:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 12 | 2 | (5+x)=7 | 5 x + 7 = | 5:NONE x:NONE +:NONE 7:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 12 | 2 | (x+5)=7 | x 5 + 7 = | x:NONE 5:NONE +:NONE 7:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 12 | 2 | 5=(7-x) | 5 7 x - = | 5:NONE 7:NONE x:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 12 | 12 | 5=(x-7) | 5 x 7 - = | 5:NONE x:NONE 7:NONE -:NONE =:NONE
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
