parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 14 | 8 | ((5+6)-3)=x | 5 6 + 3 - x = | 5:cake 6:cake +:cake 3:cake -:cake x:cake =:cake
EXPR: 0 | POS | INT | 1 | 14 | 8 | ((5+6)-3)=x | 5 6 + 3 - x = | 5:cake 6:cake +:cake 3:cake -:cake x:cake =:cake
EXPR: 1 | POS | INT | 1 | 14 | 14 | x=(5+(6+3)) | x 5 6 3 + + = | x:cake 5:cake 6:cake 3:cake +:cake +:cake =:cake
EXPR: 0 | POS | INT | 1 | 14 | 8 | x=(5+(6-3)) | x 5 6 3 - + = | x:cake 5:cake 6:cake 3:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 1 | 14 | 8 | (5+(6-3))=x | 5 6 3 - + x = | 5:cake 6:cake 3:cake -:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 1 | 14 | 2 | x=(5-(6-3)) | x 5 6 3 - - = | x:cake 5:cake 6:cake 3:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 1 | 14 | 2 | (5-(6-3))=x | 5 6 3 - - x = | 5:cake 6:cake 3:cake -:cake -:cake x:cake =:cake
EXPR: 1 | POS | INT | 1 | 14 | 14 | x=((5+6)+3) | x 5 6 + 3 + = | x:cake 5:cake 6:cake +:cake 3:cake +:cake =:cake
EXPR: 0 | POS | INT | 1 | 14 | 8 | x=((5+6)-3) | x 5 6 + 3 - = | x:cake 5:cake 6:cake +:cake 3:cake -:cake =:cake
EXPR: 1 | POS | INT | 1 | 14 | 14 | (5+(6+3))=x | 5 6 3 + + x = | 5:cake 6:cake 3:cake +:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 1 | 14 | 2 | x=((5-6)+3) | x 5 6 - 3 + = | x:cake 5:cake 6:cake -:cake 3:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | ((5-3)+6)=x | 5 3 - 6 + x = | 5:cake 3:cake -:cake 6:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | (6+(5-3))=x | 6 5 3 - + x = | 6:cake 5:cake 3:cake -:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | 5=((6-3)+x) | 5 6 3 - x + = | 5:cake 6:cake 3:cake -:cake x:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | (5-(3-6))=x | 5 3 6 - - x = | 5:cake 3:cake 6:cake -:cake -:cake x:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 3 | (5-(6/x))=3 | 5 6 x / - 3 = | 5:cake 6:cake x:NONE /:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | ((5+3)-6)=x | 5 3 + 6 - x = | 5:cake 3:cake +:cake 6:cake -:cake x:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 10 | 5=((x/6)*3) | 5 x 6 / 3 * = | 5:cake x:NONE 6:cake /:NONE 3:cake *:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | (5-(x-6))=3 | 5 x 6 - - 3 = | 5:cake x:cake 6:cake -:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | 5=(x+(6-3)) | 5 x 6 3 - + = | 5:cake x:cake 6:cake 3:cake -:cake +:cake =:cake
EXPR: 1 | POS | INT | 2 | 14 | 14 | x=((5+3)+6) | x 5 3 + 6 + = | x:cake 5:cake 3:cake +:cake 6:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | x=((5-3)+6) | x 5 3 - 6 + = | x:cake 5:cake 3:cake -:cake 6:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | x=((6-5)+3) | x 6 5 - 3 + = | x:cake 6:cake 5:cake -:cake 3:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | 5=((6+3)-x) | 5 6 3 + x - = | 5:cake 6:cake 3:cake +:cake x:cake -:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | (5+(3-6))=x | 5 3 6 - + x = | 5:cake 3:cake 6:cake -:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | ((6-5)+3)=x | 6 5 - 3 + x = | 6:cake 5:cake -:cake 3:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | 5=(x-(6-3)) | 5 x 6 3 - - = | 5:cake x:cake 6:cake 3:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 3 | 5=((6/x)+3) | 5 6 x / 3 + = | 5:cake 6:cake x:NONE /:cake 3:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | (6-(5-3))=x | 6 5 3 - - x = | 6:cake 5:cake 3:cake -:cake -:cake x:cake =:cake
EXPR: 1 | POS | INT | 2 | 14 | 14 | (6+(5+3))=x | 6 5 3 + + x = | 6:cake 5:cake 3:cake +:cake +:cake x:cake =:cake
EXPR: 1 | POS | INT | 2 | 14 | 14 | 5=(x-(6+3)) | 5 x 6 3 + - = | 5:cake x:cake 6:cake 3:cake +:cake -:cake =:cake
EXPR: 1 | POS | INT | 2 | 14 | 14 | ((5+3)+6)=x | 5 3 + 6 + x = | 5:cake 3:cake +:cake 6:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | x=((5+3)-6) | x 5 3 + 6 - = | x:cake 5:cake 3:cake +:cake 6:cake -:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | ((5+x)-6)=3 | 5 x + 6 - 3 = | 5:cake x:cake +:cake 6:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | x=(5+(3-6)) | x 5 3 6 - + = | x:cake 5:cake 3:cake 6:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | 5=(6+(x-3)) | 5 6 x 3 - + = | 5:cake 6:cake x:cake 3:cake -:cake +:cake =:cake
EXPR: 1 | POS | INT | 2 | 14 | 14 | (x-(5+6))=3 | x 5 6 + - 3 = | x:cake 5:cake 6:cake +:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | (x+(5-6))=3 | x 5 6 - + 3 = | x:cake 5:cake 6:cake -:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | (5+(6-x))=3 | 5 6 x - + 3 = | 5:cake 6:cake x:cake -:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | (x-(5-6))=3 | x 5 6 - - 3 = | x:cake 5:cake 6:cake -:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | 5=(6-(x-3)) | 5 6 x 3 - - = | 5:cake 6:cake x:cake 3:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | ((5-x)+6)=3 | 5 x - 6 + 3 = | 5:cake x:cake -:cake 6:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | x=(5-(3-6)) | x 5 3 6 - - = | x:cake 5:cake 3:cake 6:cake -:cake -:cake =:cake
EXPR: 1 | POS | INT | 2 | 14 | 14 | 5=((x-6)-3) | 5 x 6 - 3 - = | 5:cake x:cake 6:cake -:cake 3:cake -:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | 5=((6+x)-3) | 5 6 x + 3 - = | 5:cake 6:cake x:cake +:cake 3:cake -:cake =:cake
EXPR: 1 | POS | INT | 2 | 14 | 14 | x=(6+(5+3)) | x 6 5 3 + + = | x:cake 6:cake 5:cake 3:cake +:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | x=(6+(5-3)) | x 6 5 3 - + = | x:cake 6:cake 5:cake 3:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | x=(6-(5-3)) | x 6 5 3 - - = | x:cake 6:cake 5:cake 3:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | 5=((6-x)+3) | 5 6 x - 3 + = | 5:cake 6:cake x:cake -:cake 3:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | (5-(6-x))=3 | 5 6 x - - 3 = | 5:cake 6:cake x:cake -:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | 5=((x-6)+3) | 5 x 6 - 3 + = | 5:cake x:cake 6:cake -:cake 3:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | ((x+5)-6)=3 | x 5 + 6 - 3 = | x:cake 5:cake +:cake 6:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | (5+(x-6))=3 | 5 x 6 - + 3 = | 5:cake x:cake 6:cake -:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | 5=((x+6)-3) | 5 x 6 + 3 - = | 5:cake x:cake 6:cake +:cake 3:cake -:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | ((x-5)+6)=3 | x 5 - 6 + 3 = | x:cake 5:cake -:cake 6:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 3 | 5=(6-(3/x)) | 5 6 3 x / - = | 5:cake 6:cake 3:cake x:NONE /:cake -:cake =:cake
EXPR: 1 | POS | INT | 2 | 14 | 14 | ((x-5)-6)=3 | x 5 - 6 - 3 = | x:cake 5:cake -:cake 6:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | 5=(6+(3-x)) | 5 6 3 x - + = | 5:cake 6:cake 3:cake x:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 2 | 5=(6-(3-x)) | 5 6 3 x - - = | 5:cake 6:cake 3:cake x:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 8 | ((5+6)-x)=3 | 5 6 + x - 3 = | 5:cake 6:cake +:cake x:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 2 | 14 | 4 | ((5-6)+x)=3 | 5 6 - x + 3 = | 5:cake 6:cake -:cake x:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 8 | ((5-3)+6)=x | 5 3 - 6 + x = | 5:cake 3:cake -:cake 6:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 2 | ((5+3)-6)=x | 5 3 + 6 - x = | 5:cake 3:cake +:cake 6:cake -:cake x:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 8 | (5-(3-6))=x | 5 3 6 - - x = | 5:cake 3:cake 6:cake -:cake -:cake x:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 2 | (5+(3-6))=x | 5 3 6 - + x = | 5:cake 3:cake 6:cake -:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 4 | ((6-5)+3)=x | 6 5 - 3 + x = | 6:cake 5:cake -:cake 3:cake +:cake x:cake =:cake
EXPR: 1 | POS | INT | 3 | 14 | 14 | x=((5+3)+6) | x 5 3 + 6 + = | x:cake 5:cake 3:cake +:cake 6:cake +:cake =:cake
EXPR: 1 | POS | INT | 3 | 14 | 14 | (6+(5+3))=x | 6 5 3 + + x = | 6:cake 5:cake 3:cake +:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 4 | (6-(5-3))=x | 6 5 3 - - x = | 6:cake 5:cake 3:cake -:cake -:cake x:cake =:cake
EXPR: 1 | POS | INT | 3 | 14 | 14 | ((5+3)+6)=x | 5 3 + 6 + x = | 5:cake 3:cake +:cake 6:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 8 | (6+(5-3))=x | 6 5 3 - + x = | 6:cake 5:cake 3:cake -:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 2 | x=((5+3)-6) | x 5 3 + 6 - = | x:cake 5:cake 3:cake +:cake 6:cake -:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 4 | x=((6-5)+3) | x 6 5 - 3 + = | x:cake 6:cake 5:cake -:cake 3:cake +:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 2 | x=(5+(3-6)) | x 5 3 6 - + = | x:cake 5:cake 3:cake 6:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 8 | x=((5-3)+6) | x 5 3 - 6 + = | x:cake 5:cake 3:cake -:cake 6:cake +:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 8 | x=(5-(3-6)) | x 5 3 6 - - = | x:cake 5:cake 3:cake 6:cake -:cake -:cake =:cake
EXPR: 1 | POS | INT | 3 | 14 | 14 | x=(6+(5+3)) | x 6 5 3 + + = | x:cake 6:cake 5:cake 3:cake +:cake +:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 4 | x=(6-(5-3)) | x 6 5 3 - - = | x:cake 6:cake 5:cake 3:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 3 | 14 | 8 | x=(6+(5-3)) | x 6 5 3 - + = | x:cake 6:cake 5:cake 3:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | 6=((5+3)-x) | 6 5 3 + x - = | 6:cake 5:cake 3:cake +:cake x:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | 6=((x-5)+3) | 6 x 5 - 3 + = | 6:cake x:cake 5:cake -:cake 3:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | 5=(x+(3-6)) | 5 x 3 6 - + = | 5:cake x:cake 3:cake 6:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 3 | (5+(3/x))=6 | 5 3 x / + 6 = | 5:cake 3:cake x:NONE /:cake +:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | 6=((5-3)+x) | 6 5 3 - x + = | 6:cake 5:cake 3:cake -:cake x:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | (5-(x-3))=6 | 5 x 3 - - 6 = | 5:cake x:cake 3:cake -:cake -:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 3 | (x*(5-3))=6 | x 5 3 - * 6 = | x:NONE 5:cake 3:cake -:cake *:cake 6:cake =:cake
EXPR: 1 | POS | INT | 4 | 14 | 14 | (x-(5+3))=6 | x 5 3 + - 6 = | x:cake 5:cake 3:cake +:cake -:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | (5+(x-3))=6 | 5 x 3 - + 6 = | 5:cake x:cake 3:cake -:cake +:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 10 | 6=((x/5)*3) | 6 x 5 / 3 * = | 6:cake x:NONE 5:cake /:NONE 3:cake *:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 3 | 6=((5-3)*x) | 6 5 3 - x * = | 6:cake 5:cake 3:cake -:cake x:NONE *:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | 5=(x-(3-6)) | 5 x 3 6 - - = | 5:cake x:cake 3:cake 6:cake -:cake -:cake =:cake
EXPR: 1 | POS | INT | 4 | 14 | 14 | 6=((x-5)-3) | 6 x 5 - 3 - = | 6:cake x:cake 5:cake -:cake 3:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | (x-(5-3))=6 | x 5 3 - - 6 = | x:cake 5:cake 3:cake -:cake -:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | (x+(5-3))=6 | x 5 3 - + 6 = | x:cake 5:cake 3:cake -:cake +:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 3 | 6=(5+(3/x)) | 6 5 3 x / + = | 6:cake 5:cake 3:cake x:NONE /:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | 6=(x+(5-3)) | 6 x 5 3 - + = | 6:cake x:cake 5:cake 3:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | 6=((5-x)+3) | 6 5 x - 3 + = | 6:cake 5:cake x:cake -:cake 3:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | 6=((5+x)-3) | 6 5 x + 3 - = | 6:cake 5:cake x:cake +:cake 3:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | 5=(3+(x-6)) | 5 3 x 6 - + = | 5:cake 3:cake x:cake 6:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 3 | 6=(x*(5-3)) | 6 x 5 3 - * = | 6:cake x:NONE 5:cake 3:cake -:cake *:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | 6=(5-(3-x)) | 6 5 3 x - - = | 6:cake 5:cake 3:cake x:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | 6=(5+(3-x)) | 6 5 3 x - + = | 6:cake 5:cake 3:cake x:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | 6=(x-(5-3)) | 6 x 5 3 - - = | 6:cake x:cake 5:cake 3:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | 6=((x+5)-3) | 6 x 5 + 3 - = | 6:cake x:cake 5:cake +:cake 3:cake -:cake =:cake
EXPR: 1 | POS | INT | 4 | 14 | 14 | 6=(x-(5+3)) | 6 x 5 3 + - = | 6:cake x:cake 5:cake 3:cake +:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | (6-(x-5))=3 | 6 x 5 - - 3 = | 6:cake x:cake 5:cake -:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | ((5-x)+3)=6 | 5 x - 3 + 6 = | 5:cake x:cake -:cake 3:cake +:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | (5+(3-x))=6 | 5 3 x - + 6 = | 5:cake 3:cake x:cake -:cake +:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | ((6-x)+5)=3 | 6 x - 5 + 3 = | 6:cake x:cake -:cake 5:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | 5=((3-6)+x) | 5 3 6 - x + = | 5:cake 3:cake 6:cake -:cake x:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | (x+(6-5))=3 | x 6 5 - + 3 = | x:cake 6:cake 5:cake -:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | ((6+x)-5)=3 | 6 x + 5 - 3 = | 6:cake x:cake +:cake 5:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | ((5+x)-3)=6 | 5 x + 3 - 6 = | 5:cake x:cake +:cake 3:cake -:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | 6=(5+(x-3)) | 6 5 x 3 - + = | 6:cake 5:cake x:cake 3:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | 6=(5-(x-3)) | 6 5 x 3 - - = | 6:cake 5:cake x:cake 3:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 3 | ((6-5)*x)=3 | 6 5 - x * 3 = | 6:cake 5:cake -:cake x:NONE *:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | (6+(5-x))=3 | 6 5 x - + 3 = | 6:cake 5:cake x:cake -:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | (x-(6-5))=3 | x 6 5 - - 3 = | x:cake 6:cake 5:cake -:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | ((6-5)+x)=3 | 6 5 - x + 3 = | 6:cake 5:cake -:cake x:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | 5=(3-(x-6)) | 5 3 x 6 - - = | 5:cake 3:cake x:cake 6:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 10 | ((x/5)*3)=6 | x 5 / 3 * 6 = | x:NONE 5:cake /:NONE 3:cake *:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 10 | 5=(3*(x/6)) | 5 3 x 6 / * = | 5:cake 3:cake x:NONE 6:cake /:NONE *:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 3 | (x*(6-5))=3 | x 6 5 - * 3 = | x:NONE 6:cake 5:cake -:cake *:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | (5-(3-x))=6 | 5 3 x - - 6 = | 5:cake 3:cake x:cake -:cake -:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | 5=((3-x)+6) | 5 3 x - 6 + = | 5:cake 3:cake x:cake -:cake 6:cake +:cake =:cake
EXPR: 1 | POS | INT | 4 | 14 | 14 | 5=((x-3)-6) | 5 x 3 - 6 - = | 5:cake x:cake 3:cake -:cake 6:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | 5=((x+3)-6) | 5 x 3 + 6 - = | 5:cake x:cake 3:cake +:cake 6:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | 5=((3+x)-6) | 5 3 x + 6 - = | 5:cake 3:cake x:cake +:cake 6:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | 5=((x-3)+6) | 5 x 3 - 6 + = | 5:cake x:cake 3:cake -:cake 6:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | ((x+5)-3)=6 | x 5 + 3 - 6 = | x:cake 5:cake +:cake 3:cake -:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | (6+(x-5))=3 | 6 x 5 - + 3 = | 6:cake x:cake 5:cake -:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | ((x-6)+5)=3 | x 6 - 5 + 3 = | x:cake 6:cake -:cake 5:cake +:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 3 | 5=(3+(6/x)) | 5 3 6 x / + = | 5:cake 3:cake 6:cake x:NONE /:cake +:cake =:cake
EXPR: 1 | POS | INT | 4 | 14 | 14 | ((x-6)-5)=3 | x 6 - 5 - 3 = | x:cake 6:cake -:cake 5:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | (6-(5-x))=3 | 6 5 x - - 3 = | 6:cake 5:cake x:cake -:cake -:cake 3:cake =:cake
EXPR: 1 | POS | INT | 4 | 14 | 14 | ((x-5)-3)=6 | x 5 - 3 - 6 = | x:cake 5:cake -:cake 3:cake -:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | ((x+6)-5)=3 | x 6 + 5 - 3 = | x:cake 6:cake +:cake 5:cake -:cake 3:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | 5=(3+(6-x)) | 5 3 6 x - + = | 5:cake 3:cake 6:cake x:cake -:cake +:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | 5=(3-(6-x)) | 5 3 6 x - - = | 5:cake 3:cake 6:cake x:cake -:cake -:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 2 | ((5+3)-x)=6 | 5 3 + x - 6 = | 5:cake 3:cake +:cake x:cake -:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 3 | ((5-3)*x)=6 | 5 3 - x * 6 = | 5:cake 3:cake -:cake x:NONE *:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 8 | ((x-5)+3)=6 | x 5 - 3 + 6 = | x:cake 5:cake -:cake 3:cake +:cake 6:cake =:cake
EXPR: 0 | POS | INT | 4 | 14 | 4 | ((5-3)+x)=6 | 5 3 - x + 6 = | 5:cake 3:cake -:cake x:cake +:cake 6:cake =:cake
EXPR: 0 | POS | INT | 5 | 14 | 4 | (6+(3-5))=x | 6 3 5 - + x = | 6:cake 3:cake 5:cake -:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 5 | 14 | 8 | (6-(3-5))=x | 6 3 5 - - x = | 6:cake 3:cake 5:cake -:cake -:cake x:cake =:cake
EXPR: 1 | POS | INT | 5 | 14 | 14 | x=((6+3)+5) | x 6 3 + 5 + = | x:cake 6:cake 3:cake +:cake 5:cake +:cake =:cake
EXPR: 0 | POS | INT | 5 | 14 | 4 | x=((6+3)-5) | x 6 3 + 5 - = | x:cake 6:cake 3:cake +:cake 5:cake -:cake =:cake
EXPR: 0 | POS | INT | 5 | 14 | 4 | x=((3-5)+6) | x 3 5 - 6 + = | x:cake 3:cake 5:cake -:cake 6:cake +:cake =:cake
EXPR: 0 | POS | INT | 5 | 14 | 8 | x=((6-3)+5) | x 6 3 - 5 + = | x:cake 6:cake 3:cake -:cake 5:cake +:cake =:cake
EXPR: 0 | POS | INT | 5 | 14 | 4 | ((3-5)+6)=x | 3 5 - 6 + x = | 3:cake 5:cake -:cake 6:cake +:cake x:cake =:cake
EXPR: 0 | POS | INT | 5 | 14 | 8 | ((6-3)+5)=x | 6 3 - 5 + x = | 6:cake 3:cake -:cake 5:cake +:cake x:cake =:cake
