parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 35 | 35 | x=(5*7) | x 5 7 * = | x:seashell 5:day 7:seashell *:seashell =:seashell
EXPR: 0 | POS | INT | 14 | 35 | 12 | (x-7)=5 | x 7 - 5 = | x:seashell 7:seashell -:seashell 5:seashell =:seashell
EXPR: 0 | POS | INT | 14 | 35 | 12 | 7=(x-5) | 7 x 5 - = | 7:seashell x:seashell 5:seashell -:seashell =:seashell
EXPR: 1 | POS | INT | 20 | 35 | 35 | (5*7)=x | 5 7 * x = | 5:seashell 7:day *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 20 | 35 | 12 | (5+7)=x | 5 7 + x = | 5:day 7:day +:day x:day =:day
EXPR: 0 | POS | INT | 20 | 35 | 12 | x=(5+7) | x 5 7 + = | x:day 5:day 7:day +:day =:day
EXPR: 1 | POS | INT | 20 | 35 | 35 | x=(5*7) | x 5 7 * = | x:seashell 5:seashell 7:day *:seashell =:seashell
EXPR: 1 | POS | INT | 21 | 35 | 35 | (5*7)=x | 5 7 * x = | 5:seashell 7:day *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 21 | 35 | 12 | (5+7)=x | 5 7 + x = | 5:day 7:day +:day x:day =:day
EXPR: 0 | POS | INT | 21 | 35 | 12 | x=(5+7) | x 5 7 + = | x:day 5:day 7:day +:day =:day
EXPR: 1 | POS | INT | 21 | 35 | 35 | x=(5*7) | x 5 7 * = | x:seashell 5:seashell 7:day *:seashell =:seashell
EXPR: 0 | POS | INT | 22 | 35 | 2 | (7-5)=x | 7 5 - x = | 7:day 5:day -:day x:day =:day
EXPR: 0 | POS | INT | 22 | 35 | 2 | (5+x)=7 | 5 x + 7 = | 5:day x:day +:day 7:day =:day
EXPR: 1 | POS | INT | 22 | 35 | 35 | 5=(x/7) | 5 x 7 / = | 5:seashell x:seashell 7:day /:seashell =:seashell
EXPR: 0 | POS | INT | 22 | 35 | 2 | x=(7-5) | x 7 5 - = | x:day 7:day 5:day -:day =:day
EXPR: 0 | POS | INT | 22 | 35 | 12 | 5=(x-7) | 5 x 7 - = | 5:day x:day 7:day -:day =:day
EXPR: 0 | POS | INT | 22 | 35 | 2 | 5=(7-x) | 5 7 x - = | 5:day 7:day x:day -:day =:day
EXPR: 0 | POS | INT | 22 | 35 | 2 | (x+5)=7 | x 5 + 7 = | x:day 5:day +:day 7:day =:day
EXPR: 0 | POS | INT | 22 | 35 | 12 | (x-5)=7 | x 5 - 7 = | x:day 5:day -:day 7:day =:day
EXPR: 0 | POS | INT | 23 | 35 | 2 | (7-5)=x | 7 5 - x = | 7:day 5:day -:day x:day =:day
EXPR: 0 | POS | INT | 23 | 35 | 2 | x=(7-5) | x 7 5 - = | x:day 7:day 5:day -:day =:day
EXPR: 0 | POS | INT | 24 | 35 | 2 | 7=(5+x) | 7 5 x + = | 7:day 5:day x:day +:day =:day
EXPR: 1 | POS | INT | 24 | 35 | 35 | (x/7)=5 | x 7 / 5 = | x:seashell 7:day /:seashell 5:seashell =:seashell
EXPR: 0 | POS | INT | 24 | 35 | 12 | (x-7)=5 | x 7 - 5 = | x:day 7:day -:day 5:day =:day
EXPR: 0 | POS | INT | 24 | 35 | 12 | 7=(x-5) | 7 x 5 - = | 7:day x:day 5:day -:day =:day
EXPR: 0 | POS | INT | 24 | 35 | 2 | 7=(x+5) | 7 x 5 + = | 7:day x:day 5:day +:day =:day
EXPR: 0 | POS | INT | 24 | 35 | 2 | (7-x)=5 | 7 x - 5 = | 7:day x:day -:day 5:day =:day
EXPR: 1 | POS | INT | 30 | 35 | 35 | x=(5*7) | x 5 7 * = | x:day 5:seashell 7:day *:day =:day
EXPR: 1 | POS | INT | 30 | 35 | 35 | (5*7)=x | 5 7 * x = | 5:seashell 7:day *:day x:day =:day
EXPR: 1 | POS | INT | 31 | 35 | 35 | x=(5*7) | x 5 7 * = | x:day 5:seashell 7:day *:day =:day
EXPR: 1 | POS | INT | 31 | 35 | 35 | (5*7)=x | 5 7 * x = | 5:seashell 7:day *:day x:day =:day
EXPR: 1 | POS | INT | 32 | 35 | 35 | (x/5)=7 | x 5 / 7 = | x:day 5:seashell /:day 7:day =:day
EXPR: 1 | POS | INT | 34 | 35 | 35 | 7=(x/5) | 7 x 5 / = | 7:day x:day 5:seashell /:day =:day
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
