parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 52 | 120 | x=(34+86) | x 34 86 + = | x:peach 34:peach 86:peach +:peach =:peach
EXPR: 0 | POS | INT | 11 | 52 | 2924 | (34*86)=x | 34 86 * x = | 34:peach 86:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 52 | 2924 | x=(34*86) | x 34 86 * = | x:peach 34:peach 86:NONE *:peach =:peach
EXPR: 0 | POS | INT | 12 | 52 | 2924 | 34=(x/86) | 34 x 86 / = | 34:peach x:peach 86:NONE /:peach =:peach
EXPR: 0 | POS | INT | 12 | 52 | 2924 | (x/34)=86 | x 34 / 86 = | x:peach 34:NONE /:peach 86:peach =:peach
EXPR: 0 | POS | INT | 12 | 52 | 2924 | 34=(x/86) | 34 x 86 / = | 34:NONE x:NONE 86:peach /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 52 | 2924 | (x/34)=86 | x 34 / 86 = | x:NONE 34:peach /:NONE 86:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 52 | 2924 | (x/86)=34 | x 86 / 34 = | x:NONE 86:peach /:NONE 34:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 52 | 2924 | (x/86)=34 | x 86 / 34 = | x:peach 86:NONE /:peach 34:peach =:peach
EXPR: 0 | POS | INT | 14 | 52 | 2924 | 86=(x/34) | 86 x 34 / = | 86:NONE x:NONE 34:peach /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 52 | 2924 | 86=(x/34) | 86 x 34 / = | 86:peach x:peach 34:NONE /:peach =:peach
EXPR: 0 | POS | INT | 20 | 52 | 120 | x=(34+86) | x 34 86 + = | x:NONE 34:NONE 86:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 52 | 120 | (34+86)=x | 34 86 + x = | 34:NONE 86:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 52 | 120 | x=(34+86) | x 34 86 + = | x:NONE 34:NONE 86:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 52 | 120 | (34+86)=x | 34 86 + x = | 34:NONE 86:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 52 | 120 | (x-34)=86 | x 34 - 86 = | x:NONE 34:NONE -:NONE 86:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 52 | 52 | (x+34)=86 | x 34 + 86 = | x:NONE 34:NONE +:NONE 86:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 52 | 52 | x=(86-34) | x 86 34 - = | x:NONE 86:NONE 34:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 52 | 52 | (34+x)=86 | 34 x + 86 = | 34:NONE x:NONE +:NONE 86:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 52 | 120 | 34=(x-86) | 34 x 86 - = | 34:NONE x:NONE 86:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 52 | 52 | 34=(86-x) | 34 86 x - = | 34:NONE 86:NONE x:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 52 | 52 | (86-34)=x | 86 34 - x = | 86:NONE 34:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 23 | 52 | 52 | x=(86-34) | x 86 34 - = | x:NONE 86:NONE 34:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 23 | 52 | 52 | (86-34)=x | 86 34 - x = | 86:NONE 34:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 52 | 120 | (x-86)=34 | x 86 - 34 = | x:NONE 86:NONE -:NONE 34:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 52 | 52 | (86-x)=34 | 86 x - 34 = | 86:NONE x:NONE -:NONE 34:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 52 | 120 | 86=(x-34) | 86 x 34 - = | 86:NONE x:NONE 34:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 52 | 52 | 86=(x+34) | 86 x 34 + = | 86:NONE x:NONE 34:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 52 | 52 | 86=(34+x) | 86 34 x + = | 86:NONE 34:NONE x:NONE +:NONE =:NONE
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
