parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 160 |  | x=(((4-8)+4)*10) | x 4 8 - 4 + 10 * = | x:ball 4:pack 8:pack -:pack 4:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 336 | x=((4+(8*10))*4) | x 4 8 10 * + 4 * = | x:ball 4:pack 8:pack 10:ball *:pack +:pack 4:ball *:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 96 | x=((4*4)+(8*10)) | x 4 4 * 8 10 * + = | x:ball 4:pack 4:ball *:ball 8:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 81 | x=((4/4)+(8*10)) | x 4 4 / 8 10 * + = | x:ball 4:ball 4:pack /:ball 8:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 96 | x=((4*4)+(8*10)) | x 4 4 * 8 10 * + = | x:ball 4:ball 4:pack *:ball 8:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 448 | x=((4*8)*(4+10)) | x 4 8 * 4 10 + * = | x:ball 4:pack 8:ball *:pack 4:ball 10:ball +:ball *:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 80 | x=((4-(4-8))*10) | x 4 4 8 - - 10 * = | x:pack 4:pack 4:pack 8:pack -:pack -:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 20 | 160 | 6 | x=(((4+8)+4)-10) | x 4 8 + 4 + 10 - = | x:pack 4:pack 8:pack +:pack 4:pack +:pack 10:pack -:pack =:pack
EXPR: 0 | POS | INT | 20 | 160 | 336 | x=((4+(8*10))*4) | x 4 8 10 * + 4 * = | x:ball 4:ball 8:pack 10:ball *:ball +:ball 4:pack *:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 38 | x=(((4*8)-4)+10) | x 4 8 * 4 - 10 + = | x:ball 4:pack 8:ball *:ball 4:ball -:ball 10:ball +:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 |  | x=((4+(4-8))/10) | x 4 4 8 - + 10 / = | x:pack 4:pack 4:pack 8:pack -:pack +:pack 10:ball /:pack =:pack
EXPR: 0 | POS | INT | 20 | 160 | 10 | x=((8-4)*(10/4)) | x 8 4 - 10 4 / * = | x:ball 8:pack 4:pack -:pack 10:ball 4:pack /:ball *:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 80 | x=((4*8)*(10/4)) | x 4 8 * 10 4 / * = | x:ball 4:pack 8:ball *:pack 10:ball 4:pack /:ball *:ball =:ball
EXPR: 0 | POS | INT | 20 | 160 | 72 | x=((4+8)*(10-4)) | x 4 8 + 10 4 - * = | x:ball 4:pack 8:pack +:pack 10:ball 4:ball -:ball *:ball =:ball
EXPR: 0 | POS | INT | 21 | 160 | 7 | x=((4/8)*(4+10)) | x 4 8 / 4 10 + * = | x:ball 4:pack 8:ball /:pack 4:ball 10:ball +:ball *:ball =:ball
EXPR: 0 | POS | INT | 21 | 160 | 36 | x=((4-8)+(4*10)) | x 4 8 - 4 10 * + = | x:ball 4:ball 8:ball -:ball 4:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 21 | 160 | 10 | x=(((8-4)/4)*10) | x 8 4 - 4 / 10 * = | x:ball 8:pack 4:pack -:pack 4:ball /:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 21 | 160 |  | x=(((4-4)/8)*10) | x 4 4 - 8 / 10 * = | x:ball 4:pack 4:pack -:pack 8:ball /:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 21 | 160 | 10 | x=(((4-4)*8)+10) | x 4 4 - 8 * 10 + = | x:ball 4:pack 4:pack -:pack 8:ball *:ball 10:ball +:ball =:ball
EXPR: 0 | POS | INT | 21 | 160 | 81 | x=((4/4)+(8*10)) | x 4 4 / 8 10 * + = | x:ball 4:ball 4:pack /:ball 8:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 21 | 160 | 96 | x=((4*4)+(8*10)) | x 4 4 * 8 10 * + = | x:ball 4:ball 4:pack *:ball 8:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 21 | 160 | 6 | x=(((4+8)+4)-10) | x 4 8 + 4 + 10 - = | x:pack 4:pack 8:pack +:pack 4:pack +:pack 10:pack -:pack =:pack
EXPR: 0 | POS | INT | 21 | 160 | 336 | x=((4+(8*10))*4) | x 4 8 10 * + 4 * = | x:ball 4:ball 8:pack 10:ball *:ball +:ball 4:pack *:ball =:ball
EXPR: 0 | POS | INT | 22 | 160 | 6 | 4=(((x-8)-4)+10) | 4 x 8 - 4 - 10 + = | 4:pack x:pack 8:pack -:pack 4:pack -:pack 10:pack +:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 2 | 8=((4/x)-(4-10)) | 8 4 x / 4 10 - - = | 8:pack 4:pack x:ball /:pack 4:pack 10:pack -:pack -:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 10 | ((x/(4+4))*8)=10 | x 4 4 + / 8 * 10 = | x:ball 4:pack 4:pack +:pack /:ball 8:pack *:pack 10:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 5 | ((x*4)*(4/8))=10 | x 4 * 4 8 / * 10 = | x:ball 4:pack *:pack 4:ball 8:pack /:ball *:ball 10:ball =:ball
EXPR: 0 | POS | INT | 22 | 160 | 8 | 4=(((x-8)*10)+4) | 4 x 8 - 10 * 4 + = | 4:pack x:pack 8:pack -:pack 10:ball *:pack 4:pack +:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 448 | 4=((x/(8*4))-10) | 4 x 8 4 * / 10 - = | 4:ball x:ball 8:ball 4:pack *:pack /:ball 10:ball -:ball =:ball
EXPR: 0 | POS | INT | 22 | 160 | 46 | 4=(x-((8*4)+10)) | 4 x 8 4 * 10 + - = | 4:ball x:ball 8:pack 4:ball *:ball 10:ball +:ball -:ball =:ball
EXPR: 0 | POS | INT | 22 | 160 | 8 | 8=(x+((4-4)*10)) | 8 x 4 4 - 10 * + = | 8:ball x:ball 4:pack 4:pack -:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 22 | 160 | 26 | 4=(x-((8*4)-10)) | 4 x 8 4 * 10 - - = | 4:ball x:ball 8:pack 4:ball *:ball 10:ball -:ball -:ball =:ball
EXPR: 0 | POS | INT | 22 | 160 | 32 | 8=(4*(10-(x/4))) | 8 4 10 x 4 / - * = | 8:pack 4:pack 10:ball x:ball 4:pack /:ball -:ball *:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 30 | 8=(((4*x)/10)-4) | 8 4 x * 10 / 4 - = | 8:pack 4:pack x:ball *:pack 10:ball /:pack 4:pack -:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 2 | 4=((4/8)*(10-x)) | 4 4 8 / 10 x - * = | 4:pack 4:pack 8:ball /:pack 10:ball x:ball -:ball *:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 18 | 4=(x-((8-4)+10)) | 4 x 8 4 - 10 + - = | 4:pack x:pack 8:pack 4:pack -:pack 10:pack +:pack -:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 38 | (x+(4-(8*4)))=10 | x 4 8 4 * - + 10 = | x:ball 4:ball 8:pack 4:ball *:ball -:ball +:ball 10:ball =:ball
EXPR: 0 | POS | INT | 22 | 160 | 46 | (x-(4+(8*4)))=10 | x 4 8 4 * + - 10 = | x:ball 4:ball 8:pack 4:ball *:ball +:ball -:ball 10:ball =:ball
EXPR: 0 | POS | INT | 22 | 160 | 10 | 8=(x*((4+4)/10)) | 8 x 4 4 + 10 / * = | 8:ball x:ball 4:pack 4:pack +:pack 10:ball /:pack *:ball =:ball
EXPR: 0 | POS | INT | 22 | 160 | 44 | (4+(x-8))=(4*10) | 4 x 8 - + 4 10 * = | 4:pack x:pack 8:pack -:pack +:pack 4:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 35 | 4=(8*(4-(x/10))) | 4 8 4 x 10 / - * = | 4:pack 8:pack 4:ball x:ball 10:pack /:ball -:ball *:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 10 | ((x*(8-4))/10)=4 | x 8 4 - * 10 / 4 = | x:ball 8:pack 4:pack -:pack *:pack 10:ball /:pack 4:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 0 | 4=((8+(x*10))-4) | 4 8 x 10 * + 4 - = | 4:pack 8:pack x:pack 10:ball *:pack +:pack 4:pack -:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 0 | 4=((8+(x/10))-4) | 4 8 x 10 / + 4 - = | 4:pack 8:pack x:pack 10:ball /:pack +:pack 4:pack -:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 19 | 4=(4/((x-8)-10)) | 4 4 x 8 - 10 - / = | 4:pack 4:pack x:ball 8:ball -:ball 10:ball -:ball /:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 10 | 4=((8-4)-(x-10)) | 4 8 4 - x 10 - - = | 4:pack 8:pack 4:pack -:pack x:pack 10:pack -:pack -:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 2 | (8+((x/4)*4))=10 | 8 x 4 / 4 * + 10 = | 8:pack x:ball 4:pack /:ball 4:pack *:pack +:pack 10:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 6 | 4=((x-8)-(4-10)) | 4 x 8 - 4 10 - - = | 4:pack x:pack 8:pack -:pack 4:pack 10:pack -:pack -:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 10 | 4=((x+8)-(4+10)) | 4 x 8 + 4 10 + - = | 4:pack x:pack 8:pack +:pack 4:pack 10:pack +:pack -:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 2 | ((x*4)+(8/4))=10 | x 4 * 8 4 / + 10 = | x:ball 4:pack *:pack 8:pack 4:ball /:pack +:pack 10:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 3 | ((x*4)-(8/4))=10 | x 4 * 8 4 / - 10 = | x:ball 4:pack *:pack 8:pack 4:ball /:pack -:pack 10:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 0 | 4=((8-(x*10))-4) | 4 8 x 10 * - 4 - = | 4:pack 8:pack x:pack 10:ball *:pack -:pack 4:pack -:pack =:pack
EXPR: 0 | POS | INT | 22 | 160 | 0 | 4=((8-(x/10))-4) | 4 8 x 10 / - 4 - = | 4:pack 8:pack x:pack 10:ball /:pack -:pack 4:pack -:pack =:pack
EXPR: 0 | POS | INT | 25 | 160 | 360 | x=((4+(4*8))*10) | x 4 4 8 * + 10 * = | x:ball 4:pack 4:pack 8:ball *:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 25 | 160 | 88 | x=(4*((4*8)-10)) | x 4 4 8 * 10 - * = | x:ball 4:pack 4:pack 8:ball *:ball 10:ball -:ball *:ball =:ball
EXPR: 0 | POS | INT | 25 | 160 | 168 | x=(4*((4*8)+10)) | x 4 4 8 * 10 + * = | x:ball 4:pack 4:pack 8:ball *:ball 10:ball +:ball *:ball =:ball
EXPR: 0 | POS | INT | 25 | 160 | 45 | x=((4+(4/8))*10) | x 4 4 8 / + 10 * = | x:ball 4:pack 4:pack 8:ball /:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 25 | 160 | 80 | x=((8-(4-4))*10) | x 8 4 4 - - 10 * = | x:ball 8:pack 4:pack 4:pack -:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 25 | 160 | 80 | x=(((4-4)+8)*10) | x 4 4 - 8 + 10 * = | x:pack 4:pack 4:pack -:pack 8:pack +:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 25 | 160 | 90 | x=(((4/4)+8)*10) | x 4 4 / 8 + 10 * = | x:ball 4:pack 4:ball /:pack 8:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 26 | 160 | 360 | x=((4+(4*8))*10) | x 4 4 8 * + 10 * = | x:ball 4:pack 4:pack 8:ball *:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 26 | 160 | 168 | x=(4*((4*8)+10)) | x 4 4 8 * 10 + * = | x:ball 4:pack 4:pack 8:ball *:ball 10:ball +:ball *:ball =:ball
EXPR: 0 | POS | INT | 26 | 160 | 80 | x=((8-(4-4))*10) | x 8 4 4 - - 10 * = | x:ball 8:pack 4:pack 4:pack -:pack -:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 26 | 160 | 80 | x=(((4-4)+8)*10) | x 4 4 - 8 + 10 * = | x:pack 4:pack 4:pack -:pack 8:pack +:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 26 | 160 | 90 | x=(((4/4)+8)*10) | x 4 4 / 8 + 10 * = | x:ball 4:pack 4:ball /:pack 8:pack +:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 27 | 160 | 30 | 4=(((4+8)/x)*10) | 4 4 8 + x / 10 * = | 4:ball 4:pack 8:pack +:pack x:ball /:pack 10:ball *:ball =:ball
EXPR: 0 | POS | INT | 27 | 160 | 28 | 4=((x+(4+8))/10) | 4 x 4 8 + + 10 / = | 4:pack x:pack 4:pack 8:pack +:pack +:pack 10:ball /:pack =:pack
EXPR: 0 | POS | INT | 27 | 160 | 44 | 4=((x+(4-8))/10) | 4 x 4 8 - + 10 / = | 4:pack x:pack 4:pack 8:pack -:pack +:pack 10:ball /:pack =:pack
EXPR: 0 | POS | INT | 27 | 160 | 28 | 4=(((4+8)+x)/10) | 4 4 8 + x + 10 / = | 4:pack 4:pack 8:pack +:pack x:pack +:pack 10:ball /:pack =:pack
EXPR: 0 | POS | INT | 27 | 160 | 80 | ((4*10)*(8/x))=4 | 4 10 * 8 x / * 4 = | 4:pack 10:ball *:ball 8:pack x:ball /:pack *:ball 4:ball =:ball
EXPR: 0 | POS | INT | 27 | 160 | 2 | 4=(((4+8)-10)*x) | 4 4 8 + 10 - x * = | 4:pack 4:pack 8:pack +:pack 10:pack -:pack x:ball *:pack =:pack
EXPR: 0 | POS | INT | 30 | 160 | 5 | x=((10/4)*(8/4)) | x 10 4 / 8 4 / * = | x:ball 10:ball 4:pack /:ball 8:pack 4:ball /:pack *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 192 | x=((4*8)*(10-4)) | x 4 8 * 10 4 - * = | x:ball 4:pack 8:ball *:pack 10:ball 4:ball -:ball *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 24 | x=(((4-8)+10)*4) | x 4 8 - 10 + 4 * = | x:ball 4:pack 8:pack -:pack 10:pack +:pack 4:ball *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 16 | x=(((10/4)*8)-4) | x 10 4 / 8 * 4 - = | x:pack 10:ball 4:pack /:ball 8:pack *:pack 4:pack -:pack =:pack
EXPR: 0 | POS | INT | 30 | 160 | 44 | x=((8+(4*10))-4) | x 8 4 10 * + 4 - = | x:pack 8:pack 4:pack 10:ball *:pack +:pack 4:pack -:pack =:pack
EXPR: 0 | POS | INT | 30 | 160 | 24 | x=((4-(8-10))*4) | x 4 8 10 - - 4 * = | x:ball 4:pack 8:pack 10:pack -:pack -:pack 4:ball *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 88 | x=((4+(8+10))*4) | x 4 8 10 + + 4 * = | x:ball 4:pack 8:pack 10:pack +:pack +:pack 4:ball *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 3 | x=((4/8)*(10-4)) | x 4 8 / 10 4 - * = | x:ball 4:pack 8:ball /:pack 10:ball 4:ball -:ball *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 192 | x=((8+(4*10))*4) | x 8 4 10 * + 4 * = | x:ball 8:pack 4:pack 10:ball *:pack +:pack 4:ball *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 5 | x=((8*(10/4))/4) | x 8 10 4 / * 4 / = | x:ball 8:pack 10:ball 4:pack /:ball *:ball 4:pack /:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 80 | x=((4-4)+(8*10)) | x 4 4 - 8 10 * + = | x:ball 4:ball 4:ball -:ball 8:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 54 | x=((8*(4+4))-10) | x 8 4 4 + * 10 - = | x:ball 8:pack 4:ball 4:ball +:ball *:ball 10:ball -:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 52 | x=((4+8)+(4*10)) | x 4 8 + 4 10 * + = | x:pack 4:pack 8:pack +:pack 4:ball 10:pack *:pack +:pack =:pack
EXPR: 0 | POS | INT | 30 | 160 | 8 | x=(4*((8-10)+4)) | x 4 8 10 - 4 + * = | x:ball 4:ball 8:pack 10:pack -:pack 4:pack +:pack *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 336 | x=((4+(8*10))*4) | x 4 8 10 * + 4 * = | x:pack 4:ball 8:pack 10:ball *:ball +:ball 4:pack *:pack =:pack
EXPR: 0 | POS | INT | 30 | 160 | 88 | x=(4*((8+10)+4)) | x 4 8 10 + 4 + * = | x:ball 4:ball 8:pack 10:pack +:pack 4:pack +:pack *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 88 | x=(4+(4+(8*10))) | x 4 4 8 10 * + + = | x:ball 4:ball 4:ball 8:pack 10:ball *:ball +:ball +:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 |  | x=((4-4)*(10/8)) | x 4 4 - 10 8 / * = | x:ball 4:pack 4:pack -:pack 10:ball 8:pack /:ball *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 56 | x=(4*((8+10)-4)) | x 4 8 10 + 4 - * = | x:ball 4:ball 8:pack 10:pack +:pack 4:pack -:pack *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 45 | x=((4+(4/8))*10) | x 4 4 8 / + 10 * = | x:pack 4:pack 4:pack 8:ball /:pack +:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 30 | 160 | 35 | x=((4-(4/8))*10) | x 4 4 8 / - 10 * = | x:pack 4:pack 4:pack 8:ball /:pack -:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 30 | 160 | 5 | x=((8/4)*(10/4)) | x 8 4 / 10 4 / * = | x:ball 8:pack 4:ball /:pack 10:ball 4:pack /:ball *:ball =:ball
EXPR: 0 | POS | INT | 30 | 160 | 18 | x=(4*((8+10)/4)) | x 4 8 10 + 4 / * = | x:pack 4:pack 8:ball 10:ball +:ball 4:pack /:ball *:pack =:pack
EXPR: 0 | POS | INT | 31 | 160 | 44 | x=((8+(4*10))-4) | x 8 4 10 * + 4 - = | x:pack 8:pack 4:pack 10:ball *:pack +:pack 4:pack -:pack =:pack
EXPR: 0 | POS | INT | 31 | 160 | 3 | x=((4/8)*(10-4)) | x 4 8 / 10 4 - * = | x:ball 4:pack 8:ball /:pack 10:ball 4:ball -:ball *:ball =:ball
EXPR: 0 | POS | INT | 31 | 160 | 5 | x=((8*(10/4))/4) | x 8 10 4 / * 4 / = | x:ball 8:pack 10:ball 4:pack /:ball *:ball 4:pack /:ball =:ball
EXPR: 0 | POS | INT | 31 | 160 | 80 | x=((4-4)+(8*10)) | x 4 4 - 8 10 * + = | x:ball 4:ball 4:ball -:ball 8:pack 10:ball *:ball +:ball =:ball
EXPR: 0 | POS | INT | 31 | 160 | 8 | x=(4*((8-10)+4)) | x 4 8 10 - 4 + * = | x:ball 4:ball 8:pack 10:pack -:pack 4:pack +:pack *:ball =:ball
EXPR: 0 | POS | INT | 31 | 160 | 88 | x=(4*((8+10)+4)) | x 4 8 10 + 4 + * = | x:ball 4:ball 8:pack 10:pack +:pack 4:pack +:pack *:ball =:ball
EXPR: 0 | POS | INT | 31 | 160 | 88 | x=(4+(4+(8*10))) | x 4 4 8 10 * + + = | x:ball 4:ball 4:ball 8:pack 10:ball *:ball +:ball +:ball =:ball
EXPR: 0 | POS | INT | 31 | 160 |  | x=((4-4)*(10/8)) | x 4 4 - 10 8 / * = | x:ball 4:pack 4:pack -:pack 10:ball 8:pack /:ball *:ball =:ball
EXPR: 0 | POS | INT | 31 | 160 | 45 | x=((4+(4/8))*10) | x 4 4 8 / + 10 * = | x:pack 4:pack 4:pack 8:ball /:pack +:pack 10:ball *:pack =:pack
EXPR: 0 | POS | INT | 31 | 160 | 56 | x=(4*((8+10)-4)) | x 4 8 10 + 4 - * = | x:ball 4:ball 8:pack 10:pack +:pack 4:pack -:pack *:ball =:ball
EXPR: 0 | POS | INT | 32 | 160 | 18 | 4=((x-8)*(4/10)) | 4 x 8 - 4 10 / * = | 4:pack x:pack 8:pack -:pack 4:ball 10:pack /:ball *:pack =:pack
