parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 0 | 224 | 224 | (((10+1)+3)*16)=x | 10 1 + 3 + 16 * x = | 10:book 1:book +:book 3:book +:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 224 | 192 | x=(((10-1)+3)*16) | x 10 1 - 3 + 16 * = | x:dollar 10:book 1:book -:book 3:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 0 | 224 | 96 | x=(((10-1)-3)*16) | x 10 1 - 3 - 16 * = | x:dollar 10:book 1:book -:book 3:book -:book 16:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 224 | 224 | ((10+(1+3))*16)=x | 10 1 3 + + 16 * x = | 10:book 1:book 3:book +:book +:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 0 | 224 | 224 | x=(((10+1)+3)*16) | x 10 1 + 3 + 16 * = | x:dollar 10:book 1:book +:book 3:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 128 | (((10+1)-3)*16)=x | 10 1 + 3 - 16 * x = | 10:book 1:book +:book 3:book -:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 224 | 224 | (((10+1)+3)*16)=x | 10 1 + 3 + 16 * x = | 10:book 1:book +:book 3:book +:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 224 | 224 | x=((10+(1+3))*16) | x 10 1 3 + + 16 * = | x:dollar 10:book 1:book 3:book +:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 96 | (((10-1)-3)*16)=x | 10 1 - 3 - 16 * x = | 10:book 1:book -:book 3:book -:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 192 | (((10-1)+3)*16)=x | 10 1 - 3 + 16 * x = | 10:book 1:book -:book 3:book +:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 96 | x=((10-(1+3))*16) | x 10 1 3 + - 16 * = | x:dollar 10:book 1:book 3:book +:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 192 | x=((10-(1-3))*16) | x 10 1 3 - - 16 * = | x:dollar 10:book 1:book 3:book -:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 128 | ((10+(1-3))*16)=x | 10 1 3 - + 16 * x = | 10:book 1:book 3:book -:book +:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 192 | ((10-(1-3))*16)=x | 10 1 3 - - 16 * x = | 10:book 1:book 3:book -:book -:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 128 | x=(((10+1)-3)*16) | x 10 1 + 3 - 16 * = | x:dollar 10:book 1:book +:book 3:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 192 | x=(((10-1)+3)*16) | x 10 1 - 3 + 16 * = | x:dollar 10:book 1:book -:book 3:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 96 | x=(((10-1)-3)*16) | x 10 1 - 3 - 16 * = | x:dollar 10:book 1:book -:book 3:book -:book 16:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 224 | 224 | ((10+(1+3))*16)=x | 10 1 3 + + 16 * x = | 10:book 1:book 3:book +:book +:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 128 | x=((10+(1-3))*16) | x 10 1 3 - + 16 * = | x:dollar 10:book 1:book 3:book -:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 96 | ((10-(1+3))*16)=x | 10 1 3 + - 16 * x = | 10:book 1:book 3:book +:book -:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 224 | 224 | x=(((10+1)+3)*16) | x 10 1 + 3 + 16 * = | x:dollar 10:book 1:book +:book 3:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 224 | 48 | (((10-1)*16)/3)=x | 10 1 - 16 * 3 / x = | 10:book 1:book -:book 16:dollar *:dollar 3:book /:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 224 | 2 | (((10+1)-3)*x)=16 | 10 1 + 3 - x * 16 = | 10:book 1:book +:book 3:book -:book x:dollar *:dollar 16:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 224 | 224 | x=((1+(10+3))*16) | x 1 10 3 + + 16 * = | x:dollar 1:book 10:book 3:book +:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 224 | 128 | x=((1+(10-3))*16) | x 1 10 3 - + 16 * = | x:dollar 1:book 10:book 3:book -:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 224 | 128 | ((10-(3-1))*16)=x | 10 3 1 - - 16 * x = | 10:book 3:book 1:book -:book -:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 2 | 224 | 224 | ((1+(10+3))*16)=x | 1 10 3 + + 16 * x = | 1:book 10:book 3:book +:book +:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 3 | 224 | 224 | x=((1+(10+3))*16) | x 1 10 3 + + 16 * = | x:dollar 1:book 10:book 3:book +:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 3 | 224 | 128 | x=((1+(10-3))*16) | x 1 10 3 - + 16 * = | x:dollar 1:book 10:book 3:book -:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 5 | 224 | 128 | ((1-(3-10))*16)=x | 1 3 10 - - 16 * x = | 1:book 3:book 10:book -:book -:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 5 | 224 | 128 | x=((1-(3-10))*16) | x 1 3 10 - - 16 * = | x:dollar 1:book 3:book 10:book -:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 6 | 224 | 128 | x=((1-(3-10))*16) | x 1 3 10 - - 16 * = | x:dollar 1:book 3:book 10:book -:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 6 | 224 | 128 | ((1-(3-10))*16)=x | 1 3 10 - - 16 * x = | 1:book 3:book 10:book -:book -:book 16:dollar *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 9 | 224 | 8 | 3=(x*(1-(10/16))) | 3 x 1 10 16 / - * = | 3:book x:dollar 1:book 10:book 16:dollar /:book -:book *:book =:book
EXPR: 0 | POS | INT | 10 | 224 | 112 | x=(((10*1)-3)*16) | x 10 1 * 3 - 16 * = | x:dollar 10:dollar 1:book *:book 3:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 43 | x=(((10-1)*3)+16) | x 10 1 - 3 * 16 + = | x:dollar 10:book 1:book -:book 3:dollar *:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 208 | x=((10+(1*3))*16) | x 10 1 3 * + 16 * = | x:dollar 10:book 1:dollar 3:book *:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 192 | ((10-(1-3))*16)=x | 10 1 3 - - 16 * x = | 10:book 1:book 3:book -:book -:book 16:dollar *:book x:book =:book
EXPR: 1 | POS | INT | 10 | 224 | 224 | ((10+(1+3))*16)=x | 10 1 3 + + 16 * x = | 10:book 1:book 3:book +:book +:book 16:dollar *:book x:book =:book
EXPR: 0 | POS | INT | 10 | 224 | 96 | ((10-(1+3))*16)=x | 10 1 3 + - 16 * x = | 10:book 1:book 3:book +:book -:book 16:dollar *:book x:book =:book
EXPR: 0 | POS | INT | 10 | 224 | 11 | x=(((10-1)*3)-16) | x 10 1 - 3 * 16 - = | x:dollar 10:book 1:book -:book 3:dollar *:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 17 | x=(((10+1)*3)-16) | x 10 1 + 3 * 16 - = | x:dollar 10:book 1:book +:book 3:dollar *:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 11 | ((10/(1-3))+16)=x | 10 1 3 - / 16 + x = | 10:dollar 1:book 3:book -:book /:dollar 16:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 56 | ((10*(1+3))+16)=x | 10 1 3 + * 16 + x = | 10:dollar 1:book 3:book +:book *:dollar 16:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 224 | 112 | x=(((10*1)-3)*16) | x 10 1 * 3 - 16 * = | x:dollar 10:dollar 1:book *:book 3:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 224 | 43 | x=(((10-1)*3)+16) | x 10 1 - 3 * 16 + = | x:dollar 10:book 1:book -:book 3:dollar *:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 224 | 48 | ((16*(10-1))/x)=3 | 16 10 1 - * x / 3 = | 16:dollar 10:book 1:book -:book *:book x:dollar /:book 3:book =:book
EXPR: 1 | POS | INT | 11 | 224 | 224 | ((10+(1+3))*16)=x | 10 1 3 + + 16 * x = | 10:book 1:book 3:book +:book +:book 16:dollar *:book x:book =:book
EXPR: 0 | POS | INT | 11 | 224 | 11 | ((10/(1-3))+16)=x | 10 1 3 - / 16 + x = | 10:dollar 1:book 3:book -:book /:dollar 16:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 224 | 56 | ((10*(1+3))+16)=x | 10 1 3 + * 16 + x = | 10:dollar 1:book 3:book +:book *:dollar 16:dollar +:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 224 | 224 | ((1+(10+3))*16)=x | 1 10 3 + + 16 * x = | 1:book 10:book 3:book +:book +:book 16:dollar *:book x:book =:book
EXPR: 0 | POS | INT | 12 | 224 | 117 | x=((10-1)*(16-3)) | x 10 1 - 16 3 - * = | x:dollar 10:book 1:book -:book 16:dollar 3:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 143 | x=((10+1)*(16-3)) | x 10 1 + 16 3 - * = | x:dollar 10:book 1:book +:book 16:dollar 3:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 78 | 10=(((x*1)/3)-16) | 10 x 1 * 3 / 16 - = | 10:dollar x:dollar 1:book *:dollar 3:book /:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 21 | ((10/(3-1))+16)=x | 10 3 1 - / 16 + x = | 10:dollar 3:book 1:book -:book /:dollar 16:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 21 | ((10/(1-3))+x)=16 | 10 1 3 - / x + 16 = | 10:dollar 1:book 3:book -:book /:dollar x:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 36 | ((10*(1-3))+x)=16 | 10 1 3 - * x + 16 = | 10:dollar 1:book 3:book -:book *:dollar x:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 23 | ((1*(10-3))+16)=x | 1 10 3 - * 16 + x = | 1:dollar 10:book 3:book -:book *:dollar 16:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 9 | ((10+(x*1))-3)=16 | 10 x 1 * + 3 - 16 = | 10:book x:dollar 1:book *:book +:book 3:book -:book 16:book =:book
EXPR: 0 | POS | INT | 12 | 224 | 42 | (10+((3-1)*16))=x | 10 3 1 - 16 * + x = | 10:dollar 3:book 1:book -:book 16:dollar *:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 173 | (((10+1)*16)-3)=x | 10 1 + 16 * 3 - x = | 10:book 1:book +:book 16:dollar *:book 3:book -:book x:book =:book
EXPR: 0 | POS | INT | 12 | 224 | 29 | ((1*(10+3))+16)=x | 1 10 3 + * 16 + x = | 1:dollar 10:book 3:book +:book *:dollar 16:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 224 | 117 | x=((10-1)*(16-3)) | x 10 1 - 16 3 - * = | x:dollar 10:book 1:book -:book 16:dollar 3:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 224 | 143 | x=((10+1)*(16-3)) | x 10 1 + 16 3 - * = | x:dollar 10:book 1:book +:book 16:dollar 3:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 224 | 112 | ((16*(10-3))/x)=1 | 16 10 3 - * x / 1 = | 16:dollar 10:book 3:book -:book *:book x:dollar /:book 1:book =:book
EXPR: 0 | POS | INT | 13 | 224 | 208 | ((16*(10+3))/x)=1 | 16 10 3 + * x / 1 = | 16:dollar 10:book 3:book +:book *:book x:dollar /:book 1:book =:book
EXPR: 0 | POS | INT | 13 | 224 | 21 | ((10/(3-1))+16)=x | 10 3 1 - / 16 + x = | 10:dollar 3:book 1:book -:book /:dollar 16:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 224 | 173 | (((10+1)*16)-3)=x | 10 1 + 16 * 3 - x = | 10:book 1:book +:book 16:dollar *:book 3:book -:book x:book =:book
EXPR: 0 | POS | INT | 14 | 224 | 11 | ((10/(3-1))+x)=16 | 10 3 1 - / x + 16 = | 10:dollar 3:book 1:book -:book /:dollar x:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 224 | 18 | 10=(1*(16-(x/3))) | 10 1 16 x 3 / - * = | 10:dollar 1:book 16:dollar x:dollar 3:book /:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 224 | 9 | ((1*(10-3))+x)=16 | 1 10 3 - * x + 16 = | 1:dollar 10:book 3:book -:book *:dollar x:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 224 | 3 | ((1*(10+3))+x)=16 | 1 10 3 + * x + 16 = | 1:dollar 10:book 3:book +:book *:dollar x:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 15 | 224 | 209 | (((10+3)*16)+1)=x | 10 3 + 16 * 1 + x = | 10:book 3:book +:book 16:dollar *:dollar 1:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 15 | 224 | 195 | x=((10+3)*(16-1)) | x 10 3 + 16 1 - * = | x:dollar 10:book 3:book +:book 16:dollar 1:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 15 | 224 | 128 | ((1-(3-10))*16)=x | 1 3 10 - - 16 * x = | 1:book 3:book 10:book -:book -:book 16:dollar *:book x:book =:book
EXPR: 0 | POS | INT | 16 | 224 | 209 | (((10+3)*16)+1)=x | 10 3 + 16 * 1 + x = | 10:book 3:book +:book 16:dollar *:dollar 1:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 16 | 224 | 192 | x=(16*((3-1)+10)) | x 16 3 1 - 10 + * = | x:dollar 16:dollar 3:book 1:book -:book 10:book +:book *:dollar =:dollar
EXPR: 0 | POS | INT | 16 | 224 | 80 | x=((16/(3-1))*10) | x 16 3 1 - / 10 * = | x:dollar 16:dollar 3:book 1:book -:book /:dollar 10:book *:dollar =:dollar
EXPR: 0 | POS | INT | 16 | 224 | 195 | x=((10+3)*(16-1)) | x 10 3 + 16 1 - * = | x:dollar 10:book 3:book +:book 16:dollar 1:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 16 | 224 | 128 | ((1-(3-10))*16)=x | 1 3 10 - - 16 * x = | 1:book 3:book 10:book -:book -:book 16:dollar *:book x:book =:book
EXPR: 0 | POS | INT | 17 | 224 | 192 | x=(16*((3-1)+10)) | x 16 3 1 - 10 + * = | x:dollar 16:dollar 3:book 1:book -:book 10:book +:book *:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 224 | 52 | ((10+16)*(3-1))=x | 10 16 + 3 1 - * x = | 10:dollar 16:dollar +:dollar 3:book 1:book -:book *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 18 | 224 | 52 | ((10+16)*(3-1))=x | 10 16 + 3 1 - * x = | 10:dollar 16:dollar +:dollar 3:book 1:book -:book *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 19 | 224 | 24 | x=((1+3)*(16-10)) | x 1 3 + 16 10 - * = | x:dollar 1:book 3:book +:book 16:dollar 10:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 19 | 224 | 490 | x=((1+(3*16))*10) | x 1 3 16 * + 10 * = | x:dollar 1:dollar 3:book 16:dollar *:dollar +:dollar 10:book *:dollar =:dollar
EXPR: 0 | POS | INT | 19 | 224 | 3 | ((3+(x*1))+10)=16 | 3 x 1 * + 10 + 16 = | 3:book x:dollar 1:book *:book +:book 10:book +:book 16:book =:book
EXPR: 0 | POS | INT | 19 | 224 | 192 | x=(16*(10-(1-3))) | x 16 10 1 3 - - * = | x:book 16:dollar 10:book 1:book 3:book -:book -:book *:book =:book
EXPR: 0 | POS | INT | 19 | 224 | 128 | x=(16*(10+(1-3))) | x 16 10 1 3 - + * = | x:book 16:dollar 10:book 1:book 3:book -:book +:book *:book =:book
EXPR: 0 | POS | INT | 19 | 224 | 43 | ((3*(1-10))+x)=16 | 3 1 10 - * x + 16 = | 3:dollar 1:book 10:book -:book *:dollar x:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 19 | 224 | 8 | 3=((1-(10/16))*x) | 3 1 10 16 / - x * = | 3:dollar 1:book 10:book 16:dollar /:book -:book x:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 190 | ((10*1)*(3+16))=x | 10 1 * 3 16 + * x = | 10:book 1:dollar *:dollar 3:book 16:book +:book *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 28 | (((10-1)+3)+16)=x | 10 1 - 3 + 16 + x = | 10:book 1:book -:book 3:book +:book 16:book +:book x:book =:book
EXPR: 0 | POS | INT | 20 | 224 | 57 | (10-(1-(3*16)))=x | 10 1 3 16 * - - x = | 10:dollar 1:dollar 3:book 16:dollar *:dollar -:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 59 | (10+(1+(3*16)))=x | 10 1 3 16 * + + x = | 10:dollar 1:dollar 3:book 16:dollar *:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 59 | x=((10+1)+(3*16)) | x 10 1 + 3 16 * + = | x:dollar 10:dollar 1:dollar +:dollar 3:book 16:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 28 | ((10-1)+(3+16))=x | 10 1 - 3 16 + + x = | 10:book 1:book -:book 3:book 16:book +:book +:book x:book =:book
EXPR: 0 | POS | INT | 20 | 224 | 490 | x=((1+(3*16))*10) | x 1 3 16 * + 10 * = | x:dollar 1:dollar 3:book 16:dollar *:dollar +:dollar 10:book *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 192 | x=(16*(10-(1-3))) | x 16 10 1 3 - - * = | x:book 16:dollar 10:book 1:book 3:book -:book -:book *:book =:book
EXPR: 0 | POS | INT | 20 | 224 | 128 | x=(16*(10+(1-3))) | x 16 10 1 3 - + * = | x:book 16:dollar 10:book 1:book 3:book -:book +:book *:book =:book
EXPR: 0 | POS | INT | 20 | 224 | 11 | x=(((10-1)*3)-16) | x 10 1 - 3 * 16 - = | x:dollar 10:dollar 1:dollar -:dollar 3:book *:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 17 | x=(((10+1)*3)-16) | x 10 1 + 3 * 16 - = | x:dollar 10:dollar 1:dollar +:dollar 3:book *:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 224 | 28 | (((10-1)+3)+16)=x | 10 1 - 3 + 16 + x = | 10:book 1:book -:book 3:book +:book 16:book +:book x:book =:book
EXPR: 0 | POS | INT | 21 | 224 | 59 | (10+(1+(3*16)))=x | 10 1 3 16 * + + x = | 10:dollar 1:dollar 3:book 16:dollar *:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 224 | 28 | ((10-1)+(3+16))=x | 10 1 - 3 16 + + x = | 10:book 1:book -:book 3:book 16:book +:book +:book x:book =:book
EXPR: 0 | POS | INT | 21 | 224 | 12 | x=((3-1)*(16-10)) | x 3 1 - 16 10 - * = | x:dollar 3:book 1:book -:book 16:dollar 10:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 224 | 59 | x=((10+1)+(3*16)) | x 10 1 + 3 16 * + = | x:dollar 10:dollar 1:dollar +:dollar 3:book 16:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 224 | 2 | 16=(x*(10+(1-3))) | 16 x 10 1 3 - + * = | 16:book x:dollar 10:book 1:book 3:book -:book +:book *:book =:book
EXPR: 0 | POS | INT | 21 | 224 | 9 | ((16+(10+1))/x)=3 | 16 10 1 + + x / 3 = | 16:book 10:book 1:book +:book +:book x:dollar /:book 3:book =:book
EXPR: 0 | POS | INT | 21 | 224 | 22 | x=(((3-1)*16)-10) | x 3 1 - 16 * 10 - = | x:dollar 3:book 1:book -:book 16:dollar *:dollar 10:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 224 | 17 | x=(((10+1)*3)-16) | x 10 1 + 3 * 16 - = | x:dollar 10:dollar 1:dollar +:dollar 3:book *:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 81 | x=((10+(1+16))*3) | x 10 1 16 + + 3 * = | x:dollar 10:book 1:book 16:book +:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 81 | x=(((10+1)+16)*3) | x 10 1 + 16 + 3 * = | x:dollar 10:book 1:book +:book 16:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 77 | 10=(((x+1)/3)-16) | 10 x 1 + 3 / 16 - = | 10:dollar x:dollar 1:dollar +:dollar 3:book /:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 12 | x=((3-1)*(16-10)) | x 3 1 - 16 10 - * = | x:dollar 3:book 1:book -:book 16:dollar 10:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 3 | (10+(1*(x+3)))=16 | 10 1 x 3 + * + 16 = | 10:book 1:book x:dollar 3:dollar +:dollar *:book +:book 16:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 28 | (((10-1)+16)+3)=x | 10 1 - 16 + 3 + x = | 10:book 1:book -:book 16:book +:book 3:book +:book x:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 24 | (((10+1)+16)-3)=x | 10 1 + 16 + 3 - x = | 10:book 1:book +:book 16:book +:book 3:book -:book x:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 8 | (((10+x)+1)-3)=16 | 10 x + 1 + 3 - 16 = | 10:book x:book +:book 1:book +:book 3:book -:book 16:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 4 | (((10-1)+x)+3)=16 | 10 1 - x + 3 + 16 = | 10:book 1:book -:book x:book +:book 3:book +:book 16:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 30 | (((10+1)+16)+3)=x | 10 1 + 16 + 3 + x = | 10:book 1:book +:book 16:book +:book 3:book +:book x:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 2 | (((10+1)+x)+3)=16 | 10 1 + x + 3 + 16 = | 10:book 1:book +:book x:book +:book 3:book +:book 16:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 480 | 10=(((1/3)*x)/16) | 10 1 3 / x * 16 / = | 10:book 1:dollar 3:book /:dollar x:book *:book 16:dollar /:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 38 | ((10+(x*1))/3)=16 | 10 x 1 * + 3 / 16 = | 10:book x:dollar 1:book *:book +:book 3:dollar /:book 16:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 24 | (1+((10-3)+16))=x | 1 10 3 - 16 + + x = | 1:book 10:book 3:book -:book 16:book +:book +:book x:book =:book
EXPR: 0 | POS | INT | 23 | 224 | 81 | x=((10+(1+16))*3) | x 10 1 16 + + 3 * = | x:dollar 10:book 1:book 16:book +:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 23 | 224 | 50 | 1=(16-(3*(x/10))) | 1 16 3 x 10 / * - = | 1:dollar 16:dollar 3:book x:dollar 10:book /:dollar *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 23 | 224 | 43 | 16=(((1-10)*3)+x) | 16 1 10 - 3 * x + = | 16:dollar 1:book 10:book -:book 3:dollar *:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 23 | 224 | 147 | ((16*(1-10))+x)=3 | 16 1 10 - * x + 3 = | 16:dollar 1:book 10:book -:book *:dollar x:dollar +:dollar 3:dollar =:dollar
EXPR: 0 | POS | INT | 23 | 224 | 30 | (((10+1)+16)+3)=x | 10 1 + 16 + 3 + x = | 10:book 1:book +:book 16:book +:book 3:book +:book x:book =:book
