parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 100 | 100 | x=(12.50*8) | x 12.50 8 * = | x:dollar 12.50:dollar 8:hour *:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 100 | 1.5625 | 12.50=(x*8) | 12.50 x 8 * = | 12.50:hour x:dollar 8:hour *:hour =:hour
EXPR: 0 | POS | FRA | 12 | 100 | 0.64 | 12.50=(8/x) | 12.50 8 x / = | 12.50:hour 8:hour x:dollar /:hour =:hour
EXPR: 0 | POS | FRA | 12 | 100 | 4.5 | 12.50=(8+x) | 12.50 8 x + = | 12.50:dollar 8:dollar x:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 100 | 100 | (x/12.50)=8 | x 12.50 / 8 = | x:hour 12.50:dollar /:hour 8:hour =:hour
EXPR: 0 | POS | FRA | 12 | 100 | 0.64 | (x*12.50)=8 | x 12.50 * 8 = | x:hour 12.50:dollar *:hour 8:hour =:hour
EXPR: 0 | POS | FRA | 12 | 100 | 20.5 | (x-12.50)=8 | x 12.50 - 8 = | x:dollar 12.50:dollar -:dollar 8:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 100 | 4.5 | 12.50=(x+8) | 12.50 x 8 + = | 12.50:dollar x:dollar 8:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 100 | 100 | (x/8)=12.50 | x 8 / 12.50 = | x:dollar 8:hour /:dollar 12.50:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 100 | 1.5625 | 12.50=(8*x) | 12.50 8 x * = | 12.50:hour 8:hour x:dollar *:hour =:hour
EXPR: 0 | POS | FRA | 12 | 100 | 1.5625 | (x*8)=12.50 | x 8 * 12.50 = | x:dollar 8:hour *:dollar 12.50:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 100 | 0.64 | (x*12.50)=8 | x 12.50 * 8 = | x:dollar 12.50:hour *:hour 8:hour =:hour
EXPR: 0 | POS | FRA | 12 | 100 | 20.5 | 12.50=(x-8) | 12.50 x 8 - = | 12.50:dollar x:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 100 | 0.64 | (12.50*x)=8 | 12.50 x * 8 = | 12.50:dollar x:hour *:hour 8:hour =:hour
EXPR: 0 | POS | FRA | 12 | 100 | 1.5625 | (12.50/x)=8 | 12.50 x / 8 = | 12.50:hour x:dollar /:hour 8:hour =:hour
EXPR: 0 | POS | FRA | 12 | 100 | 4.5 | (12.50-x)=8 | 12.50 x - 8 = | 12.50:dollar x:dollar -:dollar 8:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 100 | 0.64 | (12.50*x)=8 | 12.50 x * 8 = | 12.50:hour x:dollar *:hour 8:hour =:hour
EXPR: 0 | POS | FRA | 12 | 100 | 1.5625 | (8*x)=12.50 | 8 x * 12.50 = | 8:hour x:dollar *:dollar 12.50:dollar =:dollar
EXPR: 1 | POS | INT | 20 | 100 | 100 | x=(12.50*8) | x 12.50 8 * = | x:dollar 12.50:hour 8:dollar *:dollar =:dollar
EXPR: 0 | POS | FRA | 20 | 100 | 0.64 | x=(8/12.50) | x 8 12.50 / = | x:hour 8:hour 12.50:dollar /:hour =:hour
EXPR: 0 | POS | FRA | 20 | 100 | 20.5 | x=(12.50+8) | x 12.50 8 + = | x:hour 12.50:hour 8:hour +:hour =:hour
EXPR: 0 | POS | FRA | 20 | 100 | 4.5 | x=(12.50-8) | x 12.50 8 - = | x:hour 12.50:hour 8:hour -:hour =:hour
EXPR: 1 | POS | INT | 21 | 100 | 100 | x=(12.50*8) | x 12.50 8 * = | x:dollar 12.50:hour 8:dollar *:dollar =:dollar
EXPR: 0 | POS | FRA | 21 | 100 | 0.64 | x=(8/12.50) | x 8 12.50 / = | x:hour 8:hour 12.50:dollar /:hour =:hour
EXPR: 0 | POS | FRA | 21 | 100 | 20.5 | x=(12.50+8) | x 12.50 8 + = | x:hour 12.50:hour 8:hour +:hour =:hour
EXPR: 0 | POS | FRA | 21 | 100 | 4.5 | x=(12.50-8) | x 12.50 8 - = | x:hour 12.50:hour 8:hour -:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 4.5 | 12.50=(8+x) | 12.50 8 x + = | 12.50:hour 8:hour x:hour +:hour =:hour
EXPR: 1 | POS | INT | 22 | 100 | 100 | 8=(x/12.50) | 8 x 12.50 / = | 8:hour x:hour 12.50:dollar /:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 20.5 | (x-12.50)=8 | x 12.50 - 8 = | x:hour 12.50:hour -:hour 8:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 1.5625 | 12.50=(x*8) | 12.50 x 8 * = | 12.50:dollar x:hour 8:dollar *:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 4.5 | (x+8)=12.50 | x 8 + 12.50 = | x:dollar 8:dollar +:dollar 12.50:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | (x*12.50)=8 | x 12.50 * 8 = | x:hour 12.50:dollar *:dollar 8:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 4.5 | 12.50=(x+8) | 12.50 x 8 + = | 12.50:hour x:hour 8:hour +:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 20.5 | 12.50=(x-8) | 12.50 x 8 - = | 12.50:hour x:hour 8:hour -:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 1.5625 | (x*8)=12.50 | x 8 * 12.50 = | x:dollar 8:hour *:hour 12.50:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 20.5 | (x-8)=12.50 | x 8 - 12.50 = | x:dollar 8:dollar -:dollar 12.50:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | 8=(12.50*x) | 8 12.50 x * = | 8:hour 12.50:hour x:dollar *:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | 12.50=(8/x) | 12.50 8 x / = | 12.50:dollar 8:dollar x:hour /:dollar =:dollar
EXPR: 1 | POS | INT | 22 | 100 | 100 | (x/12.50)=8 | x 12.50 / 8 = | x:dollar 12.50:hour /:dollar 8:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | (x*12.50)=8 | x 12.50 * 8 = | x:dollar 12.50:hour *:dollar 8:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 20.5 | 8=(x-12.50) | 8 x 12.50 - = | 8:dollar x:dollar 12.50:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | 8=(x*12.50) | 8 x 12.50 * = | 8:hour x:hour 12.50:dollar *:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 1.5625 | 12.50=(8*x) | 12.50 8 x * = | 12.50:dollar 8:dollar x:hour *:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | 8=(12.50*x) | 8 12.50 x * = | 8:hour 12.50:dollar x:hour *:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 1.5625 | 8=(12.50/x) | 8 12.50 x / = | 8:hour 12.50:hour x:dollar /:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 1.5625 | (12.50/x)=8 | 12.50 x / 8 = | 12.50:dollar x:hour /:dollar 8:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | (12.50*x)=8 | 12.50 x * 8 = | 12.50:dollar x:hour *:dollar 8:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 4.5 | (8+x)=12.50 | 8 x + 12.50 = | 8:dollar x:dollar +:dollar 12.50:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 4.5 | 8=(12.50-x) | 8 12.50 x - = | 8:dollar 12.50:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | (8/x)=12.50 | 8 x / 12.50 = | 8:hour x:dollar /:hour 12.50:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 1.5625 | (8*x)=12.50 | 8 x * 12.50 = | 8:hour x:dollar *:hour 12.50:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | 8=(x*12.50) | 8 x 12.50 * = | 8:hour x:dollar 12.50:hour *:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 4.5 | (12.50-x)=8 | 12.50 x - 8 = | 12.50:hour x:hour -:hour 8:hour =:hour
EXPR: 0 | POS | FRA | 22 | 100 | 0.64 | (12.50*x)=8 | 12.50 x * 8 = | 12.50:hour x:dollar *:dollar 8:dollar =:dollar
EXPR: 0 | POS | FRA | 30 | 100 | 1.5625 | x=(12.50/8) | x 12.50 8 / = | x:hour 12.50:hour 8:dollar /:hour =:hour
EXPR: 1 | POS | INT | 30 | 100 | 100 | x=(12.50*8) | x 12.50 8 * = | x:hour 12.50:hour 8:dollar *:hour =:hour
EXPR: 0 | POS | FRA | 30 | 100 | 0.64 | x=(8/12.50) | x 8 12.50 / = | x:dollar 8:dollar 12.50:hour /:dollar =:dollar
EXPR: 0 | POS | FRA | 31 | 100 | 1.5625 | x=(12.50/8) | x 12.50 8 / = | x:hour 12.50:hour 8:dollar /:hour =:hour
EXPR: 1 | POS | INT | 31 | 100 | 100 | x=(12.50*8) | x 12.50 8 * = | x:hour 12.50:hour 8:dollar *:hour =:hour
EXPR: 0 | POS | FRA | 31 | 100 | 0.64 | x=(8/12.50) | x 8 12.50 / = | x:dollar 8:dollar 12.50:hour /:dollar =:dollar
EXPR: 0 | POS | FRA | 32 | 100 | 1.5625 | (x*8)=12.50 | x 8 * 12.50 = | x:hour 8:dollar *:dollar 12.50:dollar =:dollar
EXPR: 1 | POS | INT | 32 | 100 | 100 | 12.50=(x/8) | 12.50 x 8 / = | 12.50:hour x:hour 8:dollar /:hour =:hour
EXPR: 0 | POS | FRA | 32 | 100 | 4.5 | (x+8)=12.50 | x 8 + 12.50 = | x:hour 8:hour +:hour 12.50:hour =:hour
EXPR: 0 | POS | FRA | 32 | 100 | 1.5625 | 12.50=(8*x) | 12.50 8 x * = | 12.50:hour 8:dollar x:hour *:hour =:hour
EXPR: 0 | POS | FRA | 32 | 100 | 0.64 | 8=(12.50*x) | 8 12.50 x * = | 8:dollar 12.50:dollar x:hour *:dollar =:dollar
EXPR: 0 | POS | FRA | 32 | 100 | 20.5 | (x-8)=12.50 | x 8 - 12.50 = | x:hour 8:hour -:hour 12.50:hour =:hour
EXPR: 0 | POS | FRA | 32 | 100 | 1.5625 | 8=(12.50/x) | 8 12.50 x / = | 8:dollar 12.50:dollar x:hour /:dollar =:dollar
EXPR: 0 | POS | FRA | 32 | 100 | 1.5625 | 12.50=(x*8) | 12.50 x 8 * = | 12.50:hour x:hour 8:dollar *:hour =:hour
EXPR: 0 | POS | FRA | 32 | 100 | 20.5 | 8=(x-12.50) | 8 x 12.50 - = | 8:hour x:hour 12.50:hour -:hour =:hour
EXPR: 0 | POS | FRA | 32 | 100 | 4.5 | (8+x)=12.50 | 8 x + 12.50 = | 8:hour x:hour +:hour 12.50:hour =:hour
EXPR: 0 | POS | FRA | 32 | 100 | 0.64 | 8=(12.50*x) | 8 12.50 x * = | 8:dollar 12.50:hour x:dollar *:dollar =:dollar
EXPR: 0 | POS | FRA | 32 | 100 | 0.64 | 8=(x*12.50) | 8 x 12.50 * = | 8:dollar x:hour 12.50:dollar *:dollar =:dollar
EXPR: 0 | POS | FRA | 32 | 100 | 0.64 | (8/x)=12.50 | 8 x / 12.50 = | 8:dollar x:hour /:dollar 12.50:dollar =:dollar
EXPR: 0 | POS | FRA | 32 | 100 | 1.5625 | (8*x)=12.50 | 8 x * 12.50 = | 8:dollar x:hour *:dollar 12.50:dollar =:dollar
EXPR: 1 | POS | INT | 32 | 100 | 100 | 8=(x/12.50) | 8 x 12.50 / = | 8:dollar x:dollar 12.50:hour /:dollar =:dollar
EXPR: 0 | POS | FRA | 32 | 100 | 4.5 | 8=(12.50-x) | 8 12.50 x - = | 8:hour 12.50:hour x:hour -:hour =:hour
EXPR: 0 | POS | FRA | 32 | 100 | 0.64 | 8=(x*12.50) | 8 x 12.50 * = | 8:dollar x:dollar 12.50:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 42 | 100 | 100 | (x/8)=12.50 | x 8 / 12.50 = | x:hour 8:dollar /:hour 12.50:hour =:hour
EXPR: 0 | POS | FRA | 42 | 100 | 1.5625 | (x*8)=12.50 | x 8 * 12.50 = | x:hour 8:dollar *:hour 12.50:hour =:hour
EXPR: 0 | POS | FRA | 42 | 100 | 1.5625 | (8*x)=12.50 | 8 x * 12.50 = | 8:dollar x:hour *:hour 12.50:hour =:hour
NET 92 non-negative solutions found out of 108 total solutions
