parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 408 solutions found
EXPR: 0 | POS | FRA | 0 | 35.52 | 11.44 | x=(14.02+(9.46-12.04)) | x 14.02 9.46 12.04 - + = | x:dollar 14.02:dollar 9.46:dollar 12.04:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 11.44 | ((14.02-x)+9.46)=12.04 | 14.02 x - 9.46 + 12.04 = | 14.02:dollar x:dollar -:dollar 9.46:dollar +:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 11.44 | 14.02=((x-9.46)+12.04) | 14.02 x 9.46 - 12.04 + = | 14.02:dollar x:dollar 9.46:dollar -:dollar 12.04:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 16.6 | 14.02=((x+9.46)-12.04) | 14.02 x 9.46 + 12.04 - = | 14.02:dollar x:dollar 9.46:dollar +:dollar 12.04:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 35.52 | 35.52 | 14.02=((x-9.46)-12.04) | 14.02 x 9.46 - 12.04 - = | 14.02:dollar x:dollar 9.46:dollar -:dollar 12.04:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 16.6 | 14.02=(9.46-(12.04-x)) | 14.02 9.46 12.04 x - - = | 14.02:dollar 9.46:dollar 12.04:dollar x:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 7.48 | ((14.02-9.46)+x)=12.04 | 14.02 9.46 - x + 12.04 = | 14.02:dollar 9.46:dollar -:dollar x:dollar +:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 7.48 | ((14.02+x)-9.46)=12.04 | 14.02 x + 9.46 - 12.04 = | 14.02:dollar x:dollar +:dollar 9.46:dollar -:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 16.6 | 14.02=(x+(9.46-12.04)) | 14.02 x 9.46 12.04 - + = | 14.02:dollar x:dollar 9.46:dollar 12.04:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 11.44 | 14.02=(x-(9.46-12.04)) | 14.02 x 9.46 12.04 - - = | 14.02:dollar x:dollar 9.46:dollar 12.04:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 7.48 | (14.02+(x-9.46))=12.04 | 14.02 x 9.46 - + 12.04 = | 14.02:dollar x:dollar 9.46:dollar -:dollar +:dollar 12.04:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 35.52 | 35.52 | 14.02=(x-(9.46+12.04)) | 14.02 x 9.46 12.04 + - = | 14.02:dollar x:dollar 9.46:dollar 12.04:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 7.48 | 14.02=((9.46-x)+12.04) | 14.02 9.46 x - 12.04 + = | 14.02:dollar 9.46:dollar x:dollar -:dollar 12.04:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 16.6 | 14.02=(9.46+(x-12.04)) | 14.02 9.46 x 12.04 - + = | 14.02:dollar 9.46:dollar x:dollar 12.04:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 7.48 | ((x+14.02)-9.46)=12.04 | x 14.02 + 9.46 - 12.04 = | x:dollar 14.02:dollar +:dollar 9.46:dollar -:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 16.6 | 14.02=((9.46+x)-12.04) | 14.02 9.46 x + 12.04 - = | 14.02:dollar 9.46:dollar x:dollar +:dollar 12.04:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 11.44 | ((14.02+9.46)-x)=12.04 | 14.02 9.46 + x - 12.04 = | 14.02:dollar 9.46:dollar +:dollar x:dollar -:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 16.6 | 14.02=((9.46-12.04)+x) | 14.02 9.46 12.04 - x + = | 14.02:dollar 9.46:dollar 12.04:dollar -:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 35.52 | 7.48 | 14.02=((9.46+12.04)-x) | 14.02 9.46 12.04 + x - = | 14.02:dollar 9.46:dollar 12.04:dollar +:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 10 | 35.52 | 11.44 | x=(9.46+(14.02-12.04)) | x 9.46 14.02 12.04 - + = | x:dollar 9.46:dollar 14.02:dollar 12.04:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 10 | 35.52 | 16.6 | x=((14.02+12.04)-9.46) | x 14.02 12.04 + 9.46 - = | x:dollar 14.02:dollar 12.04:dollar +:dollar 9.46:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 10 | 35.52 | 7.48 | x=((9.46-14.02)+12.04) | x 9.46 14.02 - 12.04 + = | x:dollar 9.46:dollar 14.02:dollar -:dollar 12.04:dollar +:dollar =:dollar
EXPR: 1 | POS | FRA | 10 | 35.52 | 35.52 | x=((14.02+12.04)+9.46) | x 14.02 12.04 + 9.46 + = | x:dollar 14.02:dollar 12.04:dollar +:dollar 9.46:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 10 | 35.52 | 11.44 | x=(14.02-(12.04-9.46)) | x 14.02 12.04 9.46 - - = | x:dollar 14.02:dollar 12.04:dollar 9.46:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 10 | 35.52 | 35.52 | x=(9.46+(14.02+12.04)) | x 9.46 14.02 12.04 + + = | x:dollar 9.46:dollar 14.02:dollar 12.04:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 10 | 35.52 | 16.6 | x=(14.02+(12.04-9.46)) | x 14.02 12.04 9.46 - + = | x:dollar 14.02:dollar 12.04:dollar 9.46:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 10 | 35.52 | 11.44 | x=((14.02-12.04)+9.46) | x 14.02 12.04 - 9.46 + = | x:dollar 14.02:dollar 12.04:dollar -:dollar 9.46:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 10 | 35.52 | 7.48 | x=(9.46-(14.02-12.04)) | x 9.46 14.02 12.04 - - = | x:dollar 9.46:dollar 14.02:dollar 12.04:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 11 | 35.52 | 7.48 | x=(9.46-(14.02-12.04)) | x 9.46 14.02 12.04 - - = | x:dollar 9.46:dollar 14.02:dollar 12.04:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 11 | 35.52 | 11.44 | x=(9.46+(14.02-12.04)) | x 9.46 14.02 12.04 - + = | x:dollar 9.46:dollar 14.02:dollar 12.04:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 11 | 35.52 | 16.6 | x=((14.02+12.04)-9.46) | x 14.02 12.04 + 9.46 - = | x:dollar 14.02:dollar 12.04:dollar +:dollar 9.46:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 11 | 35.52 | 35.52 | x=((14.02+12.04)+9.46) | x 14.02 12.04 + 9.46 + = | x:dollar 14.02:dollar 12.04:dollar +:dollar 9.46:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 11 | 35.52 | 7.48 | x=((9.46-14.02)+12.04) | x 9.46 14.02 - 12.04 + = | x:dollar 9.46:dollar 14.02:dollar -:dollar 12.04:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 11 | 35.52 | 11.44 | x=(14.02-(12.04-9.46)) | x 14.02 12.04 9.46 - - = | x:dollar 14.02:dollar 12.04:dollar 9.46:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 11 | 35.52 | 35.52 | x=(9.46+(14.02+12.04)) | x 9.46 14.02 12.04 + + = | x:dollar 9.46:dollar 14.02:dollar 12.04:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 11 | 35.52 | 16.6 | x=(14.02+(12.04-9.46)) | x 14.02 12.04 9.46 - + = | x:dollar 14.02:dollar 12.04:dollar 9.46:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 11 | 35.52 | 11.44 | x=((14.02-12.04)+9.46) | x 14.02 12.04 - 9.46 + = | x:dollar 14.02:dollar 12.04:dollar -:dollar 9.46:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | 9.46=((14.02-x)+12.04) | 9.46 14.02 x - 12.04 + = | 9.46:dollar 14.02:dollar x:dollar -:dollar 12.04:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | 9.46=((14.02+x)-12.04) | 9.46 14.02 x + 12.04 - = | 9.46:dollar 14.02:dollar x:dollar +:dollar 12.04:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | ((x-9.46)+14.02)=12.04 | x 9.46 - 14.02 + 12.04 = | x:dollar 9.46:dollar -:dollar 14.02:dollar +:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | ((14.02-x)+12.04)=9.46 | 14.02 x - 12.04 + 9.46 = | 14.02:dollar x:dollar -:dollar 12.04:dollar +:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | 14.02=(12.04-(x-9.46)) | 14.02 12.04 x 9.46 - - = | 14.02:dollar 12.04:dollar x:dollar 9.46:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 35.52 | 35.52 | (x-14.02)=(9.46+12.04) | x 14.02 - 9.46 12.04 + = | x:dollar 14.02:dollar -:dollar 9.46:dollar 12.04:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | 9.46=(14.02-(x-12.04)) | 9.46 14.02 x 12.04 - - = | 9.46:dollar 14.02:dollar x:dollar 12.04:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | (x-(9.46-14.02))=12.04 | x 9.46 14.02 - - 12.04 = | x:dollar 9.46:dollar 14.02:dollar -:dollar -:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | (x-(14.02-12.04))=9.46 | x 14.02 12.04 - - 9.46 = | x:dollar 14.02:dollar 12.04:dollar -:dollar -:dollar 9.46:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 35.52 | 35.52 | ((x-9.46)-14.02)=12.04 | x 9.46 - 14.02 - 12.04 = | x:dollar 9.46:dollar -:dollar 14.02:dollar -:dollar 12.04:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 35.52 | 35.52 | (x-(14.02+12.04))=9.46 | x 14.02 12.04 + - 9.46 = | x:dollar 14.02:dollar 12.04:dollar +:dollar -:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | (x+(9.46-14.02))=12.04 | x 9.46 14.02 - + 12.04 = | x:dollar 9.46:dollar 14.02:dollar -:dollar +:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | (x+(14.02-12.04))=9.46 | x 14.02 12.04 - + 9.46 = | x:dollar 14.02:dollar 12.04:dollar -:dollar +:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | (14.02-(12.04-x))=9.46 | 14.02 12.04 x - - 9.46 = | 14.02:dollar 12.04:dollar x:dollar -:dollar -:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | ((x-14.02)+12.04)=9.46 | x 14.02 - 12.04 + 9.46 = | x:dollar 14.02:dollar -:dollar 12.04:dollar +:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | ((9.46+x)-14.02)=12.04 | 9.46 x + 14.02 - 12.04 = | 9.46:dollar x:dollar +:dollar 14.02:dollar -:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | (9.46-(14.02-x))=12.04 | 9.46 14.02 x - - 12.04 = | 9.46:dollar 14.02:dollar x:dollar -:dollar -:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | (x-14.02)=(9.46-12.04) | x 14.02 - 9.46 12.04 - = | x:dollar 14.02:dollar -:dollar 9.46:dollar 12.04:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 35.52 | 35.52 | ((x-14.02)-12.04)=9.46 | x 14.02 - 12.04 - 9.46 = | x:dollar 14.02:dollar -:dollar 12.04:dollar -:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | (14.02-x)=(9.46-12.04) | 14.02 x - 9.46 12.04 - = | 14.02:dollar x:dollar -:dollar 9.46:dollar 12.04:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | 9.46=((14.02-12.04)+x) | 9.46 14.02 12.04 - x + = | 9.46:dollar 14.02:dollar 12.04:dollar -:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | (9.46-(x-14.02))=12.04 | 9.46 x 14.02 - - 12.04 = | 9.46:dollar x:dollar 14.02:dollar -:dollar -:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | 14.02=((x-12.04)+9.46) | 14.02 x 12.04 - 9.46 + = | 14.02:dollar x:dollar 12.04:dollar -:dollar 9.46:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | 14.02=((x+12.04)-9.46) | 14.02 x 12.04 + 9.46 - = | 14.02:dollar x:dollar 12.04:dollar +:dollar 9.46:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | 9.46=((14.02+12.04)-x) | 9.46 14.02 12.04 + x - = | 9.46:dollar 14.02:dollar 12.04:dollar +:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | 9.46=((x-14.02)+12.04) | 9.46 x 14.02 - 12.04 + = | 9.46:dollar x:dollar 14.02:dollar -:dollar 12.04:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | (9.46+(14.02-x))=12.04 | 9.46 14.02 x - + 12.04 = | 9.46:dollar 14.02:dollar x:dollar -:dollar +:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | (14.02-(x-12.04))=9.46 | 14.02 x 12.04 - - 9.46 = | 14.02:dollar x:dollar 12.04:dollar -:dollar -:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | 14.02=(12.04+(9.46-x)) | 14.02 12.04 9.46 x - + = | 14.02:dollar 12.04:dollar 9.46:dollar x:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | 14.02=(12.04-(9.46-x)) | 14.02 12.04 9.46 x - - = | 14.02:dollar 12.04:dollar 9.46:dollar x:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | ((14.02-12.04)+x)=9.46 | 14.02 12.04 - x + 9.46 = | 14.02:dollar 12.04:dollar -:dollar x:dollar +:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | (14.02-9.46)=(x-12.04) | 14.02 9.46 - x 12.04 - = | 14.02:dollar 9.46:dollar -:dollar x:dollar 12.04:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | 9.46=(14.02+(12.04-x)) | 9.46 14.02 12.04 x - + = | 9.46:dollar 14.02:dollar 12.04:dollar x:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | 9.46=(14.02-(12.04-x)) | 9.46 14.02 12.04 x - - = | 9.46:dollar 14.02:dollar 12.04:dollar x:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | ((9.46-x)+14.02)=12.04 | 9.46 x - 14.02 + 12.04 = | 9.46:dollar x:dollar -:dollar 14.02:dollar +:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | 9.46=((x+14.02)-12.04) | 9.46 x 14.02 + 12.04 - = | 9.46:dollar x:dollar 14.02:dollar +:dollar 12.04:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | (14.02-9.46)=(12.04-x) | 14.02 9.46 - 12.04 x - = | 14.02:dollar 9.46:dollar -:dollar 12.04:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | ((x+9.46)-14.02)=12.04 | x 9.46 + 14.02 - 12.04 = | x:dollar 9.46:dollar +:dollar 14.02:dollar -:dollar 12.04:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 35.52 | 35.52 | 14.02=((x-12.04)-9.46) | 14.02 x 12.04 - 9.46 - = | 14.02:dollar x:dollar 12.04:dollar -:dollar 9.46:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | 14.02=(x+(12.04-9.46)) | 14.02 x 12.04 9.46 - + = | 14.02:dollar x:dollar 12.04:dollar 9.46:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | (14.02+(x-12.04))=9.46 | 14.02 x 12.04 - + 9.46 = | 14.02:dollar x:dollar 12.04:dollar -:dollar +:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | 14.02=((12.04-x)+9.46) | 14.02 12.04 x - 9.46 + = | 14.02:dollar 12.04:dollar x:dollar -:dollar 9.46:dollar +:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 35.52 | 35.52 | 9.46=((x-14.02)-12.04) | 9.46 x 14.02 - 12.04 - = | 9.46:dollar x:dollar 14.02:dollar -:dollar 12.04:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | 14.02=(12.04+(x-9.46)) | 14.02 12.04 x 9.46 - + = | 14.02:dollar 12.04:dollar x:dollar 9.46:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | 9.46=(x+(14.02-12.04)) | 9.46 x 14.02 12.04 - + = | 9.46:dollar x:dollar 14.02:dollar 12.04:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | 9.46=(x-(14.02-12.04)) | 9.46 x 14.02 12.04 - - = | 9.46:dollar x:dollar 14.02:dollar 12.04:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | ((9.46-14.02)+x)=12.04 | 9.46 14.02 - x + 12.04 = | 9.46:dollar 14.02:dollar -:dollar x:dollar +:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | 14.02=(x-(12.04-9.46)) | 14.02 x 12.04 9.46 - - = | 14.02:dollar x:dollar 12.04:dollar 9.46:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | 9.46=(14.02+(x-12.04)) | 9.46 14.02 x 12.04 - + = | 9.46:dollar 14.02:dollar x:dollar 12.04:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | ((14.02+x)-12.04)=9.46 | 14.02 x + 12.04 - 9.46 = | 14.02:dollar x:dollar +:dollar 12.04:dollar -:dollar 9.46:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 35.52 | 35.52 | 9.46=(x-(14.02+12.04)) | 9.46 x 14.02 12.04 + - = | 9.46:dollar x:dollar 14.02:dollar 12.04:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | 14.02=((12.04+x)-9.46) | 14.02 12.04 x + 9.46 - = | 14.02:dollar 12.04:dollar x:dollar +:dollar 9.46:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | (9.46+(x-14.02))=12.04 | 9.46 x 14.02 - + 12.04 = | 9.46:dollar x:dollar 14.02:dollar -:dollar +:dollar 12.04:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | (14.02+(12.04-x))=9.46 | 14.02 12.04 x - + 9.46 = | 14.02:dollar 12.04:dollar x:dollar -:dollar +:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 16.6 | ((14.02+12.04)-x)=9.46 | 14.02 12.04 + x - 9.46 = | 14.02:dollar 12.04:dollar +:dollar x:dollar -:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | (14.02+x)=(9.46+12.04) | 14.02 x + 9.46 12.04 + = | 14.02:dollar x:dollar +:dollar 9.46:dollar 12.04:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | ((x+14.02)-12.04)=9.46 | x 14.02 + 12.04 - 9.46 = | x:dollar 14.02:dollar +:dollar 12.04:dollar -:dollar 9.46:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 7.48 | (x+14.02)=(9.46+12.04) | x 14.02 + 9.46 12.04 + = | x:dollar 14.02:dollar +:dollar 9.46:dollar 12.04:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | 14.02=((12.04-9.46)+x) | 14.02 12.04 9.46 - x + = | 14.02:dollar 12.04:dollar 9.46:dollar -:dollar x:dollar +:dollar =:dollar
EXPR: 1 | POS | FRA | 12 | 35.52 | 35.52 | (14.02+9.46)=(x-12.04) | 14.02 9.46 + x 12.04 - = | 14.02:dollar 9.46:dollar +:dollar x:dollar 12.04:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | (14.02+9.46)=(x+12.04) | 14.02 9.46 + x 12.04 + = | 14.02:dollar 9.46:dollar +:dollar x:dollar 12.04:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 12 | 35.52 | 11.44 | (14.02+9.46)=(12.04+x) | 14.02 9.46 + 12.04 x + = | 14.02:dollar 9.46:dollar +:dollar 12.04:dollar x:dollar +:dollar =:dollar
