parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 0 | 72 | 72 | x=(6*12) | x 6 12 * = | x:egg 6:dozen 12:egg *:egg =:egg
EXPR: 0 | POS | INT | 12 | 72 | 2 | (6*x)=12 | 6 x * 12 = | 6:dozen x:egg *:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 72 | 2 | 6=(12/x) | 6 12 x / = | 6:dozen 12:dozen x:egg /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 72 | 6 | 6=(12-x) | 6 12 x - = | 6:egg 12:egg x:egg -:egg =:egg
EXPR: 1 | POS | INT | 12 | 72 | 72 | 6=(x/12) | 6 x 12 / = | 6:dozen x:dozen 12:egg /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 72 | 6 | (6+x)=12 | 6 x + 12 = | 6:egg x:egg +:egg 12:egg =:egg
EXPR: 0 | POS | INT | 12 | 72 | 2 | 12=(x*6) | 12 x 6 * = | 12:egg x:egg 6:dozen *:egg =:egg
EXPR: 1 | POS | INT | 12 | 72 | 72 | 12=(x/6) | 12 x 6 / = | 12:egg x:egg 6:dozen /:egg =:egg
EXPR: 0 | POS | INT | 12 | 72 | 18 | 6=(x-12) | 6 x 12 - = | 6:egg x:egg 12:egg -:egg =:egg
EXPR: 1 | POS | INT | 20 | 72 | 72 | x=(6*12) | x 6 12 * = | x:egg 6:egg 12:dozen *:egg =:egg
EXPR: 0 | POS | INT | 20 | 72 | 6 | x=(12-6) | x 12 6 - = | x:egg 12:egg 6:egg -:egg =:egg
EXPR: 0 | POS | INT | 20 | 72 | 18 | x=(6+12) | x 6 12 + = | x:dozen 6:dozen 12:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 21 | 72 | 72 | x=(6*12) | x 6 12 * = | x:egg 6:egg 12:dozen *:egg =:egg
EXPR: 0 | POS | INT | 21 | 72 | 6 | x=(12-6) | x 12 6 - = | x:egg 12:egg 6:egg -:egg =:egg
EXPR: 0 | POS | INT | 21 | 72 | 18 | x=(6+12) | x 6 12 + = | x:dozen 6:dozen 12:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 72 | 2 | 12=(6*x) | 12 6 x * = | 12:dozen 6:dozen x:egg *:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 72 | 2 | 12=(x*6) | 12 x 6 * = | 12:dozen x:egg 6:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 72 | 2 | (12/x)=6 | 12 x / 6 = | 12:dozen x:egg /:dozen 6:dozen =:dozen
EXPR: 1 | POS | INT | 22 | 72 | 72 | (x/12)=6 | x 12 / 6 = | x:dozen 12:egg /:dozen 6:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 72 | 6 | (x+6)=12 | x 6 + 12 = | x:dozen 6:dozen +:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 72 | 2 | (x*6)=12 | x 6 * 12 = | x:dozen 6:egg *:egg 12:egg =:egg
EXPR: 0 | POS | INT | 22 | 72 | 6 | 12=(6+x) | 12 6 x + = | 12:egg 6:egg x:egg +:egg =:egg
EXPR: 0 | POS | INT | 22 | 72 | 6 | 12=(x+6) | 12 x 6 + = | 12:egg x:egg 6:egg +:egg =:egg
EXPR: 0 | POS | INT | 22 | 72 | 2 | (6*x)=12 | 6 x * 12 = | 6:egg x:dozen *:egg 12:egg =:egg
EXPR: 0 | POS | INT | 22 | 72 | 18 | 6=(x-12) | 6 x 12 - = | 6:dozen x:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 72 | 2 | 6=(12/x) | 6 12 x / = | 6:egg 12:egg x:dozen /:egg =:egg
EXPR: 1 | POS | INT | 22 | 72 | 72 | 6=(x/12) | 6 x 12 / = | 6:egg x:egg 12:dozen /:egg =:egg
EXPR: 0 | POS | INT | 22 | 72 | 6 | 6=(12-x) | 6 12 x - = | 6:dozen 12:dozen x:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 72 | 18 | (x-6)=12 | x 6 - 12 = | x:dozen 6:dozen -:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 72 | 18 | 12=(x-6) | 12 x 6 - = | 12:egg x:egg 6:egg -:egg =:egg
EXPR: 0 | POS | INT | 22 | 72 | 6 | (6+x)=12 | 6 x + 12 = | 6:dozen x:dozen +:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 72 | 6 | (12-x)=6 | 12 x - 6 = | 12:egg x:egg -:egg 6:egg =:egg
EXPR: 0 | POS | INT | 22 | 72 | 18 | (x-12)=6 | x 12 - 6 = | x:egg 12:egg -:egg 6:egg =:egg
EXPR: 1 | POS | INT | 30 | 72 | 72 | x=(6*12) | x 6 12 * = | x:dozen 6:egg 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 30 | 72 | 6 | x=(12-6) | x 12 6 - = | x:dozen 12:dozen 6:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 31 | 72 | 72 | x=(6*12) | x 6 12 * = | x:dozen 6:egg 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 31 | 72 | 6 | x=(12-6) | x 12 6 - = | x:dozen 12:dozen 6:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 72 | 2 | (x*6)=12 | x 6 * 12 = | x:dozen 6:egg *:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 72 | 6 | 12=(6+x) | 12 6 x + = | 12:dozen 6:dozen x:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 72 | 6 | 12=(x+6) | 12 x 6 + = | 12:dozen x:dozen 6:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 72 | 2 | 12=(x*6) | 12 x 6 * = | 12:egg x:dozen 6:egg *:egg =:egg
EXPR: 0 | POS | INT | 32 | 72 | 18 | 12=(x-6) | 12 x 6 - = | 12:dozen x:dozen 6:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 72 | 2 | (12/x)=6 | 12 x / 6 = | 12:egg x:dozen /:egg 6:egg =:egg
EXPR: 1 | POS | INT | 32 | 72 | 72 | (x/12)=6 | x 12 / 6 = | x:egg 12:dozen /:egg 6:egg =:egg
EXPR: 0 | POS | INT | 32 | 72 | 2 | (6*x)=12 | 6 x * 12 = | 6:egg x:dozen *:dozen 12:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 72 | 72 | (x/6)=12 | x 6 / 12 = | x:dozen 6:egg /:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 72 | 6 | (12-x)=6 | 12 x - 6 = | 12:dozen x:dozen -:dozen 6:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 72 | 2 | 12=(6*x) | 12 6 x * = | 12:egg 6:egg x:dozen *:egg =:egg
EXPR: 0 | POS | INT | 32 | 72 | 18 | (x-12)=6 | x 12 - 6 = | x:dozen 12:dozen -:dozen 6:dozen =:dozen
EXPR: 0 | POS | INT | 40 | 72 | 2 | x=(12/6) | x 12 6 / = | x:dozen 12:dozen 6:egg /:dozen =:dozen
EXPR: 0 | POS | INT | 41 | 72 | 2 | x=(12/6) | x 12 6 / = | x:dozen 12:dozen 6:egg /:dozen =:dozen
EXPR: 0 | POS | INT | 42 | 72 | 2 | 12=(x*6) | 12 x 6 * = | 12:dozen x:dozen 6:egg *:dozen =:dozen
EXPR: 0 | POS | INT | 42 | 72 | 2 | 12=(6*x) | 12 6 x * = | 12:dozen 6:egg x:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 42 | 72 | 72 | 12=(x/6) | 12 x 6 / = | 12:dozen x:dozen 6:egg /:dozen =:dozen
NET 68 non-negative, integer-valued solutions found out of 108 total solutions
