parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 0 | POS | INT | 0 | 2 | 50 | x=(10*5) | x 10 5 * = | x:game 10:game 5:month *:game =:game
EXPR: 0 | POS | INT | 30 | 2 | 50 | x=(10*5) | x 10 5 * = | x:month 10:month 5:game *:month =:month
EXPR: 1 | POS | INT | 31 | 2 | 2 | x=(10/5) | x 10 5 / = | x:month 10:month 5:game /:month =:month
EXPR: 0 | POS | INT | 31 | 2 | 50 | x=(10*5) | x 10 5 * = | x:month 10:month 5:game *:month =:month
EXPR: 1 | POS | INT | 32 | 2 | 2 | (x*5)=10 | x 5 * 10 = | x:month 5:game *:game 10:game =:game
EXPR: 0 | POS | INT | 32 | 2 | 50 | 10=(x/5) | 10 x 5 / = | 10:month x:month 5:game /:month =:month
EXPR: 0 | POS | INT | 32 | 2 | 5 | (x+5)=10 | x 5 + 10 = | x:month 5:month +:month 10:month =:month
EXPR: 1 | POS | INT | 32 | 2 | 2 | 10=(5*x) | 10 5 x * = | 10:month 5:game x:month *:month =:month
EXPR: 0 | POS | INT | 32 | 2 | 15 | (x-5)=10 | x 5 - 10 = | x:month 5:month -:month 10:month =:month
EXPR: 1 | POS | INT | 32 | 2 | 2 | 5=(10/x) | 5 10 x / = | 5:game 10:game x:month /:game =:game
EXPR: 1 | POS | INT | 32 | 2 | 2 | 10=(x*5) | 10 x 5 * = | 10:month x:month 5:game *:month =:month
EXPR: 0 | POS | INT | 32 | 2 | 15 | 5=(x-10) | 5 x 10 - = | 5:month x:month 10:month -:month =:month
EXPR: 0 | POS | INT | 32 | 2 | 5 | (5+x)=10 | 5 x + 10 = | 5:month x:month +:month 10:month =:month
EXPR: 1 | POS | INT | 32 | 2 | 2 | (5*x)=10 | 5 x * 10 = | 5:game x:month *:game 10:game =:game
EXPR: 0 | POS | INT | 32 | 2 | 50 | 5=(x/10) | 5 x 10 / = | 5:game x:game 10:month /:game =:game
EXPR: 0 | POS | INT | 32 | 2 | 5 | 5=(10-x) | 5 10 x - = | 5:month 10:month x:month -:month =:month
EXPR: 0 | POS | INT | 42 | 2 | 50 | (x/5)=10 | x 5 / 10 = | x:month 5:game /:month 10:month =:month
EXPR: 1 | POS | INT | 42 | 2 | 2 | (x*5)=10 | x 5 * 10 = | x:month 5:game *:month 10:month =:month
EXPR: 1 | POS | INT | 42 | 2 | 2 | (5*x)=10 | 5 x * 10 = | 5:game x:month *:month 10:month =:month
NET 68 non-negative, integer-valued solutions found out of 108 total solutions
