parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 2 | 6 | 6 | 72=(x*12) | 72 x 12 * = | 72:egg x:dozen 12:egg *:egg =:egg
EXPR: 0 | POS | INT | 22 | 6 | 84 | 12=(x-72) | 12 x 72 - = | 12:egg x:egg 72:egg -:egg =:egg
EXPR: 0 | POS | INT | 32 | 6 | 60 | 12=(72-x) | 12 72 x - = | 12:dozen 72:dozen x:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 6 | 6 | (72/x)=12 | 72 x / 12 = | 72:dozen x:egg /:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 6 | 864 | 12=(x/72) | 12 x 72 / = | 12:egg x:egg 72:dozen /:egg =:egg
EXPR: 0 | POS | INT | 32 | 6 | 60 | (12+x)=72 | 12 x + 72 = | 12:dozen x:dozen +:dozen 72:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 6 | 84 | 12=(x-72) | 12 x 72 - = | 12:dozen x:dozen 72:dozen -:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 6 | 6 | (12*x)=72 | 12 x * 72 = | 12:dozen x:egg *:egg 72:egg =:egg
EXPR: 1 | POS | INT | 32 | 6 | 6 | 72=(x*12) | 72 x 12 * = | 72:dozen x:egg 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 6 | 6 | (x*12)=72 | x 12 * 72 = | x:egg 12:dozen *:egg 72:egg =:egg
EXPR: 0 | POS | INT | 32 | 6 | 864 | (x/12)=72 | x 12 / 72 = | x:egg 12:dozen /:egg 72:egg =:egg
EXPR: 0 | POS | INT | 32 | 6 | 84 | (x-12)=72 | x 12 - 72 = | x:dozen 12:dozen -:dozen 72:dozen =:dozen
EXPR: 0 | POS | INT | 32 | 6 | 60 | (x+12)=72 | x 12 + 72 = | x:dozen 12:dozen +:dozen 72:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 6 | 6 | 72=(12*x) | 72 12 x * = | 72:dozen 12:dozen x:egg *:dozen =:dozen
EXPR: 1 | POS | INT | 42 | 6 | 6 | (12*x)=72 | 12 x * 72 = | 12:dozen x:egg *:dozen 72:dozen =:dozen
EXPR: 1 | POS | INT | 42 | 6 | 6 | (x*12)=72 | x 12 * 72 = | x:egg 12:dozen *:dozen 72:dozen =:dozen
EXPR: 1 | POS | INT | 42 | 6 | 6 | 12=(72/x) | 12 72 x / = | 12:dozen 72:dozen x:egg /:dozen =:dozen
NET 68 non-negative, integer-valued solutions found out of 108 total solutions
