parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 7 | 223 | x=(79+(9*16)) | x 79 9 16 * + = | x:dollar 79:dollar 9:book 16:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 7 | 1975 | x=(79*(9+16)) | x 79 9 16 + * = | x:dollar 79:dollar 9:book 16:book +:book *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 7 | 1120 | x=((79-9)*16) | x 79 9 - 16 * = | x:dollar 79:book 9:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 7 | 1408 | x=((79+9)*16) | x 79 9 + 16 * = | x:dollar 79:book 9:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 7 | 72 | x=(79+(9-16)) | x 79 9 16 - + = | x:dollar 79:dollar 9:dollar 16:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 855 | x=((79+16)*9) | x 79 16 + 9 * = | x:dollar 79:dollar 16:dollar +:dollar 9:book *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 567 | x=((79-16)*9) | x 79 16 - 9 * = | x:dollar 79:dollar 16:dollar -:dollar 9:book *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 54 | x=(79-(9+16)) | x 79 9 16 + - = | x:dollar 79:dollar 9:dollar 16:dollar +:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 11 | 7 | 7 | x=((79-16)/9) | x 79 16 - 9 / = | x:dollar 79:dollar 16:dollar -:dollar 9:book /:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 567 | x=(9*(79-16)) | x 9 79 16 - * = | x:dollar 9:book 79:dollar 16:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 104 | x=(79+(9+16)) | x 79 9 16 + + = | x:dollar 79:dollar 9:dollar 16:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 72 | x=(79+(9-16)) | x 79 9 16 - + = | x:dollar 79:dollar 9:dollar 16:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 72 | x=((79+9)-16) | x 79 9 + 16 - = | x:dollar 79:dollar 9:dollar +:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 86 | x=((79-9)+16) | x 79 9 - 16 + = | x:dollar 79:dollar 9:dollar -:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 104 | x=((79+9)+16) | x 79 9 + 16 + = | x:dollar 79:dollar 9:dollar +:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 54 | x=((79-9)-16) | x 79 9 - 16 - = | x:dollar 79:dollar 9:dollar -:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 1975 | x=(79*(9+16)) | x 79 9 16 + * = | x:dollar 79:dollar 9:book 16:book +:book *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 855 | x=(9*(79+16)) | x 9 79 16 + * = | x:dollar 9:book 79:dollar 16:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 86 | x=(79-(9-16)) | x 79 9 16 - - = | x:dollar 79:dollar 9:dollar 16:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 1408 | x=((79+9)*16) | x 79 9 + 16 * = | x:dollar 79:book 9:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 7 | 1120 | x=((79-9)*16) | x 79 9 - 16 * = | x:dollar 79:book 9:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 86 | 79=((9-16)+x) | 79 9 16 - x + = | 79:dollar 9:dollar 16:dollar -:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 86 | 79=((x+9)-16) | 79 x 9 + 16 - = | 79:dollar x:dollar 9:dollar +:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 104 | 79=((x-9)-16) | 79 x 9 - 16 - = | 79:dollar x:dollar 9:dollar -:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | 79=((x+9)+16) | 79 x 9 + 16 + = | 79:dollar x:dollar 9:dollar +:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | 79=(9+(x+16)) | 79 9 x 16 + + = | 79:dollar 9:dollar x:dollar 16:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 72 | (79+(9-x))=16 | 79 9 x - + 16 = | 79:dollar 9:dollar x:dollar -:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 695 | 79=((16+x)/9) | 79 16 x + 9 / = | 79:dollar 16:dollar x:dollar +:dollar 9:book /:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 727 | 79=((x-16)/9) | 79 x 16 - 9 / = | 79:dollar x:dollar 16:dollar -:dollar 9:book /:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 695 | 79=((x+16)/9) | 79 x 16 + 9 / = | 79:dollar x:dollar 16:dollar +:dollar 9:book /:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 86 | 79=(9+(x-16)) | 79 9 x 16 - + = | 79:dollar 9:dollar x:dollar 16:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | 79=((9+16)+x) | 79 9 16 + x + = | 79:dollar 9:dollar 16:dollar +:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 72 | ((79-x)+9)=16 | 79 x - 9 + 16 = | 79:dollar x:dollar -:dollar 9:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 86 | 79=(9-(16-x)) | 79 9 16 x - - = | 79:dollar 9:dollar 16:dollar x:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | 79=(9+(16+x)) | 79 9 16 x + + = | 79:dollar 9:dollar 16:dollar x:dollar +:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 7 | 7 | 79=(16+(x*9)) | 79 16 x 9 * + = | 79:dollar 16:dollar x:dollar 9:book *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | (79-(9+x))=16 | 79 9 x + - 16 = | 79:dollar 9:dollar x:dollar +:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 72 | ((79+9)-x)=16 | 79 9 + x - 16 = | 79:dollar 9:dollar +:dollar x:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 855 | ((x/9)-79)=16 | x 9 / 79 - 16 = | x:dollar 9:book /:dollar 79:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | ((79-x)-9)=16 | 79 x - 9 - 16 = | 79:dollar x:dollar -:dollar 9:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 65 | (x+79)=(9*16) | x 79 + 9 16 * = | x:dollar 79:dollar +:dollar 9:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 223 | (x-79)=(9*16) | x 79 - 9 16 * = | x:dollar 79:dollar -:dollar 9:book 16:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 7 | 7 | 79=(16+(9*x)) | 79 16 9 x * + = | 79:dollar 16:dollar 9:book x:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 727 | (79*9)=(x-16) | 79 9 * x 16 - = | 79:dollar 9:book *:dollar x:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 86 | 79=((9+x)-16) | 79 9 x + 16 - = | 79:dollar 9:dollar x:dollar +:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 695 | (79*9)=(x+16) | 79 9 * x 16 + = | 79:dollar 9:book *:dollar x:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 65 | (79+x)=(9*16) | 79 x + 9 16 * = | 79:dollar x:dollar +:dollar 9:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | (79-(x+9))=16 | 79 x 9 + - 16 = | 79:dollar x:dollar 9:dollar +:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 72 | (79-(x-9))=16 | 79 x 9 - - 16 = | 79:dollar x:dollar 9:dollar -:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 695 | (79*9)=(16+x) | 79 9 * 16 x + = | 79:dollar 9:book *:dollar 16:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 567 | 79=(16+(x/9)) | 79 16 x 9 / + = | 79:dollar 16:dollar x:dollar 9:book /:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | 79=((9+x)+16) | 79 9 x + 16 + = | 79:dollar 9:dollar x:dollar +:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 72 | 79=((x-9)+16) | 79 x 9 - 16 + = | 79:dollar x:dollar 9:dollar -:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 72 | 79=(x-(9-16)) | 79 x 9 16 - - = | 79:dollar x:dollar 9:dollar 16:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 104 | 79=(x-(9+16)) | 79 x 9 16 + - = | 79:dollar x:dollar 9:dollar 16:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | ((79-9)-x)=16 | 79 9 - x - 16 = | 79:dollar 9:dollar -:dollar x:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 1975 | 79=(x/(9+16)) | 79 x 9 16 + / = | 79:dollar x:dollar 9:book 16:book +:book /:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 86 | 79=(x+(9-16)) | 79 x 9 16 - + = | 79:dollar x:dollar 9:dollar 16:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 54 | 79=(x+(9+16)) | 79 x 9 16 + + = | 79:dollar x:dollar 9:dollar 16:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 104 | (x-(79+9))=16 | x 79 9 + - 16 = | x:dollar 79:dollar 9:dollar +:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 86 | (x-(79-9))=16 | x 79 9 - - 16 = | x:dollar 79:dollar 9:dollar -:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 1408 | (x/(79+9))=16 | x 79 9 + / 16 = | x:dollar 79:book 9:book +:book /:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 1120 | (x/(79-9))=16 | x 79 9 - / 16 = | x:dollar 79:book 9:book -:book /:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 86 | ((x-79)+9)=16 | x 79 - 9 + 16 = | x:dollar 79:dollar -:dollar 9:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 7 | 104 | ((x-79)-9)=16 | x 79 - 9 - 16 = | x:dollar 79:dollar -:dollar 9:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 15 | 7 | 727 | x=(16+(79*9)) | x 16 79 9 * + = | x:dollar 16:dollar 79:dollar 9:book *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 16 | 7 | 727 | x=(16+(79*9)) | x 16 79 9 * + = | x:dollar 16:dollar 79:dollar 9:book *:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 17 | 7 | 7 | 16=(79-(9*x)) | 16 79 9 x * - = | 16:dollar 79:dollar 9:book x:dollar *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 7 | 65 | 16=((79+x)/9) | 16 79 x + 9 / = | 16:dollar 79:dollar x:dollar +:dollar 9:book /:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 7 | 567 | 16=(79-(x/9)) | 16 79 x 9 / - = | 16:dollar 79:dollar x:dollar 9:book /:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 17 | 7 | 7 | 16=(79-(x*9)) | 16 79 x 9 * - = | 16:dollar 79:dollar x:dollar 9:book *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 7 | 11376 | 16=(x/(79*9)) | 16 x 79 9 * / = | 16:dollar x:dollar 79:dollar 9:book *:book /:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 7 | 727 | 16=(x-(79*9)) | 16 x 79 9 * - = | 16:dollar x:dollar 79:dollar 9:book *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 7 | 223 | 16=((x-79)/9) | 16 x 79 - 9 / = | 16:dollar x:dollar 79:dollar -:dollar 9:book /:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 7 | 65 | 16=((x+79)/9) | 16 x 79 + 9 / = | 16:dollar x:dollar 79:dollar +:dollar 9:book /:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 7 | 695 | 16=((79*9)-x) | 16 79 9 * x - = | 16:dollar 79:dollar 9:book *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 1975 | x=(79*(9+16)) | x 79 9 16 + * = | x:book 79:dollar 9:book 16:book +:book *:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 86 | x=((79+16)-9) | x 79 16 + 9 - = | x:dollar 79:dollar 16:dollar +:dollar 9:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 1975 | x=(79*(9+16)) | x 79 9 16 + * = | x:dollar 79:book 9:dollar 16:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 223 | x=(79+(9*16)) | x 79 9 16 * + = | x:dollar 79:dollar 9:dollar 16:book *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 54 | x=((79-16)-9) | x 79 16 - 9 - = | x:dollar 79:dollar 16:dollar -:dollar 9:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 72 | x=((79-16)+9) | x 79 16 - 9 + = | x:dollar 79:dollar 16:dollar -:dollar 9:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 104 | x=((79+16)+9) | x 79 16 + 9 + = | x:dollar 79:dollar 16:dollar +:dollar 9:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 223 | x=(79+(9*16)) | x 79 9 16 * + = | x:book 79:book 9:book 16:dollar *:book +:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 72 | x=(79-(16-9)) | x 79 16 9 - - = | x:dollar 79:dollar 16:dollar 9:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 567 | x=(9*(79-16)) | x 9 79 16 - * = | x:book 9:book 79:dollar 16:dollar -:dollar *:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 553 | x=(79*(16-9)) | x 79 16 9 - * = | x:dollar 79:dollar 16:book 9:book -:book *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 695 | x=((79*9)-16) | x 79 9 * 16 - = | x:book 79:dollar 9:book *:book 16:book -:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 727 | x=((79*9)+16) | x 79 9 * 16 + = | x:book 79:dollar 9:book *:book 16:book +:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 1120 | x=((79-9)*16) | x 79 9 - 16 * = | x:book 79:book 9:book -:book 16:dollar *:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 1408 | x=((79+9)*16) | x 79 9 + 16 * = | x:book 79:book 9:book +:book 16:dollar *:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 695 | x=((79*9)-16) | x 79 9 * 16 - = | x:dollar 79:book 9:dollar *:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 727 | x=((79*9)+16) | x 79 9 * 16 + = | x:dollar 79:book 9:dollar *:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 104 | x=(9+(79+16)) | x 9 79 16 + + = | x:dollar 9:dollar 79:dollar 16:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 72 | x=(9+(79-16)) | x 9 79 16 - + = | x:dollar 9:dollar 79:dollar 16:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 86 | x=(79+(16-9)) | x 79 16 9 - + = | x:dollar 79:dollar 16:dollar 9:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 855 | x=(9*(79+16)) | x 9 79 16 + * = | x:book 9:book 79:dollar 16:dollar +:dollar *:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 567 | x=((79-16)*9) | x 79 16 - 9 * = | x:book 79:dollar 16:dollar -:dollar 9:book *:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 855 | x=((79+16)*9) | x 79 16 + 9 * = | x:book 79:dollar 16:dollar +:dollar 9:book *:book =:book
EXPR: 0 | POS | INT | 20 | 7 | 1120 | x=((79-9)*16) | x 79 9 - 16 * = | x:dollar 79:dollar 9:dollar -:dollar 16:book *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 7 | 1408 | x=((79+9)*16) | x 79 9 + 16 * = | x:dollar 79:dollar 9:dollar +:dollar 16:book *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 1975 | x=(79*(9+16)) | x 79 9 16 + * = | x:book 79:dollar 9:book 16:book +:book *:book =:book
EXPR: 0 | POS | INT | 21 | 7 | 86 | x=((79+16)-9) | x 79 16 + 9 - = | x:dollar 79:dollar 16:dollar +:dollar 9:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 1975 | x=(79*(9+16)) | x 79 9 16 + * = | x:dollar 79:book 9:dollar 16:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 223 | x=(79+(9*16)) | x 79 9 16 * + = | x:dollar 79:dollar 9:dollar 16:book *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 72 | x=((79-16)+9) | x 79 16 - 9 + = | x:dollar 79:dollar 16:dollar -:dollar 9:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 104 | x=((79+16)+9) | x 79 16 + 9 + = | x:dollar 79:dollar 16:dollar +:dollar 9:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 54 | x=((79-16)-9) | x 79 16 - 9 - = | x:dollar 79:dollar 16:dollar -:dollar 9:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 223 | x=(79+(9*16)) | x 79 9 16 * + = | x:book 79:book 9:book 16:dollar *:book +:book =:book
EXPR: 0 | POS | INT | 21 | 7 | 567 | x=(9*(79-16)) | x 9 79 16 - * = | x:book 9:book 79:dollar 16:dollar -:dollar *:book =:book
EXPR: 0 | POS | INT | 21 | 7 | 72 | x=(79-(16-9)) | x 79 16 9 - - = | x:dollar 79:dollar 16:dollar 9:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 553 | x=(79*(16-9)) | x 79 16 9 - * = | x:dollar 79:dollar 16:book 9:book -:book *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 727 | x=((79*9)+16) | x 79 9 * 16 + = | x:book 79:dollar 9:book *:book 16:book +:book =:book
EXPR: 0 | POS | INT | 21 | 7 | 695 | x=((79*9)-16) | x 79 9 * 16 - = | x:book 79:dollar 9:book *:book 16:book -:book =:book
EXPR: 0 | POS | INT | 21 | 7 | 1408 | x=((79+9)*16) | x 79 9 + 16 * = | x:book 79:book 9:book +:book 16:dollar *:book =:book
EXPR: 0 | POS | INT | 21 | 7 | 727 | x=((79*9)+16) | x 79 9 * 16 + = | x:dollar 79:book 9:dollar *:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 104 | x=(9+(79+16)) | x 9 79 16 + + = | x:dollar 9:dollar 79:dollar 16:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 695 | x=((79*9)-16) | x 79 9 * 16 - = | x:dollar 79:book 9:dollar *:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 72 | x=(9+(79-16)) | x 9 79 16 - + = | x:dollar 9:dollar 79:dollar 16:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 86 | x=(79+(16-9)) | x 79 16 9 - + = | x:dollar 79:dollar 16:dollar 9:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 7 | 1120 | x=((79-9)*16) | x 79 9 - 16 * = | x:book 79:book 9:book -:book 16:dollar *:book =:book
EXPR: 0 | POS | INT | 21 | 7 | 855 | x=(9*(79+16)) | x 9 79 16 + * = | x:book 9:book 79:dollar 16:dollar +:dollar *:book =:book
EXPR: 0 | POS | INT | 21 | 7 | 855 | x=((79+16)*9) | x 79 16 + 9 * = | x:book 79:dollar 16:dollar +:dollar 9:book *:book =:book
