parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 341 | 341 | (31*11)=x | 31 11 * x = | 31:calorie 11:bar *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 24 | 341 | 20 | (x+11)=31 | x 11 + 31 = | x:bar 11:bar +:bar 31:bar =:bar
EXPR: 0 | POS | INT | 24 | 341 | 42 | 11=(x-31) | 11 x 31 - = | 11:bar x:bar 31:bar -:bar =:bar
EXPR: 1 | POS | INT | 24 | 341 | 341 | 11=(x/31) | 11 x 31 / = | 11:calorie x:calorie 31:bar /:calorie =:calorie
EXPR: 1 | POS | INT | 30 | 341 | 341 | x=(31*11) | x 31 11 * = | x:bar 31:bar 11:calorie *:bar =:bar
EXPR: 1 | POS | INT | 30 | 341 | 341 | (31*11)=x | 31 11 * x = | 31:bar 11:calorie *:bar x:bar =:bar
EXPR: 1 | POS | INT | 31 | 341 | 341 | x=(31*11) | x 31 11 * = | x:bar 31:bar 11:calorie *:bar =:bar
EXPR: 1 | POS | INT | 31 | 341 | 341 | (31*11)=x | 31 11 * x = | 31:bar 11:calorie *:bar x:bar =:bar
EXPR: 1 | POS | INT | 32 | 341 | 341 | 31=(x/11) | 31 x 11 / = | 31:bar x:bar 11:calorie /:bar =:bar
EXPR: 1 | POS | INT | 34 | 341 | 341 | (x/11)=31 | x 11 / 31 = | x:bar 11:calorie /:bar 31:bar =:bar
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
