parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 2 | 225 | 9 | ((60*x)/45)=12 | 60 x * 45 / 12 = | 60:calorie x:dozen *:calorie 45:bar /:calorie 12:calorie =:calorie
EXPR: 1 | POS | INT | 10 | 225 | 225 | x=(60*(45/12)) | x 60 45 12 / * = | x:dozen 60:calorie 45:dozen 12:calorie /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:calorie 45:dozen *:dozen 12:calorie *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 225 | 225 | ((60*45)/12)=x | 60 45 * 12 / x = | 60:calorie 45:dozen *:dozen 12:calorie /:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:calorie 45:bar *:calorie 12:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 600 | (60+(45*12))=x | 60 45 12 * + x = | 60:calorie 45:bar 12:calorie *:calorie +:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:calorie 45:bar *:bar 12:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 225 | 225 | ((60*45)/12)=x | 60 45 * 12 / x = | 60:dozen 45:bar *:dozen 12:calorie /:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 225 | 225 | x=(60*(45/12)) | x 60 45 12 / * = | x:dozen 60:dozen 45:bar 12:calorie /:bar *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | (60*(45*12))=x | 60 45 12 * * x = | 60:calorie 45:bar 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 225 | 225 | x=((60*45)/12) | x 60 45 * 12 / = | x:dozen 60:calorie 45:dozen *:dozen 12:calorie /:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | x=((60*45)*12) | x 60 45 * 12 * = | x:dozen 60:calorie 45:dozen *:dozen 12:calorie *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 225 | 225 | (60*(45/12))=x | 60 45 12 / * x = | 60:dozen 45:bar 12:calorie /:bar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | (60*(45*12))=x | 60 45 12 * * x = | 60:dozen 45:bar 12:calorie *:bar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | x=(60*(45*12)) | x 60 45 12 * * = | x:bar 60:calorie 45:bar 12:calorie *:bar *:bar =:bar
EXPR: 0 | POS | INT | 10 | 225 | 32400 | x=(60*(45*12)) | x 60 45 12 * * = | x:dozen 60:dozen 45:bar 12:calorie *:bar *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 225 | 225 | (60*(45/12))=x | 60 45 12 / * x = | 60:calorie 45:dozen 12:calorie /:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | (60*(45*12))=x | 60 45 12 * * x = | 60:calorie 45:dozen 12:calorie *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | x=(60*(45*12)) | x 60 45 12 * * = | x:dozen 60:calorie 45:bar 12:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:calorie 45:bar *:bar 12:calorie *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 10 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:dozen 45:bar *:dozen 12:calorie *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 225 | 32400 | x=((60*45)*12) | x 60 45 * 12 * = | x:dozen 60:calorie 45:bar *:bar 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | x=(60*(45*12)) | x 60 45 12 * * = | x:dozen 60:calorie 45:dozen 12:calorie *:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 225 | 225 | x=(60*(45/12)) | x 60 45 12 / * = | x:calorie 60:calorie 45:bar 12:calorie /:bar *:calorie =:calorie
EXPR: 0 | POS | INT | 11 | 225 | 600 | x=(60+(45*12)) | x 60 45 12 * + = | x:calorie 60:calorie 45:bar 12:calorie *:calorie +:calorie =:calorie
EXPR: 1 | POS | INT | 11 | 225 | 225 | x=((60*45)/12) | x 60 45 * 12 / = | x:bar 60:calorie 45:bar *:bar 12:calorie /:bar =:bar
EXPR: 0 | POS | INT | 11 | 225 | 16 | x=((60/45)*12) | x 60 45 / 12 * = | x:dozen 60:calorie 45:bar /:calorie 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | x=(60*(45*12)) | x 60 45 12 * * = | x:dozen 60:dozen 45:bar 12:calorie *:calorie *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 225 | 225 | x=(60*(45/12)) | x 60 45 12 / * = | x:dozen 60:calorie 45:dozen 12:calorie /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | x=((60*45)*12) | x 60 45 * 12 * = | x:calorie 60:calorie 45:bar *:bar 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 11 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:calorie 45:dozen *:dozen 12:calorie *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 225 | 225 | ((60*45)/12)=x | 60 45 * 12 / x = | 60:calorie 45:dozen *:dozen 12:calorie /:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:calorie 45:bar *:calorie 12:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:calorie 45:bar *:bar 12:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 225 | 225 | ((60*45)/12)=x | 60 45 * 12 / x = | 60:dozen 45:bar *:dozen 12:calorie /:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 225 | 225 | x=(60*(45/12)) | x 60 45 12 / * = | x:dozen 60:dozen 45:bar 12:calorie /:bar *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | (60*(45*12))=x | 60 45 12 * * x = | 60:calorie 45:bar 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 225 | 225 | x=((60*45)/12) | x 60 45 * 12 / = | x:dozen 60:calorie 45:dozen *:dozen 12:calorie /:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 225 | 225 | (60*(45/12))=x | 60 45 12 / * x = | 60:dozen 45:bar 12:calorie /:bar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | x=((60*45)*12) | x 60 45 * 12 * = | x:dozen 60:calorie 45:dozen *:dozen 12:calorie *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | (60*(45*12))=x | 60 45 12 * * x = | 60:dozen 45:bar 12:calorie *:bar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | x=(60*(45*12)) | x 60 45 12 * * = | x:dozen 60:dozen 45:bar 12:calorie *:bar *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 225 | 225 | (60*(45/12))=x | 60 45 12 / * x = | 60:calorie 45:dozen 12:calorie /:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | x=(60*(45*12)) | x 60 45 12 * * = | x:dozen 60:calorie 45:bar 12:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | (60*(45*12))=x | 60 45 12 * * x = | 60:calorie 45:dozen 12:calorie *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:calorie 45:bar *:bar 12:calorie *:calorie x:calorie =:calorie
EXPR: 0 | POS | INT | 11 | 225 | 32400 | ((60*45)*12)=x | 60 45 * 12 * x = | 60:dozen 45:bar *:dozen 12:calorie *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | x=((60*45)*12) | x 60 45 * 12 * = | x:dozen 60:calorie 45:bar *:bar 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 225 | 32400 | x=(60*(45*12)) | x 60 45 12 * * = | x:bar 60:calorie 45:bar 12:calorie *:bar *:bar =:bar
EXPR: 1 | POS | INT | 12 | 225 | 225 | ((60/x)*45)=12 | 60 x / 45 * 12 = | 60:calorie x:dozen /:calorie 45:bar *:bar 12:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 9 | ((60*x)/45)=12 | 60 x * 45 / 12 = | 60:calorie x:bar *:calorie 45:bar /:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 16 | ((x/60)*45)=12 | x 60 / 45 * 12 = | x:dozen 60:calorie /:dozen 45:bar *:bar 12:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 480 | ((60+x)/45)=12 | 60 x + 45 / 12 = | 60:calorie x:calorie +:calorie 45:bar /:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 32400 | 60=(x/(45*12)) | 60 x 45 12 * / = | 60:calorie x:calorie 45:bar 12:calorie *:bar /:calorie =:calorie
EXPR: 1 | POS | INT | 12 | 225 | 225 | ((60/x)*45)=12 | 60 x / 45 * 12 = | 60:calorie x:bar /:calorie 45:bar *:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 32400 | 60=(x/(45*12)) | 60 x 45 12 * / = | 60:dozen x:dozen 45:bar 12:calorie *:calorie /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 40 | 60=((45-x)*12) | 60 45 x - 12 * = | 60:calorie 45:bar x:bar -:bar 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 2688 | ((60*45)-x)=12 | 60 45 * x - 12 = | 60:calorie 45:bar *:calorie x:calorie -:calorie 12:calorie =:calorie
EXPR: 1 | POS | INT | 12 | 225 | 225 | ((60*45)/x)=12 | 60 45 * x / 12 = | 60:calorie 45:bar *:bar x:dozen /:bar 12:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 9 | 60=(45*(12/x)) | 60 45 12 x / * = | 60:calorie 45:bar 12:calorie x:bar /:calorie *:calorie =:calorie
EXPR: 1 | POS | INT | 12 | 225 | 225 | ((60*45)/x)=12 | 60 45 * x / 12 = | 60:calorie 45:dozen *:calorie x:dozen /:calorie 12:calorie =:calorie
EXPR: 1 | POS | INT | 12 | 225 | 225 | ((60*45)/x)=12 | 60 45 * x / 12 = | 60:calorie 45:bar *:calorie x:bar /:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 50 | 60=((x-45)*12) | 60 x 45 - 12 * = | 60:calorie x:dozen 45:dozen -:dozen 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | ((60/45)*x)=12 | 60 45 / x * 12 = | 60:calorie 45:dozen /:calorie x:dozen *:calorie 12:calorie =:calorie
EXPR: 1 | POS | INT | 12 | 225 | 225 | 60=((x/45)*12) | 60 x 45 / 12 * = | 60:calorie x:dozen 45:calorie /:dozen 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | ((60*x)/45)=12 | 60 x * 45 / 12 = | 60:calorie x:dozen *:dozen 45:bar /:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 32400 | x=(45*(60*12)) | x 45 60 12 * * = | x:dozen 45:bar 60:dozen 12:calorie *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 40 | 60=((45-x)*12) | 60 45 x - 12 * = | 60:calorie 45:dozen x:dozen -:dozen 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | ((x*60)/45)=12 | x 60 * 45 / 12 = | x:dozen 60:calorie *:calorie 45:dozen /:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 3240 | ((60+12)*45)=x | 60 12 + 45 * x = | 60:calorie 12:calorie +:calorie 45:bar *:calorie x:calorie =:calorie
EXPR: 1 | POS | INT | 12 | 225 | 225 | x=(45*(60/12)) | x 45 60 12 / * = | x:dozen 45:bar 60:dozen 12:calorie /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 50 | (60/(x-45))=12 | 60 x 45 - / 12 = | 60:calorie x:dozen 45:dozen -:dozen /:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 16 | x=(60*(12/45)) | x 60 12 45 / * = | x:dozen 60:calorie 12:dozen 45:bar /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 16 | 60=((45*x)/12) | 60 45 x * 12 / = | 60:bar 45:bar x:dozen *:bar 12:calorie /:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 16 | 60=((x*45)/12) | 60 x 45 * 12 / = | 60:bar x:dozen 45:bar *:bar 12:calorie /:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 9 | 60=((45/x)*12) | 60 45 x / 12 * = | 60:bar 45:bar x:dozen /:bar 12:calorie *:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 32400 | x=(45*(60*12)) | x 45 60 12 * * = | x:dozen 45:bar 60:calorie 12:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 9 | (x*(60/45))=12 | x 60 45 / * 12 = | x:dozen 60:calorie 45:dozen /:calorie *:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | (x*(60/45))=12 | x 60 45 / * 12 = | x:bar 60:calorie 45:bar /:calorie *:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | 60=((45*12)/x) | 60 45 12 * x / = | 60:bar 45:bar 12:calorie *:bar x:dozen /:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 9 | (x*60)=(45*12) | x 60 * 45 12 * = | x:dozen 60:calorie *:calorie 45:bar 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | 60=((45*12)/x) | 60 45 12 * x / = | 60:calorie 45:dozen 12:calorie *:calorie x:dozen /:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 2160 | (45*(60-12))=x | 45 60 12 - * x = | 45:bar 60:calorie 12:calorie -:calorie *:bar x:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 16 | 60=((45/12)*x) | 60 45 12 / x * = | 60:bar 45:bar 12:calorie /:bar x:dozen *:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 16 | 60=(x*(45/12)) | 60 x 45 12 / * = | 60:dozen x:dozen 45:bar 12:calorie /:bar *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 9 | (60*(x/45))=12 | 60 x 45 / * 12 = | 60:calorie x:dozen 45:calorie /:dozen *:calorie 12:calorie =:calorie
EXPR: 1 | POS | INT | 12 | 225 | 225 | ((60/x)*45)=12 | 60 x / 45 * 12 = | 60:calorie x:dozen /:calorie 45:dozen *:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | ((60/45)*x)=12 | 60 45 / x * 12 = | 60:calorie 45:bar /:calorie x:dozen *:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 32400 | (45*(60*12))=x | 45 60 12 * * x = | 45:bar 60:calorie 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 16 | ((60*12)/45)=x | 60 12 * 45 / x = | 60:dozen 12:calorie *:dozen 45:bar /:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 225 | 225 | (60*45)=(x*12) | 60 45 * x 12 * = | 60:calorie 45:bar *:calorie x:dozen 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 16 | (60*(12/45))=x | 60 12 45 / * x = | 60:dozen 12:calorie 45:bar /:calorie *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 9 | ((60/45)*x)=12 | 60 45 / x * 12 = | 60:calorie 45:bar /:calorie x:bar *:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 50 | (60/(x-45))=12 | 60 x 45 - / 12 = | 60:calorie x:bar 45:bar -:bar /:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 3240 | ((60+12)*45)=x | 60 12 + 45 * x = | 60:calorie 12:calorie +:calorie 45:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 9 | ((45/60)*12)=x | 45 60 / 12 * x = | 45:dozen 60:calorie /:dozen 12:calorie *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 225 | 225 | (60*(45/x))=12 | 60 45 x / * 12 = | 60:calorie 45:bar x:dozen /:bar *:bar 12:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 9 | 60=((45/x)*12) | 60 45 x / 12 * = | 60:calorie 45:bar x:calorie /:bar 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | 60=(45*(12/x)) | 60 45 12 x / * = | 60:calorie 45:dozen 12:calorie x:dozen /:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | ((45/60)*12)=x | 45 60 / 12 * x = | 45:bar 60:calorie /:bar 12:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 3240 | ((60+12)*45)=x | 60 12 + 45 * x = | 60:calorie 12:calorie +:calorie 45:bar *:bar x:bar =:bar
EXPR: 0 | POS | INT | 12 | 225 | 32400 | ((60*12)*45)=x | 60 12 * 45 * x = | 60:calorie 12:dozen *:dozen 45:bar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 32400 | x=((60*12)*45) | x 60 12 * 45 * = | x:dozen 60:calorie 12:dozen *:dozen 45:bar *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 9 | x=((45/60)*12) | x 45 60 / 12 * = | x:calorie 45:bar 60:calorie /:bar 12:calorie *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 16 | x=(60*(12/45)) | x 60 12 45 / * = | x:dozen 60:dozen 12:calorie 45:bar /:calorie *:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 225 | 225 | (60*45)=(12*x) | 60 45 * 12 x * = | 60:calorie 45:bar *:calorie 12:calorie x:dozen *:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 9 | (60/45)=(12/x) | 60 45 / 12 x / = | 60:calorie 45:bar /:calorie 12:calorie x:dozen /:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 16 | ((x/60)*45)=12 | x 60 / 45 * 12 = | x:dozen 60:calorie /:dozen 45:calorie *:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 16 | x=((60*12)/45) | x 60 12 * 45 / = | x:dozen 60:calorie 12:dozen *:dozen 45:bar /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 600 | 60=(x-(45*12)) | 60 x 45 12 * - = | 60:calorie x:calorie 45:bar 12:calorie *:calorie -:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 32400 | (x/(60*45))=12 | x 60 45 * / 12 = | x:calorie 60:calorie 45:bar *:bar /:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 2712 | (x-(60*45))=12 | x 60 45 * - 12 = | x:calorie 60:calorie 45:bar *:calorie -:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 16 | (60*(12/45))=x | 60 12 45 / * x = | 60:calorie 12:dozen 45:bar /:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 480 | ((x+60)/45)=12 | x 60 + 45 / 12 = | x:calorie 60:calorie +:calorie 45:bar /:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 600 | ((x-60)/45)=12 | x 60 - 45 / 12 = | x:calorie 60:calorie -:calorie 45:bar /:calorie 12:calorie =:calorie
EXPR: 0 | POS | INT | 12 | 225 | 16 | 60=((x*45)/12) | 60 x 45 * 12 / = | 60:dozen x:dozen 45:bar *:dozen 12:calorie /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 16 | 60=((45*x)/12) | 60 45 x * 12 / = | 60:dozen 45:bar x:dozen *:dozen 12:calorie /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 225 | 3240 | x=((60+12)*45) | x 60 12 + 45 * = | x:calorie 60:calorie 12:calorie +:calorie 45:bar *:calorie =:calorie
