parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 2208 | 138 | ((46/4)*12)=x | 46 4 / 12 * x = | 46:child 4:dozen /:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 1 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:child 4:dozen *:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 1 | 2208 | 2208 | x=(46*(4*12)) | x 46 4 12 * * = | x:pencil 46:child 4:dozen 12:pencil *:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 2 | 2208 | 2208 | (x/(46*4))=12 | x 46 4 * / 12 = | x:pencil 46:child 4:dozen *:child /:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 2 | 2208 | 138 | x=((46*12)/4) | x 46 12 * 4 / = | x:pencil 46:child 12:pencil *:pencil 4:dozen /:pencil =:pencil
EXPR: 0 | POS | INT | 2 | 2208 | 138 | (46*(12/4))=x | 46 12 4 / * x = | 46:child 12:pencil 4:dozen /:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 2 | 2208 | 138 | x=(46*(12/4)) | x 46 12 4 / * = | x:pencil 46:child 12:pencil 4:dozen /:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 2 | 2208 | 2208 | (4*(46*12))=x | 4 46 12 * * x = | 4:dozen 46:child 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 2 | 2208 | 138 | ((x/46)*4)=12 | x 46 / 4 * 12 = | x:pencil 46:child /:pencil 4:dozen *:pencil 12:pencil =:pencil
EXPR: 1 | POS | INT | 2 | 2208 | 2208 | x=(4*(46*12)) | x 4 46 12 * * = | x:pencil 4:dozen 46:child 12:pencil *:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 2 | 2208 | 2208 | (x/(46*4))=12 | x 46 4 * / 12 = | x:pencil 46:child 4:dozen *:dozen /:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 3 | 2208 | 138 | x=((46*12)/4) | x 46 12 * 4 / = | x:pencil 46:child 12:pencil *:pencil 4:dozen /:pencil =:pencil
EXPR: 0 | POS | INT | 3 | 2208 | 138 | (46*(12/4))=x | 46 12 4 / * x = | 46:child 12:pencil 4:dozen /:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 3 | 2208 | 138 | x=(46*(12/4)) | x 46 12 4 / * = | x:pencil 46:child 12:pencil 4:dozen /:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 3 | 2208 | 2208 | (4*(46*12))=x | 4 46 12 * * x = | 4:dozen 46:child 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 3 | 2208 | 2208 | x=(4*(46*12)) | x 4 46 12 * * = | x:pencil 4:dozen 46:child 12:pencil *:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 4 | 2208 | 138 | ((x*4)/46)=12 | x 4 * 46 / 12 = | x:pencil 4:dozen *:pencil 46:child /:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 4 | 2208 | 138 | ((4/46)*x)=12 | 4 46 / x * 12 = | 4:dozen 46:child /:dozen x:pencil *:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 4 | 2208 | 138 | ((4*x)/46)=12 | 4 x * 46 / 12 = | 4:dozen x:pencil *:pencil 46:child /:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 4 | 2208 | 138 | (x*(4/46))=12 | x 4 46 / * 12 = | x:pencil 4:dozen 46:child /:dozen *:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 5 | 2208 | 138 | (12*(46/4))=x | 12 46 4 / * x = | 12:pencil 46:child 4:dozen /:child *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 5 | 2208 | 2208 | (12*(46*4))=x | 12 46 4 * * x = | 12:pencil 46:child 4:dozen *:child *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 5 | 2208 | 2208 | (12*(46*4))=x | 12 46 4 * * x = | 12:pencil 46:child 4:dozen *:dozen *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 5 | 2208 | 138 | x=(12*(46/4)) | x 12 46 4 / * = | x:pencil 12:pencil 46:child 4:dozen /:child *:pencil =:pencil
EXPR: 1 | POS | INT | 5 | 2208 | 2208 | x=(12*(46*4)) | x 12 46 4 * * = | x:pencil 12:pencil 46:child 4:dozen *:dozen *:pencil =:pencil
EXPR: 1 | POS | INT | 5 | 2208 | 2208 | x=(12*(46*4)) | x 12 46 4 * * = | x:pencil 12:pencil 46:child 4:dozen *:child *:pencil =:pencil
EXPR: 1 | POS | INT | 6 | 2208 | 2208 | (12*(46*4))=x | 12 46 4 * * x = | 12:pencil 46:child 4:dozen *:child *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 6 | 2208 | 2208 | (12*(46*4))=x | 12 46 4 * * x = | 12:pencil 46:child 4:dozen *:dozen *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 6 | 2208 | 2208 | x=(12*(46*4)) | x 12 46 4 * * = | x:pencil 12:pencil 46:child 4:dozen *:dozen *:pencil =:pencil
EXPR: 0 | POS | INT | 6 | 2208 | 138 | (12*(46/4))=x | 12 46 4 / * x = | 12:pencil 46:child 4:dozen /:child *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 6 | 2208 | 138 | x=(12*(46/4)) | x 12 46 4 / * = | x:pencil 12:pencil 46:child 4:dozen /:child *:pencil =:pencil
EXPR: 1 | POS | INT | 6 | 2208 | 2208 | x=(12*(46*4)) | x 12 46 4 * * = | x:pencil 12:pencil 46:child 4:dozen *:child *:pencil =:pencil
EXPR: 0 | POS | INT | 7 | 2208 | 138 | ((12/4)*46)=x | 12 4 / 46 * x = | 12:pencil 4:dozen /:pencil 46:child *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 7 | 2208 | 138 | x=((12/4)*46) | x 12 4 / 46 * = | x:pencil 12:pencil 4:dozen /:pencil 46:child *:pencil =:pencil
EXPR: 1 | POS | INT | 7 | 2208 | 2208 | 12=(x/(46*4)) | 12 x 46 4 * / = | 12:pencil x:pencil 46:child 4:dozen *:child /:pencil =:pencil
EXPR: 1 | POS | INT | 7 | 2208 | 2208 | 12=(x/(46*4)) | 12 x 46 4 * / = | 12:pencil x:pencil 46:child 4:dozen *:dozen /:pencil =:pencil
EXPR: 0 | POS | INT | 8 | 2208 | 138 | ((12/4)*46)=x | 12 4 / 46 * x = | 12:pencil 4:dozen /:pencil 46:child *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 8 | 2208 | 138 | x=((12/4)*46) | x 12 4 / 46 * = | x:pencil 12:pencil 4:dozen /:pencil 46:child *:pencil =:pencil
EXPR: 0 | POS | INT | 9 | 2208 | 138 | 12=(4*(x/46)) | 12 4 x 46 / * = | 12:pencil 4:dozen x:pencil 46:child /:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 9 | 2208 | 138 | 12=((4*x)/46) | 12 4 x * 46 / = | 12:pencil 4:dozen x:pencil *:pencil 46:child /:pencil =:pencil
EXPR: 0 | POS | INT | 9 | 2208 | 138 | 12=(x*(4/46)) | 12 x 4 46 / * = | 12:pencil x:pencil 4:dozen 46:child /:dozen *:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 196 | x=((46*4)+12) | x 46 4 * 12 + = | x:pencil 46:child 4:pencil *:pencil 12:pencil +:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 172 | x=((46*4)-12) | x 46 4 * 12 - = | x:pencil 46:child 4:pencil *:pencil 12:pencil -:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 138 | x=((46/4)*12) | x 46 4 / 12 * = | x:pencil 46:child 4:pencil /:child 12:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | x=(46*(4*12)) | x 46 4 12 * * = | x:pencil 46:child 4:child 12:pencil *:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 736 | x=(46*(4+12)) | x 46 4 12 + * = | x:pencil 46:child 4:pencil 12:pencil +:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 196 | ((46*4)+12)=x | 46 4 * 12 + x = | 46:child 4:pencil *:pencil 12:pencil +:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 504 | ((46-4)*12)=x | 46 4 - 12 * x = | 46:dozen 4:dozen -:dozen 12:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 736 | (46*(4+12))=x | 46 4 12 + * x = | 46:child 4:pencil 12:pencil +:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | x=((46*4)*12) | x 46 4 * 12 * = | x:pencil 46:child 4:pencil *:child 12:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | x=(46*(4*12)) | x 46 4 12 * * = | x:pencil 46:dozen 4:dozen 12:pencil *:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:child 4:dozen 12:pencil *:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:child 4:dozen 12:pencil *:pencil *:child x:child =:child
EXPR: 0 | POS | INT | 10 | 2208 | 138 | ((46/4)*12)=x | 46 4 / 12 * x = | 46:child 4:pencil /:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | x=((46*4)*12) | x 46 4 * 12 * = | x:pencil 46:pencil 4:dozen *:dozen 12:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:child 4:pencil *:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 138 | ((46/4)*12)=x | 46 4 / 12 * x = | 46:child 4:dozen /:child 12:pencil *:child x:child =:child
EXPR: 0 | POS | INT | 10 | 2208 | 600 | ((46+4)*12)=x | 46 4 + 12 * x = | 46:child 4:child +:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:child 4:dozen *:child 12:pencil *:child x:child =:child
EXPR: 0 | POS | INT | 10 | 2208 | 504 | x=((46-4)*12) | x 46 4 - 12 * = | x:pencil 46:child 4:child -:child 12:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 600 | ((46+4)*12)=x | 46 4 + 12 * x = | 46:dozen 4:dozen +:dozen 12:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 600 | x=((46+4)*12) | x 46 4 + 12 * = | x:pencil 46:child 4:child +:child 12:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 504 | ((46-4)*12)=x | 46 4 - 12 * x = | 46:child 4:child -:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:pencil 4:dozen 12:pencil *:dozen *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 94 | (46+(4*12))=x | 46 4 12 * + x = | 46:pencil 4:dozen 12:pencil *:pencil +:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 172 | x=((46*4)-12) | x 46 4 * 12 - = | x:pencil 46:pencil 4:dozen *:pencil 12:pencil -:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 196 | x=((46*4)+12) | x 46 4 * 12 + = | x:pencil 46:pencil 4:dozen *:pencil 12:pencil +:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 504 | x=((46-4)*12) | x 46 4 - 12 * = | x:pencil 46:dozen 4:dozen -:dozen 12:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:dozen 4:dozen 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | x=(46*(4*12)) | x 46 4 12 * * = | x:dozen 46:child 4:dozen 12:pencil *:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:child 4:child 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 10 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:pencil 4:dozen *:dozen 12:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 10 | 2208 | 172 | ((46*4)-12)=x | 46 4 * 12 - x = | 46:child 4:pencil *:pencil 12:pencil -:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 196 | x=((46*4)+12) | x 46 4 * 12 + = | x:pencil 46:child 4:pencil *:pencil 12:pencil +:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | x=(46*(4*12)) | x 46 4 12 * * = | x:pencil 46:child 4:child 12:pencil *:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 172 | x=((46*4)-12) | x 46 4 * 12 - = | x:pencil 46:child 4:pencil *:pencil 12:pencil -:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 736 | x=(46*(4+12)) | x 46 4 12 + * = | x:pencil 46:child 4:pencil 12:pencil +:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 196 | ((46*4)+12)=x | 46 4 * 12 + x = | 46:child 4:pencil *:pencil 12:pencil +:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 504 | ((46-4)*12)=x | 46 4 - 12 * x = | 46:dozen 4:dozen -:dozen 12:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 736 | (46*(4+12))=x | 46 4 12 + * x = | 46:child 4:pencil 12:pencil +:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | x=((46*4)*12) | x 46 4 * 12 * = | x:pencil 46:child 4:pencil *:child 12:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | x=(46*(4*12)) | x 46 4 12 * * = | x:pencil 46:dozen 4:dozen 12:pencil *:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 172 | ((46*4)-12)=x | 46 4 * 12 - x = | 46:child 4:pencil *:pencil 12:pencil -:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 138 | x=((46/4)*12) | x 46 4 / 12 * = | x:pencil 46:child 4:pencil /:child 12:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:child 4:dozen 12:pencil *:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:child 4:dozen 12:pencil *:pencil *:child x:child =:child
EXPR: 0 | POS | INT | 11 | 2208 | 138 | ((46/4)*12)=x | 46 4 / 12 * x = | 46:child 4:pencil /:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | x=((46*4)*12) | x 46 4 * 12 * = | x:pencil 46:pencil 4:dozen *:dozen 12:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 138 | ((46/4)*12)=x | 46 4 / 12 * x = | 46:child 4:dozen /:child 12:pencil *:child x:child =:child
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:child 4:pencil *:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 600 | ((46+4)*12)=x | 46 4 + 12 * x = | 46:child 4:child +:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:child 4:dozen *:child 12:pencil *:child x:child =:child
EXPR: 0 | POS | INT | 11 | 2208 | 504 | x=((46-4)*12) | x 46 4 - 12 * = | x:pencil 46:child 4:child -:child 12:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 600 | ((46+4)*12)=x | 46 4 + 12 * x = | 46:dozen 4:dozen +:dozen 12:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 600 | x=((46+4)*12) | x 46 4 + 12 * = | x:pencil 46:child 4:child +:child 12:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 504 | ((46-4)*12)=x | 46 4 - 12 * x = | 46:child 4:child -:child 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:pencil 4:dozen 12:pencil *:dozen *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 94 | (46+(4*12))=x | 46 4 12 * + x = | 46:pencil 4:dozen 12:pencil *:pencil +:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 172 | x=((46*4)-12) | x 46 4 * 12 - = | x:pencil 46:pencil 4:dozen *:pencil 12:pencil -:pencil =:pencil
EXPR: 0 | POS | INT | 11 | 2208 | 504 | x=((46-4)*12) | x 46 4 - 12 * = | x:pencil 46:dozen 4:dozen -:dozen 12:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:dozen 4:dozen 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | (46*(4*12))=x | 46 4 12 * * x = | 46:child 4:child 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | x=(46*(4*12)) | x 46 4 12 * * = | x:dozen 46:child 4:dozen 12:pencil *:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 2208 | 2208 | ((46*4)*12)=x | 46 4 * 12 * x = | 46:pencil 4:dozen *:dozen 12:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | (4*(46*12))=x | 4 46 12 * * x = | 4:dozen 46:dozen 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 138 | 46=((4/12)*x) | 46 4 12 / x * = | 46:pencil 4:dozen 12:pencil /:dozen x:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 232 | x=(4*(46+12)) | x 4 46 12 + * = | x:pencil 4:dozen 46:pencil 12:pencil +:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 138 | 46=(x*(4/12)) | 46 x 4 12 / * = | 46:child x:child 4:dozen 12:pencil /:dozen *:child =:child
EXPR: 0 | POS | INT | 12 | 2208 | 368 | (46*(12-4))=x | 46 12 4 - * x = | 46:child 12:pencil 4:pencil -:pencil *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | 46=(x/(4*12)) | 46 x 4 12 * / = | 46:child x:child 4:dozen 12:pencil *:pencil /:child =:child
EXPR: 0 | POS | INT | 12 | 2208 | 232 | (4*(46+12))=x | 4 46 12 + * x = | 4:dozen 46:pencil 12:pencil +:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 138 | (46*(12/4))=x | 46 12 4 / * x = | 46:dozen 12:pencil 4:dozen /:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 138 | 46=(x*(4/12)) | 46 x 4 12 / * = | 46:pencil x:pencil 4:dozen 12:pencil /:dozen *:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 138 | x=((46*12)/4) | x 46 12 * 4 / = | x:pencil 46:child 12:pencil *:pencil 4:child /:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 600 | (x/(46+4))=12 | x 46 4 + / 12 = | x:pencil 46:child 4:child +:child /:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 600 | (x/(46+4))=12 | x 46 4 + / 12 = | x:pencil 46:dozen 4:dozen +:dozen /:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 138 | 46=((4/12)*x) | 46 4 12 / x * = | 46:child 4:child 12:pencil /:child x:pencil *:child =:child
EXPR: 0 | POS | INT | 12 | 2208 | 138 | 46=((4*x)/12) | 46 4 x * 12 / = | 46:dozen 4:dozen x:pencil *:dozen 12:pencil /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 2208 | 138 | x=((46*12)/4) | x 46 12 * 4 / = | x:child 46:child 12:pencil *:child 4:dozen /:child =:child
EXPR: 0 | POS | INT | 12 | 2208 | 548 | x=((46*12)-4) | x 46 12 * 4 - = | x:pencil 46:child 12:pencil *:pencil 4:pencil -:pencil =:pencil
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | x=((46*12)*4) | x 46 12 * 4 * = | x:child 46:child 12:pencil *:child 4:dozen *:child =:child
EXPR: 0 | POS | INT | 12 | 2208 | 556 | x=((46*12)+4) | x 46 12 * 4 + = | x:pencil 46:child 12:pencil *:pencil 4:pencil +:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 138 | 46=(x*(4/12)) | 46 x 4 12 / * = | 46:child x:pencil 4:child 12:pencil /:child *:child =:child
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | (4*(46*12))=x | 4 46 12 * * x = | 4:dozen 46:child 12:pencil *:child *:child x:child =:child
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | (x/(46*4))=12 | x 46 4 * / 12 = | x:pencil 46:child 4:pencil *:child /:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 232 | x=((46+12)*4) | x 46 12 + 4 * = | x:pencil 46:pencil 12:pencil +:pencil 4:dozen *:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 136 | x=((46-12)*4) | x 46 12 - 4 * = | x:pencil 46:pencil 12:pencil -:pencil 4:dozen *:pencil =:pencil
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | (4*(46*12))=x | 4 46 12 * * x = | 4:child 46:child 12:pencil *:pencil *:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 172 | ((46*4)-x)=12 | 46 4 * x - 12 = | 46:pencil 4:dozen *:pencil x:pencil -:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 368 | x=(46*(12-4)) | x 46 12 4 - * = | x:pencil 46:child 12:pencil 4:pencil -:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 504 | (x/(46-4))=12 | x 46 4 - / 12 = | x:pencil 46:child 4:child -:child /:pencil 12:pencil =:pencil
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | x=((46*12)*4) | x 46 12 * 4 * = | x:dozen 46:child 12:pencil *:pencil 4:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | (4*(46*12))=x | 4 46 12 * * x = | 4:dozen 46:child 12:pencil *:child *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 2208 | 43 | (46-(12/4))=x | 46 12 4 / - x = | 46:pencil 12:pencil 4:dozen /:pencil -:pencil x:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 138 | x=(46*(12/4)) | x 46 12 4 / * = | x:child 46:child 12:pencil 4:dozen /:pencil *:child =:child
EXPR: 0 | POS | INT | 12 | 2208 | 2 | 46=((4*12)-x) | 46 4 12 * x - = | 46:pencil 4:dozen 12:pencil *:pencil x:pencil -:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 136 | (46-(x/4))=12 | 46 x 4 / - 12 = | 46:pencil x:pencil 4:dozen /:pencil -:pencil 12:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 49 | (46+(12/4))=x | 46 12 4 / + x = | 46:pencil 12:pencil 4:dozen /:pencil +:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | (4*(46*12))=x | 4 46 12 * * x = | 4:pencil 46:child 12:pencil *:child *:pencil x:pencil =:pencil
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | x=(4*(46*12)) | x 4 46 12 * * = | x:pencil 4:dozen 46:dozen 12:pencil *:pencil *:pencil =:pencil
EXPR: 1 | POS | INT | 12 | 2208 | 2208 | x=(4*(46*12)) | x 4 46 12 * * = | x:pencil 4:child 46:child 12:pencil *:pencil *:pencil =:pencil
EXPR: 0 | POS | INT | 12 | 2208 | 138 | ((x/46)*4)=12 | x 46 / 4 * 12 = | x:pencil 46:dozen /:pencil 4:dozen *:pencil 12:pencil =:pencil
