parameters: n=5 l=2 k=1 p=5 q=3 m=8
TOTAL 258 solutions found
EXPR: 0 | POS | INT | 10 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:dollar 9:penny 7:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:dollar 7:quarter /:dollar 9:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 1.84 | 16 | (x-9)=7 | x 9 - 7 = | x:dollar 9:dollar -:dollar 7:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 1.84 | 63 | (x/9)=7 | x 9 / 7 = | x:dollar 9:quarter /:dollar 7:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 1.84 | 2 | 9=(7+x) | 9 7 x + = | 9:penny 7:penny x:penny +:penny =:penny
EXPR: 0 | POS | INT | 22 | 1.84 | 16 | (x-9)=7 | x 9 - 7 = | x:quarter 9:quarter -:quarter 7:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 1.84 | 2 | (9-x)=7 | 9 x - 7 = | 9:penny x:penny -:penny 7:penny =:penny
EXPR: 0 | POS | INT | 22 | 1.84 | 63 | (x/9)=7 | x 9 / 7 = | x:quarter 9:dollar /:quarter 7:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 1.84 | 2 | (9-x)=7 | 9 x - 7 = | 9:quarter x:quarter -:quarter 7:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 1.84 | 63 | 9=(x/7) | 9 x 7 / = | 9:dollar x:dollar 7:penny /:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 1.84 | 2 | 9=(x+7) | 9 x 7 + = | 9:quarter x:quarter 7:quarter +:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 1.84 | 16 | 9=(x-7) | 9 x 7 - = | 9:quarter x:quarter 7:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 1.84 | 2 | 9=(x+7) | 9 x 7 + = | 9:dollar x:dollar 7:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 1.84 | 16 | 9=(x-7) | 9 x 7 - = | 9:dollar x:dollar 7:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:quarter x:quarter 9:penny /:quarter =:quarter
EXPR: 0 | POS | INT | 22 | 1.84 | 16 | 9=(x-7) | 9 x 7 - = | 9:penny x:penny 7:penny -:penny =:penny
EXPR: 0 | POS | INT | 22 | 1.84 | 2 | 9=(x+7) | 9 x 7 + = | 9:penny x:penny 7:penny +:penny =:penny
EXPR: 0 | POS | INT | 22 | 1.84 | 2 | (9-x)=7 | 9 x - 7 = | 9:dollar x:dollar -:dollar 7:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 1.84 | 2 | 9=(7+x) | 9 7 x + = | 9:dollar 7:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 30 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:quarter 9:quarter 7:penny *:quarter =:quarter
EXPR: 0 | POS | INT | 30 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:quarter 7:penny *:penny =:penny
EXPR: 0 | POS | INT | 30 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:quarter 9:quarter 7:dollar *:quarter =:quarter
EXPR: 0 | POS | INT | 30 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:dollar 7:penny *:penny =:penny
EXPR: 0 | POS | INT | 31 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:quarter 9:quarter 7:dollar *:quarter =:quarter
EXPR: 0 | POS | INT | 31 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:quarter 9:quarter 7:penny *:quarter =:quarter
EXPR: 0 | POS | INT | 31 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:quarter 7:penny *:penny =:penny
EXPR: 0 | POS | INT | 31 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:dollar 7:penny *:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:penny 7:dollar /:penny 9:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | 7=(x-9) | 7 x 9 - = | 7:penny x:penny 9:penny -:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (7+x)=9 | 7 x + 9 = | 7:dollar x:dollar +:dollar 9:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:dollar x:dollar 9:quarter /:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:dollar 7:penny /:dollar 9:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | 7=(x-9) | 7 x 9 - = | 7:dollar x:dollar 9:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | (x-7)=9 | x 7 - 9 = | x:penny 7:penny -:penny 9:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | (x/9)=7 | x 9 / 7 = | x:penny 9:quarter /:penny 7:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | 7=(9-x) | 7 9 x - = | 7:dollar 9:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (x+7)=9 | x 7 + 9 = | x:penny 7:penny +:penny 9:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | (x-7)=9 | x 7 - 9 = | x:dollar 7:dollar -:dollar 9:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (x+7)=9 | x 7 + 9 = | x:dollar 7:dollar +:dollar 9:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:quarter x:quarter 9:dollar /:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | 7=(9-x) | 7 9 x - = | 7:penny 9:penny x:penny -:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | 9=(x/7) | 9 x 7 / = | 9:quarter x:quarter 7:dollar /:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | (x/9)=7 | x 9 / 7 = | x:penny 9:dollar /:penny 7:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | (x-7)=9 | x 7 - 9 = | x:quarter 7:quarter -:quarter 9:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (x+7)=9 | x 7 + 9 = | x:quarter 7:quarter +:quarter 9:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | 7=(9-x) | 7 9 x - = | 7:quarter 9:quarter x:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | 7=(x-9) | 7 x 9 - = | 7:quarter x:quarter 9:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (7+x)=9 | 7 x + 9 = | 7:penny x:penny +:penny 9:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (7+x)=9 | 7 x + 9 = | 7:quarter x:quarter +:quarter 9:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | 9=(x/7) | 9 x 7 / = | 9:quarter x:quarter 7:penny /:quarter =:quarter
EXPR: 0 | POS | INT | 42 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:penny x:penny 9:dollar /:penny =:penny
EXPR: 0 | POS | INT | 42 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:penny x:penny 9:quarter /:penny =:penny
EXPR: 0 | POS | INT | 42 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:quarter 7:dollar /:quarter 9:quarter =:quarter
EXPR: 0 | POS | INT | 42 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:quarter 7:penny /:quarter 9:quarter =:quarter
NET 90 non-negative, integer-valued solutions found out of 258 total solutions
