parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 2 | 35 | 170 | (85*(10/x))=5 | 85 10 x / * 5 = | 85:dollar 10:book x:money /:book *:dollar 5:dollar =:dollar
EXPR: 1 | POS | INT | 11 | 35 | 35 | x=(85-(10*5)) | x 85 10 5 * - = | x:dollar 85:dollar 10:book 5:dollar *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:money 85:dollar 10:money *:money 5:dollar /:money =:money
EXPR: 0 | POS | INT | 12 | 35 | 4250 | 85=(x/(10*5)) | 85 x 10 5 * / = | 85:money x:money 10:book 5:dollar *:book /:money =:money
EXPR: 0 | POS | INT | 12 | 35 | 7 | (85/(10+x))=5 | 85 10 x + / 5 = | 85:dollar 10:money x:money +:money /:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 7 | (85/(x+10))=5 | 85 x 10 + / 5 = | 85:dollar x:book 10:book +:book /:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 7 | 85=((x+10)*5) | 85 x 10 + 5 * = | 85:dollar x:money 10:money +:money 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 27 | 85=((x-10)*5) | 85 x 10 - 5 * = | 85:dollar x:money 10:money -:money 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | ((85*10)/x)=5 | 85 10 * x / 5 = | 85:dollar 10:money *:dollar x:money /:dollar 5:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 35 | 35 | ((85-x)/10)=5 | 85 x - 10 / 5 = | 85:dollar x:dollar -:dollar 10:book /:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | ((85/x)*10)=5 | 85 x / 10 * 5 = | 85:dollar x:book /:dollar 10:book *:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | 85=((x/10)*5) | 85 x 10 / 5 * = | 85:dollar x:money 10:dollar /:money 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 9 | 85=((10*x)-5) | 85 10 x * 5 - = | 85:dollar 10:dollar x:money *:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 8 | 85=((10*x)+5) | 85 10 x * 5 + = | 85:dollar 10:dollar x:money *:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 855 | (x-(85*10))=5 | x 85 10 * - 5 = | x:dollar 85:dollar 10:book *:dollar -:dollar 5:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 35 | 35 | 85=(x+(10*5)) | 85 x 10 5 * + = | 85:dollar x:dollar 10:book 5:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 135 | 85=(x-(10*5)) | 85 x 10 5 * - = | 85:dollar x:dollar 10:book 5:dollar *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 8 | (85-(10*x))=5 | 85 10 x * - 5 = | 85:dollar 10:book x:dollar *:dollar -:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 4250 | (x/(85*10))=5 | x 85 10 * / 5 = | x:money 85:dollar 10:book *:book /:money 5:money =:money
EXPR: 0 | POS | INT | 12 | 35 | 15 | 85=(10+(5*x)) | 85 10 5 x * + = | 85:dollar 10:dollar 5:dollar x:money *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 9 | 85=((x*10)-5) | 85 x 10 * 5 - = | 85:dollar x:money 10:dollar *:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | 85=(x*(5/10)) | 85 x 5 10 / * = | 85:dollar x:money 5:dollar 10:book /:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 15 | 85=(10+(x*5)) | 85 10 x 5 * + = | 85:dollar 10:dollar x:money 5:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 8 | 85=((x*10)+5) | 85 x 10 * 5 + = | 85:dollar x:money 10:dollar *:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | ((85/x)*10)=5 | 85 x / 10 * 5 = | 85:dollar x:money /:dollar 10:money *:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 800 | 85=((x/10)+5) | 85 x 10 / 5 + = | 85:dollar x:dollar 10:book /:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 8 | 85=((x*10)+5) | 85 x 10 * 5 + = | 85:dollar x:dollar 10:book *:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 17 | 85=(x*(10-5)) | 85 x 10 5 - * = | 85:dollar x:money 10:dollar 5:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 4250 | 85=(x/(10*5)) | 85 x 10 5 * / = | 85:dollar x:dollar 10:book 5:dollar *:book /:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 9 | 85=((x*10)-5) | 85 x 10 * 5 - = | 85:dollar x:dollar 10:book *:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 4250 | (x/(85*10))=5 | x 85 10 * / 5 = | x:dollar 85:dollar 10:book *:book /:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 7 | 85=((10+x)*5) | 85 10 x + 5 * = | 85:dollar 10:book x:book +:book 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | 85=((x/10)*5) | 85 x 10 / 5 * = | 85:money x:money 10:book /:money 5:dollar *:money =:money
EXPR: 0 | POS | INT | 12 | 35 | 170 | (85*10)=(x*5) | 85 10 * x 5 * = | 85:dollar 10:book *:dollar x:money 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | (85*(10/x))=5 | 85 10 x / * 5 = | 85:dollar 10:book x:dollar /:book *:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 8 | (85-(10*x))=5 | 85 10 x * - 5 = | 85:dollar 10:dollar x:money *:dollar -:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 900 | 85=((x/10)-5) | 85 x 10 / 5 - = | 85:dollar x:dollar 10:book /:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 7 | (85/(10+x))=5 | 85 10 x + / 5 = | 85:dollar 10:book x:book +:book /:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | (85*10)=(5*x) | 85 10 * 5 x * = | 85:dollar 10:book *:dollar 5:dollar x:money *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | ((85/x)*10)=5 | 85 x / 10 * 5 = | 85:dollar x:money /:dollar 10:book *:book 5:book =:book
EXPR: 0 | POS | INT | 12 | 35 | 170 | ((85*10)/x)=5 | 85 10 * x / 5 = | 85:dollar 10:book *:book x:money /:book 5:book =:book
EXPR: 0 | POS | INT | 12 | 35 | 4250 | (x/(85*10))=5 | x 85 10 * / 5 = | x:money 85:dollar 10:book *:dollar /:money 5:money =:money
EXPR: 0 | POS | INT | 12 | 35 | 7 | 85=((x+10)*5) | 85 x 10 + 5 * = | 85:dollar x:book 10:book +:book 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | ((85*10)/x)=5 | 85 10 * x / 5 = | 85:dollar 10:book *:dollar x:book /:dollar 5:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | 85=((x*5)/10) | 85 x 5 * 10 / = | 85:dollar x:money 5:dollar *:dollar 10:book /:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 35 | 170 | 85=((5*x)/10) | 85 5 x * 10 / = | 85:dollar 5:dollar x:money *:dollar 10:book /:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 35 | 170 | 5=((85*10)/x) | 5 85 10 * x / = | 5:dollar 85:dollar 10:book *:dollar x:money /:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:dollar 85:dollar 10:money 5:dollar /:money *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 1275 | x=(85*(10+5)) | x 85 10 5 + * = | x:money 85:dollar 10:money 5:money +:money *:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 475 | x=((85+10)*5) | x 85 10 + 5 * = | x:money 85:book 10:book +:book 5:money *:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:dollar 85:dollar 10:book *:dollar 5:book /:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 1275 | x=(85*(10+5)) | x 85 10 5 + * = | x:dollar 85:dollar 10:book 5:book +:book *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 425 | x=(85*(10-5)) | x 85 10 5 - * = | x:dollar 85:dollar 10:book 5:book -:book *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:money 85:money 10:dollar *:money 5:dollar /:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:money 85:money 10:book *:money 5:book /:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:book 85:money 10:book 5:dollar /:book *:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 70 | x=((85-10)-5) | x 85 10 - 5 - = | x:dollar 85:dollar 10:dollar -:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 80 | x=((85-10)+5) | x 85 10 - 5 + = | x:dollar 85:dollar 10:dollar -:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 375 | x=((85-10)*5) | x 85 10 - 5 * = | x:dollar 85:book 10:book -:book 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 855 | x=((85*10)+5) | x 85 10 * 5 + = | x:book 85:dollar 10:book *:book 5:book +:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 845 | x=((85*10)-5) | x 85 10 * 5 - = | x:book 85:dollar 10:book *:book 5:book -:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 475 | x=((85+10)*5) | x 85 10 + 5 * = | x:dollar 85:book 10:book +:book 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 90 | x=((85+10)-5) | x 85 10 + 5 - = | x:dollar 85:dollar 10:dollar +:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 845 | x=((85*10)-5) | x 85 10 * 5 - = | x:money 85:money 10:book *:money 5:money -:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 855 | x=((85*10)+5) | x 85 10 * 5 + = | x:money 85:money 10:book *:money 5:money +:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 100 | x=((85+10)+5) | x 85 10 + 5 + = | x:dollar 85:dollar 10:dollar +:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 83 | x=(85-(10/5)) | x 85 10 5 / - = | x:book 85:book 10:book 5:dollar /:book -:book =:book
EXPR: 1 | POS | INT | 20 | 35 | 35 | x=(85-(10*5)) | x 85 10 5 * - = | x:book 85:book 10:book 5:dollar *:book -:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 475 | x=((85+10)*5) | x 85 10 + 5 * = | x:money 85:dollar 10:dollar +:dollar 5:money *:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 475 | x=((85+10)*5) | x 85 10 + 5 * = | x:book 85:book 10:book +:book 5:dollar *:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 135 | x=(85+(10*5)) | x 85 10 5 * + = | x:money 85:money 10:book 5:money *:money +:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:dollar 85:dollar 10:book 5:money /:book *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 375 | x=((85-10)*5) | x 85 10 - 5 * = | x:book 85:book 10:book -:book 5:dollar *:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:money 10:book 5:money /:book *:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 900 | x=((85+5)*10) | x 85 5 + 10 * = | x:dollar 85:dollar 5:dollar +:dollar 10:book *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 1275 | x=(85*(10+5)) | x 85 10 5 + * = | x:book 85:dollar 10:book 5:book +:book *:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 800 | x=((85-5)*10) | x 85 5 - 10 * = | x:book 85:dollar 5:dollar -:dollar 10:book *:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 425 | x=(85*(10-5)) | x 85 10 5 - * = | x:book 85:dollar 10:book 5:book -:book *:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:dollar 85:dollar 10:book *:dollar 5:money /:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=((85/5)*10) | x 85 5 / 10 * = | x:money 85:money 5:dollar /:money 10:book *:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 8 | x=((85-5)/10) | x 85 5 - 10 / = | x:dollar 85:dollar 5:dollar -:dollar 10:book /:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:book 10:money 5:dollar /:money *:money =:money
EXPR: 1 | POS | INT | 20 | 35 | 35 | x=(85-(10*5)) | x 85 10 5 * - = | x:money 85:money 10:book 5:money *:money -:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=(10*(85/5)) | x 10 85 5 / * = | x:money 10:book 85:money 5:dollar /:money *:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:dollar 10:money 5:book /:money *:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 15 | x=((85-10)/5) | x 85 10 - 5 / = | x:book 85:book 10:book -:book 5:dollar /:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 19 | x=((85+10)/5) | x 85 10 + 5 / = | x:book 85:book 10:book +:book 5:dollar /:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:book 85:money 10:book *:book 5:dollar /:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 800 | x=((85-5)*10) | x 85 5 - 10 * = | x:dollar 85:dollar 5:dollar -:dollar 10:book *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 35 | 15 | x=((85-10)/5) | x 85 10 - 5 / = | x:money 85:money 10:money -:money 5:dollar /:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 855 | x=((85*10)+5) | x 85 10 * 5 + = | x:money 85:dollar 10:money *:money 5:money +:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 900 | x=((85+5)*10) | x 85 5 + 10 * = | x:book 85:dollar 5:dollar +:dollar 10:book *:book =:book
EXPR: 0 | POS | INT | 20 | 35 | 900 | x=((85+5)*10) | x 85 5 + 10 * = | x:money 85:dollar 5:dollar +:dollar 10:money *:money =:money
EXPR: 0 | POS | INT | 20 | 35 | 375 | x=((85-10)*5) | x 85 10 - 5 * = | x:money 85:book 10:book -:book 5:money *:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 425 | x=(85*(10-5)) | x 85 10 5 - * = | x:dollar 85:dollar 10:book 5:book -:book *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 1275 | x=(85*(10+5)) | x 85 10 5 + * = | x:dollar 85:dollar 10:book 5:book +:book *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:book 85:money 10:book 5:dollar /:book *:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:money 85:money 10:book *:money 5:book /:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 70 | x=((85-10)-5) | x 85 10 - 5 - = | x:dollar 85:dollar 10:dollar -:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:money 85:money 10:dollar *:money 5:dollar /:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 375 | x=((85-10)*5) | x 85 10 - 5 * = | x:dollar 85:book 10:book -:book 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 855 | x=((85*10)+5) | x 85 10 * 5 + = | x:book 85:dollar 10:book *:book 5:book +:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 475 | x=((85+10)*5) | x 85 10 + 5 * = | x:dollar 85:book 10:book +:book 5:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 845 | x=((85*10)-5) | x 85 10 * 5 - = | x:money 85:money 10:book *:money 5:money -:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 100 | x=((85+10)+5) | x 85 10 + 5 + = | x:dollar 85:dollar 10:dollar +:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 855 | x=((85*10)+5) | x 85 10 * 5 + = | x:money 85:money 10:book *:money 5:money +:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 83 | x=(85-(10/5)) | x 85 10 5 / - = | x:book 85:book 10:book 5:dollar /:book -:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 90 | x=((85+10)-5) | x 85 10 + 5 - = | x:dollar 85:dollar 10:dollar +:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 900 | x=((85+5)*10) | x 85 5 + 10 * = | x:book 85:dollar 5:dollar +:dollar 10:book *:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 475 | x=((85+10)*5) | x 85 10 + 5 * = | x:book 85:book 10:book +:book 5:dollar *:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 135 | x=(85+(10*5)) | x 85 10 5 * + = | x:money 85:money 10:book 5:money *:money +:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 375 | x=((85-10)*5) | x 85 10 - 5 * = | x:money 85:book 10:book -:book 5:money *:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 845 | x=((85*10)-5) | x 85 10 * 5 - = | x:book 85:dollar 10:book *:book 5:book -:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:dollar 85:dollar 10:book 5:money /:book *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 375 | x=((85-10)*5) | x 85 10 - 5 * = | x:book 85:book 10:book -:book 5:dollar *:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 475 | x=((85+10)*5) | x 85 10 + 5 * = | x:money 85:book 10:book +:book 5:money *:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:money 10:book 5:money /:book *:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 900 | x=((85+5)*10) | x 85 5 + 10 * = | x:dollar 85:dollar 5:dollar +:dollar 10:book *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 80 | x=((85-10)+5) | x 85 10 - 5 + = | x:dollar 85:dollar 10:dollar -:dollar 5:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 1275 | x=(85*(10+5)) | x 85 10 5 + * = | x:book 85:dollar 10:book 5:book +:book *:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:dollar 85:dollar 10:book *:dollar 5:money /:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=((85/5)*10) | x 85 5 / 10 * = | x:money 85:money 5:dollar /:money 10:book *:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 425 | x=(85*(10-5)) | x 85 10 5 - * = | x:book 85:dollar 10:book 5:book -:book *:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 800 | x=((85-5)*10) | x 85 5 - 10 * = | x:book 85:dollar 5:dollar -:dollar 10:book *:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:dollar 85:dollar 10:money 5:dollar /:money *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:book 10:money 5:dollar /:money *:money =:money
EXPR: 1 | POS | INT | 21 | 35 | 35 | x=(85-(10*5)) | x 85 10 5 * - = | x:money 85:money 10:book 5:money *:money -:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 900 | x=((85+5)*10) | x 85 5 + 10 * = | x:money 85:dollar 5:dollar +:dollar 10:money *:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=(10*(85/5)) | x 10 85 5 / * = | x:money 10:book 85:money 5:dollar /:money *:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 1275 | x=(85*(10+5)) | x 85 10 5 + * = | x:money 85:dollar 10:money 5:money +:money *:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=(85*(10/5)) | x 85 10 5 / * = | x:money 85:dollar 10:money 5:book /:money *:money =:money
EXPR: 0 | POS | INT | 21 | 35 | 15 | x=((85-10)/5) | x 85 10 - 5 / = | x:book 85:book 10:book -:book 5:dollar /:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 19 | x=((85+10)/5) | x 85 10 + 5 / = | x:book 85:book 10:book +:book 5:dollar /:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 170 | x=((85*10)/5) | x 85 10 * 5 / = | x:book 85:money 10:book *:book 5:dollar /:book =:book
EXPR: 0 | POS | INT | 21 | 35 | 800 | x=((85-5)*10) | x 85 5 - 10 * = | x:dollar 85:dollar 5:dollar -:dollar 10:book *:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 35 | 4250 | (x/(85*10))=5 | x 85 10 * / 5 = | x:money 85:dollar 10:money *:dollar /:money 5:money =:money
EXPR: 0 | POS | INT | 22 | 35 | 9 | 85=((x*10)-5) | 85 x 10 * 5 - = | 85:dollar x:dollar 10:money *:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 35 | 80 | 85=((x+10)-5) | 85 x 10 + 5 - = | 85:dollar x:dollar 10:dollar +:dollar 5:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 35 | 15 | (85-(5*x))=10 | 85 5 x * - 10 = | 85:dollar 5:dollar x:money *:dollar -:dollar 10:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 35 | 170 | ((10/x)*85)=5 | 10 x / 85 * 5 = | 10:book x:money /:book 85:dollar *:book 5:book =:book
EXPR: 0 | POS | INT | 22 | 35 | 800 | 85=(5+(x/10)) | 85 5 x 10 / + = | 85:dollar 5:dollar x:dollar 10:book /:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 35 | 8 | 85=(5+(10*x)) | 85 5 10 x * + = | 85:dollar 5:dollar 10:book x:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 35 | 170 | 85=(x*(5/10)) | 85 x 5 10 / * = | 85:dollar x:book 5:dollar 10:book /:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 35 | 9 | ((85+5)/x)=10 | 85 5 + x / 10 = | 85:dollar 5:dollar +:dollar x:money /:dollar 10:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 35 | 87 | 85=(x-(10/5)) | 85 x 10 5 / - = | 85:book x:book 10:book 5:dollar /:book -:book =:book
EXPR: 0 | POS | INT | 22 | 35 | 135 | 85=(x-(10*5)) | 85 x 10 5 * - = | 85:book x:book 10:book 5:dollar *:book -:book =:book
