parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:berry 21:berry 4:strawberry /:berry 8:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:berry 21:berry 4:blueberry /:berry 8:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:berry 21:berry 4:berry +:berry 8:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 53 | x=(21+(4*8)) | x 21 4 8 * + = | x:berry 21:berry 4:strawberry 8:berry *:berry +:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:blueberry 21:berry 4:strawberry /:berry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 11 | 9 | 42 | x=((21*8)/4) | x 21 8 * 4 / = | x:berry 21:berry 8:blueberry *:berry 4:strawberry /:berry =:berry
EXPR: 0 | POS | INT | 11 | 9 | 92 | x=((21*4)+8) | x 21 4 * 8 + = | x:berry 21:berry 4:strawberry *:berry 8:berry +:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 136 | 21=(4+(x/8)) | 21 4 x 8 / + = | 21:berry 4:berry x:berry 8:blueberry /:berry +:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=((x*4)/8) | 21 x 4 * 8 / = | 21:berry x:berry 4:blueberry *:berry 8:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 672 | 21=(x/(4*8)) | 21 x 4 8 * / = | 21:berry x:berry 4:berry 8:blueberry *:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=((x*4)/8) | 21 x 4 * 8 / = | 21:berry x:berry 4:strawberry *:berry 8:strawberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=((4*x)/8) | 21 4 x * 8 / = | 21:strawberry 4:strawberry x:berry *:strawberry 8:blueberry /:strawberry =:strawberry
EXPR: 0 | POS | INT | 12 | 9 | 164 | 21=((x+4)/8) | 21 x 4 + 8 / = | 21:berry x:berry 4:berry +:berry 8:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 172 | 21=((x-4)/8) | 21 x 4 - 8 / = | 21:berry x:berry 4:berry -:berry 8:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=((x/8)*4) | 21 x 8 / 4 * = | 21:berry x:berry 8:blueberry /:berry 4:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 23 | ((x-21)*4)=8 | x 21 - 4 * 8 = | x:berry 21:berry -:berry 4:strawberry *:strawberry 8:strawberry =:strawberry
EXPR: 0 | POS | INT | 12 | 9 | 164 | 21=((4+x)/8) | 21 4 x + 8 / = | 21:berry 4:berry x:berry +:berry 8:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 672 | (21*4)=(x/8) | 21 4 * x 8 / = | 21:berry 4:strawberry *:berry x:berry 8:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | (21/4)=(x/8) | 21 4 / x 8 / = | 21:berry 4:strawberry /:berry x:berry 8:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 19 | ((21-x)*4)=8 | 21 x - 4 * 8 = | 21:berry x:berry -:berry 4:strawberry *:strawberry 8:strawberry =:strawberry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=(x*(4/8)) | 21 x 4 8 / * = | 21:strawberry x:berry 4:strawberry 8:blueberry /:strawberry *:strawberry =:strawberry
EXPR: 0 | POS | INT | 12 | 9 | 672 | 21=(x/(4*8)) | 21 x 4 8 * / = | 21:berry x:berry 4:strawberry 8:berry *:strawberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=((4*x)/8) | 21 4 x * 8 / = | 21:berry 4:blueberry x:berry *:berry 8:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=((4*x)/8) | 21 4 x * 8 / = | 21:berry 4:strawberry x:berry *:berry 8:strawberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=(4*(x/8)) | 21 4 x 8 / * = | 21:berry 4:strawberry x:berry 8:strawberry /:berry *:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=((4/8)*x) | 21 4 8 / x * = | 21:berry 4:strawberry 8:berry /:strawberry x:berry *:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | ((x/21)*4)=8 | x 21 / 4 * 8 = | x:blueberry 21:berry /:blueberry 4:strawberry *:blueberry 8:blueberry =:blueberry
EXPR: 0 | POS | INT | 12 | 9 | 11 | 21=((4*8)-x) | 21 4 8 * x - = | 21:berry 4:strawberry 8:berry *:berry x:berry -:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 11 | 21=((4*8)-x) | 21 4 8 * x - = | 21:berry 4:berry 8:blueberry *:berry x:berry -:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=(4*(x/8)) | 21 4 x 8 / * = | 21:berry 4:blueberry x:berry 8:blueberry /:berry *:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=((x*4)/8) | 21 x 4 * 8 / = | 21:strawberry x:berry 4:strawberry *:strawberry 8:blueberry /:strawberry =:strawberry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=((4/8)*x) | 21 4 8 / x * = | 21:strawberry 4:strawberry 8:blueberry /:strawberry x:berry *:strawberry =:strawberry
EXPR: 0 | POS | INT | 12 | 9 | 53 | 21=(x-(4*8)) | 21 x 4 8 * - = | 21:berry x:berry 4:berry 8:blueberry *:berry -:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 252 | 21=(x/(4+8)) | 21 x 4 8 + / = | 21:berry x:berry 4:blueberry 8:blueberry +:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 252 | 21=(x/(4+8)) | 21 x 4 8 + / = | 21:berry x:berry 4:strawberry 8:strawberry +:strawberry /:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 42 | 21=(x*(4/8)) | 21 x 4 8 / * = | 21:berry x:berry 4:strawberry 8:berry /:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 672 | (x/(21*4))=8 | x 21 4 * / 8 = | x:berry 21:berry 4:strawberry *:strawberry /:berry 8:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 672 | (x/(21*4))=8 | x 21 4 * / 8 = | x:blueberry 21:berry 4:strawberry *:berry /:blueberry 8:blueberry =:blueberry
EXPR: 0 | POS | INT | 12 | 9 | 672 | (x/(21*4))=8 | x 21 4 * / 8 = | x:blueberry 21:berry 4:strawberry *:strawberry /:blueberry 8:blueberry =:blueberry
EXPR: 0 | POS | INT | 12 | 9 | 52 | (21-(x/4))=8 | 21 x 4 / - 8 = | 21:berry x:berry 4:strawberry /:berry -:berry 8:berry =:berry
EXPR: 0 | POS | INT | 12 | 9 | 23 | ((x-21)*4)=8 | x 21 - 4 * 8 = | x:berry 21:berry -:berry 4:blueberry *:blueberry 8:blueberry =:blueberry
EXPR: 0 | POS | INT | 12 | 9 | 19 | ((21-x)*4)=8 | 21 x - 4 * 8 = | 21:berry x:berry -:berry 4:blueberry *:blueberry 8:blueberry =:blueberry
EXPR: 0 | POS | INT | 12 | 9 | 52 | 21=((x/4)+8) | 21 x 4 / 8 + = | 21:berry x:berry 4:strawberry /:berry 8:berry +:berry =:berry
EXPR: 0 | POS | INT | 15 | 9 | 42 | x=(8*(21/4)) | x 8 21 4 / * = | x:berry 8:blueberry 21:berry 4:strawberry /:berry *:berry =:berry
EXPR: 0 | POS | INT | 16 | 9 | 42 | x=(8*(21/4)) | x 8 21 4 / * = | x:berry 8:blueberry 21:berry 4:strawberry /:berry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 17 | x=((21+4)-8) | x 21 4 + 8 - = | x:berry 21:berry 4:berry +:berry 8:berry -:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 33 | x=((21+4)+8) | x 21 4 + 8 + = | x:berry 21:berry 4:berry +:berry 8:berry +:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 53 | x=(21+(4*8)) | x 21 4 8 * + = | x:strawberry 21:strawberry 4:strawberry 8:blueberry *:strawberry +:strawberry =:strawberry
EXPR: 0 | POS | INT | 20 | 9 | 84 | x=(21*(8-4)) | x 21 8 4 - * = | x:berry 21:berry 8:blueberry 4:blueberry -:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 116 | x=((21+8)*4) | x 21 8 + 4 * = | x:berry 21:berry 8:berry +:berry 4:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 52 | x=((21-8)*4) | x 21 8 - 4 * = | x:berry 21:berry 8:berry -:berry 4:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 23 | x=(21+(8/4)) | x 21 8 4 / + = | x:berry 21:berry 8:berry 4:strawberry /:berry +:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:strawberry 21:strawberry 4:strawberry +:strawberry 8:blueberry *:strawberry =:strawberry
EXPR: 0 | POS | INT | 20 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:strawberry 21:strawberry 4:strawberry -:strawberry 8:blueberry *:strawberry =:strawberry
EXPR: 0 | POS | INT | 20 | 9 | 84 | x=(21*(8-4)) | x 21 8 4 - * = | x:berry 21:berry 8:strawberry 4:strawberry -:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 53 | x=(21+(4*8)) | x 21 4 8 * + = | x:berry 21:berry 4:blueberry 8:berry *:berry +:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 42 | x=((21*8)/4) | x 21 8 * 4 / = | x:berry 21:berry 8:blueberry *:berry 4:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 19 | x=(21-(8/4)) | x 21 8 4 / - = | x:berry 21:berry 8:berry 4:strawberry /:berry -:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:berry 21:berry 4:berry +:berry 8:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:berry 21:berry 4:berry -:berry 8:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:berry 21:berry 4:blueberry /:berry 8:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 52 | x=(4*(21-8)) | x 4 21 8 - * = | x:berry 4:strawberry 21:berry 8:berry -:berry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:berry 21:strawberry 4:strawberry +:strawberry 8:berry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:berry 21:strawberry 4:strawberry -:strawberry 8:berry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 92 | x=((21*4)+8) | x 21 4 * 8 + = | x:blueberry 21:berry 4:blueberry *:blueberry 8:blueberry +:blueberry =:blueberry
EXPR: 1 | POS | INT | 20 | 9 | 9 | x=(21-(4+8)) | x 21 4 8 + - = | x:berry 21:berry 4:berry 8:berry +:berry -:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 92 | x=((21*4)+8) | x 21 4 * 8 + = | x:strawberry 21:berry 4:strawberry *:strawberry 8:strawberry +:strawberry =:strawberry
EXPR: 0 | POS | INT | 20 | 9 | 116 | x=(4*(21+8)) | x 4 21 8 + * = | x:berry 4:strawberry 21:berry 8:berry +:berry *:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 42 | x=(21*(8/4)) | x 21 8 4 / * = | x:blueberry 21:berry 8:blueberry 4:strawberry /:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 33 | x=(21+(4+8)) | x 21 4 8 + + = | x:berry 21:berry 4:berry 8:berry +:berry +:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:blueberry 21:berry 4:blueberry /:berry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:strawberry 21:berry 4:strawberry /:berry 8:strawberry *:strawberry =:strawberry
EXPR: 0 | POS | INT | 20 | 9 | 76 | x=((21*4)-8) | x 21 4 * 8 - = | x:blueberry 21:berry 4:blueberry *:blueberry 8:blueberry -:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 76 | x=((21*4)-8) | x 21 4 * 8 - = | x:strawberry 21:berry 4:strawberry *:strawberry 8:strawberry -:strawberry =:strawberry
EXPR: 0 | POS | INT | 20 | 9 | 53 | x=(21+(4*8)) | x 21 4 8 * + = | x:berry 21:berry 4:berry 8:strawberry *:berry +:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 252 | x=(21*(4+8)) | x 21 4 8 + * = | x:blueberry 21:berry 4:blueberry 8:blueberry +:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 164 | x=((21*8)-4) | x 21 8 * 4 - = | x:berry 21:berry 8:blueberry *:berry 4:berry -:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 172 | x=((21*8)+4) | x 21 8 * 4 + = | x:berry 21:berry 8:blueberry *:berry 4:berry +:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:blueberry 21:berry 4:berry +:berry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:blueberry 21:berry 4:berry -:berry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 76 | x=((21*4)-8) | x 21 4 * 8 - = | x:blueberry 21:blueberry 4:strawberry *:blueberry 8:blueberry -:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:blueberry 21:strawberry 4:strawberry +:strawberry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:blueberry 21:strawberry 4:strawberry -:strawberry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 92 | x=((21*4)+8) | x 21 4 * 8 + = | x:blueberry 21:blueberry 4:strawberry *:blueberry 8:blueberry +:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 252 | x=(21*(4+8)) | x 21 4 8 + * = | x:strawberry 21:berry 4:strawberry 8:strawberry +:strawberry *:strawberry =:strawberry
EXPR: 0 | POS | INT | 20 | 9 | 172 | x=(4+(21*8)) | x 4 21 8 * + = | x:berry 4:berry 21:berry 8:blueberry *:berry +:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 42 | x=((21*8)/4) | x 21 8 * 4 / = | x:blueberry 21:berry 8:blueberry *:blueberry 4:strawberry /:blueberry =:blueberry
EXPR: 0 | POS | INT | 20 | 9 | 42 | x=((21*8)/4) | x 21 8 * 4 / = | x:berry 21:berry 8:strawberry *:berry 4:strawberry /:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 17 | x=(21+(4-8)) | x 21 4 8 - + = | x:berry 21:berry 4:berry 8:berry -:berry +:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 25 | x=(21-(4-8)) | x 21 4 8 - - = | x:berry 21:berry 4:berry 8:berry -:berry -:berry =:berry
EXPR: 0 | POS | INT | 20 | 9 | 92 | x=((21*4)+8) | x 21 4 * 8 + = | x:berry 21:berry 4:blueberry *:berry 8:berry +:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 84 | x=(21*(8-4)) | x 21 8 4 - * = | x:berry 21:berry 8:blueberry 4:blueberry -:blueberry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 116 | x=((21+8)*4) | x 21 8 + 4 * = | x:berry 21:berry 8:berry +:berry 4:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:strawberry 21:strawberry 4:strawberry -:strawberry 8:blueberry *:strawberry =:strawberry
EXPR: 0 | POS | INT | 21 | 9 | 84 | x=(21*(8-4)) | x 21 8 4 - * = | x:berry 21:berry 8:strawberry 4:strawberry -:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 23 | x=(21+(8/4)) | x 21 8 4 / + = | x:berry 21:berry 8:berry 4:strawberry /:berry +:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 42 | x=((21*8)/4) | x 21 8 * 4 / = | x:berry 21:berry 8:blueberry *:berry 4:blueberry /:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 53 | x=(21+(4*8)) | x 21 4 8 * + = | x:berry 21:berry 4:blueberry 8:berry *:berry +:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 19 | x=(21-(8/4)) | x 21 8 4 / - = | x:berry 21:berry 8:berry 4:strawberry /:berry -:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:berry 21:berry 4:berry -:berry 8:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 17 | x=((21+4)-8) | x 21 4 + 8 - = | x:berry 21:berry 4:berry +:berry 8:berry -:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:berry 21:berry 4:berry +:berry 8:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:berry 21:berry 4:blueberry /:berry 8:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 52 | x=(4*(21-8)) | x 4 21 8 - * = | x:berry 4:strawberry 21:berry 8:berry -:berry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:berry 21:strawberry 4:strawberry -:strawberry 8:berry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 92 | x=((21*4)+8) | x 21 4 * 8 + = | x:blueberry 21:berry 4:blueberry *:blueberry 8:blueberry +:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 52 | x=((21-8)*4) | x 21 8 - 4 * = | x:berry 21:berry 8:berry -:berry 4:strawberry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:berry 21:strawberry 4:strawberry +:strawberry 8:berry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:strawberry 21:strawberry 4:strawberry +:strawberry 8:blueberry *:strawberry =:strawberry
EXPR: 0 | POS | INT | 21 | 9 | 92 | x=((21*4)+8) | x 21 4 * 8 + = | x:strawberry 21:berry 4:strawberry *:strawberry 8:strawberry +:strawberry =:strawberry
EXPR: 1 | POS | INT | 21 | 9 | 9 | x=(21-(4+8)) | x 21 4 8 + - = | x:berry 21:berry 4:berry 8:berry +:berry -:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 42 | x=(21*(8/4)) | x 21 8 4 / * = | x:blueberry 21:berry 8:blueberry 4:strawberry /:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 116 | x=(4*(21+8)) | x 4 21 8 + * = | x:berry 4:strawberry 21:berry 8:berry +:berry *:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 164 | x=((21*8)-4) | x 21 8 * 4 - = | x:berry 21:berry 8:blueberry *:berry 4:berry -:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 172 | x=((21*8)+4) | x 21 8 * 4 + = | x:berry 21:berry 8:blueberry *:berry 4:berry +:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 42 | x=((21*8)/4) | x 21 8 * 4 / = | x:blueberry 21:berry 8:blueberry *:blueberry 4:strawberry /:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 76 | x=((21*4)-8) | x 21 4 * 8 - = | x:blueberry 21:berry 4:blueberry *:blueberry 8:blueberry -:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 76 | x=((21*4)-8) | x 21 4 * 8 - = | x:strawberry 21:berry 4:strawberry *:strawberry 8:strawberry -:strawberry =:strawberry
EXPR: 0 | POS | INT | 21 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:blueberry 21:berry 4:blueberry /:berry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 42 | x=((21/4)*8) | x 21 4 / 8 * = | x:strawberry 21:berry 4:strawberry /:berry 8:strawberry *:strawberry =:strawberry
EXPR: 0 | POS | INT | 21 | 9 | 53 | x=(21+(4*8)) | x 21 4 8 * + = | x:berry 21:berry 4:berry 8:strawberry *:berry +:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 33 | x=((21+4)+8) | x 21 4 + 8 + = | x:berry 21:berry 4:berry +:berry 8:berry +:berry =:berry
EXPR: 0 | POS | INT | 21 | 9 | 252 | x=(21*(4+8)) | x 21 4 8 + * = | x:blueberry 21:berry 4:blueberry 8:blueberry +:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:blueberry 21:berry 4:berry +:berry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 200 | x=((21+4)*8) | x 21 4 + 8 * = | x:blueberry 21:strawberry 4:strawberry +:strawberry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:blueberry 21:strawberry 4:strawberry -:strawberry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 136 | x=((21-4)*8) | x 21 4 - 8 * = | x:blueberry 21:berry 4:berry -:berry 8:blueberry *:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 76 | x=((21*4)-8) | x 21 4 * 8 - = | x:blueberry 21:blueberry 4:strawberry *:blueberry 8:blueberry -:blueberry =:blueberry
EXPR: 0 | POS | INT | 21 | 9 | 252 | x=(21*(4+8)) | x 21 4 8 + * = | x:strawberry 21:berry 4:strawberry 8:strawberry +:strawberry *:strawberry =:strawberry
