parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 108 solutions found
EXPR: 1 | POS | INT | 2 | 4 | 4 | 12=(x*3) | 12 x 3 * = | 12:guest x:table 3:guest *:guest =:guest
EXPR: 1 | POS | INT | 12 | 4 | 4 | 12=(3*x) | 12 3 x * = | 12:table 3:guest x:table *:table =:table
EXPR: 0 | POS | INT | 12 | 4 | 36 | (x/12)=3 | x 12 / 3 = | x:table 12:guest /:table 3:table =:table
EXPR: 0 | POS | INT | 20 | 4 | 15 | x=(12+3) | x 12 3 + = | x:table 12:table 3:table +:table =:table
EXPR: 0 | POS | INT | 20 | 4 | 36 | x=(12*3) | x 12 3 * = | x:guest 12:table 3:guest *:guest =:guest
EXPR: 0 | POS | INT | 20 | 4 | 9 | x=(12-3) | x 12 3 - = | x:table 12:table 3:table -:table =:table
EXPR: 0 | POS | INT | 20 | 4 | 36 | x=(12*3) | x 12 3 * = | x:guest 12:guest 3:table *:guest =:guest
EXPR: 1 | POS | INT | 20 | 4 | 4 | x=(12/3) | x 12 3 / = | x:guest 12:guest 3:table /:guest =:guest
EXPR: 0 | POS | INT | 21 | 4 | 15 | x=(12+3) | x 12 3 + = | x:table 12:table 3:table +:table =:table
EXPR: 0 | POS | INT | 21 | 4 | 36 | x=(12*3) | x 12 3 * = | x:guest 12:table 3:guest *:guest =:guest
EXPR: 0 | POS | INT | 21 | 4 | 9 | x=(12-3) | x 12 3 - = | x:table 12:table 3:table -:table =:table
EXPR: 0 | POS | INT | 21 | 4 | 36 | x=(12*3) | x 12 3 * = | x:guest 12:guest 3:table *:guest =:guest
EXPR: 1 | POS | INT | 21 | 4 | 4 | x=(12/3) | x 12 3 / = | x:guest 12:guest 3:table /:guest =:guest
EXPR: 0 | POS | INT | 22 | 4 | 9 | (3+x)=12 | 3 x + 12 = | 3:guest x:guest +:guest 12:guest =:guest
EXPR: 0 | POS | INT | 22 | 4 | 9 | 12=(3+x) | 12 3 x + = | 12:table 3:table x:table +:table =:table
EXPR: 0 | POS | INT | 22 | 4 | 9 | 12=(x+3) | 12 x 3 + = | 12:table x:table 3:table +:table =:table
EXPR: 0 | POS | INT | 22 | 4 | 9 | 3=(12-x) | 3 12 x - = | 3:guest 12:guest x:guest -:guest =:guest
EXPR: 0 | POS | INT | 22 | 4 | 15 | 12=(x-3) | 12 x 3 - = | 12:table x:table 3:table -:table =:table
EXPR: 0 | POS | INT | 22 | 4 | 15 | (x-3)=12 | x 3 - 12 = | x:guest 3:guest -:guest 12:guest =:guest
EXPR: 0 | POS | INT | 22 | 4 | 15 | 3=(x-12) | 3 x 12 - = | 3:guest x:guest 12:guest -:guest =:guest
EXPR: 0 | POS | INT | 22 | 4 | 36 | 3=(x/12) | 3 x 12 / = | 3:table x:table 12:guest /:table =:table
EXPR: 0 | POS | INT | 22 | 4 | 9 | (x+3)=12 | x 3 + 12 = | x:guest 3:guest +:guest 12:guest =:guest
EXPR: 1 | POS | INT | 22 | 4 | 4 | 12=(3*x) | 12 3 x * = | 12:guest 3:table x:guest *:guest =:guest
EXPR: 0 | POS | INT | 22 | 4 | 36 | (x/12)=3 | x 12 / 3 = | x:guest 12:table /:guest 3:guest =:guest
EXPR: 0 | POS | INT | 22 | 4 | 15 | (x-12)=3 | x 12 - 3 = | x:table 12:table -:table 3:table =:table
EXPR: 0 | POS | INT | 22 | 4 | 36 | 12=(x/3) | 12 x 3 / = | 12:guest x:guest 3:table /:guest =:guest
EXPR: 1 | POS | INT | 22 | 4 | 4 | 12=(x*3) | 12 x 3 * = | 12:guest x:guest 3:table *:guest =:guest
EXPR: 1 | POS | INT | 22 | 4 | 4 | (x*3)=12 | x 3 * 12 = | x:table 3:guest *:table 12:table =:table
EXPR: 0 | POS | INT | 22 | 4 | 9 | (12-x)=3 | 12 x - 3 = | 12:table x:table -:table 3:table =:table
EXPR: 1 | POS | INT | 22 | 4 | 4 | (3*x)=12 | 3 x * 12 = | 3:guest x:table *:table 12:table =:table
EXPR: 0 | POS | INT | 22 | 4 | 36 | (x/3)=12 | x 3 / 12 = | x:table 3:guest /:table 12:table =:table
EXPR: 1 | POS | INT | 32 | 4 | 4 | (3*x)=12 | 3 x * 12 = | 3:table x:guest *:guest 12:guest =:guest
EXPR: 0 | POS | INT | 32 | 4 | 15 | 3=(x-12) | 3 x 12 - = | 3:table x:table 12:table -:table =:table
EXPR: 0 | POS | INT | 32 | 4 | 9 | (x+3)=12 | x 3 + 12 = | x:table 3:table +:table 12:table =:table
EXPR: 0 | POS | INT | 32 | 4 | 36 | (x/3)=12 | x 3 / 12 = | x:guest 3:table /:guest 12:guest =:guest
EXPR: 1 | POS | INT | 32 | 4 | 4 | (x*3)=12 | x 3 * 12 = | x:guest 3:table *:guest 12:guest =:guest
EXPR: 0 | POS | INT | 32 | 4 | 9 | 3=(12-x) | 3 12 x - = | 3:table 12:table x:table -:table =:table
EXPR: 0 | POS | INT | 32 | 4 | 9 | (3+x)=12 | 3 x + 12 = | 3:table x:table +:table 12:table =:table
EXPR: 1 | POS | INT | 32 | 4 | 4 | 12=(3*x) | 12 3 x * = | 12:table 3:table x:guest *:table =:table
EXPR: 1 | POS | INT | 32 | 4 | 4 | 12=(x*3) | 12 x 3 * = | 12:table x:guest 3:table *:table =:table
EXPR: 1 | POS | INT | 32 | 4 | 4 | (12/x)=3 | 12 x / 3 = | 12:table x:guest /:table 3:table =:table
EXPR: 0 | POS | INT | 32 | 4 | 36 | 3=(x/12) | 3 x 12 / = | 3:guest x:guest 12:table /:guest =:guest
EXPR: 0 | POS | INT | 32 | 4 | 15 | (x-3)=12 | x 3 - 12 = | x:table 3:table -:table 12:table =:table
EXPR: 1 | POS | INT | 42 | 4 | 4 | 3=(12/x) | 3 12 x / = | 3:table 12:table x:guest /:table =:table
EXPR: 1 | POS | INT | 42 | 4 | 4 | (x*3)=12 | x 3 * 12 = | x:guest 3:table *:table 12:table =:table
EXPR: 1 | POS | INT | 42 | 4 | 4 | (3*x)=12 | 3 x * 12 = | 3:table x:guest *:table 12:table =:table
NET 68 non-negative, integer-valued solutions found out of 108 total solutions
