parameters: n=5 l=2 k=1 p=5 q=3 m=8
TOTAL 258 solutions found
EXPR: 0 | POS | INT | 10 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:money 9:penny 7:money *:money =:money
EXPR: 0 | POS | INT | 31 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:quarter 9:quarter 7:penny *:quarter =:quarter
EXPR: 0 | POS | INT | 31 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:quarter 7:penny *:penny =:penny
EXPR: 0 | POS | INT | 31 | 1.84 | 63 | x=(9*7) | x 9 7 * = | x:penny 9:money 7:penny *:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:penny 7:money /:penny 9:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | 7=(x-9) | 7 x 9 - = | 7:penny x:penny 9:penny -:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (7+x)=9 | 7 x + 9 = | 7:money x:money +:money 9:money =:money
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:money x:money 9:quarter /:money =:money
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:money 7:penny /:money 9:money =:money
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | 7=(x-9) | 7 x 9 - = | 7:money x:money 9:money -:money =:money
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | (x-7)=9 | x 7 - 9 = | x:penny 7:penny -:penny 9:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | (x/9)=7 | x 9 / 7 = | x:penny 9:quarter /:penny 7:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | 7=(9-x) | 7 9 x - = | 7:money 9:money x:money -:money =:money
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (x+7)=9 | x 7 + 9 = | x:penny 7:penny +:penny 9:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | (x-7)=9 | x 7 - 9 = | x:money 7:money -:money 9:money =:money
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (x+7)=9 | x 7 + 9 = | x:money 7:money +:money 9:money =:money
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:quarter x:quarter 9:money /:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | 7=(9-x) | 7 9 x - = | 7:penny 9:penny x:penny -:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | 9=(x/7) | 9 x 7 / = | 9:quarter x:quarter 7:money /:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | (x/9)=7 | x 9 / 7 = | x:penny 9:money /:penny 7:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | (x-7)=9 | x 7 - 9 = | x:quarter 7:quarter -:quarter 9:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (x+7)=9 | x 7 + 9 = | x:quarter 7:quarter +:quarter 9:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | 7=(9-x) | 7 9 x - = | 7:quarter 9:quarter x:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 16 | 7=(x-9) | 7 x 9 - = | 7:quarter x:quarter 9:quarter -:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (7+x)=9 | 7 x + 9 = | 7:penny x:penny +:penny 9:penny =:penny
EXPR: 0 | POS | INT | 32 | 1.84 | 2 | (7+x)=9 | 7 x + 9 = | 7:quarter x:quarter +:quarter 9:quarter =:quarter
EXPR: 0 | POS | INT | 32 | 1.84 | 63 | 9=(x/7) | 9 x 7 / = | 9:quarter x:quarter 7:penny /:quarter =:quarter
EXPR: 0 | POS | INT | 42 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:penny x:penny 9:money /:penny =:penny
EXPR: 0 | POS | INT | 42 | 1.84 | 63 | 7=(x/9) | 7 x 9 / = | 7:penny x:penny 9:quarter /:penny =:penny
EXPR: 0 | POS | INT | 42 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:quarter 7:money /:quarter 9:quarter =:quarter
EXPR: 0 | POS | INT | 42 | 1.84 | 63 | (x/7)=9 | x 7 / 9 = | x:quarter 7:penny /:quarter 9:quarter =:quarter
NET 90 non-negative, integer-valued solutions found out of 258 total solutions
