parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 653 solutions found
EXPR: 0 | POS | INT | 2 | 1 | 169 | 8=(((x/13)*2)-18) | 8 x 13 / 2 * 18 - = | 8:dollar x:money 13:dollar /:money 2:dollar *:dollar 18:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 1 | 936 | 8=((x*2)/(13*18)) | 8 x 2 * 13 18 * / = | 8:dollar x:money 2:dollar *:dollar 13:dollar 18:money *:money /:dollar =:dollar
EXPR: 0 | POS | INT | 27 | 1 | 169 | 13=(2*(x/(8+18))) | 13 2 x 8 18 + / * = | 13:dollar 2:dollar x:money 8:dollar 18:dollar +:dollar /:money *:dollar =:dollar
EXPR: 0 | POS | INT | 27 | 1 | 21 | ((2+(8+x))-13)=18 | 2 8 x + + 13 - 18 = | 2:dollar 8:dollar x:dollar +:dollar +:dollar 13:dollar -:dollar 18:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1 | 46 | 13=(8+((x/2)-18)) | 13 8 x 2 / 18 - + = | 13:dollar 8:dollar x:dollar 2:money /:dollar 18:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1 | 45 | (13-8)=((2*x)/18) | 13 8 - 2 x * 18 / = | 13:dollar 8:dollar -:dollar 2:dollar x:money *:dollar 18:money /:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1 | 15 | 13=(8+(18-(x-2))) | 13 8 18 x 2 - - + = | 13:dollar 8:dollar 18:dollar x:dollar 2:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1 | 141 | 13=(x+(8*(2-18))) | 13 x 8 2 18 - * + = | 13:dollar x:dollar 8:money 2:dollar 18:dollar -:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 1 | 31 | 13=((8-x)+(2*18)) | 13 8 x - 2 18 * + = | 13:dollar 8:dollar x:dollar -:dollar 2:money 18:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 1 | 30 | (2*(x-(8+13)))=18 | 2 x 8 13 + - * 18 = | 2:dollar x:money 8:money 13:money +:money -:money *:dollar 18:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 1 | 2160 | 8=(x/(18*(13+2))) | 8 x 18 13 2 + * / = | 8:money x:money 18:money 13:dollar 2:dollar +:dollar *:dollar /:money =:money
EXPR: 0 | POS | INT | 42 | 1 | 167 | 13=(((8+2)*18)-x) | 13 8 2 + 18 * x - = | 13:dollar 8:money 2:money +:money 18:dollar *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 42 | 1 | 30 | 8=(2-(x/(13-18))) | 8 2 x 13 18 - / - = | 8:dollar 2:dollar x:dollar 13:money 18:money -:money /:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 42 | 1 | 15 | 18=(((8+x)+13)/2) | 18 8 x + 13 + 2 / = | 18:dollar 8:dollar x:dollar +:dollar 13:dollar +:dollar 2:money /:dollar =:dollar
EXPR: 1 | POS | INT | 47 | 1 | 1 | ((2+(18+x))-8)=13 | 2 18 x + + 8 - 13 = | 2:dollar 18:dollar x:dollar +:dollar +:dollar 8:dollar -:dollar 13:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 1 | 6 | 13=(2+((18/x)+8)) | 13 2 18 x / 8 + + = | 13:dollar 2:dollar 18:dollar x:money /:dollar 8:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 1 | 2160 | 8=(x/(18*(13+2))) | 8 x 18 13 2 + * / = | 8:money x:money 18:dollar 13:money 2:money +:money *:dollar /:money =:money
EXPR: 0 | POS | INT | 47 | 1 | 278 | 8=(x-(18*(13+2))) | 8 x 18 13 2 + * - = | 8:money x:money 18:dollar 13:money 2:money +:money *:money -:money =:money
EXPR: 0 | POS | INT | 47 | 1 | 26 | 13=((x/(18-2))*8) | 13 x 18 2 - / 8 * = | 13:dollar x:money 18:dollar 2:dollar -:dollar /:money 8:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 1 | 390 | ((x/(8+18))-13)=2 | x 8 18 + / 13 - 2 = | x:dollar 8:money 18:money +:money /:dollar 13:dollar -:dollar 2:dollar =:dollar
EXPR: 0 | POS | INT | 52 | 1 | 1664 | 18=((x/(8*13))+2) | 18 x 8 13 * / 2 + = | 18:money x:money 8:dollar 13:money *:dollar /:money 2:money +:money =:money
EXPR: 0 | POS | INT | 52 | 1 | 2080 | 18=((x/(8*13))-2) | 18 x 8 13 * / 2 - = | 18:money x:money 8:dollar 13:money *:dollar /:money 2:money -:money =:money
EXPR: 0 | POS | INT | 52 | 1 | 39 | 13=(((8+18)*2)-x) | 13 8 18 + 2 * x - = | 13:dollar 8:money 18:money +:money 2:dollar *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 52 | 1 | 115 | 13=((8*(18-2))-x) | 13 8 18 2 - * x - = | 13:money 8:dollar 18:money 2:money -:money *:money x:money -:money =:money
EXPR: 0 | POS | INT | 52 | 1 | 45 | (13-8)=((2*x)/18) | 13 8 - 2 x * 18 / = | 13:dollar 8:dollar -:dollar 2:money x:dollar *:dollar 18:money /:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 1 | 28 | 18=(x+(2*(8-13))) | 18 x 2 8 13 - * + = | 18:dollar x:dollar 2:money 8:dollar 13:dollar -:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 1 | 11 | ((2-(18-13))+x)=8 | 2 18 13 - - x + 8 = | 2:dollar 18:dollar 13:dollar -:dollar -:dollar x:dollar +:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 1 | 120 | ((2+(x-18))/8)=13 | 2 x 18 - + 8 / 13 = | 2:dollar x:dollar 18:dollar -:dollar +:dollar 8:money /:dollar 13:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 1 | 26 | 18=(((x/2)-8)+13) | 18 x 2 / 8 - 13 + = | 18:dollar x:dollar 2:money /:dollar 8:dollar -:dollar 13:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 1 | 70 | ((2*(x-18))/8)=13 | 2 x 18 - * 8 / 13 = | 2:dollar x:money 18:money -:money *:dollar 8:money /:dollar 13:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 1 | 34 | ((2*(x+18))/8)=13 | 2 x 18 + * 8 / 13 = | 2:dollar x:money 18:money +:money *:dollar 8:money /:dollar 13:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 1 | 2 | ((13-(18/2))*x)=8 | 13 18 2 / - x * 8 = | 13:dollar 18:dollar 2:money /:dollar -:dollar x:money *:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 1 | 37 | (((2-13)-18)+x)=8 | 2 13 - 18 - x + 8 = | 2:dollar 13:dollar -:dollar 18:dollar -:dollar x:dollar +:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 62 | 1 | 250 | ((x-(13*18))/8)=2 | x 13 18 * - 8 / 2 = | x:dollar 13:money 18:dollar *:dollar -:dollar 8:money /:dollar 2:dollar =:dollar
EXPR: 0 | POS | INT | 62 | 1 | 121 | (((2-8)*18)+x)=13 | 2 8 - 18 * x + 13 = | 2:money 8:money -:money 18:dollar *:dollar x:dollar +:dollar 13:dollar =:dollar
EXPR: 0 | POS | INT | 65 | 1 | 54 | x=((2*(13+18))-8) | x 2 13 18 + * 8 - = | x:dollar 2:money 13:dollar 18:dollar +:dollar *:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 65 | 1 | 572 | x=(13*((2*18)+8)) | x 13 2 18 * 8 + * = | x:money 13:dollar 2:money 18:dollar *:money 8:money +:money *:money =:money
EXPR: 0 | POS | INT | 65 | 1 | 364 | x=(13*((2*18)-8)) | x 13 2 18 * 8 - * = | x:money 13:dollar 2:money 18:dollar *:money 8:money -:money *:money =:money
EXPR: 0 | POS | INT | 66 | 1 | 54 | x=((2*(13+18))-8) | x 2 13 18 + * 8 - = | x:dollar 2:money 13:dollar 18:dollar +:dollar *:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 66 | 1 | 572 | x=(13*((2*18)+8)) | x 13 2 18 * 8 + * = | x:money 13:dollar 2:money 18:dollar *:money 8:money +:money *:money =:money
EXPR: 0 | POS | INT | 67 | 1 | 80 | (x/(2*(18-13)))=8 | x 2 18 13 - * / 8 = | x:money 2:money 18:dollar 13:dollar -:dollar *:dollar /:money 8:money =:money
EXPR: 0 | POS | INT | 67 | 1 | 936 | (((2/18)*x)/8)=13 | 2 18 / x * 8 / 13 = | 2:money 18:dollar /:money x:dollar *:dollar 8:money /:dollar 13:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 1 | 41 | ((13+(2*18))-x)=8 | 13 2 18 * + x - 8 = | 13:dollar 2:money 18:dollar *:dollar +:dollar x:dollar -:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 1 | 65 | 13=((x*2)/(18-8)) | 13 x 2 * 18 8 - / = | 13:dollar x:money 2:dollar *:dollar 18:money 8:money -:money /:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 1 | 228 | (2+((13*18)-x))=8 | 2 13 18 * x - + 8 = | 2:dollar 13:money 18:dollar *:dollar x:dollar -:dollar +:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 1 | 180 | (13-(x/(2*18)))=8 | 13 x 2 18 * / - 8 = | 13:dollar x:dollar 2:dollar 18:money *:money /:dollar -:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 1 | 70 | (2*(x-18))=(8*13) | 2 x 18 - * 8 13 * = | 2:dollar x:money 18:money -:money *:money 8:dollar 13:money *:money =:money
EXPR: 0 | POS | INT | 67 | 1 | 57 | 13=(x-((2*18)+8)) | 13 x 2 18 * 8 + - = | 13:dollar x:dollar 2:money 18:dollar *:dollar 8:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 1 | 125 | 18=((2*(x-8))/13) | 18 2 x 8 - * 13 / = | 18:dollar 2:money x:dollar 8:dollar -:dollar *:dollar 13:money /:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 1 | 126 | (2+(13-(x/18)))=8 | 2 13 x 18 / - + 8 = | 2:dollar 13:dollar x:dollar 18:money /:dollar -:dollar +:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 1 | 29 | (((x*8)+2)/18)=13 | x 8 * 2 + 18 / 13 = | x:dollar 8:money *:money 2:money +:money 18:dollar /:money 13:money =:money
EXPR: 0 | POS | INT | 67 | 1 | 41 | (((2*18)+13)-x)=8 | 2 18 * 13 + x - 8 = | 2:money 18:dollar *:dollar 13:dollar +:dollar x:dollar -:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 75 | 1 | 364 | x=(13*((2*18)-8)) | x 13 2 18 * 8 - * = | x:dollar 13:money 2:money 18:dollar *:dollar 8:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 75 | 1 | 572 | x=(13*((2*18)+8)) | x 13 2 18 * 8 + * = | x:dollar 13:money 2:money 18:dollar *:dollar 8:dollar +:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 77 | 1 | 1 | (2+(x+(18-8)))=13 | 2 x 18 8 - + + 13 = | 2:money x:money 18:money 8:money -:money +:money +:money 13:money =:money
EXPR: 0 | POS | INT | 77 | 1 | 240 | (2+(x-(13*18)))=8 | 2 x 13 18 * - + 8 = | 2:money x:money 13:dollar 18:money *:money -:money +:money 8:money =:money
EXPR: 0 | POS | INT | 77 | 1 | 16 | (x+(18-(13*2)))=8 | x 18 13 2 * - + 8 = | x:money 18:money 13:dollar 2:money *:money -:money +:money 8:money =:money
EXPR: 0 | POS | INT | 77 | 1 | 275 | ((x+13)/(2*18))=8 | x 13 + 2 18 * / 8 = | x:money 13:money +:money 2:dollar 18:money *:dollar /:money 8:money =:money
EXPR: 0 | POS | INT | 77 | 1 | 306 | (2*((x/18)-13))=8 | 2 x 18 / 13 - * 8 = | 2:money x:dollar 18:money /:dollar 13:dollar -:dollar *:dollar 8:dollar =:dollar
EXPR: 0 | POS | INT | 77 | 1 | 31 | (2*18)=((13+x)-8) | 2 18 * 13 x + 8 - = | 2:money 18:dollar *:dollar 13:dollar x:dollar +:dollar 8:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 77 | 1 | 676 | 18=((x/(13*2))-8) | 18 x 13 2 * / 8 - = | 18:money x:money 13:money 2:dollar *:dollar /:money 8:money -:money =:money
EXPR: 0 | POS | INT | 77 | 1 | 260 | 18=((x/(13*2))+8) | 18 x 13 2 * / 8 + = | 18:money x:money 13:money 2:dollar *:dollar /:money 8:money +:money =:money
EXPR: 0 | POS | INT | 77 | 1 | 324 | 18=(x/((13*2)-8)) | 18 x 13 2 * 8 - / = | 18:dollar x:dollar 13:dollar 2:money *:money 8:money -:money /:dollar =:dollar
EXPR: 0 | POS | INT | 77 | 1 | 612 | 18=(x/((13*2)+8)) | 18 x 13 2 * 8 + / = | 18:dollar x:dollar 13:dollar 2:money *:money 8:money +:money /:dollar =:dollar
EXPR: 1 | POS | INT | 77 | 1 | 1 | ((2+(x+18))-8)=13 | 2 x 18 + + 8 - 13 = | 2:money x:money 18:money +:money +:money 8:money -:money 13:money =:money
EXPR: 0 | POS | INT | 77 | 1 | 54 | ((2*(13+18))-x)=8 | 2 13 18 + * x - 8 = | 2:dollar 13:money 18:money +:money *:money x:money -:money 8:money =:money
EXPR: 0 | POS | INT | 87 | 1 | 25 | ((13-x)+(2+18))=8 | 13 x - 2 18 + + 8 = | 13:money x:money -:money 2:money 18:money +:money +:money 8:money =:money
EXPR: 0 | POS | INT | 87 | 1 | 31 | (13+x)=((2*18)+8) | 13 x + 2 18 * 8 + = | 13:money x:money +:money 2:dollar 18:money *:money 8:money +:money =:money
NET 78 non-negative, integer-valued solutions found out of 653 total solutions
