parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 860 solutions found
EXPR: 0 | POS | INT | 2 | 50 | 4 | 91=(((x*24)+6)-11) | 91 x 24 * 6 + 11 - = | 91:dollar x:money 24:dollar *:dollar 6:dollar +:dollar 11:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 50 | 98 | 91=(x+(6-(24-11))) | 91 x 6 24 11 - - + = | 91:dollar x:dollar 6:dollar 24:dollar 11:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 50 | 98 | 91=(((6-24)+11)+x) | 91 6 24 - 11 + x + = | 91:dollar 6:dollar 24:dollar -:dollar 11:dollar +:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 50 | 64 | 91=(((24*6)+11)-x) | 91 24 6 * 11 + x - = | 91:dollar 24:money 6:dollar *:dollar 11:dollar +:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 50 | 42 | 24=(((91*6)/x)+11) | 24 91 6 * x / 11 + = | 24:dollar 91:money 6:dollar *:dollar x:money /:dollar 11:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 50 | 971 | 91=(((24+6)+x)/11) | 91 24 6 + x + 11 / = | 91:dollar 24:dollar 6:dollar +:dollar x:dollar +:dollar 11:money /:dollar =:dollar
EXPR: 1 | POS | INT | 22 | 50 | 50 | 24=((91-6)-(11+x)) | 24 91 6 - 11 x + - = | 24:dollar 91:dollar 6:dollar -:dollar 11:dollar x:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 27 | 50 | 408 | 24=(6*(x/(91+11))) | 24 6 x 91 11 + / * = | 24:dollar 6:dollar x:money 91:dollar 11:dollar +:dollar /:money *:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 50 | 84 | 24=(91+(11-(x-6))) | 24 91 11 x 6 - - + = | 24:dollar 91:dollar 11:dollar x:dollar 6:dollar -:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 50 | 479 | 24=(x+(91*(6-11))) | 24 x 91 6 11 - * + = | 24:dollar x:dollar 91:money 6:dollar 11:dollar -:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 50 | 1 | 24=(91-((6*11)+x)) | 24 91 6 11 * x + - = | 24:dollar 91:dollar 6:money 11:dollar *:dollar x:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 50 | 133 | 24=((91-x)+(6*11)) | 24 91 x - 6 11 * + = | 24:dollar 91:dollar x:dollar -:dollar 6:money 11:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 50 | 499 | 91=(x-(24*(6+11))) | 91 x 24 6 11 + * - = | 91:dollar x:dollar 24:dollar 6:money 11:money +:money *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 50 | 4 | 6=(91+(11-(x*24))) | 6 91 11 x 24 * - + = | 6:dollar 91:dollar 11:dollar x:money 24:dollar *:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 50 | 320 | 6=((24*(91-11))/x) | 6 24 91 11 - * x / = | 6:dollar 24:money 91:dollar 11:dollar -:dollar *:dollar x:money /:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 50 | 13115 | 91=((x-11)/(24*6)) | 91 x 11 - 24 6 * / = | 91:dollar x:dollar 11:dollar -:dollar 24:dollar 6:money *:money /:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 50 | 13093 | 91=((x+11)/(24*6)) | 91 x 11 + 24 6 * / = | 91:dollar x:dollar 11:dollar +:dollar 24:dollar 6:money *:money /:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 50 | 72 | ((6+(24+x))-91)=11 | 6 24 x + + 91 - 11 = | 6:dollar 24:dollar x:dollar +:dollar +:dollar 91:dollar -:dollar 11:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 50 | 2167 | 6=((91*24)-(11+x)) | 6 91 24 * 11 x + - = | 6:dollar 91:money 24:dollar *:dollar 11:dollar x:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 42 | 50 | 106 | (24/(x-(91+11)))=6 | 24 x 91 11 + - / 6 = | 24:dollar x:money 91:money 11:money +:money -:money /:dollar 6:dollar =:dollar
EXPR: 0 | POS | INT | 42 | 50 | 1043 | 24=(((91+6)*11)-x) | 24 91 6 + 11 * x - = | 24:dollar 91:money 6:money +:money 11:dollar *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 42 | 50 | 375 | 91=((6/24)*(x-11)) | 91 6 24 / x 11 - * = | 91:money 6:dollar 24:money /:dollar x:money 11:money -:money *:money =:money
EXPR: 0 | POS | INT | 42 | 50 | 353 | 91=((6/24)*(x+11)) | 91 6 24 / x 11 + * = | 91:money 6:dollar 24:money /:dollar x:money 11:money +:money *:money =:money
EXPR: 0 | POS | INT | 42 | 50 | 2189 | ((11-x)+(91*24))=6 | 11 x - 91 24 * + 6 = | 11:dollar x:dollar -:dollar 91:money 24:dollar *:dollar +:dollar 6:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 50 | 4 | ((x*24)+(6-11))=91 | x 24 * 6 11 - + 91 = | x:money 24:dollar *:dollar 6:dollar 11:dollar -:dollar +:dollar 91:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 50 | 98 | ((6+(11+x))-91)=24 | 6 11 x + + 91 - 24 = | 6:dollar 11:dollar x:dollar +:dollar +:dollar 91:dollar -:dollar 24:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 50 | 106 | 6=(24/(x-(91+11))) | 6 24 x 91 11 + - / = | 6:dollar 24:dollar x:money 91:money 11:money +:money -:money /:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 50 | 42 | 6=((24-11)*(x/91)) | 6 24 11 - x 91 / * = | 6:dollar 24:dollar 11:dollar -:dollar x:money 91:dollar /:money *:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 50 | 421 | 91=(x-(11*(24+6))) | 91 x 11 24 6 + * - = | 91:money x:money 11:dollar 24:money 6:money +:money *:money -:money =:money
EXPR: 0 | POS | INT | 47 | 50 | 289 | 91=(x+(11*(6-24))) | 91 x 11 6 24 - * + = | 91:dollar x:dollar 11:money 6:dollar 24:dollar -:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 50 | 98 | (91-x)=((6+11)-24) | 91 x - 6 11 + 24 - = | 91:dollar x:dollar -:dollar 6:dollar 11:dollar +:dollar 24:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 50 | 4 | 24=(((11-6)+91)/x) | 24 11 6 - 91 + x / = | 24:dollar 11:dollar 6:dollar -:dollar 91:dollar +:dollar x:money /:dollar =:dollar
EXPR: 0 | POS | INT | 47 | 50 | 4 | ((6-11)+(x*24))=91 | 6 11 - x 24 * + 91 = | 6:dollar 11:dollar -:dollar x:money 24:dollar *:dollar +:dollar 91:dollar =:dollar
EXPR: 0 | POS | INT | 52 | 50 | 10920 | 11=((x/(91*24))+6) | 11 x 91 24 * / 6 + = | 11:money x:money 91:dollar 24:money *:dollar /:money 6:money +:money =:money
EXPR: 0 | POS | INT | 52 | 50 | 37128 | 11=((x/(91*24))-6) | 11 x 91 24 * / 6 - = | 11:money x:money 91:dollar 24:money *:dollar /:money 6:money -:money =:money
EXPR: 0 | POS | INT | 52 | 50 | 588 | 24=(((91+11)*6)-x) | 24 91 11 + 6 * x - = | 24:dollar 91:money 11:money +:money 6:dollar *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 52 | 50 | 431 | 24=((91*(11-6))-x) | 24 91 11 6 - * x - = | 24:money 91:dollar 11:money 6:money -:money *:money x:money -:money =:money
EXPR: 0 | POS | INT | 52 | 50 | 533 | ((11-x)+(91*6))=24 | 11 x - 91 6 * + 24 = | 11:dollar x:dollar -:dollar 91:money 6:dollar *:dollar +:dollar 24:dollar =:dollar
EXPR: 0 | POS | INT | 52 | 50 | 533 | 24=(11+((91*6)-x)) | 24 11 91 6 * x - + = | 24:dollar 11:dollar 91:dollar 6:money *:dollar x:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 72 | ((6-(11-24))+x)=91 | 6 11 24 - - x + 91 = | 6:dollar 11:dollar 24:dollar -:dollar -:dollar x:dollar +:dollar 91:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 2189 | ((6+(x-11))/91)=24 | 6 x 11 - + 91 / 24 = | 6:dollar x:dollar 11:dollar -:dollar +:dollar 91:money /:dollar 24:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 62 | ((24+(11-6))+x)=91 | 24 11 6 - + x + 91 = | 24:dollar 11:dollar 6:dollar -:dollar +:dollar x:dollar +:dollar 91:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 4422 | 6=(x/(11*(91-24))) | 6 x 11 91 24 - * / = | 6:money x:money 11:money 91:dollar 24:dollar -:dollar *:dollar /:money =:money
EXPR: 0 | POS | INT | 57 | 50 | 468 | 11=(((x/6)-91)+24) | 11 x 6 / 91 - 24 + = | 11:dollar x:dollar 6:money /:dollar 91:dollar -:dollar 24:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 42 | 24=(11+(6*(91/x))) | 24 11 6 91 x / * + = | 24:dollar 11:dollar 6:money 91:dollar x:money /:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 375 | ((6*(x-11))/91)=24 | 6 x 11 - * 91 / 24 = | 6:dollar x:money 11:money -:money *:dollar 91:money /:dollar 24:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 353 | ((6*(x+11))/91)=24 | 6 x 11 + * 91 / 24 = | 6:dollar x:money 11:money +:money *:dollar 91:money /:dollar 24:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 13 | ((6-x)*(11-24))=91 | 6 x - 11 24 - * 91 = | 6:money x:money -:money 11:dollar 24:dollar -:dollar *:dollar 91:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 37128 | ((x/24)/(6+11))=91 | x 24 / 6 11 + / 91 = | x:money 24:dollar /:money 6:dollar 11:dollar +:dollar /:money 91:money =:money
EXPR: 0 | POS | INT | 57 | 50 | 49 | (((6*11)-91)+x)=24 | 6 11 * 91 - x + 24 = | 6:dollar 11:money *:dollar 91:dollar -:dollar x:dollar +:dollar 24:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 4004 | 24=((x*(6/91))/11) | 24 x 6 91 / * 11 / = | 24:dollar x:dollar 6:money 91:dollar /:money *:dollar 11:money /:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 637 | 24=(6*(11-(x/91))) | 24 6 11 x 91 / - * = | 24:dollar 6:dollar 11:money x:money 91:dollar /:money -:money *:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 2189 | (((6-11)+x)/91)=24 | 6 11 - x + 91 / 24 = | 6:dollar 11:dollar -:dollar x:dollar +:dollar 91:money /:dollar 24:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 50 | 353 | ((6*(11+x))/91)=24 | 6 11 x + * 91 / 24 = | 6:dollar 11:money x:money +:money *:money 91:dollar /:money 24:money =:money
EXPR: 0 | POS | INT | 65 | 50 | 119 | x=((6*(24+11))-91) | x 6 24 11 + * 91 - = | x:dollar 6:money 24:dollar 11:dollar +:dollar *:dollar 91:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 65 | 50 | 3768 | x=(24*((6*11)+91)) | x 24 6 11 * 91 + * = | x:money 24:dollar 6:money 11:dollar *:money 91:money +:money *:money =:money
EXPR: 0 | POS | INT | 66 | 50 | 119 | x=((6*(24+11))-91) | x 6 24 11 + * 91 - = | x:dollar 6:money 24:dollar 11:dollar +:dollar *:dollar 91:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 66 | 50 | 3768 | x=(24*((6*11)+91)) | x 24 6 11 * 91 + * = | x:money 24:dollar 6:money 11:dollar *:money 91:money +:money *:money =:money
EXPR: 0 | POS | INT | 67 | 50 | 4004 | (((6/11)*x)/91)=24 | 6 11 / x * 91 / 24 = | 6:money 11:dollar /:money x:dollar *:dollar 91:money /:dollar 24:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 50 | 179 | (6+((24*11)-x))=91 | 6 24 11 * x - + 91 = | 6:dollar 24:money 11:dollar *:dollar x:dollar -:dollar +:dollar 91:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 50 | 4422 | (24+(x/(6*11)))=91 | 24 x 6 11 * / + 91 = | 24:dollar x:dollar 6:dollar 11:money *:money /:dollar +:dollar 91:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 50 | 375 | (6*(x-11))=(91*24) | 6 x 11 - * 91 24 * = | 6:dollar x:money 11:money -:money *:money 91:dollar 24:money *:money =:money
EXPR: 0 | POS | INT | 67 | 50 | 169 | ((6*(11-24))+x)=91 | 6 11 24 - * x + 91 = | 6:money 11:dollar 24:dollar -:dollar *:dollar x:dollar +:dollar 91:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 50 | 2167 | ((6+(11+x))/91)=24 | 6 11 x + + 91 / 24 = | 6:money 11:money x:money +:money +:money 91:dollar /:money 24:money =:money
EXPR: 0 | POS | INT | 67 | 50 | 135 | 11=((6*(x-91))/24) | 11 6 x 91 - * 24 / = | 11:dollar 6:money x:dollar 91:dollar -:dollar *:dollar 24:money /:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 50 | 353 | ((6*(x+11))/91)=24 | 6 x 11 + * 91 / 24 = | 6:money x:dollar 11:dollar +:dollar *:money 91:dollar /:money 24:money =:money
EXPR: 0 | POS | INT | 75 | 50 | 3768 | x=(24*((6*11)+91)) | x 24 6 11 * 91 + * = | x:dollar 24:money 6:money 11:dollar *:dollar 91:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 76 | 50 | 3768 | x=(24*((6*11)+91)) | x 24 6 11 * 91 + * = | x:dollar 24:money 6:money 11:dollar *:dollar 91:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 77 | 50 | 98 | (6+(x+(11-91)))=24 | 6 x 11 91 - + + 24 = | 6:money x:money 11:money 91:money -:money +:money +:money 24:money =:money
EXPR: 0 | POS | INT | 77 | 50 | 349 | (6+(x-(24*11)))=91 | 6 x 24 11 * - + 91 = | 6:money x:money 24:dollar 11:money *:money -:money +:money 91:money =:money
EXPR: 0 | POS | INT | 77 | 50 | 224 | (x+(11-(24*6)))=91 | x 11 24 6 * - + 91 = | x:money 11:money 24:dollar 6:money *:money -:money +:money 91:money =:money
EXPR: 0 | POS | INT | 77 | 50 | 5982 | ((x+24)/(6*11))=91 | x 24 + 6 11 * / 91 = | x:money 24:money +:money 6:dollar 11:money *:dollar /:money 91:money =:money
EXPR: 0 | POS | INT | 77 | 50 | 133 | (6*11)=((24+x)-91) | 6 11 * 24 x + 91 - = | 6:money 11:dollar *:dollar 24:dollar x:dollar +:dollar 91:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 77 | 50 | 14688 | 11=((x/(24*6))-91) | 11 x 24 6 * / 91 - = | 11:money x:money 24:money 6:dollar *:dollar /:money 91:money -:money =:money
EXPR: 0 | POS | INT | 77 | 50 | 583 | 11=(x/((24*6)-91)) | 11 x 24 6 * 91 - / = | 11:dollar x:dollar 24:dollar 6:money *:money 91:money -:money /:dollar =:dollar
EXPR: 0 | POS | INT | 77 | 50 | 2585 | 11=(x/((24*6)+91)) | 11 x 24 6 * 91 + / = | 11:dollar x:dollar 24:dollar 6:money *:money 91:money +:money /:dollar =:dollar
EXPR: 0 | POS | INT | 77 | 50 | 98 | ((6+(11+x))-91)=24 | 6 11 x + + 91 - 24 = | 6:money 11:money x:money +:money +:money 91:money -:money 24:money =:money
EXPR: 0 | POS | INT | 77 | 50 | 1139 | (24+(x/(6+11)))=91 | 24 x 6 11 + / + 91 = | 24:dollar x:dollar 6:money 11:money +:money /:dollar +:dollar 91:dollar =:dollar
EXPR: 0 | POS | INT | 77 | 50 | 62 | (((6-11)+91)-x)=24 | 6 11 - 91 + x - 24 = | 6:money 11:money -:money 91:money +:money x:money -:money 24:money =:money
EXPR: 0 | POS | INT | 87 | 50 | 42 | 6=(((24-11)*x)/91) | 6 24 11 - x * 91 / = | 6:dollar 24:money 11:money -:money x:dollar *:dollar 91:money /:dollar =:dollar
EXPR: 1 | POS | INT | 87 | 50 | 50 | ((24+x)+(6+11))=91 | 24 x + 6 11 + + 91 = | 24:money x:money +:money 6:money 11:money +:money +:money 91:money =:money
EXPR: 0 | POS | INT | 87 | 50 | 133 | (24+x)=((6*11)+91) | 24 x + 6 11 * 91 + = | 24:money x:money +:money 6:dollar 11:money *:money 91:money +:money =:money
EXPR: 0 | POS | INT | 87 | 50 | 72 | ((6-(11-24))+x)=91 | 6 11 24 - - x + 91 = | 6:money 11:money 24:money -:money -:money x:money +:money 91:money =:money
EXPR: 0 | POS | INT | 97 | 50 | 62 | (6-(x+24))=(11-91) | 6 x 24 + - 11 91 - = | 6:money x:money 24:money +:money -:money 11:money 91:money -:money =:money
NET 97 non-negative, integer-valued solutions found out of 860 total solutions
