parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 652 solutions found
EXPR: 0 | POS | INT | 10 | 67 | 183 | x=(30+(49+(46+58))) | x 30 49 46 58 + + + = | x:dollar 30:dollar 49:dollar 46:dollar 58:dollar +:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 52 | 67 | 152880 | 58=((x/(30*49))-46) | 58 x 30 49 * / 46 - = | 58:money x:money 30:dollar 49:money *:dollar /:money 46:money -:money =:money
EXPR: 0 | POS | INT | 52 | 67 | 3999 | 49=(((30+58)*46)-x) | 49 30 58 + 46 * x - = | 49:dollar 30:money 58:money +:money 46:dollar *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 52 | 67 | 311 | 49=((30*(58-46))-x) | 49 30 58 46 - * x - = | 49:money 30:dollar 58:money 46:money -:money *:money x:money -:money =:money
EXPR: 0 | POS | INT | 52 | 67 | 31 | 30=((49+(58-46))-x) | 30 49 58 46 - + x - = | 30:money 49:money 58:money 46:money -:money +:money x:money -:money =:money
EXPR: 0 | POS | INT | 57 | 67 | 7 | 49=(((58-46)+30)+x) | 49 58 46 - 30 + x + = | 49:dollar 58:dollar 46:dollar -:dollar 30:dollar +:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 67 | 932 | 58=(x+(46*(30-49))) | 58 x 46 30 49 - * + = | 58:dollar x:dollar 46:money 30:dollar 49:dollar -:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 67 | 1482 | ((46+(x-58))/30)=49 | 46 x 58 - + 30 / 49 = | 46:dollar x:dollar 58:dollar -:dollar +:dollar 30:money /:dollar 49:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 67 | 1794 | 58=(((x/46)-30)+49) | 58 x 46 / 30 - 49 + = | 58:dollar x:dollar 46:money /:dollar 30:dollar -:dollar 49:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 57 | 67 | 123 | (58+((46-x)+49))=30 | 58 46 x - 49 + + 30 = | 58:dollar 46:dollar x:dollar -:dollar 49:dollar +:dollar +:dollar 30:dollar =:dollar
EXPR: 0 | POS | INT | 65 | 67 | 4892 | x=((46*(49+58))-30) | x 46 49 58 + * 30 - = | x:dollar 46:money 49:dollar 58:dollar +:dollar *:dollar 30:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 65 | 67 | 132202 | x=(49*((46*58)+30)) | x 49 46 58 * 30 + * = | x:money 49:dollar 46:money 58:dollar *:money 30:money +:money *:money =:money
EXPR: 0 | POS | INT | 65 | 67 | 129262 | x=(49*((46*58)-30)) | x 49 46 58 * 30 - * = | x:money 49:dollar 46:money 58:dollar *:money 30:money -:money *:money =:money
EXPR: 0 | POS | INT | 66 | 67 | 4892 | x=((46*(49+58))-30) | x 46 49 58 + * 30 - = | x:dollar 46:money 49:dollar 58:dollar +:dollar *:dollar 30:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 66 | 67 | 132202 | x=(49*((46*58)+30)) | x 49 46 58 * 30 + * = | x:money 49:dollar 46:money 58:dollar *:money 30:money +:money *:money =:money
EXPR: 0 | POS | INT | 67 | 67 | 12420 | (x/(46*(58-49)))=30 | x 46 58 49 - * / 30 = | x:money 46:money 58:dollar 49:dollar -:dollar *:dollar /:money 30:money =:money
EXPR: 0 | POS | INT | 67 | 67 | 2687 | ((49+(46*58))-x)=30 | 49 46 58 * + x - 30 = | 49:dollar 46:money 58:dollar *:dollar +:dollar x:dollar -:dollar 30:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 67 | 2858 | (46+((49*58)-x))=30 | 46 49 58 * x - + 30 = | 46:dollar 49:money 58:dollar *:dollar x:dollar -:dollar +:dollar 30:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 67 | 50692 | (49-(x/(46*58)))=30 | 49 x 46 58 * / - 30 = | 49:dollar x:dollar 46:dollar 58:money *:money /:dollar -:dollar 30:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 67 | 1650 | 49=(46+(58-(x/30))) | 49 46 58 x 30 / - + = | 49:dollar 46:dollar 58:dollar x:dollar 30:money /:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 67 | 67 | 45472 | (46-(x/(49*58)))=30 | 46 x 49 58 * / - 30 = | 46:dollar x:dollar 49:money 58:dollar *:money /:dollar -:dollar 30:dollar =:dollar
EXPR: 0 | POS | INT | 77 | 67 | 2826 | (46+(x-(49*58)))=30 | 46 x 49 58 * - + 30 = | 46:money x:money 49:dollar 58:money *:money -:money +:money 30:money =:money
EXPR: 0 | POS | INT | 77 | 67 | 2226 | (x+(58-(49*46)))=30 | x 58 49 46 * - + 30 = | x:money 58:money 49:dollar 46:money *:money -:money +:money 30:money =:money
EXPR: 0 | POS | INT | 77 | 67 | 79990.9999999999 | ((x+49)/(46*58))=30 | x 49 + 46 58 * / 30 = | x:money 49:money +:money 46:dollar 58:money *:dollar /:money 30:money =:money
EXPR: 0 | POS | INT | 77 | 67 | 198352 | 58=((x/(49*46))-30) | 58 x 49 46 * / 30 - = | 58:money x:money 49:money 46:dollar *:dollar /:money 30:money -:money =:money
EXPR: 0 | POS | INT | 77 | 67 | 63112 | 58=((x/(49*46))+30) | 58 x 49 46 * / 30 + = | 58:money x:money 49:money 46:dollar *:dollar /:money 30:money +:money =:money
EXPR: 0 | POS | INT | 77 | 67 | 2918 | 46=((x-(49*58))-30) | 46 x 49 58 * - 30 - = | 46:money x:money 49:dollar 58:money *:money -:money 30:money -:money =:money
EXPR: 0 | POS | INT | 77 | 67 | 2918 | 46=((x-(49*58))-30) | 46 x 49 58 * - 30 - = | 46:money x:money 49:money 58:dollar *:money -:money 30:money -:money =:money
EXPR: 0 | POS | INT | 87 | 67 | 25 | (46+((58-49)-x))=30 | 46 58 49 - x - + 30 = | 46:money 58:money 49:money -:money x:money -:money +:money 30:money =:money
EXPR: 0 | POS | INT | 87 | 67 | 123 | ((49-x)+(46+58))=30 | 49 x - 46 58 + + 30 = | 49:money x:money -:money 46:money 58:money +:money +:money 30:money =:money
NET 45 non-negative, integer-valued solutions found out of 652 total solutions
