parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 224 | 128 | x=(((10+1)-3)*16) | x 10 1 + 3 - 16 * = | x:dollar 10:book 1:book +:book 3:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 224 | 128 | x=(((10+1)-3)*16) | x 10 1 + 3 - 16 * = | x:dollar 10:book 1:book +:book 3:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 112 | x=((10-(1*3))*16) | x 10 1 3 * - 16 * = | x:dollar 10:book 1:dollar 3:book *:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 192 | x=((10+(3-1))*16) | x 10 3 1 - + 16 * = | x:dollar 10:book 3:book 1:book -:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 209 | x=((10+1)*(3+16)) | x 10 1 + 3 16 + * = | x:dollar 10:book 1:book +:book 3:dollar 16:dollar +:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 10 | 224 | 224 | x=((1+(10+3))*16) | x 1 10 3 + + 16 * = | x:dollar 1:book 10:book 3:book +:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 128 | x=((1+(10-3))*16) | x 1 10 3 - + 16 * = | x:dollar 1:book 10:book 3:book -:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 224 | 171 | x=((10-1)*(3+16)) | x 10 1 - 3 16 + * = | x:dollar 10:book 1:book -:book 3:dollar 16:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 224 | 192 | x=((10+(3-1))*16) | x 10 3 1 - + 16 * = | x:dollar 10:book 3:book 1:book -:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 224 | 128 | x=((1+(10-3))*16) | x 1 10 3 - + 16 * = | x:dollar 1:book 10:book 3:book -:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 8 | 10=((1-(3/x))*16) | 10 1 3 x / - 16 * = | 10:dollar 1:book 3:book x:dollar /:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 224 | 192 | 10=((1-3)+(x/16)) | 10 1 3 - x 16 / + = | 10:book 1:book 3:book -:book x:book 16:dollar /:book +:book =:book
EXPR: 0 | POS | INT | 12 | 224 | 78 | 10=((1*(x/3))-16) | 10 1 x 3 / * 16 - = | 10:book 1:book x:dollar 3:book /:dollar *:book 16:book -:book =:book
EXPR: 0 | POS | INT | 12 | 224 | 21 | 10=((1-3)*(16-x)) | 10 1 3 - 16 x - * = | 10:dollar 1:book 3:book -:book 16:dollar x:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 224 | 8 | 10=(16*(1-(3/x))) | 10 16 1 3 x / - * = | 10:book 16:dollar 1:book 3:book x:dollar /:book -:book *:book =:book
EXPR: 0 | POS | INT | 20 | 224 | 464 | x=(((10*3)-1)*16) | x 10 3 * 1 - 16 * = | x:dollar 10:dollar 3:book *:book 1:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 59 | x=((10+1)+(3*16)) | x 10 1 + 3 16 * + = | x:dollar 10:dollar 1:dollar +:dollar 3:book 16:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 57 | x=((10-1)+(3*16)) | x 10 1 - 3 16 * + = | x:dollar 10:dollar 1:dollar -:dollar 3:book 16:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 190 | x=((10*1)*(3+16)) | x 10 1 * 3 16 + * = | x:dollar 10:dollar 1:book *:book 3:dollar 16:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 78 | x=((10+(1*16))*3) | x 10 1 16 * + 3 * = | x:dollar 10:book 1:book 16:dollar *:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 190 | x=((10*1)*(3+16)) | x 10 1 * 3 16 + * = | x:dollar 10:book 1:dollar *:book 3:dollar 16:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 224 | 29 | x=((10*1)+(3+16)) | x 10 1 * 3 16 + + = | x:dollar 10:book 1:dollar *:dollar 3:dollar 16:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 224 | 464 | x=(((10*3)-1)*16) | x 10 3 * 1 - 16 * = | x:dollar 10:dollar 3:book *:book 1:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 224 | 57 | x=((10-1)+(3*16)) | x 10 1 - 3 16 * + = | x:dollar 10:dollar 1:dollar -:dollar 3:book 16:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 224 | 59 | x=((10+1)+(3*16)) | x 10 1 + 3 16 * + = | x:dollar 10:dollar 1:dollar +:dollar 3:book 16:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 224 | 78 | x=((10+(1*16))*3) | x 10 1 16 * + 3 * = | x:dollar 10:book 1:book 16:dollar *:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 57 | 10=(1-((3*16)-x)) | 10 1 3 16 * x - - = | 10:dollar 1:dollar 3:book 16:dollar *:dollar x:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 8 | (x*(1-(10/16)))=3 | x 1 10 16 / - * 3 = | x:dollar 1:book 10:book 16:dollar /:book -:book *:book 3:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 190 | ((x/10)*1)=(3+16) | x 10 / 1 * 3 16 + = | x:dollar 10:book /:dollar 1:book *:dollar 3:dollar 16:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 208 | 10=((1*(x/16))-3) | 10 1 x 16 / * 3 - = | 10:book 1:book x:dollar 16:book /:dollar *:book 3:book -:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 112 | 10=((1*(x/16))+3) | 10 1 x 16 / * 3 + = | 10:book 1:book x:dollar 16:book /:dollar *:book 3:book +:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 4 | (10-((1-x)-3))=16 | 10 1 x - 3 - - 16 = | 10:book 1:book x:book -:book 3:book -:book -:book 16:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 480 | 10=((x*1)/(3*16)) | 10 x 1 * 3 16 * / = | 10:book x:dollar 1:book *:book 3:dollar 16:book *:dollar /:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 2 | (10+((1+x)+3))=16 | 10 1 x + 3 + + 16 = | 10:book 1:book x:book +:book 3:book +:book +:book 16:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 43 | (x+((1-10)*3))=16 | x 1 10 - 3 * + 16 = | x:dollar 1:book 10:book -:book 3:dollar *:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 22 | 10=((1+3)-(16-x)) | 10 1 3 + 16 x - - = | 10:book 1:book 3:book +:book 16:book x:book -:book -:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 28 | 10=((1-3)-(16-x)) | 10 1 3 - 16 x - - = | 10:book 1:book 3:book -:book 16:book x:book -:book -:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 30 | (x-(10+(1+3)))=16 | x 10 1 3 + + - 16 = | x:book 10:book 1:book 3:book +:book +:book -:book 16:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 29 | 10=(x-((1*3)+16)) | 10 x 1 3 * 16 + - = | 10:dollar x:dollar 1:book 3:dollar *:dollar 16:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 112 | 10=((1*3)+(x/16)) | 10 1 3 * x 16 / + = | 10:book 1:book 3:dollar *:book x:book 16:dollar /:book +:book =:book
EXPR: 0 | POS | INT | 22 | 224 | 78 | 10=((x/(1*3))-16) | 10 x 1 3 * / 16 - = | 10:dollar x:dollar 1:dollar 3:book *:book /:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 224 | 221 | 1=((x/(10+3))-16) | 1 x 10 3 + / 16 - = | 1:dollar x:dollar 10:book 3:book +:book /:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 25 | 224 | 192 | x=((3-(1-10))*16) | x 3 1 10 - - 16 * = | x:dollar 3:book 1:book 10:book -:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 25 | 224 | 208 | x=((3+(10*1))*16) | x 3 10 1 * + 16 * = | x:dollar 3:book 10:book 1:dollar *:book +:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 26 | 224 | 192 | x=((3-(1-10))*16) | x 3 1 10 - - 16 * = | x:dollar 3:book 1:book 10:book -:book -:book 16:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 27 | 224 | 9 | (x-((3-10)*1))=16 | x 3 10 - 1 * - 16 = | x:dollar 3:book 10:book -:book 1:dollar *:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 27 | 224 | 23 | (x+((3-10)*1))=16 | x 3 10 - 1 * + 16 = | x:dollar 3:book 10:book -:book 1:dollar *:dollar +:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 30 | 224 | 75 | x=((10-(1-16))*3) | x 10 1 16 - - 3 * = | x:dollar 10:book 1:book 16:book -:book -:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 30 | 224 | 81 | x=(((10+1)+16)*3) | x 10 1 + 16 + 3 * = | x:dollar 10:book 1:book +:book 16:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 30 | 224 | 81 | x=((10+(1+16))*3) | x 10 1 16 + + 3 * = | x:dollar 10:book 1:book 16:book +:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 30 | 224 | 29 | x=((10+3)+(1*16)) | x 10 3 + 1 16 * + = | x:dollar 10:dollar 3:dollar +:dollar 1:book 16:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 30 | 224 | 157 | x=(1*((10*16)-3)) | x 1 10 16 * 3 - * = | x:dollar 1:book 10:book 16:dollar *:dollar 3:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 30 | 224 | 163 | x=(1*((10*16)+3)) | x 1 10 16 * 3 + * = | x:dollar 1:book 10:book 16:dollar *:dollar 3:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 30 | 224 | 483 | x=((1+(10*16))*3) | x 1 10 16 * + 3 * = | x:dollar 1:book 10:book 16:dollar *:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 31 | 224 | 75 | x=((10-(1-16))*3) | x 10 1 16 - - 3 * = | x:dollar 10:book 1:book 16:book -:book -:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 2 | 16=((1+(10-3))*x) | 16 1 10 3 - + x * = | 16:dollar 1:book 10:book 3:book -:book +:book x:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 3 | 10=((1*16)-(x+3)) | 10 1 16 * x 3 + - = | 10:dollar 1:book 16:dollar *:dollar x:dollar 3:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 112 | 10=((1*(x/16))+3) | 10 1 x 16 / * 3 + = | 10:book 1:dollar x:book 16:dollar /:book *:book 3:book +:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 157 | 10=((1/16)*(3+x)) | 10 1 16 / 3 x + * = | 10:dollar 1:book 16:dollar /:book 3:dollar x:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 18 | 1=((10+(x/3))/16) | 1 10 x 3 / + 16 / = | 1:book 10:book x:book 3:dollar /:book +:book 16:dollar /:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 480 | 10=(((x/3)*1)/16) | 10 x 3 / 1 * 16 / = | 10:dollar x:dollar 3:book /:dollar 1:book *:dollar 16:book /:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 8 | (10-((3-x)-1))=16 | 10 3 x - 1 - - 16 = | 10:book 3:book x:book -:book 1:book -:book -:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 208 | 10=((x/(1*16))-3) | 10 x 1 16 * / 3 - = | 10:dollar x:dollar 1:book 16:dollar *:book /:dollar 3:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 22 | (1-((10-x)-3))=16 | 1 10 x - 3 - - 16 = | 1:book 10:book x:book -:book 3:book -:book -:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 8 | (1+((10+x)-3))=16 | 1 10 x + 3 - + 16 = | 1:book 10:book x:book +:book 3:book -:book +:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 19 | (10+((x-1)/3))=16 | 10 x 1 - 3 / + 16 = | 10:book x:book 1:book -:book 3:dollar /:book +:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 17 | (10+((x+1)/3))=16 | 10 x 1 + 3 / + 16 = | 10:book x:book 1:book +:book 3:dollar /:book +:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 3 | (10+((x-1)*3))=16 | 10 x 1 - 3 * + 16 = | 10:book x:book 1:book -:book 3:dollar *:book +:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 23 | 10=((1*3)-(16-x)) | 10 1 3 * 16 x - - = | 10:book 1:dollar 3:book *:book 16:book x:book -:book -:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 58 | (1*x)=(10+(3*16)) | 1 x * 10 3 16 * + = | 1:book x:dollar *:dollar 10:dollar 3:book 16:dollar *:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 17 | 16=(((10+1)*3)-x) | 16 10 1 + 3 * x - = | 16:dollar 10:book 1:book +:book 3:dollar *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 30 | (x-(1+(10+3)))=16 | x 1 10 3 + + - 16 = | x:book 1:book 10:book 3:book +:book +:book -:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 1 | (10+((x+1)*3))=16 | 10 x 1 + 3 * + 16 = | 10:book x:book 1:book +:book 3:dollar *:book +:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 56 | (x-(10*(1+3)))=16 | x 10 1 3 + * - 16 = | x:book 10:dollar 1:book 3:book +:book *:book -:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 147 | (x+((1-10)*16))=3 | x 1 10 - 16 * + 3 = | x:dollar 1:book 10:book -:book 16:dollar *:dollar +:dollar 3:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 640 | (x/(10*(1+3)))=16 | x 10 1 3 + * / 16 = | x:book 10:dollar 1:book 3:book +:book *:dollar /:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 9 | 10=(3-((1*x)-16)) | 10 3 1 x * 16 - - = | 10:dollar 3:dollar 1:book x:dollar *:dollar 16:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 32 | 224 | 78 | (x/(10+(1*16)))=3 | x 10 1 16 * + / 3 = | x:book 10:dollar 1:book 16:dollar *:dollar +:dollar /:book 3:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 2 | (1+((10+x)+3))=16 | 1 10 x + 3 + + 16 = | 1:book 10:book x:book +:book 3:book +:book +:book 16:book =:book
EXPR: 0 | POS | INT | 32 | 224 | 80 | (1+(16*(10/x)))=3 | 1 16 10 x / * + 3 = | 1:book 16:dollar 10:book x:dollar /:book *:book +:book 3:book =:book
EXPR: 0 | POS | INT | 35 | 224 | 75 | x=((10+(16-1))*3) | x 10 16 1 - + 3 * = | x:dollar 10:book 16:book 1:book -:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 224 | 128 | 10=((3+(x/16))-1) | 10 3 x 16 / + 1 - = | 10:book 3:book x:book 16:dollar /:book +:book 1:book -:book =:book
EXPR: 0 | POS | INT | 37 | 224 | 190 | 3=((x/(10*1))-16) | 3 x 10 1 * / 16 - = | 3:dollar x:dollar 10:book 1:dollar *:book /:dollar 16:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 224 | 48 | 10=((3*(x/16))+1) | 10 3 x 16 / * 1 + = | 10:book 3:book x:dollar 16:book /:dollar *:book 1:book +:book =:book
EXPR: 0 | POS | INT | 37 | 224 | 480 | ((x/10)/(3*16))=1 | x 10 / 3 16 * / 1 = | x:dollar 10:book /:dollar 3:book 16:dollar *:book /:dollar 1:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 224 | 8 | (10-((16-x)-1))=3 | 10 16 x - 1 - - 3 = | 10:book 16:book x:book -:book 1:book -:book -:book 3:book =:book
EXPR: 0 | POS | INT | 37 | 224 | 36 | (x-((3-1)*10))=16 | x 3 1 - 10 * - 16 = | x:dollar 3:book 1:book -:book 10:dollar *:dollar -:dollar 16:dollar =:dollar
EXPR: 0 | POS | INT | 37 | 224 | 80 | (3-(16*(10/x)))=1 | 3 16 10 x / * - 1 = | 3:book 16:dollar 10:book x:dollar /:book *:book -:book 1:book =:book
EXPR: 0 | POS | INT | 37 | 224 | 39 | (10+(x-(3*16)))=1 | 10 x 3 16 * - + 1 = | 10:book x:book 3:book 16:dollar *:book -:book +:book 1:book =:book
EXPR: 0 | POS | INT | 40 | 224 | 21 | x=((16-(10-1))*3) | x 16 10 1 - - 3 * = | x:dollar 16:book 10:book 1:book -:book -:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 163 | x=((3+(10*16))*1) | x 3 10 16 * + 1 * = | x:dollar 3:book 10:book 16:dollar *:book +:book 1:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 81 | x=((16+(10+1))*3) | x 16 10 1 + + 3 * = | x:dollar 16:book 10:book 1:book +:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 10 | x=((1-10)+(3+16)) | x 1 10 - 3 16 + + = | x:dollar 1:dollar 10:dollar -:dollar 3:dollar 16:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 61 | x=(10+((1+16)*3)) | x 10 1 16 + 3 * + = | x:book 10:book 1:book 16:book +:book 3:dollar *:book +:book =:book
EXPR: 0 | POS | INT | 40 | 224 | 24 | x=(((10+1)+16)-3) | x 10 1 + 16 + 3 - = | x:dollar 10:dollar 1:dollar +:dollar 16:dollar +:dollar 3:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 3 | x=(16-((10*1)+3)) | x 16 10 1 * 3 + - = | x:dollar 16:dollar 10:book 1:dollar *:dollar 3:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 21 | x=(((16-10)+1)*3) | x 16 10 - 1 + 3 * = | x:dollar 16:dollar 10:dollar -:dollar 1:dollar +:dollar 3:book *:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 9 | x=(16-((10*1)-3)) | x 16 10 1 * 3 - - = | x:dollar 16:dollar 10:book 1:dollar *:dollar 3:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 477 | x=(3*((10*16)-1)) | x 3 10 16 * 1 - * = | x:dollar 3:book 10:book 16:dollar *:dollar 1:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 483 | x=(3*((10*16)+1)) | x 3 10 16 * 1 + * = | x:dollar 3:book 10:book 16:dollar *:dollar 1:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 40 | 224 | 192 | x=(((10-1)+3)*16) | x 10 1 - 3 + 16 * = | x:dollar 10:dollar 1:dollar -:dollar 3:dollar +:dollar 16:book *:dollar =:dollar
EXPR: 0 | POS | INT | 41 | 224 | 81 | x=((16+(10+1))*3) | x 16 10 1 + + 3 * = | x:dollar 16:book 10:book 1:book +:book +:book 3:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 41 | 224 | 10 | x=((1-10)+(3+16)) | x 1 10 - 3 16 + + = | x:dollar 1:dollar 10:dollar -:dollar 3:dollar 16:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 41 | 224 | 9 | x=(16-((10*1)-3)) | x 16 10 1 * 3 - - = | x:dollar 16:dollar 10:book 1:dollar *:dollar 3:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 41 | 224 | 477 | x=(3*((10*16)-1)) | x 3 10 16 * 1 - * = | x:dollar 3:book 10:book 16:dollar *:dollar 1:dollar -:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 41 | 224 | 483 | x=(3*((10*16)+1)) | x 3 10 16 * 1 + * = | x:dollar 3:book 10:book 16:dollar *:dollar 1:dollar +:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 42 | 224 | 75 | 10=((1-16)+(x/3)) | 10 1 16 - x 3 / + = | 10:book 1:book 16:book -:book x:book 3:dollar /:book +:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 22 | 16=(x-(10-(1+3))) | 16 x 10 1 3 + - - = | 16:book x:book 10:book 1:book 3:book +:book -:book -:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 30 | 16=(x-(10+(1+3))) | 16 x 10 1 3 + + - = | 16:book x:book 10:book 1:book 3:book +:book +:book -:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 18 | (x/(16-(10*1)))=3 | x 16 10 1 * - / 3 = | x:book 16:dollar 10:book 1:dollar *:dollar -:dollar /:book 3:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 78 | (x/(16+(10*1)))=3 | x 16 10 1 * + / 3 = | x:book 16:dollar 10:book 1:dollar *:dollar +:dollar /:book 3:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 58 | (x*1)=(10+(3*16)) | x 1 * 10 3 16 * + = | x:dollar 1:book *:book 10:book 3:dollar 16:book *:book +:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 13 | ((10*3)-(1+x))=16 | 10 3 * 1 x + - 16 = | 10:dollar 3:book *:book 1:book x:book +:book -:book 16:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 24 | (16-((x-10)-1))=3 | 16 x 10 - 1 - - 3 = | 16:book x:book 10:book -:book 1:book -:book -:book 3:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 157 | 10=((3+x)*(1/16)) | 10 3 x + 1 16 / * = | 10:book 3:book x:book +:book 1:dollar 16:book /:dollar *:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 9 | 10=(1*(16+(3-x))) | 10 1 16 3 x - + * = | 10:book 1:dollar 16:book 3:book x:book -:book +:book *:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 3 | 10=(1*(16-(3+x))) | 10 1 16 3 x + - * = | 10:book 1:dollar 16:book 3:book x:book +:book -:book *:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 157 | 10=((x+3)*(1/16)) | 10 x 3 + 1 16 / * = | 10:book x:book 3:book +:book 1:dollar 16:book /:dollar *:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 28 | 16=(x-(10-(1-3))) | 16 x 10 1 3 - - - = | 16:book x:book 10:book 1:book 3:book -:book -:book -:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 41 | 10=((3*(1+16))-x) | 10 3 1 16 + * x - = | 10:dollar 3:dollar 1:book 16:book +:book *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 42 | 224 | 56 | 16=(x-(10*(1+3))) | 16 x 10 1 3 + * - = | 16:dollar x:dollar 10:book 1:dollar 3:dollar +:dollar *:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 42 | 224 | 480 | (((x/10)*1)/16)=3 | x 10 / 1 * 16 / 3 = | x:book 10:dollar /:book 1:dollar *:book 16:dollar /:book 3:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 18 | (10+(1*(x/3)))=16 | 10 1 x 3 / * + 16 = | 10:book 1:dollar x:book 3:dollar /:book *:book +:book 16:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 24 | 16=(x-(10+(1-3))) | 16 x 10 1 3 - + - = | 16:book x:book 10:book 1:book 3:book -:book +:book -:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 55 | (1+((x-10)/3))=16 | 1 x 10 - 3 / + 16 = | 1:book x:book 10:book -:book 3:dollar /:book +:book 16:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 480 | (1/((10/x)*3))=16 | 1 10 x / 3 * / 16 = | 1:book 10:dollar x:book /:dollar 3:book *:dollar /:book 16:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 38 | ((x*1)+10)=(3*16) | x 1 * 10 + 3 16 * = | x:dollar 1:book *:book 10:book +:book 3:dollar 16:book *:book =:book
EXPR: 0 | POS | INT | 42 | 224 | 209 | (x-(16*(10+3)))=1 | x 16 10 3 + * - 1 = | x:book 16:dollar 10:book 3:book +:book *:book -:book 1:book =:book
