parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 480 solutions found
EXPR: 0 | POS | INT | 0 | 52 | 162 | ((3+162)-3)=x | 3 162 + 3 - x = | 3:number 162:number +:number 3:number -:number x:number =:number
EXPR: 0 | POS | INT | 1 | 52 | 162 | x=(3+(162-3)) | x 3 162 3 - + = | x:number 3:number 162:number 3:number -:number +:number =:number
EXPR: 0 | POS | INT | 1 | 52 | 168 | (3+(162+3))=x | 3 162 3 + + x = | 3:number 162:number 3:number +:number +:number x:number =:number
EXPR: 0 | POS | INT | 1 | 52 | 162 | (3+(162-3))=x | 3 162 3 - + x = | 3:number 162:number 3:number -:number +:number x:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 156 | 3=(162-(x+3)) | 3 162 x 3 + - = | 3:number 162:number x:number 3:number +:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 168 | 3=(x-(162+3)) | 3 x 162 3 + - = | 3:number x:number 162:number 3:number +:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 156 | 3=(162-(3+x)) | 3 162 3 x + - = | 3:number 162:number 3:number x:number +:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | ((3-3)+162)=x | 3 3 - 162 + x = | 3:number 3:number -:number 162:number +:number x:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | x=(162-(3-3)) | x 162 3 3 - - = | x:number 162:number 3:number 3:number -:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 156 | x=(162-(3+3)) | x 162 3 3 + - = | x:number 162:number 3:number 3:number +:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | (3-(x-162))=3 | 3 x 162 - - 3 = | 3:number x:number 162:number -:number -:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 168 | x=((3+3)+162) | x 3 3 + 162 + = | x:number 3:number 3:number +:number 162:number +:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | ((x+3)-162)=3 | x 3 + 162 - 3 = | x:number 3:number +:number 162:number -:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | x=((162-3)+3) | x 162 3 - 3 + = | x:number 162:number 3:number -:number 3:number +:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 168 | x=(162+(3+3)) | x 162 3 3 + + = | x:number 162:number 3:number 3:number +:number +:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 156 | x=((162-3)-3) | x 162 3 - 3 - = | x:number 162:number 3:number -:number 3:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | x=((3-3)+162) | x 3 3 - 162 + = | x:number 3:number 3:number -:number 162:number +:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | x=(3-(3-162)) | x 3 3 162 - - = | x:number 3:number 3:number 162:number -:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | (3-(3-162))=x | 3 3 162 - - x = | 3:number 3:number 162:number -:number -:number x:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | (162-(3-3))=x | 162 3 3 - - x = | 162:number 3:number 3:number -:number -:number x:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | ((162-3)+3)=x | 162 3 - 3 + x = | 162:number 3:number -:number 3:number +:number x:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 156 | (162-(3+3))=x | 162 3 3 + - x = | 162:number 3:number 3:number +:number -:number x:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | (3+(x-162))=3 | 3 x 162 - + 3 = | 3:number x:number 162:number -:number +:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 168 | (162+(3+3))=x | 162 3 3 + + x = | 162:number 3:number 3:number +:number +:number x:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | 3=(162+(3-x)) | 3 162 3 x - + = | 3:number 162:number 3:number x:number -:number +:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | ((3-x)+162)=3 | 3 x - 162 + 3 = | 3:number x:number -:number 162:number +:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | 3=((162-x)+3) | 3 162 x - 3 + = | 3:number 162:number x:number -:number 3:number +:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 168 | ((3+3)+162)=x | 3 3 + 162 + x = | 3:number 3:number +:number 162:number +:number x:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | 3=((162+3)-x) | 3 162 3 + x - = | 3:number 162:number 3:number +:number x:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | (x+(3-162))=3 | x 3 162 - + 3 = | x:number 3:number 162:number -:number +:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 156 | 3=((162-3)-x) | 3 162 3 - x - = | 3:number 162:number 3:number -:number x:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 156 | 3=((162-x)-3) | 3 162 x - 3 - = | 3:number 162:number x:number -:number 3:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | 3=(162-(x-3)) | 3 162 x 3 - - = | 3:number 162:number x:number 3:number -:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | x=(162+(3-3)) | x 162 3 3 - + = | x:number 162:number 3:number 3:number -:number +:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | ((3+162)-x)=3 | 3 162 + x - 3 = | 3:number 162:number +:number x:number -:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | ((3-162)+x)=3 | 3 162 - x + 3 = | 3:number 162:number -:number x:number +:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | 3=(x-(162-3)) | 3 x 162 3 - - = | 3:number x:number 162:number 3:number -:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | (162+(3-3))=x | 162 3 3 - + x = | 162:number 3:number 3:number -:number +:number x:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | ((3+x)-162)=3 | 3 x + 162 - 3 = | 3:number x:number +:number 162:number -:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | 3=((x-162)+3) | 3 x 162 - 3 + = | 3:number x:number 162:number -:number 3:number +:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 168 | (x-(3+162))=3 | x 3 162 + - 3 = | x:number 3:number 162:number +:number -:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | (3-(162-x))=3 | 3 162 x - - 3 = | 3:number 162:number x:number -:number -:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 162 | (3+(162-x))=3 | 3 162 x - + 3 = | 3:number 162:number x:number -:number +:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 168 | 3=((x-162)-3) | 3 x 162 - 3 - = | 3:number x:number 162:number -:number 3:number -:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 168 | ((x-3)-162)=3 | x 3 - 162 - 3 = | x:number 3:number -:number 162:number -:number 3:number =:number
EXPR: 0 | POS | INT | 2 | 52 | 156 | ((162-3)-3)=x | 162 3 - 3 - x = | 162:number 3:number -:number 3:number -:number x:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | ((3-3)+162)=x | 3 3 - 162 + x = | 3:number 3:number -:number 162:number +:number x:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 168 | x=(162+(3+3)) | x 162 3 3 + + = | x:number 162:number 3:number 3:number +:number +:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 156 | x=(162-(3+3)) | x 162 3 3 + - = | x:number 162:number 3:number 3:number +:number -:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 156 | x=((162-3)-3) | x 162 3 - 3 - = | x:number 162:number 3:number -:number 3:number -:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | (3-(3-162))=x | 3 3 162 - - x = | 3:number 3:number 162:number -:number -:number x:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | (162-(3-3))=x | 162 3 3 - - x = | 162:number 3:number 3:number -:number -:number x:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | ((162-3)+3)=x | 162 3 - 3 + x = | 162:number 3:number -:number 3:number +:number x:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | x=(162-(3-3)) | x 162 3 3 - - = | x:number 162:number 3:number 3:number -:number -:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 156 | (162-(3+3))=x | 162 3 3 + - x = | 162:number 3:number 3:number +:number -:number x:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | x=((162-3)+3) | x 162 3 - 3 + = | x:number 162:number 3:number -:number 3:number +:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | x=((3-3)+162) | x 3 3 - 162 + = | x:number 3:number 3:number -:number 162:number +:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 168 | (162+(3+3))=x | 162 3 3 + + x = | 162:number 3:number 3:number +:number +:number x:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | x=(3-(3-162)) | x 3 3 162 - - = | x:number 3:number 3:number 162:number -:number -:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 168 | x=((3+3)+162) | x 3 3 + 162 + = | x:number 3:number 3:number +:number 162:number +:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | x=(162+(3-3)) | x 162 3 3 - + = | x:number 162:number 3:number 3:number -:number +:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 162 | (162+(3-3))=x | 162 3 3 - + x = | 162:number 3:number 3:number -:number +:number x:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 168 | ((3+3)+162)=x | 3 3 + 162 + x = | 3:number 3:number +:number 162:number +:number x:number =:number
EXPR: 0 | POS | INT | 3 | 52 | 156 | ((162-3)-3)=x | 162 3 - 3 - x = | 162:number 3:number -:number 3:number -:number x:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | ((162-x)-3)=3 | 162 x - 3 - 3 = | 162:number x:number -:number 3:number -:number 3:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 168 | 162=(x-(3+3)) | 162 x 3 3 + - = | 162:number x:number 3:number 3:number +:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | 162=((3+3)+x) | 162 3 3 + x + = | 162:number 3:number 3:number +:number x:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | ((3-3)+x)=162 | 3 3 - x + 162 = | 3:number 3:number -:number x:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | ((3+3)+x)=162 | 3 3 + x + 162 = | 3:number 3:number +:number x:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 162=((3-3)+x) | 162 3 3 - x + = | 162:number 3:number 3:number -:number x:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 162=((x+3)-3) | 162 x 3 + 3 - = | 162:number x:number 3:number +:number 3:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | ((162-x)+3)=3 | 162 x - 3 + 3 = | 162:number x:number -:number 3:number +:number 3:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | (x-(3-3))=162 | x 3 3 - - 162 = | x:number 3:number 3:number -:number -:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 3=((3+x)-162) | 3 3 x + 162 - = | 3:number 3:number x:number +:number 162:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | (x+(3-3))=162 | x 3 3 - + 162 = | x:number 3:number 3:number -:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | ((x-162)+3)=3 | x 162 - 3 + 3 = | x:number 162:number -:number 3:number +:number 3:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | (162-(x-3))=3 | 162 x 3 - - 3 = | 162:number x:number 3:number -:number -:number 3:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | ((3+x)+3)=162 | 3 x + 3 + 162 = | 3:number x:number +:number 3:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 3=((3-162)+x) | 3 3 162 - x + = | 3:number 3:number 162:number -:number x:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | 162=(3+(3+x)) | 162 3 3 x + + = | 162:number 3:number 3:number x:number +:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 162=(3-(3-x)) | 162 3 3 x - - = | 162:number 3:number 3:number x:number -:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | (x-(162-3))=3 | x 162 3 - - 3 = | x:number 162:number 3:number -:number -:number 3:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 168 | (x-(3+3))=162 | x 3 3 + - 162 = | x:number 3:number 3:number +:number -:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | ((x-3)+3)=162 | x 3 - 3 + 162 = | x:number 3:number -:number 3:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | (x+(3+3))=162 | x 3 3 + + 162 = | x:number 3:number 3:number +:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 3=((3-x)+162) | 3 3 x - 162 + = | 3:number 3:number x:number -:number 162:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | (3-(3-x))=162 | 3 3 x - - 162 = | 3:number 3:number x:number -:number -:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | ((x+3)-3)=162 | x 3 + 3 - 162 = | x:number 3:number +:number 3:number -:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | (162-(x+3))=3 | 162 x 3 + - 3 = | 162:number x:number 3:number +:number -:number 3:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | ((x+3)+3)=162 | x 3 + 3 + 162 = | x:number 3:number +:number 3:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 3=((x+3)-162) | 3 x 3 + 162 - = | 3:number x:number 3:number +:number 162:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 3=(x+(3-162)) | 3 x 3 162 - + = | 3:number x:number 3:number 162:number -:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 162=(x+(3-3)) | 162 x 3 3 - + = | 162:number x:number 3:number 3:number -:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | ((162-3)-x)=3 | 162 3 - x - 3 = | 162:number 3:number -:number x:number -:number 3:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 168 | ((x-3)-3)=162 | x 3 - 3 - 162 = | x:number 3:number -:number 3:number -:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 162=((3+x)-3) | 162 3 x + 3 - = | 162:number 3:number x:number +:number 3:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 162=((x-3)+3) | 162 x 3 - 3 + = | 162:number x:number 3:number -:number 3:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 3=(3-(x-162)) | 3 3 x 162 - - = | 3:number 3:number x:number 162:number -:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | (3+(x-3))=162 | 3 x 3 - + 162 = | 3:number x:number 3:number -:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 168 | 162=((x-3)-3) | 162 x 3 - 3 - = | 162:number x:number 3:number -:number 3:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 168 | 3=((x-3)-162) | 3 x 3 - 162 - = | 3:number x:number 3:number -:number 162:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 3=(3-(162-x)) | 3 3 162 x - - = | 3:number 3:number 162:number x:number -:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 3=(3+(162-x)) | 3 3 162 x - + = | 3:number 3:number 162:number x:number -:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | (3+(x+3))=162 | 3 x 3 + + 162 = | 3:number x:number 3:number +:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | 162=((x+3)+3) | 162 x 3 + 3 + = | 162:number x:number 3:number +:number 3:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 168 | ((x-162)-3)=3 | x 162 - 3 - 3 = | x:number 162:number -:number 3:number -:number 3:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 3=(3+(x-162)) | 3 3 x 162 - + = | 3:number 3:number x:number 162:number -:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | 162=(x+(3+3)) | 162 x 3 3 + + = | 162:number x:number 3:number 3:number +:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | ((3+x)-3)=162 | 3 x + 3 - 162 = | 3:number x:number +:number 3:number -:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 162=(3+(x-3)) | 162 3 x 3 - + = | 162:number 3:number x:number 3:number -:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | 162=(3+(x+3)) | 162 3 x 3 + + = | 162:number 3:number x:number 3:number +:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | 162=((3+x)+3) | 162 3 x + 3 + = | 162:number 3:number x:number +:number 3:number +:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | 162=(x-(3-3)) | 162 x 3 3 - - = | 162:number x:number 3:number 3:number -:number -:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | (162-(3+x))=3 | 162 3 x + - 3 = | 162:number 3:number x:number +:number -:number 3:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 156 | (3+(3+x))=162 | 3 3 x + + 162 = | 3:number 3:number x:number +:number +:number 162:number =:number
EXPR: 0 | POS | INT | 4 | 52 | 162 | (162+(3-x))=3 | 162 3 x - + 3 = | 162:number 3:number x:number -:number +:number 3:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | x=((162+3)-3) | x 162 3 + 3 - = | x:number 162:number 3:number +:number 3:number -:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | x=((162-3)+3) | x 162 3 - 3 + = | x:number 162:number 3:number -:number 3:number +:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 168 | x=(3+(3+162)) | x 3 3 162 + + = | x:number 3:number 3:number 162:number +:number +:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 168 | x=((162+3)+3) | x 162 3 + 3 + = | x:number 162:number 3:number +:number 3:number +:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | x=(162-(3-3)) | x 162 3 3 - - = | x:number 162:number 3:number 3:number -:number -:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | (3-(3-162))=x | 3 3 162 - - x = | 3:number 3:number 162:number -:number -:number x:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 156 | x=((162-3)-3) | x 162 3 - 3 - = | x:number 162:number 3:number -:number 3:number -:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | x=(3-(3-162)) | x 3 3 162 - - = | x:number 3:number 3:number 162:number -:number -:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | ((162+3)-3)=x | 162 3 + 3 - x = | 162:number 3:number +:number 3:number -:number x:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | ((3-3)+162)=x | 3 3 - 162 + x = | 3:number 3:number -:number 162:number +:number x:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | (162-(3-3))=x | 162 3 3 - - x = | 162:number 3:number 3:number -:number -:number x:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | x=((3-3)+162) | x 3 3 - 162 + = | x:number 3:number 3:number -:number 162:number +:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | x=(162+(3-3)) | x 162 3 3 - + = | x:number 162:number 3:number 3:number -:number +:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | ((162-3)+3)=x | 162 3 - 3 + x = | 162:number 3:number -:number 3:number +:number x:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 168 | (3+(3+162))=x | 3 3 162 + + x = | 3:number 3:number 162:number +:number +:number x:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 162 | (162+(3-3))=x | 162 3 3 - + x = | 162:number 3:number 3:number -:number +:number x:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 156 | ((162-3)-3)=x | 162 3 - 3 - x = | 162:number 3:number -:number 3:number -:number x:number =:number
EXPR: 0 | POS | INT | 5 | 52 | 168 | ((162+3)+3)=x | 162 3 + 3 + x = | 162:number 3:number +:number 3:number +:number x:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | (3-(3-162))=x | 3 3 162 - - x = | 3:number 3:number 162:number -:number -:number x:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 156 | x=((162-3)-3) | x 162 3 - 3 - = | x:number 162:number 3:number -:number 3:number -:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | x=(3-(3-162)) | x 3 3 162 - - = | x:number 3:number 3:number 162:number -:number -:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | x=((162-3)+3) | x 162 3 - 3 + = | x:number 162:number 3:number -:number 3:number +:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 168 | x=((162+3)+3) | x 162 3 + 3 + = | x:number 162:number 3:number +:number 3:number +:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 168 | x=(3+(3+162)) | x 3 3 162 + + = | x:number 3:number 3:number 162:number +:number +:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | x=((162+3)-3) | x 162 3 + 3 - = | x:number 162:number 3:number +:number 3:number -:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | x=((3-3)+162) | x 3 3 - 162 + = | x:number 3:number 3:number -:number 162:number +:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | ((162+3)-3)=x | 162 3 + 3 - x = | 162:number 3:number +:number 3:number -:number x:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | x=(162+(3-3)) | x 162 3 3 - + = | x:number 162:number 3:number 3:number -:number +:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | ((162-3)+3)=x | 162 3 - 3 + x = | 162:number 3:number -:number 3:number +:number x:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | (162+(3-3))=x | 162 3 3 - + x = | 162:number 3:number 3:number -:number +:number x:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | ((3-3)+162)=x | 3 3 - 162 + x = | 3:number 3:number -:number 162:number +:number x:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 168 | (3+(3+162))=x | 3 3 162 + + x = | 3:number 3:number 162:number +:number +:number x:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | (162-(3-3))=x | 162 3 3 - - x = | 162:number 3:number 3:number -:number -:number x:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 162 | x=(162-(3-3)) | x 162 3 3 - - = | x:number 162:number 3:number 3:number -:number -:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 156 | ((162-3)-3)=x | 162 3 - 3 - x = | 162:number 3:number -:number 3:number -:number x:number =:number
EXPR: 0 | POS | INT | 6 | 52 | 168 | ((162+3)+3)=x | 162 3 + 3 + x = | 162:number 3:number +:number 3:number +:number x:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | ((162+3)-x)=3 | 162 3 + x - 3 = | 162:number 3:number +:number x:number -:number 3:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | 3=(3-(162-x)) | 3 3 162 x - - = | 3:number 3:number 162:number x:number -:number -:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | x=(3+(162-3)) | x 3 162 3 - + = | x:number 3:number 162:number 3:number -:number +:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 156 | 162=(3+(3+x)) | 162 3 3 x + + = | 162:number 3:number 3:number x:number +:number +:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | ((3+x)-3)=162 | 3 x + 3 - 162 = | 3:number x:number +:number 3:number -:number 162:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | ((x-3)+3)=162 | x 3 - 3 + 162 = | x:number 3:number -:number 3:number +:number 162:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 156 | ((3+x)+3)=162 | 3 x + 3 + 162 = | 3:number x:number +:number 3:number +:number 162:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | 3=(3-(x-162)) | 3 3 x 162 - - = | 3:number 3:number x:number 162:number -:number -:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | (x-(162-3))=3 | x 162 3 - - 3 = | x:number 162:number 3:number -:number -:number 3:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 156 | ((162-x)-3)=3 | 162 x - 3 - 3 = | 162:number x:number -:number 3:number -:number 3:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | 3=(3+(162-x)) | 3 3 162 x - + = | 3:number 3:number 162:number x:number -:number +:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | 3=((3-x)+162) | 3 3 x - 162 + = | 3:number 3:number x:number -:number 162:number +:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 168 | (x-(162+3))=3 | x 162 3 + - 3 = | x:number 162:number 3:number +:number -:number 3:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | ((3-3)+x)=162 | 3 3 - x + 162 = | 3:number 3:number -:number x:number +:number 162:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | 3=((3+162)-x) | 3 3 162 + x - = | 3:number 3:number 162:number +:number x:number -:number =:number
EXPR: 0 | POS | INT | 7 | 52 | 162 | ((x+3)-3)=162 | x 3 + 3 - 162 = | x:number 3:number +:number 3:number -:number 162:number =:number
