parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 15 | 3 | (9-6)=x | 9 6 - x = | 9:pizza 6:pizza -:pizza x:pizza =:pizza
EXPR: 1 | POS | INT | 4 | 15 | 15 | 6=(x-9) | 6 x 9 - = | 6:pizza x:pizza 9:pizza -:pizza =:pizza
EXPR: 0 | POS | INT | 10 | 15 | 54 | (9*6)=x | 9 6 * x = | 9:pizza 6:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 15 | 54 | x=(9*6) | x 9 6 * = | x:pizza 9:NONE 6:pizza *:pizza =:pizza
EXPR: 0 | POS | INT | 10 | 15 | 54 | (9*6)=x | 9 6 * x = | 9:NONE 6:pizza *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 15 | 54 | (9*6)=x | 9 6 * x = | 9:NONE 6:pizza *:pizza x:pizza =:pizza
EXPR: 0 | POS | INT | 10 | 15 | 54 | x=(9*6) | x 9 6 * = | x:NONE 9:pizza 6:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 15 | 54 | (9*6)=x | 9 6 * x = | 9:pizza 6:NONE *:pizza x:pizza =:pizza
EXPR: 0 | POS | INT | 10 | 15 | 54 | x=(9*6) | x 9 6 * = | x:pizza 9:pizza 6:NONE *:pizza =:pizza
EXPR: 0 | POS | INT | 10 | 15 | 54 | x=(9*6) | x 9 6 * = | x:NONE 9:NONE 6:pizza *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 54 | (9*6)=x | 9 6 * x = | 9:NONE 6:pizza *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 54 | x=(9*6) | x 9 6 * = | x:pizza 9:NONE 6:pizza *:pizza =:pizza
EXPR: 0 | POS | INT | 11 | 15 | 54 | x=(9*6) | x 9 6 * = | x:NONE 9:NONE 6:pizza *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 54 | (9*6)=x | 9 6 * x = | 9:NONE 6:pizza *:pizza x:pizza =:pizza
EXPR: 0 | POS | INT | 11 | 15 | 54 | x=(9*6) | x 9 6 * = | x:NONE 9:pizza 6:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 54 | (9*6)=x | 9 6 * x = | 9:pizza 6:NONE *:pizza x:pizza =:pizza
EXPR: 0 | POS | INT | 11 | 15 | 54 | (9*6)=x | 9 6 * x = | 9:pizza 6:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 15 | 54 | x=(9*6) | x 9 6 * = | x:pizza 9:pizza 6:NONE *:pizza =:pizza
EXPR: 0 | POS | INT | 12 | 15 | 54 | 9=(x/6) | 9 x 6 / = | 9:pizza x:pizza 6:NONE /:pizza =:pizza
EXPR: 0 | POS | INT | 12 | 15 | 54 | (x/9)=6 | x 9 / 6 = | x:pizza 9:NONE /:pizza 6:pizza =:pizza
EXPR: 0 | POS | INT | 12 | 15 | 54 | 9=(x/6) | 9 x 6 / = | 9:NONE x:NONE 6:pizza /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 15 | 54 | (x/9)=6 | x 9 / 6 = | x:NONE 9:pizza /:NONE 6:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 15 | 54 | (x/6)=9 | x 6 / 9 = | x:NONE 6:pizza /:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 15 | 54 | (x/6)=9 | x 6 / 9 = | x:pizza 6:NONE /:pizza 9:pizza =:pizza
EXPR: 0 | POS | INT | 14 | 15 | 54 | 6=(x/9) | 6 x 9 / = | 6:NONE x:NONE 9:pizza /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 15 | 54 | 6=(x/9) | 6 x 9 / = | 6:pizza x:pizza 9:NONE /:pizza =:pizza
EXPR: 0 | POS | INT | 20 | 15 | 3 | x=(9-6) | x 9 6 - = | x:NONE 9:NONE 6:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 15 | 15 | x=(9+6) | x 9 6 + = | x:NONE 9:NONE 6:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 15 | 3 | (9-6)=x | 9 6 - x = | 9:NONE 6:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 15 | 15 | (9+6)=x | 9 6 + x = | 9:NONE 6:NONE +:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 15 | 15 | x=(9+6) | x 9 6 + = | x:NONE 9:NONE 6:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 15 | 15 | (9+6)=x | 9 6 + x = | 9:NONE 6:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 15 | 3 | x=(9-6) | x 9 6 - = | x:NONE 9:NONE 6:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 15 | 3 | (9-6)=x | 9 6 - x = | 9:NONE 6:NONE -:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 15 | 15 | (x-9)=6 | x 9 - 6 = | x:NONE 9:NONE -:NONE 6:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 15 | 3 | (9-x)=6 | 9 x - 6 = | 9:NONE x:NONE -:NONE 6:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 15 | 3 | 9=(x+6) | 9 x 6 + = | 9:NONE x:NONE 6:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 15 | 15 | 9=(x-6) | 9 x 6 - = | 9:NONE x:NONE 6:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 15 | 3 | 9=(6+x) | 9 6 x + = | 9:NONE 6:NONE x:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 15 | 15 | (x-6)=9 | x 6 - 9 = | x:NONE 6:NONE -:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 15 | 3 | (6+x)=9 | 6 x + 9 = | 6:NONE x:NONE +:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 15 | 3 | (x+6)=9 | x 6 + 9 = | x:NONE 6:NONE +:NONE 9:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 15 | 3 | 6=(9-x) | 6 9 x - = | 6:NONE 9:NONE x:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 15 | 15 | 6=(x-9) | 6 x 9 - = | 6:NONE x:NONE 9:NONE -:NONE =:NONE
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
