parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 3 | 3 | (5-2)=x | 5 2 - x = | 5:seashell 2:seashell -:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 10 | x=(5*2) | x 5 2 * = | x:NONE 5:seashell 2:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 10 | 3 | 10 | (5*2)=x | 5 2 * x = | 5:seashell 2:NONE *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 10 | x=(5*2) | x 5 2 * = | x:seashell 5:seashell 2:NONE *:seashell =:seashell
EXPR: 0 | POS | INT | 10 | 3 | 10 | x=(5*2) | x 5 2 * = | x:NONE 5:NONE 2:seashell *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 10 | (5*2)=x | 5 2 * x = | 5:NONE 2:seashell *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 10 | x=(5*2) | x 5 2 * = | x:seashell 5:NONE 2:seashell *:seashell =:seashell
EXPR: 0 | POS | INT | 11 | 3 | 10 | x=(5*2) | x 5 2 * = | x:NONE 5:NONE 2:seashell *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 10 | (5*2)=x | 5 2 * x = | 5:NONE 2:seashell *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 11 | 3 | 10 | x=(5*2) | x 5 2 * = | x:NONE 5:seashell 2:NONE *:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 10 | (5*2)=x | 5 2 * x = | 5:seashell 2:NONE *:seashell x:seashell =:seashell
EXPR: 0 | POS | INT | 11 | 3 | 10 | (5*2)=x | 5 2 * x = | 5:seashell 2:NONE *:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 11 | 3 | 10 | x=(5*2) | x 5 2 * = | x:seashell 5:seashell 2:NONE *:seashell =:seashell
EXPR: 0 | POS | INT | 12 | 3 | 10 | 5=(x/2) | 5 x 2 / = | 5:seashell x:seashell 2:NONE /:seashell =:seashell
EXPR: 0 | POS | INT | 12 | 3 | 10 | (x/5)=2 | x 5 / 2 = | x:seashell 5:NONE /:seashell 2:seashell =:seashell
EXPR: 0 | POS | INT | 12 | 3 | 10 | 5=(x/2) | 5 x 2 / = | 5:NONE x:NONE 2:seashell /:NONE =:NONE
EXPR: 0 | POS | INT | 12 | 3 | 10 | (x/5)=2 | x 5 / 2 = | x:NONE 5:seashell /:NONE 2:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 3 | 10 | (x/2)=5 | x 2 / 5 = | x:NONE 2:seashell /:NONE 5:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 3 | 10 | (x/2)=5 | x 2 / 5 = | x:seashell 2:NONE /:seashell 5:seashell =:seashell
EXPR: 0 | POS | INT | 14 | 3 | 10 | 2=(x/5) | 2 x 5 / = | 2:NONE x:NONE 5:seashell /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 3 | 10 | 2=(x/5) | 2 x 5 / = | 2:seashell x:seashell 5:NONE /:seashell =:seashell
EXPR: 1 | POS | INT | 20 | 3 | 3 | x=(5-2) | x 5 2 - = | x:NONE 5:NONE 2:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 3 | 7 | x=(5+2) | x 5 2 + = | x:NONE 5:NONE 2:NONE +:NONE =:NONE
EXPR: 1 | POS | INT | 20 | 3 | 3 | (5-2)=x | 5 2 - x = | 5:NONE 2:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 3 | 7 | (5+2)=x | 5 2 + x = | 5:NONE 2:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 3 | 7 | x=(5+2) | x 5 2 + = | x:NONE 5:NONE 2:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 3 | 7 | (5+2)=x | 5 2 + x = | 5:NONE 2:NONE +:NONE x:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 3 | 3 | x=(5-2) | x 5 2 - = | x:NONE 5:NONE 2:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 21 | 3 | 3 | (5-2)=x | 5 2 - x = | 5:NONE 2:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 3 | 7 | (x-5)=2 | x 5 - 2 = | x:NONE 5:NONE -:NONE 2:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 3 | 3 | (5-x)=2 | 5 x - 2 = | 5:NONE x:NONE -:NONE 2:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 3 | 3 | 5=(x+2) | 5 x 2 + = | 5:NONE x:NONE 2:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 3 | 7 | 5=(x-2) | 5 x 2 - = | 5:NONE x:NONE 2:NONE -:NONE =:NONE
EXPR: 1 | POS | INT | 22 | 3 | 3 | 5=(2+x) | 5 2 x + = | 5:NONE 2:NONE x:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 3 | 7 | (x-2)=5 | x 2 - 5 = | x:NONE 2:NONE -:NONE 5:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 3 | 3 | (2+x)=5 | 2 x + 5 = | 2:NONE x:NONE +:NONE 5:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 3 | 3 | (x+2)=5 | x 2 + 5 = | x:NONE 2:NONE +:NONE 5:NONE =:NONE
EXPR: 1 | POS | INT | 24 | 3 | 3 | 2=(5-x) | 2 5 x - = | 2:NONE 5:NONE x:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 3 | 7 | 2=(x-5) | 2 x 5 - = | 2:NONE x:NONE 5:NONE -:NONE =:NONE
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
