parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 13 | 36 | x=(9*4) | x 9 4 * = | x:pokemon 9:card 4:pokemon *:pokemon =:pokemon
EXPR: 1 | POS | INT | 11 | 13 | 13 | (9+4)=x | 9 4 + x = | 9:pokemon 4:pokemon +:pokemon x:pokemon =:pokemon
EXPR: 0 | POS | INT | 12 | 13 | 36 | 9=(x/4) | 9 x 4 / = | 9:card x:card 4:pokemon /:card =:card
EXPR: 0 | POS | INT | 12 | 13 | 5 | 9=(4+x) | 9 4 x + = | 9:pokemon 4:pokemon x:pokemon +:pokemon =:pokemon
EXPR: 0 | POS | INT | 12 | 13 | 5 | 9=(x+4) | 9 x 4 + = | 9:pokemon x:pokemon 4:pokemon +:pokemon =:pokemon
EXPR: 1 | POS | INT | 12 | 13 | 13 | 9=(x-4) | 9 x 4 - = | 9:pokemon x:pokemon 4:pokemon -:pokemon =:pokemon
EXPR: 0 | POS | INT | 12 | 13 | 5 | (9-x)=4 | 9 x - 4 = | 9:pokemon x:pokemon -:pokemon 4:pokemon =:pokemon
EXPR: 1 | POS | INT | 12 | 13 | 13 | (x-9)=4 | x 9 - 4 = | x:pokemon 9:pokemon -:pokemon 4:pokemon =:pokemon
EXPR: 0 | POS | INT | 14 | 13 | 5 | (4+x)=9 | 4 x + 9 = | 4:pokemon x:pokemon +:pokemon 9:pokemon =:pokemon
EXPR: 0 | POS | INT | 14 | 13 | 36 | (x/4)=9 | x 4 / 9 = | x:card 4:pokemon /:card 9:card =:card
EXPR: 1 | POS | INT | 14 | 13 | 13 | (x-4)=9 | x 4 - 9 = | x:pokemon 4:pokemon -:pokemon 9:pokemon =:pokemon
EXPR: 1 | POS | INT | 14 | 13 | 13 | 4=(x-9) | 4 x 9 - = | 4:pokemon x:pokemon 9:pokemon -:pokemon =:pokemon
EXPR: 0 | POS | INT | 14 | 13 | 5 | (x+4)=9 | x 4 + 9 = | x:pokemon 4:pokemon +:pokemon 9:pokemon =:pokemon
EXPR: 0 | POS | INT | 14 | 13 | 5 | 4=(9-x) | 4 9 x - = | 4:pokemon 9:pokemon x:pokemon -:pokemon =:pokemon
EXPR: 0 | POS | INT | 20 | 13 | 36 | (9*4)=x | 9 4 * x = | 9:pokemon 4:card *:pokemon x:pokemon =:pokemon
EXPR: 1 | POS | INT | 20 | 13 | 13 | (9+4)=x | 9 4 + x = | 9:card 4:card +:card x:card =:card
EXPR: 0 | POS | INT | 20 | 13 | 5 | (9-4)=x | 9 4 - x = | 9:card 4:card -:card x:card =:card
EXPR: 1 | POS | INT | 20 | 13 | 13 | x=(9+4) | x 9 4 + = | x:card 9:card 4:card +:card =:card
EXPR: 0 | POS | INT | 20 | 13 | 5 | x=(9-4) | x 9 4 - = | x:card 9:card 4:card -:card =:card
EXPR: 0 | POS | INT | 20 | 13 | 36 | x=(9*4) | x 9 4 * = | x:pokemon 9:pokemon 4:card *:pokemon =:pokemon
EXPR: 0 | POS | INT | 21 | 13 | 36 | (9*4)=x | 9 4 * x = | 9:pokemon 4:card *:pokemon x:pokemon =:pokemon
EXPR: 1 | POS | INT | 21 | 13 | 13 | (9+4)=x | 9 4 + x = | 9:card 4:card +:card x:card =:card
EXPR: 0 | POS | INT | 21 | 13 | 5 | (9-4)=x | 9 4 - x = | 9:card 4:card -:card x:card =:card
EXPR: 0 | POS | INT | 21 | 13 | 5 | x=(9-4) | x 9 4 - = | x:card 9:card 4:card -:card =:card
EXPR: 1 | POS | INT | 21 | 13 | 13 | x=(9+4) | x 9 4 + = | x:card 9:card 4:card +:card =:card
EXPR: 0 | POS | INT | 21 | 13 | 36 | x=(9*4) | x 9 4 * = | x:pokemon 9:pokemon 4:card *:pokemon =:pokemon
EXPR: 0 | POS | INT | 22 | 13 | 5 | (9-x)=4 | 9 x - 4 = | 9:card x:card -:card 4:card =:card
EXPR: 0 | POS | INT | 22 | 13 | 36 | 9=(x/4) | 9 x 4 / = | 9:pokemon x:pokemon 4:card /:pokemon =:pokemon
EXPR: 0 | POS | INT | 22 | 13 | 5 | 9=(4+x) | 9 4 x + = | 9:card 4:card x:card +:card =:card
EXPR: 0 | POS | INT | 22 | 13 | 5 | 9=(x+4) | 9 x 4 + = | 9:card x:card 4:card +:card =:card
EXPR: 1 | POS | INT | 22 | 13 | 13 | 9=(x-4) | 9 x 4 - = | 9:card x:card 4:card -:card =:card
EXPR: 1 | POS | INT | 22 | 13 | 13 | (x-9)=4 | x 9 - 4 = | x:card 9:card -:card 4:card =:card
EXPR: 0 | POS | INT | 24 | 13 | 5 | 4=(9-x) | 4 9 x - = | 4:card 9:card x:card -:card =:card
EXPR: 0 | POS | INT | 24 | 13 | 36 | (x/4)=9 | x 4 / 9 = | x:pokemon 4:card /:pokemon 9:pokemon =:pokemon
EXPR: 1 | POS | INT | 24 | 13 | 13 | (x-4)=9 | x 4 - 9 = | x:card 4:card -:card 9:card =:card
EXPR: 1 | POS | INT | 24 | 13 | 13 | 4=(x-9) | 4 x 9 - = | 4:card x:card 9:card -:card =:card
EXPR: 0 | POS | INT | 24 | 13 | 5 | (4+x)=9 | 4 x + 9 = | 4:card x:card +:card 9:card =:card
EXPR: 0 | POS | INT | 24 | 13 | 5 | (x+4)=9 | x 4 + 9 = | x:card 4:card +:card 9:card =:card
EXPR: 0 | POS | INT | 30 | 13 | 36 | x=(9*4) | x 9 4 * = | x:card 9:pokemon 4:card *:card =:card
EXPR: 0 | POS | INT | 30 | 13 | 36 | (9*4)=x | 9 4 * x = | 9:pokemon 4:card *:card x:card =:card
EXPR: 0 | POS | INT | 31 | 13 | 36 | x=(9*4) | x 9 4 * = | x:card 9:pokemon 4:card *:card =:card
EXPR: 0 | POS | INT | 31 | 13 | 36 | (9*4)=x | 9 4 * x = | 9:pokemon 4:card *:card x:card =:card
EXPR: 0 | POS | INT | 32 | 13 | 36 | (x/9)=4 | x 9 / 4 = | x:card 9:pokemon /:card 4:card =:card
EXPR: 0 | POS | INT | 34 | 13 | 36 | 4=(x/9) | 4 x 9 / = | 4:card x:card 9:pokemon /:card =:card
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
