parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 2 | 8 | 8 | 96=(x*12) | 96 x 12 * = | 96:bird x:dozen 12:bird *:bird =:bird
EXPR: 1 | POS | INT | 21 | 8 | 8 | (96/12)=x | 96 12 / x = | 96:bird 12:dozen /:bird x:bird =:bird
EXPR: 0 | POS | INT | 21 | 8 | 1152 | (96*12)=x | 96 12 * x = | 96:bird 12:dozen *:bird x:bird =:bird
EXPR: 0 | POS | INT | 22 | 8 | 84 | 96=(x+12) | 96 x 12 + = | 96:dozen x:dozen 12:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 22 | 8 | 8 | 96=(12*x) | 96 12 x * = | 96:bird 12:dozen x:bird *:bird =:bird
EXPR: 0 | POS | INT | 22 | 8 | 1152 | (x/96)=12 | x 96 / 12 = | x:bird 96:dozen /:bird 12:bird =:bird
EXPR: 1 | POS | INT | 22 | 8 | 8 | 96=(x*12) | 96 x 12 * = | 96:bird x:bird 12:dozen *:bird =:bird
EXPR: 0 | POS | INT | 22 | 8 | 1152 | 96=(x/12) | 96 x 12 / = | 96:bird x:bird 12:dozen /:bird =:bird
EXPR: 0 | POS | INT | 22 | 8 | 84 | (96-x)=12 | 96 x - 12 = | 96:dozen x:dozen -:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 8 | 84 | 96=(12+x) | 96 12 x + = | 96:dozen 12:dozen x:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 8 | 108 | (x-96)=12 | x 96 - 12 = | x:dozen 96:dozen -:dozen 12:dozen =:dozen
EXPR: 0 | POS | INT | 22 | 8 | 108 | 96=(x-12) | 96 x 12 - = | 96:dozen x:dozen 12:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 8 | 1152 | (x/12)=96 | x 12 / 96 = | x:bird 12:dozen /:bird 96:bird =:bird
EXPR: 0 | POS | INT | 24 | 8 | 1152 | 12=(x/96) | 12 x 96 / = | 12:bird x:bird 96:dozen /:bird =:bird
EXPR: 0 | POS | INT | 24 | 8 | 108 | (x-12)=96 | x 12 - 96 = | x:dozen 12:dozen -:dozen 96:dozen =:dozen
EXPR: 1 | POS | INT | 24 | 8 | 8 | (12*x)=96 | 12 x * 96 = | 12:dozen x:bird *:bird 96:bird =:bird
EXPR: 1 | POS | INT | 24 | 8 | 8 | (x*12)=96 | x 12 * 96 = | x:bird 12:dozen *:bird 96:bird =:bird
EXPR: 0 | POS | INT | 24 | 8 | 84 | (12+x)=96 | 12 x + 96 = | 12:dozen x:dozen +:dozen 96:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 8 | 108 | 12=(x-96) | 12 x 96 - = | 12:dozen x:dozen 96:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 8 | 84 | 12=(96-x) | 12 96 x - = | 12:dozen 96:dozen x:dozen -:dozen =:dozen
EXPR: 0 | POS | INT | 24 | 8 | 84 | (x+12)=96 | x 12 + 96 = | x:dozen 12:dozen +:dozen 96:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 8 | 8 | (96/x)=12 | 96 x / 12 = | 96:dozen x:bird /:dozen 12:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 8 | 8 | 96=(x*12) | 96 x 12 * = | 96:dozen x:bird 12:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 32 | 8 | 8 | 96=(12*x) | 96 12 x * = | 96:dozen 12:dozen x:bird *:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 8 | 8 | (x*12)=96 | x 12 * 96 = | x:bird 12:dozen *:dozen 96:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 8 | 8 | (12*x)=96 | 12 x * 96 = | 12:dozen x:bird *:dozen 96:dozen =:dozen
EXPR: 1 | POS | INT | 34 | 8 | 8 | 12=(96/x) | 12 96 x / = | 12:dozen 96:dozen x:bird /:dozen =:dozen
NET 88 non-negative, integer-valued solutions found out of 136 total solutions
