parameters: n=7 l=3 k=1 p=5 q=1 m=9
TOTAL 480 solutions found
EXPR: 0 | POS | FRA | 0 | 2.51 | 20.99 | x=(9.24-(8.25-20)) | x 9.24 8.25 20 - - = | x:dollar 9.24:dollar 8.25:dollar 20:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 2.51 | 37.49 | x=((9.24+8.25)+20) | x 9.24 8.25 + 20 + = | x:dollar 9.24:dollar 8.25:dollar +:dollar 20:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 2.51 | 20.99 | x=((9.24-8.25)+20) | x 9.24 8.25 - 20 + = | x:dollar 9.24:dollar 8.25:dollar -:dollar 20:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 2.51 | 37.49 | x=(9.24+(8.25+20)) | x 9.24 8.25 20 + + = | x:dollar 9.24:dollar 8.25:dollar 20:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 2.51 | 20.99 | (9.24-(8.25-20))=x | 9.24 8.25 20 - - x = | 9.24:dollar 8.25:dollar 20:dollar -:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 1 | 2.51 | 37.49 | (9.24+(8.25+20))=x | 9.24 8.25 20 + + x = | 9.24:dollar 8.25:dollar 20:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 37.49 | 9.24=(x-(8.25+20)) | 9.24 x 8.25 20 + - = | 9.24:dollar x:dollar 8.25:dollar 20:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | 9.24=(8.25-(20-x)) | 9.24 8.25 20 x - - = | 9.24:dollar 8.25:dollar 20:dollar x:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | x=(8.25-(9.24-20)) | x 8.25 9.24 20 - - = | x:dollar 8.25:dollar 9.24:dollar 20:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 37.49 | x=((9.24+20)+8.25) | x 9.24 20 + 8.25 + = | x:dollar 9.24:dollar 20:dollar +:dollar 8.25:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | ((x+9.24)-8.25)=20 | x 9.24 + 8.25 - 20 = | x:dollar 9.24:dollar +:dollar 8.25:dollar -:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | x=((8.25-9.24)+20) | x 8.25 9.24 - 20 + = | x:dollar 8.25:dollar 9.24:dollar -:dollar 20:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 37.49 | x=(8.25+(9.24+20)) | x 8.25 9.24 20 + + = | x:dollar 8.25:dollar 9.24:dollar 20:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | x=((9.24+20)-8.25) | x 9.24 20 + 8.25 - = | x:dollar 9.24:dollar 20:dollar +:dollar 8.25:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | (8.25-(9.24-20))=x | 8.25 9.24 20 - - x = | 8.25:dollar 9.24:dollar 20:dollar -:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | ((8.25-9.24)+20)=x | 8.25 9.24 - 20 + x = | 8.25:dollar 9.24:dollar -:dollar 20:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | (9.24+(x-8.25))=20 | 9.24 x 8.25 - + 20 = | 9.24:dollar x:dollar 8.25:dollar -:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 37.49 | (8.25+(9.24+20))=x | 8.25 9.24 20 + + x = | 8.25:dollar 9.24:dollar 20:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | 9.24=(8.25+(20-x)) | 9.24 8.25 20 x - + = | 9.24:dollar 8.25:dollar 20:dollar x:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | 9.24=((8.25-20)+x) | 9.24 8.25 20 - x + = | 9.24:dollar 8.25:dollar 20:dollar -:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | (9.24+(20-8.25))=x | 9.24 20 8.25 - + x = | 9.24:dollar 20:dollar 8.25:dollar -:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | ((9.24+20)-8.25)=x | 9.24 20 + 8.25 - x = | 9.24:dollar 20:dollar +:dollar 8.25:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | ((x-9.24)+8.25)=20 | x 9.24 - 8.25 + 20 = | x:dollar 9.24:dollar -:dollar 8.25:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | 9.24=((8.25+x)-20) | 9.24 8.25 x + 20 - = | 9.24:dollar 8.25:dollar x:dollar +:dollar 20:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | 9.24=((8.25-x)+20) | 9.24 8.25 x - 20 + = | 9.24:dollar 8.25:dollar x:dollar -:dollar 20:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 37.49 | ((9.24+20)+8.25)=x | 9.24 20 + 8.25 + x = | 9.24:dollar 20:dollar +:dollar 8.25:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | 9.24=((8.25+20)-x) | 9.24 8.25 20 + x - = | 9.24:dollar 8.25:dollar 20:dollar +:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | (x+(9.24-8.25))=20 | x 9.24 8.25 - + 20 = | x:dollar 9.24:dollar 8.25:dollar -:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | 9.24=(8.25-(x-20)) | 9.24 8.25 x 20 - - = | 9.24:dollar 8.25:dollar x:dollar 20:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | (x-(9.24-8.25))=20 | x 9.24 8.25 - - 20 = | x:dollar 9.24:dollar 8.25:dollar -:dollar -:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | 9.24=((x+8.25)-20) | 9.24 x 8.25 + 20 - = | 9.24:dollar x:dollar 8.25:dollar +:dollar 20:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | x=(9.24+(20-8.25)) | x 9.24 20 8.25 - + = | x:dollar 9.24:dollar 20:dollar 8.25:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | ((9.24-8.25)+x)=20 | 9.24 8.25 - x + 20 = | 9.24:dollar 8.25:dollar -:dollar x:dollar +:dollar 20:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 2.51 | 2.51 | ((9.24+x)+8.25)=20 | 9.24 x + 8.25 + 20 = | 9.24:dollar x:dollar +:dollar 8.25:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | ((9.24+x)-8.25)=20 | 9.24 x + 8.25 - 20 = | 9.24:dollar x:dollar +:dollar 8.25:dollar -:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 37.49 | (x-(9.24+8.25))=20 | x 9.24 8.25 + - 20 = | x:dollar 9.24:dollar 8.25:dollar +:dollar -:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | 9.24=(x+(8.25-20)) | 9.24 x 8.25 20 - + = | 9.24:dollar x:dollar 8.25:dollar 20:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 19.01 | (9.24-(8.25-x))=20 | 9.24 8.25 x - - 20 = | 9.24:dollar 8.25:dollar x:dollar -:dollar -:dollar 20:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 2.51 | 2.51 | (9.24+(8.25+x))=20 | 9.24 8.25 x + + 20 = | 9.24:dollar 8.25:dollar x:dollar +:dollar +:dollar 20:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 2.51 | 2.51 | ((9.24+8.25)+x)=20 | 9.24 8.25 + x + 20 = | 9.24:dollar 8.25:dollar +:dollar x:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 37.49 | 9.24=((x-8.25)-20) | 9.24 x 8.25 - 20 - = | 9.24:dollar x:dollar 8.25:dollar -:dollar 20:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 2.51 | 2.51 | (x+(9.24+8.25))=20 | x 9.24 8.25 + + 20 = | x:dollar 9.24:dollar 8.25:dollar +:dollar +:dollar 20:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 2.51 | 2.51 | (9.24+(x+8.25))=20 | 9.24 x 8.25 + + 20 = | 9.24:dollar x:dollar 8.25:dollar +:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 37.49 | ((x-9.24)-8.25)=20 | x 9.24 - 8.25 - 20 = | x:dollar 9.24:dollar -:dollar 8.25:dollar -:dollar 20:dollar =:dollar
EXPR: 1 | POS | FRA | 2 | 2.51 | 2.51 | ((x+9.24)+8.25)=20 | x 9.24 + 8.25 + 20 = | x:dollar 9.24:dollar +:dollar 8.25:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 2 | 2.51 | 20.99 | 9.24=(8.25+(x-20)) | 9.24 8.25 x 20 - + = | 9.24:dollar 8.25:dollar x:dollar 20:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 37.49 | x=(8.25+(9.24+20)) | x 8.25 9.24 20 + + = | x:dollar 8.25:dollar 9.24:dollar 20:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 19.01 | (8.25-(9.24-20))=x | 8.25 9.24 20 - - x = | 8.25:dollar 9.24:dollar 20:dollar -:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 19.01 | ((8.25-9.24)+20)=x | 8.25 9.24 - 20 + x = | 8.25:dollar 9.24:dollar -:dollar 20:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 19.01 | x=(8.25-(9.24-20)) | x 8.25 9.24 20 - - = | x:dollar 8.25:dollar 9.24:dollar 20:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 19.01 | x=((8.25-9.24)+20) | x 8.25 9.24 - 20 + = | x:dollar 8.25:dollar 9.24:dollar -:dollar 20:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 20.99 | (9.24+(20-8.25))=x | 9.24 20 8.25 - + x = | 9.24:dollar 20:dollar 8.25:dollar -:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 37.49 | (8.25+(9.24+20))=x | 8.25 9.24 20 + + x = | 8.25:dollar 9.24:dollar 20:dollar +:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 20.99 | ((9.24+20)-8.25)=x | 9.24 20 + 8.25 - x = | 9.24:dollar 20:dollar +:dollar 8.25:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 37.49 | x=((9.24+20)+8.25) | x 9.24 20 + 8.25 + = | x:dollar 9.24:dollar 20:dollar +:dollar 8.25:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 20.99 | x=((9.24+20)-8.25) | x 9.24 20 + 8.25 - = | x:dollar 9.24:dollar 20:dollar +:dollar 8.25:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 20.99 | x=(9.24+(20-8.25)) | x 9.24 20 8.25 - + = | x:dollar 9.24:dollar 20:dollar 8.25:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 3 | 2.51 | 37.49 | ((9.24+20)+8.25)=x | 9.24 20 + 8.25 + x = | 9.24:dollar 20:dollar +:dollar 8.25:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 37.49 | 8.25=(x-(9.24+20)) | 8.25 x 9.24 20 + - = | 8.25:dollar x:dollar 9.24:dollar 20:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | 8.25=((9.24+20)-x) | 8.25 9.24 20 + x - = | 8.25:dollar 9.24:dollar 20:dollar +:dollar x:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 2.51 | 2.51 | ((8.25+x)+9.24)=20 | 8.25 x + 9.24 + 20 = | 8.25:dollar x:dollar +:dollar 9.24:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | 8.25=(9.24+(20-x)) | 8.25 9.24 20 x - + = | 8.25:dollar 9.24:dollar 20:dollar x:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | ((9.24-20)+x)=8.25 | 9.24 20 - x + 8.25 = | 9.24:dollar 20:dollar -:dollar x:dollar +:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | 8.25=((9.24-20)+x) | 8.25 9.24 20 - x + = | 8.25:dollar 9.24:dollar 20:dollar -:dollar x:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | (8.25+(x-9.24))=20 | 8.25 x 9.24 - + 20 = | 8.25:dollar x:dollar 9.24:dollar -:dollar +:dollar 20:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 2.51 | 2.51 | 9.24=(20-(8.25+x)) | 9.24 20 8.25 x + - = | 9.24:dollar 20:dollar 8.25:dollar x:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | 8.25=((x+9.24)-20) | 8.25 x 9.24 + 20 - = | 8.25:dollar x:dollar 9.24:dollar +:dollar 20:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | (x+(9.24-20))=8.25 | x 9.24 20 - + 8.25 = | x:dollar 9.24:dollar 20:dollar -:dollar +:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | ((x-8.25)+9.24)=20 | x 8.25 - 9.24 + 20 = | x:dollar 8.25:dollar -:dollar 9.24:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | ((8.25-9.24)+x)=20 | 8.25 9.24 - x + 20 = | 8.25:dollar 9.24:dollar -:dollar x:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | ((x+8.25)-9.24)=20 | x 8.25 + 9.24 - 20 = | x:dollar 8.25:dollar +:dollar 9.24:dollar -:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | ((9.24+20)-x)=8.25 | 9.24 20 + x - 8.25 = | 9.24:dollar 20:dollar +:dollar x:dollar -:dollar 8.25:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 2.51 | 2.51 | 9.24=((20-x)-8.25) | 9.24 20 x - 8.25 - = | 9.24:dollar 20:dollar x:dollar -:dollar 8.25:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | (x+(8.25-9.24))=20 | x 8.25 9.24 - + 20 = | x:dollar 8.25:dollar 9.24:dollar -:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | ((8.25+x)-9.24)=20 | 8.25 x + 9.24 - 20 = | 8.25:dollar x:dollar +:dollar 9.24:dollar -:dollar 20:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 2.51 | 2.51 | 9.24=((20-8.25)-x) | 9.24 20 8.25 - x - = | 9.24:dollar 20:dollar 8.25:dollar -:dollar x:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 2.51 | 2.51 | (8.25+(x+9.24))=20 | 8.25 x 9.24 + + 20 = | 8.25:dollar x:dollar 9.24:dollar +:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | 8.25=(9.24-(20-x)) | 8.25 9.24 20 x - - = | 8.25:dollar 9.24:dollar 20:dollar x:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | (x-(8.25-9.24))=20 | x 8.25 9.24 - - 20 = | x:dollar 8.25:dollar 9.24:dollar -:dollar -:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 37.49 | (x-(9.24+20))=8.25 | x 9.24 20 + - 8.25 = | x:dollar 9.24:dollar 20:dollar +:dollar -:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | 9.24=((20-x)+8.25) | 9.24 20 x - 8.25 + = | 9.24:dollar 20:dollar x:dollar -:dollar 8.25:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | (9.24-(20-x))=8.25 | 9.24 20 x - - 8.25 = | 9.24:dollar 20:dollar x:dollar -:dollar -:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | ((x+9.24)-20)=8.25 | x 9.24 + 20 - 8.25 = | x:dollar 9.24:dollar +:dollar 20:dollar -:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | 8.25=(9.24-(x-20)) | 8.25 9.24 x 20 - - = | 8.25:dollar 9.24:dollar x:dollar 20:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | (9.24-(x-20))=8.25 | 9.24 x 20 - - 8.25 = | 9.24:dollar x:dollar 20:dollar -:dollar -:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | (9.24+(20-x))=8.25 | 9.24 20 x - + 8.25 = | 9.24:dollar 20:dollar x:dollar -:dollar +:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | 9.24=((x-20)+8.25) | 9.24 x 20 - 8.25 + = | 9.24:dollar x:dollar 20:dollar -:dollar 8.25:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | 8.25=(x+(9.24-20)) | 8.25 x 9.24 20 - + = | 8.25:dollar x:dollar 9.24:dollar 20:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 37.49 | ((x-9.24)-20)=8.25 | x 9.24 - 20 - 8.25 = | x:dollar 9.24:dollar -:dollar 20:dollar -:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | 8.25=((9.24+x)-20) | 8.25 9.24 x + 20 - = | 8.25:dollar 9.24:dollar x:dollar +:dollar 20:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 2.51 | 2.51 | 9.24=(20-(x+8.25)) | 9.24 20 x 8.25 + - = | 9.24:dollar 20:dollar x:dollar 8.25:dollar +:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | 9.24=(20-(x-8.25)) | 9.24 20 x 8.25 - - = | 9.24:dollar 20:dollar x:dollar 8.25:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | 9.24=(x-(20-8.25)) | 9.24 x 20 8.25 - - = | 9.24:dollar x:dollar 20:dollar 8.25:dollar -:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | (9.24+(x-20))=8.25 | 9.24 x 20 - + 8.25 = | 9.24:dollar x:dollar 20:dollar -:dollar +:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 37.49 | 8.25=((x-9.24)-20) | 8.25 x 9.24 - 20 - = | 8.25:dollar x:dollar 9.24:dollar -:dollar 20:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | ((9.24-x)+20)=8.25 | 9.24 x - 20 + 8.25 = | 9.24:dollar x:dollar -:dollar 20:dollar +:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 37.49 | 9.24=((x-20)-8.25) | 9.24 x 20 - 8.25 - = | 9.24:dollar x:dollar 20:dollar -:dollar 8.25:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | 9.24=(20+(8.25-x)) | 9.24 20 8.25 x - + = | 9.24:dollar 20:dollar 8.25:dollar x:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | (8.25-(9.24-x))=20 | 8.25 9.24 x - - 20 = | 8.25:dollar 9.24:dollar x:dollar -:dollar -:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 37.49 | ((x-8.25)-9.24)=20 | x 8.25 - 9.24 - 20 = | x:dollar 8.25:dollar -:dollar 9.24:dollar -:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | ((9.24+x)-20)=8.25 | 9.24 x + 20 - 8.25 = | 9.24:dollar x:dollar +:dollar 20:dollar -:dollar 8.25:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 20.99 | 8.25=((9.24-x)+20) | 8.25 9.24 x - 20 + = | 8.25:dollar 9.24:dollar x:dollar -:dollar 20:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 4 | 2.51 | 19.01 | 8.25=(9.24+(x-20)) | 8.25 9.24 x 20 - + = | 8.25:dollar 9.24:dollar x:dollar 20:dollar -:dollar +:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 2.51 | 2.51 | ((x+8.25)+9.24)=20 | x 8.25 + 9.24 + 20 = | x:dollar 8.25:dollar +:dollar 9.24:dollar +:dollar 20:dollar =:dollar
EXPR: 1 | POS | FRA | 4 | 2.51 | 2.51 | (8.25+(9.24+x))=20 | 8.25 9.24 x + + 20 = | 8.25:dollar 9.24:dollar x:dollar +:dollar +:dollar 20:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 19.01 | x=((8.25+20)-9.24) | x 8.25 20 + 9.24 - = | x:dollar 8.25:dollar 20:dollar +:dollar 9.24:dollar -:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 37.49 | x=(20+(9.24+8.25)) | x 20 9.24 8.25 + + = | x:dollar 20:dollar 9.24:dollar 8.25:dollar +:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 37.49 | x=((8.25+20)+9.24) | x 8.25 20 + 9.24 + = | x:dollar 8.25:dollar 20:dollar +:dollar 9.24:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 19.01 | (20-(9.24-8.25))=x | 20 9.24 8.25 - - x = | 20:dollar 9.24:dollar 8.25:dollar -:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 20.99 | (20+(9.24-8.25))=x | 20 9.24 8.25 - + x = | 20:dollar 9.24:dollar 8.25:dollar -:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 20.99 | x=(20+(9.24-8.25)) | x 20 9.24 8.25 - + = | x:dollar 20:dollar 9.24:dollar 8.25:dollar -:dollar +:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 19.01 | x=(20-(9.24-8.25)) | x 20 9.24 8.25 - - = | x:dollar 20:dollar 9.24:dollar 8.25:dollar -:dollar -:dollar =:dollar
EXPR: 1 | POS | FRA | 5 | 2.51 | 2.51 | ((20-9.24)-8.25)=x | 20 9.24 - 8.25 - x = | 20:dollar 9.24:dollar -:dollar 8.25:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 19.01 | ((8.25+20)-9.24)=x | 8.25 20 + 9.24 - x = | 8.25:dollar 20:dollar +:dollar 9.24:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 19.01 | ((20-9.24)+8.25)=x | 20 9.24 - 8.25 + x = | 20:dollar 9.24:dollar -:dollar 8.25:dollar +:dollar x:dollar =:dollar
EXPR: 1 | POS | FRA | 5 | 2.51 | 2.51 | (20-(9.24+8.25))=x | 20 9.24 8.25 + - x = | 20:dollar 9.24:dollar 8.25:dollar +:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | FRA | 5 | 2.51 | 19.01 | x=((20-9.24)+8.25) | x 20 9.24 - 8.25 + = | x:dollar 20:dollar 9.24:dollar -:dollar 8.25:dollar +:dollar =:dollar
