parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 1 | POS | INT | 0 | 5 | 5 | x=(110/22) | x 110 22 / = | x:marble 110:marble 22:time /:marble =:marble
EXPR: 1 | POS | INT | 22 | 5 | 5 | 110=(22*x) | 110 22 x * = | 110:marble 22:marble x:time *:marble =:marble
EXPR: 0 | POS | INT | 22 | 5 | 88 | 110=(x+22) | 110 x 22 + = | 110:time x:time 22:time +:time =:time
EXPR: 1 | POS | INT | 22 | 5 | 5 | 110=(x*22) | 110 x 22 * = | 110:marble x:time 22:marble *:marble =:marble
EXPR: 0 | POS | INT | 22 | 5 | 88 | 110=(22+x) | 110 22 x + = | 110:time 22:time x:time +:time =:time
EXPR: 0 | POS | INT | 24 | 5 | 88 | 22=(110-x) | 22 110 x - = | 22:time 110:time x:time -:time =:time
EXPR: 0 | POS | INT | 24 | 5 | 132 | (x-22)=110 | x 22 - 110 = | x:time 22:time -:time 110:time =:time
EXPR: 0 | POS | INT | 24 | 5 | 88 | (22+x)=110 | 22 x + 110 = | 22:time x:time +:time 110:time =:time
EXPR: 1 | POS | INT | 24 | 5 | 5 | 22=(110/x) | 22 110 x / = | 22:marble 110:marble x:time /:marble =:marble
EXPR: 1 | POS | INT | 24 | 5 | 5 | (x*22)=110 | x 22 * 110 = | x:time 22:marble *:marble 110:marble =:marble
EXPR: 0 | POS | INT | 24 | 5 | 88 | (x+22)=110 | x 22 + 110 = | x:time 22:time +:time 110:time =:time
EXPR: 0 | POS | INT | 24 | 5 | 132 | 22=(x-110) | 22 x 110 - = | 22:time x:time 110:time -:time =:time
EXPR: 1 | POS | INT | 24 | 5 | 5 | (22*x)=110 | 22 x * 110 = | 22:marble x:time *:marble 110:marble =:marble
EXPR: 0 | POS | INT | 24 | 5 | 2420 | 22=(x/110) | 22 x 110 / = | 22:marble x:marble 110:time /:marble =:marble
EXPR: 0 | POS | INT | 30 | 5 | 2420 | x=(110*22) | x 110 22 * = | x:time 110:time 22:marble *:time =:time
EXPR: 1 | POS | INT | 30 | 5 | 5 | (110/22)=x | 110 22 / x = | 110:time 22:marble /:time x:time =:time
EXPR: 0 | POS | INT | 30 | 5 | 2420 | (110*22)=x | 110 22 * x = | 110:time 22:marble *:time x:time =:time
EXPR: 1 | POS | INT | 30 | 5 | 5 | x=(110/22) | x 110 22 / = | x:time 110:time 22:marble /:time =:time
EXPR: 0 | POS | INT | 31 | 5 | 2420 | x=(110*22) | x 110 22 * = | x:time 110:time 22:marble *:time =:time
EXPR: 0 | POS | INT | 31 | 5 | 2420 | (110*22)=x | 110 22 * x = | 110:time 22:marble *:time x:time =:time
EXPR: 1 | POS | INT | 31 | 5 | 5 | x=(110/22) | x 110 22 / = | x:time 110:time 22:marble /:time =:time
EXPR: 1 | POS | INT | 31 | 5 | 5 | (110/22)=x | 110 22 / x = | 110:time 22:marble /:time x:time =:time
EXPR: 1 | POS | INT | 32 | 5 | 5 | 110=(x*22) | 110 x 22 * = | 110:time x:time 22:marble *:time =:time
EXPR: 1 | POS | INT | 32 | 5 | 5 | 110=(22*x) | 110 22 x * = | 110:time 22:marble x:time *:time =:time
EXPR: 0 | POS | INT | 32 | 5 | 2420 | 110=(x/22) | 110 x 22 / = | 110:time x:time 22:marble /:time =:time
EXPR: 0 | POS | INT | 34 | 5 | 2420 | (x/22)=110 | x 22 / 110 = | x:time 22:marble /:time 110:time =:time
EXPR: 1 | POS | INT | 34 | 5 | 5 | (x*22)=110 | x 22 * 110 = | x:time 22:marble *:time 110:time =:time
EXPR: 1 | POS | INT | 34 | 5 | 5 | (22*x)=110 | 22 x * 110 = | 22:marble x:time *:time 110:time =:time
NET 88 non-negative, integer-valued solutions found out of 136 total solutions
