parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 0 | 144 | 144 | ((3*12)*4)=x | 3 12 * 4 * x = | 3:dozen 12:marble *:marble 4:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 2 | 144 | 16 | 3=(12*(4/x)) | 3 12 4 x / * = | 3:dozen 12:marble 4:dozen x:marble /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 144 | 16 | (x*(3/12))=4 | x 3 12 / * 4 = | x:marble 3:dozen 12:marble /:dozen *:dozen 4:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 144 | 16 | x=((12/3)*4) | x 12 3 / 4 * = | x:marble 12:marble 3:dozen /:marble 4:dozen *:marble =:marble
EXPR: 0 | POS | INT | 2 | 144 | 9 | ((3/x)*12)=4 | 3 x / 12 * 4 = | 3:dozen x:marble /:dozen 12:marble *:dozen 4:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 144 | 9 | ((3*12)/x)=4 | 3 12 * x / 4 = | 3:dozen 12:marble *:dozen x:marble /:dozen 4:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 144 | 16 | ((3/12)*x)=4 | 3 12 / x * 4 = | 3:dozen 12:marble /:dozen x:marble *:dozen 4:dozen =:dozen
EXPR: 0 | POS | INT | 2 | 144 | 84 | ((3+4)*12)=x | 3 4 + 12 * x = | 3:dozen 4:dozen +:dozen 12:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 3 | 144 | 84 | x=((3+4)*12) | x 3 4 + 12 * = | x:marble 3:dozen 4:dozen +:dozen 12:marble *:marble =:marble
EXPR: 0 | POS | INT | 3 | 144 | 84 | ((3+4)*12)=x | 3 4 + 12 * x = | 3:dozen 4:dozen +:dozen 12:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 3 | 144 | 84 | x=(12*(3+4)) | x 12 3 4 + * = | x:marble 12:marble 3:dozen 4:dozen +:dozen *:marble =:marble
EXPR: 0 | POS | INT | 3 | 144 | 84 | (12*(3+4))=x | 12 3 4 + * x = | 12:marble 3:dozen 4:dozen +:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 3 | 144 | 16 | ((12/3)*4)=x | 12 3 / 4 * x = | 12:marble 3:dozen /:marble 4:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 3 | 144 | 16 | x=((12/3)*4) | x 12 3 / 4 * = | x:marble 12:marble 3:dozen /:marble 4:dozen *:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 9 | 3=((4*x)/12) | 3 4 x * 12 / = | 3:dozen 4:dozen x:marble *:dozen 12:marble /:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 144 | 1 | 12=((3*x)*4) | 12 3 x * 4 * = | 12:marble 3:dozen x:marble *:marble 4:dozen *:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 1 | 12=(3*(4*x)) | 12 3 4 x * * = | 12:marble 3:dozen 4:dozen x:marble *:marble *:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 1 | (3*(4*x))=12 | 3 4 x * * 12 = | 3:dozen 4:dozen x:marble *:marble *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 16 | 12=((3*x)/4) | 12 3 x * 4 / = | 12:marble 3:dozen x:marble *:marble 4:dozen /:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 16 | 3=((4/x)*12) | 3 4 x / 12 * = | 3:dozen 4:dozen x:marble /:dozen 12:marble *:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 144 | 84 | 12=(x/(3+4)) | 12 x 3 4 + / = | 12:marble x:marble 3:dozen 4:dozen +:dozen /:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 9 | 3=((x*4)/12) | 3 x 4 * 12 / = | 3:dozen x:marble 4:dozen *:dozen 12:marble /:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 144 | 9 | (12*(3/x))=4 | 12 3 x / * 4 = | 12:marble 3:dozen x:marble /:dozen *:dozen 4:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 144 | 16 | 12=(3*(x/4)) | 12 3 x 4 / * = | 12:marble 3:dozen x:marble 4:dozen /:marble *:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 1 | 12=(3*(x*4)) | 12 3 x 4 * * = | 12:marble 3:dozen x:marble 4:dozen *:marble *:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 16 | 12=((x*3)/4) | 12 x 3 * 4 / = | 12:marble x:marble 3:dozen *:marble 4:dozen /:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 9 | ((x/3)*4)=12 | x 3 / 4 * 12 = | x:marble 3:dozen /:marble 4:dozen *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 16 | ((x*3)/4)=12 | x 3 * 4 / 12 = | x:marble 3:dozen *:marble 4:dozen /:marble 12:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 9 | 3=(x*(4/12)) | 3 x 4 12 / * = | 3:dozen x:marble 4:dozen 12:marble /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 144 | 9 | 3=((4/12)*x) | 3 4 12 / x * = | 3:dozen 4:dozen 12:marble /:dozen x:marble *:dozen =:dozen
EXPR: 0 | POS | INT | 4 | 144 | 1 | ((x*3)*4)=12 | x 3 * 4 * 12 = | x:marble 3:dozen *:marble 4:dozen *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 84 | (x/(3+4))=12 | x 3 4 + / 12 = | x:marble 3:dozen 4:dozen +:dozen /:marble 12:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 1 | 12=((x*3)*4) | 12 x 3 * 4 * = | 12:marble x:marble 3:dozen *:marble 4:dozen *:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 9 | 12=((x/3)*4) | 12 x 3 / 4 * = | 12:marble x:marble 3:dozen /:marble 4:dozen *:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 1 | (3*(x*4))=12 | 3 x 4 * * 12 = | 3:dozen x:marble 4:dozen *:marble *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 16 | (3*(x/4))=12 | 3 x 4 / * 12 = | 3:dozen x:marble 4:dozen /:marble *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 16 | ((3*x)/4)=12 | 3 x * 4 / 12 = | 3:dozen x:marble *:marble 4:dozen /:marble 12:marble =:marble
EXPR: 0 | POS | INT | 4 | 144 | 1 | ((3*x)*4)=12 | 3 x * 4 * 12 = | 3:dozen x:marble *:marble 4:dozen *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 12 | x=((4-3)*12) | x 4 3 - 12 * = | x:marble 4:dozen 3:dozen -:dozen 12:marble *:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 16 | x=((12*4)/3) | x 12 4 * 3 / = | x:marble 12:marble 4:dozen *:marble 3:dozen /:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 16 | ((12*4)/3)=x | 12 4 * 3 / x = | 12:marble 4:dozen *:marble 3:dozen /:marble x:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 12 | x=(12*(4-3)) | x 12 4 3 - * = | x:marble 12:marble 4:dozen 3:dozen -:dozen *:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 12 | x=(12/(4-3)) | x 12 4 3 - / = | x:marble 12:marble 4:dozen 3:dozen -:dozen /:marble =:marble
EXPR: 1 | POS | INT | 5 | 144 | 144 | x=(4*(3*12)) | x 4 3 12 * * = | x:marble 4:dozen 3:dozen 12:marble *:marble *:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 12 | ((4-3)*12)=x | 4 3 - 12 * x = | 4:dozen 3:dozen -:dozen 12:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 9 | x=((12/4)*3) | x 12 4 / 3 * = | x:marble 12:marble 4:dozen /:marble 3:dozen *:marble =:marble
EXPR: 1 | POS | INT | 5 | 144 | 144 | x=((12*4)*3) | x 12 4 * 3 * = | x:marble 12:marble 4:dozen *:marble 3:dozen *:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 9 | ((12/4)*3)=x | 12 4 / 3 * x = | 12:marble 4:dozen /:marble 3:dozen *:marble x:marble =:marble
EXPR: 1 | POS | INT | 5 | 144 | 144 | (4*(3*12))=x | 4 3 12 * * x = | 4:dozen 3:dozen 12:marble *:marble *:marble x:marble =:marble
EXPR: 1 | POS | INT | 5 | 144 | 144 | ((12*4)*3)=x | 12 4 * 3 * x = | 12:marble 4:dozen *:marble 3:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 12 | (12*(4-3))=x | 12 4 3 - * x = | 12:marble 4:dozen 3:dozen -:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 5 | 144 | 12 | (12/(4-3))=x | 12 4 3 - / x = | 12:marble 4:dozen 3:dozen -:dozen /:marble x:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 16 | x=((12*4)/3) | x 12 4 * 3 / = | x:marble 12:marble 4:dozen *:marble 3:dozen /:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 12 | x=(12*(4-3)) | x 12 4 3 - * = | x:marble 12:marble 4:dozen 3:dozen -:dozen *:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 16 | ((12*4)/3)=x | 12 4 * 3 / x = | 12:marble 4:dozen *:marble 3:dozen /:marble x:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 12 | x=(12/(4-3)) | x 12 4 3 - / = | x:marble 12:marble 4:dozen 3:dozen -:dozen /:marble =:marble
EXPR: 1 | POS | INT | 6 | 144 | 144 | x=(4*(3*12)) | x 4 3 12 * * = | x:marble 4:dozen 3:dozen 12:marble *:marble *:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 12 | ((4-3)*12)=x | 4 3 - 12 * x = | 4:dozen 3:dozen -:dozen 12:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 12 | x=((4-3)*12) | x 4 3 - 12 * = | x:marble 4:dozen 3:dozen -:dozen 12:marble *:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 9 | x=((12/4)*3) | x 12 4 / 3 * = | x:marble 12:marble 4:dozen /:marble 3:dozen *:marble =:marble
EXPR: 1 | POS | INT | 6 | 144 | 144 | x=((12*4)*3) | x 12 4 * 3 * = | x:marble 12:marble 4:dozen *:marble 3:dozen *:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 9 | ((12/4)*3)=x | 12 4 / 3 * x = | 12:marble 4:dozen /:marble 3:dozen *:marble x:marble =:marble
EXPR: 1 | POS | INT | 6 | 144 | 144 | ((12*4)*3)=x | 12 4 * 3 * x = | 12:marble 4:dozen *:marble 3:dozen *:marble x:marble =:marble
EXPR: 1 | POS | INT | 6 | 144 | 144 | (4*(3*12))=x | 4 3 12 * * x = | 4:dozen 3:dozen 12:marble *:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 12 | (12*(4-3))=x | 12 4 3 - * x = | 12:marble 4:dozen 3:dozen -:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 6 | 144 | 12 | (12/(4-3))=x | 12 4 3 - / x = | 12:marble 4:dozen 3:dozen -:dozen /:marble x:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 16 | x=(4*(12/3)) | x 4 12 3 / * = | x:marble 4:dozen 12:marble 3:dozen /:marble *:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 16 | (4*(12/3))=x | 4 12 3 / * x = | 4:dozen 12:marble 3:dozen /:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 12 | 12=(x/(4-3)) | 12 x 4 3 - / = | 12:marble x:marble 4:dozen 3:dozen -:dozen /:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 12 | 12=(x*(4-3)) | 12 x 4 3 - * = | 12:marble x:marble 4:dozen 3:dozen -:dozen *:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 9 | 12=(4*(x/3)) | 12 4 x 3 / * = | 12:marble 4:dozen x:marble 3:dozen /:marble *:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 1 | 12=(4*(x*3)) | 12 4 x 3 * * = | 12:marble 4:dozen x:marble 3:dozen *:marble *:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 9 | ((4*x)/3)=12 | 4 x * 3 / 12 = | 4:dozen x:marble *:marble 3:dozen /:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 9 | 4=((3*12)/x) | 4 3 12 * x / = | 4:dozen 3:dozen 12:marble *:dozen x:marble /:dozen =:dozen
EXPR: 0 | POS | INT | 7 | 144 | 1 | 12=(4*(3*x)) | 12 4 3 x * * = | 12:marble 4:dozen 3:dozen x:marble *:marble *:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 1 | (4*(3*x))=12 | 4 3 x * * 12 = | 4:dozen 3:dozen x:marble *:marble *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 1 | ((x*4)*3)=12 | x 4 * 3 * 12 = | x:marble 4:dozen *:marble 3:dozen *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 16 | ((x/4)*3)=12 | x 4 / 3 * 12 = | x:marble 4:dozen /:marble 3:dozen *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 9 | ((x*4)/3)=12 | x 4 * 3 / 12 = | x:marble 4:dozen *:marble 3:dozen /:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 9 | 12=((4*x)/3) | 12 4 x * 3 / = | 12:marble 4:dozen x:marble *:marble 3:dozen /:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 1 | 12=((4*x)*3) | 12 4 x * 3 * = | 12:marble 4:dozen x:marble *:marble 3:dozen *:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 16 | 4=((3*x)/12) | 4 3 x * 12 / = | 4:dozen 3:dozen x:marble *:dozen 12:marble /:dozen =:dozen
EXPR: 0 | POS | INT | 7 | 144 | 16 | ((12*4)/x)=3 | 12 4 * x / 3 = | 12:marble 4:dozen *:dozen x:marble /:dozen 3:dozen =:dozen
EXPR: 0 | POS | INT | 7 | 144 | 9 | 4=((3/x)*12) | 4 3 x / 12 * = | 4:dozen 3:dozen x:marble /:dozen 12:marble *:dozen =:dozen
EXPR: 0 | POS | INT | 7 | 144 | 16 | 12=((x/4)*3) | 12 x 4 / 3 * = | 12:marble x:marble 4:dozen /:marble 3:dozen *:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 16 | 4=((3/12)*x) | 4 3 12 / x * = | 4:dozen 3:dozen 12:marble /:dozen x:marble *:dozen =:dozen
EXPR: 0 | POS | INT | 7 | 144 | 16 | 4=(x*(3/12)) | 4 x 3 12 / * = | 4:dozen x:marble 3:dozen 12:marble /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 7 | 144 | 1 | 12=((x*4)*3) | 12 x 4 * 3 * = | 12:marble x:marble 4:dozen *:marble 3:dozen *:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 1 | ((4*x)*3)=12 | 4 x * 3 * 12 = | 4:dozen x:marble *:marble 3:dozen *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 12 | 12=((4-3)*x) | 12 4 3 - x * = | 12:marble 4:dozen 3:dozen -:dozen x:marble *:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 16 | 4=((x*3)/12) | 4 x 3 * 12 / = | 4:dozen x:marble 3:dozen *:dozen 12:marble /:dozen =:dozen
EXPR: 0 | POS | INT | 7 | 144 | 9 | 12=((x*4)/3) | 12 x 4 * 3 / = | 12:marble x:marble 4:dozen *:marble 3:dozen /:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 12 | ((4-3)*x)=12 | 4 3 - x * 12 = | 4:dozen 3:dozen -:dozen x:marble *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 12 | (x*(4-3))=12 | x 4 3 - * 12 = | x:marble 4:dozen 3:dozen -:dozen *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 16 | (12*(4/x))=3 | 12 4 x / * 3 = | 12:marble 4:dozen x:marble /:dozen *:dozen 3:dozen =:dozen
EXPR: 0 | POS | INT | 7 | 144 | 12 | (x/(4-3))=12 | x 4 3 - / 12 = | x:marble 4:dozen 3:dozen -:dozen /:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 1 | (4*(x*3))=12 | 4 x 3 * * 12 = | 4:dozen x:marble 3:dozen *:marble *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 7 | 144 | 9 | (4*(x/3))=12 | 4 x 3 / * 12 = | 4:dozen x:marble 3:dozen /:marble *:marble 12:marble =:marble
EXPR: 0 | POS | INT | 8 | 144 | 16 | x=(4*(12/3)) | x 4 12 3 / * = | x:marble 4:dozen 12:marble 3:dozen /:marble *:marble =:marble
EXPR: 0 | POS | INT | 8 | 144 | 16 | (4*(12/3))=x | 4 12 3 / * x = | 4:dozen 12:marble 3:dozen /:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 9 | 144 | 9 | 4=(12*(3/x)) | 4 12 3 x / * = | 4:dozen 12:marble 3:dozen x:marble /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 9 | 144 | 9 | ((x*4)/12)=3 | x 4 * 12 / 3 = | x:marble 4:dozen *:dozen 12:marble /:dozen 3:dozen =:dozen
EXPR: 0 | POS | INT | 9 | 144 | 9 | ((4/12)*x)=3 | 4 12 / x * 3 = | 4:dozen 12:marble /:dozen x:marble *:dozen 3:dozen =:dozen
EXPR: 0 | POS | INT | 9 | 144 | 9 | ((4*x)/12)=3 | 4 x * 12 / 3 = | 4:dozen x:marble *:dozen 12:marble /:dozen 3:dozen =:dozen
EXPR: 0 | POS | INT | 9 | 144 | 16 | ((4/x)*12)=3 | 4 x / 12 * 3 = | 4:dozen x:marble /:dozen 12:marble *:dozen 3:dozen =:dozen
EXPR: 0 | POS | INT | 9 | 144 | 9 | (x*(4/12))=3 | x 4 12 / * 3 = | x:marble 4:dozen 12:marble /:dozen *:dozen 3:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 | 9 | (3*(12/4))=x | 3 12 4 / * x = | 3:dozen 12:marble 4:dozen /:marble *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 | 40 | x=((3*12)+4) | x 3 12 * 4 + = | x:marble 3:dozen 12:marble *:marble 4:marble +:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 1 | x=((3/12)*4) | x 3 12 / 4 * = | x:marble 3:dozen 12:marble /:dozen 4:marble *:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 40 | ((3*12)+4)=x | 3 12 * 4 + x = | 3:dozen 12:marble *:marble 4:marble +:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 32 | ((3*12)-4)=x | 3 12 * 4 - x = | 3:dozen 12:marble *:marble 4:marble -:marble x:marble =:marble
EXPR: 1 | POS | INT | 10 | 144 | 144 | (3*(12*4))=x | 3 12 4 * * x = | 3:dozen 12:marble 4:dozen *:marble *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 | 0 | (3-(12/4))=x | 3 12 4 / - x = | 3:marble 12:marble 4:dozen /:marble -:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 60 | ((3+12)*4)=x | 3 12 + 4 * x = | 3:marble 12:marble +:marble 4:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 1 | ((3/12)*4)=x | 3 12 / 4 * x = | 3:dozen 12:marble /:dozen 4:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 24 | x=(3*(12-4)) | x 3 12 4 - * = | x:marble 3:dozen 12:marble 4:marble -:marble *:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 60 | x=((3+12)*4) | x 3 12 + 4 * = | x:marble 3:marble 12:marble +:marble 4:dozen *:marble =:marble
EXPR: 1 | POS | INT | 10 | 144 | 144 | x=(3*(12*4)) | x 3 12 4 * * = | x:marble 3:marble 12:marble 4:dozen *:dozen *:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 40 | x=((3*12)+4) | x 3 12 * 4 + = | x:dozen 3:dozen 12:marble *:dozen 4:dozen +:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 | 48 | x=(3*(12+4)) | x 3 12 4 + * = | x:marble 3:dozen 12:marble 4:marble +:marble *:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 32 | ((3*12)-4)=x | 3 12 * 4 - x = | 3:dozen 12:marble *:dozen 4:dozen -:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 | 51 | (3+(12*4))=x | 3 12 4 * + x = | 3:dozen 12:marble 4:dozen *:dozen +:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 |  | x=(3-(12/4)) | x 3 12 4 / - = | x:marble 3:marble 12:marble 4:dozen /:marble -:marble =:marble
EXPR: 1 | POS | INT | 10 | 144 | 144 | x=((3*12)*4) | x 3 12 * 4 * = | x:marble 3:dozen 12:marble *:dozen 4:marble *:marble =:marble
EXPR: 1 | POS | INT | 10 | 144 | 144 | x=(3*(12*4)) | x 3 12 4 * * = | x:dozen 3:dozen 12:marble 4:dozen *:marble *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 | 51 | x=(3+(12*4)) | x 3 12 4 * + = | x:dozen 3:dozen 12:marble 4:dozen *:dozen +:dozen =:dozen
EXPR: 1 | POS | INT | 10 | 144 | 144 | (3*(12*4))=x | 3 12 4 * * x = | 3:marble 12:marble 4:dozen *:dozen *:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 9 | x=(3*(12/4)) | x 3 12 4 / * = | x:dozen 3:dozen 12:marble 4:dozen /:marble *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 | 51 | (3+(12*4))=x | 3 12 4 * + x = | 3:marble 12:marble 4:dozen *:marble +:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 6 | (3+(12/4))=x | 3 12 4 / + x = | 3:marble 12:marble 4:dozen /:marble +:marble x:marble =:marble
EXPR: 1 | POS | INT | 10 | 144 | 144 | ((3*12)*4)=x | 3 12 * 4 * x = | 3:dozen 12:marble *:dozen 4:marble *:marble x:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 32 | x=((3*12)-4) | x 3 12 * 4 - = | x:marble 3:dozen 12:marble *:marble 4:marble -:marble =:marble
EXPR: 1 | POS | INT | 10 | 144 | 144 | ((3*12)*4)=x | 3 12 * 4 * x = | 3:dozen 12:marble *:marble 4:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 | 6 | x=(3+(12/4)) | x 3 12 4 / + = | x:marble 3:marble 12:marble 4:dozen /:marble +:marble =:marble
EXPR: 0 | POS | INT | 10 | 144 | 51 | x=(3+(12*4)) | x 3 12 4 * + = | x:marble 3:marble 12:marble 4:dozen *:marble +:marble =:marble
EXPR: 1 | POS | INT | 10 | 144 | 144 | x=((3*12)*4) | x 3 12 * 4 * = | x:dozen 3:dozen 12:marble *:marble 4:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 144 | 32 | x=((3*12)-4) | x 3 12 * 4 - = | x:dozen 3:dozen 12:marble *:dozen 4:dozen -:dozen =:dozen
