parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 286 | 1521 | x=((13*9)*(10+3)) | x 13 9 * 10 3 + * = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 819 | x=((13*9)*(10-3)) | x 13 9 * 10 3 - * = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 1521 | x=((13*9)*(10+3)) | x 13 9 * 10 3 + * = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 26 | (13*((9-10)+3))=x | 13 9 10 - 3 + * x = | 13:dollar 9:hour 10:hour -:hour 3:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 9 | x=((13*9)/(10+3)) | x 13 9 * 10 3 + / = | x:dollar 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour /:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 208 | (13*(9+(10-3)))=x | 13 9 10 3 - + * x = | 13:dollar 9:hour 10:hour 3:hour -:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 26 | (13*(9-(10-3)))=x | 13 9 10 3 - - * x = | 13:dollar 9:hour 10:hour 3:hour -:hour -:hour *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 286 | 286 | (13*((9+10)+3))=x | 13 9 10 + 3 + * x = | 13:dollar 9:hour 10:hour +:hour 3:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 208 | (13*((9+10)-3))=x | 13 9 10 + 3 - * x = | 13:dollar 9:hour 10:hour +:hour 3:hour -:hour *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 286 | 286 | x=(13*((9+10)+3)) | x 13 9 10 + 3 + * = | x:dollar 13:dollar 9:hour 10:hour +:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 9 | ((13*9)/(10+3))=x | 13 9 * 10 3 + / x = | 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour /:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 819 | ((13*9)*(10-3))=x | 13 9 * 10 3 - * x = | 13:dollar 9:hour *:dollar 10:hour 3:hour -:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 26 | x=(13*((9-10)+3)) | x 13 9 10 - 3 + * = | x:dollar 13:dollar 9:hour 10:hour -:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 208 | x=(13*((9+10)-3)) | x 13 9 10 + 3 - * = | x:dollar 13:dollar 9:hour 10:hour +:hour 3:hour -:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 286 | 286 | (13*(9+(10+3)))=x | 13 9 10 3 + + * x = | 13:dollar 9:hour 10:hour 3:hour +:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 1521 | ((13*9)*(10+3))=x | 13 9 * 10 3 + * x = | 13:dollar 9:hour *:dollar 10:hour 3:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 208 | x=(13*(9+(10-3))) | x 13 9 10 3 - + * = | x:dollar 13:dollar 9:hour 10:hour 3:hour -:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 1 | 286 | 26 | x=(13*(9-(10-3))) | x 13 9 10 3 - - * = | x:dollar 13:dollar 9:hour 10:hour 3:hour -:hour -:hour *:dollar =:dollar
EXPR: 1 | POS | INT | 1 | 286 | 286 | x=(13*(9+(10+3))) | x 13 9 10 3 + + * = | x:dollar 13:dollar 9:hour 10:hour 3:hour +:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 286 | 390 | (((13*9)/3)*10)=x | 13 9 * 3 / 10 * x = | 13:dollar 9:hour *:dollar 3:hour /:dollar 10:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 2 | 286 | 39 | x=((13/(10-9))*3) | x 13 10 9 - / 3 * = | x:dollar 13:dollar 10:hour 9:hour -:hour /:dollar 3:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 3 | 286 | 390 | (((13*9)/3)*10)=x | 13 9 * 3 / 10 * x = | 13:dollar 9:hour *:dollar 3:hour /:dollar 10:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 5 | 286 | 390 | (((13*10)/3)*9)=x | 13 10 * 3 / 9 * x = | 13:dollar 10:hour *:dollar 3:hour /:dollar 9:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 6 | 286 | 390 | (((13*10)/3)*9)=x | 13 10 * 3 / 9 * x = | 13:dollar 10:hour *:dollar 3:hour /:dollar 9:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 9 | 286 | 3 | (((x*10)+9)/13)=3 | x 10 * 9 + 13 / 3 = | x:dollar 10:hour *:hour 9:hour +:hour 13:dollar /:hour 3:hour =:hour
EXPR: 0 | POS | INT | 10 | 286 | 390 | x=((13*9)*(10/3)) | x 13 9 * 10 3 / * = | x:dollar 13:dollar 9:hour *:hour 10:dollar 3:hour /:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 130 | (13+(9*(10+3)))=x | 13 9 10 3 + * + x = | 13:dollar 9:dollar 10:hour 3:hour +:hour *:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 1209 | (13*((9*10)+3))=x | 13 9 10 * 3 + * x = | 13:dollar 9:dollar 10:hour *:hour 3:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 1131 | (13*((9*10)-3))=x | 13 9 10 * 3 - * x = | 13:dollar 9:dollar 10:hour *:hour 3:hour -:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 244 | x=((13*(9+10))-3) | x 13 9 10 + * 3 - = | x:dollar 13:dollar 9:hour 10:hour +:hour *:dollar 3:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 147 | ((13*9)+(10*3))=x | 13 9 * 10 3 * + x = | 13:dollar 9:hour *:dollar 10:hour 3:dollar *:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 87 | ((13*9)-(10*3))=x | 13 9 * 10 3 * - x = | 13:dollar 9:hour *:dollar 10:hour 3:dollar *:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 286 | 76 | (13+(9*(10-3)))=x | 13 9 10 3 - * + x = | 13:dollar 9:dollar 10:hour 3:hour -:hour *:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 286 | 130 | (13+(9*(10+3)))=x | 13 9 10 3 + * + x = | 13:dollar 9:dollar 10:hour 3:hour +:hour *:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 286 | 1209 | (13*((9*10)+3))=x | 13 9 10 * 3 + * x = | 13:dollar 9:dollar 10:hour *:hour 3:hour +:hour *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 286 | 244 | x=((13*(9+10))-3) | x 13 9 10 + * 3 - = | x:dollar 13:dollar 9:hour 10:hour +:hour *:dollar 3:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 286 | 87 | ((13*9)-(10*3))=x | 13 9 * 10 3 * - x = | 13:dollar 9:hour *:dollar 10:hour 3:dollar *:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 286 | 147 | ((13*9)+(10*3))=x | 13 9 * 10 3 * + x = | 13:dollar 9:hour *:dollar 10:hour 3:dollar *:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 286 | 76 | (13+(9*(10-3)))=x | 13 9 10 3 - * + x = | 13:dollar 9:dollar 10:hour 3:hour -:hour *:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 286 | 88 | ((13*(9-3))+10)=x | 13 9 3 - * 10 + x = | 13:dollar 9:hour 3:hour -:hour *:hour 10:hour +:hour x:hour =:hour
EXPR: 0 | POS | INT | 12 | 286 | 68 | ((13*(9-3))-10)=x | 13 9 3 - * 10 - x = | 13:dollar 9:hour 3:hour -:hour *:dollar 10:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 286 | 88 | ((13*(9-3))+10)=x | 13 9 3 - * 10 + x = | 13:dollar 9:hour 3:hour -:hour *:dollar 10:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 286 | 221 | x=(13*((9*3)-10)) | x 13 9 3 * 10 - * = | x:dollar 13:dollar 9:dollar 3:hour *:hour 10:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 286 | 221 | x=(13*((9*3)-10)) | x 13 9 3 * 10 - * = | x:dollar 13:dollar 9:dollar 3:hour *:hour 10:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 286 | 68 | ((13*(9-3))-10)=x | 13 9 3 - * 10 - x = | 13:dollar 9:hour 3:hour -:hour *:dollar 10:dollar -:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 286 | 88 | ((13*(9-3))+10)=x | 13 9 3 - * 10 + x = | 13:dollar 9:hour 3:hour -:hour *:dollar 10:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 286 | 26 | x=((3+(9-10))*13) | x 3 9 10 - + 13 * = | x:dollar 3:hour 9:hour 10:hour -:hour +:hour 13:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 286 | 208 | x=(((10-3)+9)*13) | x 10 3 - 9 + 13 * = | x:dollar 10:hour 3:hour -:hour 9:hour +:hour 13:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 286 | 17 | 10=(3*((13+x)/9)) | 10 3 13 x + 9 / * = | 10:hour 3:hour 13:dollar x:dollar +:dollar 9:hour /:dollar *:hour =:hour
EXPR: 0 | POS | INT | 15 | 286 | 160 | x=((13*(10+3))-9) | x 13 10 3 + * 9 - = | x:dollar 13:dollar 10:hour 3:hour +:hour *:dollar 9:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 15 | 286 | 26 | x=((3+(9-10))*13) | x 3 9 10 - + 13 * = | x:dollar 3:hour 9:hour 10:hour -:hour +:hour 13:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 15 | 286 | 273 | x=(13*((10*3)-9)) | x 13 10 3 * 9 - * = | x:dollar 13:dollar 10:dollar 3:hour *:hour 9:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 15 | 286 | 208 | x=(((10-3)+9)*13) | x 10 3 - 9 + 13 * = | x:dollar 10:hour 3:hour -:hour 9:hour +:hour 13:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 15 | 286 | 29 | x=(((13/3)*9)-10) | x 13 3 / 9 * 10 - = | x:dollar 13:dollar 3:hour /:dollar 9:hour *:dollar 10:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 16 | 286 | 160 | x=((13*(10+3))-9) | x 13 10 3 + * 9 - = | x:dollar 13:dollar 10:hour 3:hour +:hour *:dollar 9:dollar -:dollar =:dollar
EXPR: 1 | POS | INT | 17 | 286 | 286 | 13=((x/(10+3))-9) | 13 x 10 3 + / 9 - = | 13:dollar x:dollar 10:hour 3:hour +:hour /:dollar 9:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 286 | 29 | 10=(((13/3)*9)-x) | 10 13 3 / 9 * x - = | 10:dollar 13:dollar 3:hour /:dollar 9:hour *:dollar x:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 286 | 11 | x=(13-(9-(10-3))) | x 13 9 10 3 - - - = | x:hour 13:hour 9:hour 10:hour 3:hour -:hour -:hour -:hour =:hour
EXPR: 0 | POS | INT | 20 | 286 | 10 | 10=(((13-3)/x)+9) | 10 13 3 - x / 9 + = | 10:hour 13:hour 3:hour -:hour x:dollar /:hour 9:hour +:hour =:hour
EXPR: 0 | POS | INT | 21 | 286 | 107 | x=(((9+3)*10)-13) | x 9 3 + 10 * 13 - = | x:dollar 9:hour 3:hour +:hour 10:dollar *:dollar 13:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 286 | 133 | x=(((9+3)*10)+13) | x 9 3 + 10 * 13 + = | x:dollar 9:hour 3:hour +:hour 10:dollar *:dollar 13:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 286 | 481 | x=(((9*3)+10)*13) | x 9 3 * 10 + 13 * = | x:dollar 9:dollar 3:hour *:hour 10:hour +:hour 13:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 286 | 221 | x=(((9*3)-10)*13) | x 9 3 * 10 - 13 * = | x:dollar 9:dollar 3:hour *:hour 10:hour -:hour 13:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 21 | 286 | 124 | 9=(((x-10)+3)/13) | 9 x 10 - 3 + 13 / = | 9:hour x:hour 10:hour -:hour 3:hour +:hour 13:dollar /:hour =:hour
EXPR: 0 | POS | INT | 21 | 286 | 3510 | ((x/9)/(10*3))=13 | x 9 / 10 3 * / 13 = | x:dollar 9:hour /:dollar 10:hour 3:dollar *:hour /:dollar 13:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 286 | 29 | x=((13*(9/3))-10) | x 13 9 3 / * 10 - = | x:hour 13:dollar 9:hour 3:dollar /:hour *:hour 10:hour -:hour =:hour
EXPR: 0 | POS | INT | 22 | 286 | 49 | x=((13*(9/3))+10) | x 13 9 3 / * 10 + = | x:hour 13:dollar 9:hour 3:dollar /:hour *:hour 10:hour +:hour =:hour
EXPR: 0 | POS | INT | 22 | 286 | 69 | ((9*(13+10))/3)=x | 9 13 10 + * 3 / x = | 9:dollar 13:hour 10:hour +:hour *:dollar 3:hour /:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 286 | 9 | ((9*(13-10))/3)=x | 9 13 10 - * 3 / x = | 9:dollar 13:hour 10:hour -:hour *:dollar 3:hour /:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 286 | 390 | (((13*9)/x)*10)=3 | 13 9 * x / 10 * 3 = | 13:dollar 9:hour *:dollar x:hour /:dollar 10:hour *:dollar 3:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 286 | 481 | x=(((9*3)+10)*13) | x 9 3 * 10 + 13 * = | x:dollar 9:dollar 3:hour *:hour 10:hour +:hour 13:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 286 | 9 | 13=(((9/x)*10)+3) | 13 9 x / 10 * 3 + = | 13:dollar 9:hour x:dollar /:hour 10:dollar *:dollar 3:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 286 | zoo | x=(9/(13-(10+3))) | x 9 13 10 3 + - / = | x:dollar 9:dollar 13:hour 10:hour 3:hour +:hour -:hour /:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 286 |  | x=(9*(13-(10+3))) | x 9 13 10 3 + - * = | x:dollar 9:dollar 13:hour 10:hour 3:hour +:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 22 | 286 | 1200 | x=(((13*9)+3)*10) | x 13 9 * 3 + 10 * = | x:hour 13:dollar 9:hour *:hour 3:hour +:hour 10:dollar *:hour =:hour
EXPR: 0 | POS | INT | 22 | 286 | 1140 | x=(((13*9)-3)*10) | x 13 9 * 3 - 10 * = | x:hour 13:dollar 9:hour *:hour 3:hour -:hour 10:dollar *:hour =:hour
EXPR: 0 | POS | INT | 23 | 286 | 49 | x=((13*(9/3))+10) | x 13 9 3 / * 10 + = | x:hour 13:dollar 9:hour 3:dollar /:hour *:hour 10:hour +:hour =:hour
EXPR: 0 | POS | INT | 23 | 286 | 69 | ((9*(13+10))/3)=x | 9 13 10 + * 3 / x = | 9:dollar 13:hour 10:hour +:hour *:dollar 3:hour /:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 23 | 286 | 9 | ((9*(13-10))/3)=x | 9 13 10 - * 3 / x = | 9:dollar 13:hour 10:hour -:hour *:dollar 3:hour /:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 23 | 286 | 390 | ((x/9)*(3/10))=13 | x 9 / 3 10 / * 13 = | x:dollar 9:hour /:dollar 3:hour 10:dollar /:hour *:dollar 13:dollar =:dollar
EXPR: 0 | POS | INT | 23 | 286 | 39 | (x/((10-9)*3))=13 | x 10 9 - 3 * / 13 = | x:dollar 10:hour 9:hour -:hour 3:dollar *:hour /:dollar 13:dollar =:dollar
EXPR: 0 | POS | INT | 23 | 286 | 1140 | x=(((13*9)-3)*10) | x 13 9 * 3 - 10 * = | x:hour 13:dollar 9:hour *:hour 3:hour -:hour 10:dollar *:hour =:hour
EXPR: 0 | POS | INT | 23 | 286 | 1200 | x=(((13*9)+3)*10) | x 13 9 * 3 + 10 * = | x:hour 13:dollar 9:hour *:hour 3:hour +:hour 10:dollar *:hour =:hour
EXPR: 0 | POS | INT | 24 | 286 | 47 | (9-((x+13)/10))=3 | 9 x 13 + 10 / - 3 = | 9:dollar x:dollar 13:dollar +:dollar 10:hour /:dollar -:dollar 3:dollar =:dollar
EXPR: 0 | POS | INT | 24 | 286 | 29 | ((13/(10+x))*9)=3 | 13 10 x + / 9 * 3 = | 13:dollar 10:hour x:hour +:hour /:dollar 9:hour *:dollar 3:dollar =:dollar
EXPR: 0 | POS | INT | 24 | 286 | 9 | 13=(((x-9)+3)+10) | 13 x 9 - 3 + 10 + = | 13:hour x:hour 9:hour -:hour 3:hour +:hour 10:hour +:hour =:hour
EXPR: 0 | POS | INT | 24 | 286 | 3 | x=(((9-13)-3)+10) | x 9 13 - 3 - 10 + = | x:hour 9:hour 13:hour -:hour 3:hour -:hour 10:hour +:hour =:hour
EXPR: 0 | POS | INT | 24 | 286 | 3 | (((x*13)-9)/3)=10 | x 13 * 9 - 3 / 10 = | x:dollar 13:hour *:hour 9:hour -:hour 3:dollar /:hour 10:hour =:hour
EXPR: 0 | POS | INT | 24 | 286 | 9 | ((9*(13-3))/10)=x | 9 13 3 - * 10 / x = | 9:dollar 13:hour 3:hour -:hour *:dollar 10:hour /:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 24 | 286 | 9 | 13=(((9/x)*3)+10) | 13 9 x / 3 * 10 + = | 13:dollar 9:hour x:dollar /:hour 3:dollar *:dollar 10:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 24 | 286 | 9 | 13=(((10/x)*9)+3) | 13 10 x / 9 * 3 + = | 13:dollar 10:hour x:dollar /:hour 9:dollar *:dollar 3:dollar +:dollar =:dollar
EXPR: 0 | POS | INT | 24 | 286 | 24 | (((13-10)*9)-x)=3 | 13 10 - 9 * x - 3 = | 13:dollar 10:dollar -:dollar 9:hour *:dollar x:dollar -:dollar 3:dollar =:dollar
EXPR: 0 | POS | INT | 24 | 286 | 204 | (((13+10)*9)-x)=3 | 13 10 + 9 * x - 3 = | 13:dollar 10:dollar +:dollar 9:hour *:dollar x:dollar -:dollar 3:dollar =:dollar
EXPR: 0 | POS | INT | 25 | 286 | 70 | x=((13+(3-9))*10) | x 13 3 9 - + 10 * = | x:dollar 13:hour 3:hour 9:hour -:hour +:hour 10:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 25 | 286 | 190 | x=((13-(3-9))*10) | x 13 3 9 - - 10 * = | x:dollar 13:hour 3:hour 9:hour -:hour -:hour 10:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 25 | 286 | 147 | x=((13+(10/3))*9) | x 13 10 3 / + 9 * = | x:hour 13:dollar 10:dollar 3:hour /:dollar +:dollar 9:hour *:hour =:hour
EXPR: 0 | POS | INT | 25 | 286 | 1197 | x=(((13*10)+3)*9) | x 13 10 * 3 + 9 * = | x:hour 13:dollar 10:hour *:hour 3:hour +:hour 9:dollar *:hour =:hour
EXPR: 0 | POS | INT | 25 | 286 | 3 | x=(((9-13)-3)+10) | x 9 13 - 3 - 10 + = | x:hour 9:hour 13:hour -:hour 3:hour -:hour 10:hour +:hour =:hour
EXPR: 0 | POS | INT | 25 | 286 | 190 | x=(10*((13+9)-3)) | x 10 13 9 + 3 - * = | x:dollar 10:dollar 13:hour 9:hour +:hour 3:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 25 | 286 | 250 | x=(10*((13+9)+3)) | x 10 13 9 + 3 + * = | x:dollar 10:dollar 13:hour 9:hour +:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 25 | 286 | 9 | ((9*(13-3))/10)=x | 9 13 3 - * 10 / x = | 9:dollar 13:hour 3:hour -:hour *:dollar 10:hour /:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 25 | 286 | 480 | x=(((13*3)+9)*10) | x 13 3 * 9 + 10 * = | x:hour 13:dollar 3:hour *:hour 9:hour +:hour 10:dollar *:hour =:hour
EXPR: 0 | POS | INT | 26 | 286 | 190 | x=((13-(3-9))*10) | x 13 3 9 - - 10 * = | x:dollar 13:hour 3:hour 9:hour -:hour -:hour 10:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 26 | 286 | 1197 | x=(((13*10)+3)*9) | x 13 10 * 3 + 9 * = | x:hour 13:dollar 10:hour *:hour 3:hour +:hour 9:dollar *:hour =:hour
EXPR: 0 | POS | INT | 26 | 286 | 11 | 9=(((13-x)-3)+10) | 9 13 x - 3 - 10 + = | 9:hour 13:hour x:hour -:hour 3:hour -:hour 10:hour +:hour =:hour
EXPR: 0 | POS | INT | 26 | 286 | 250 | x=(10*((13+9)+3)) | x 10 13 9 + 3 + * = | x:dollar 10:dollar 13:hour 9:hour +:hour 3:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 26 | 286 | 190 | x=(10*((13+9)-3)) | x 10 13 9 + 3 - * = | x:dollar 10:dollar 13:hour 9:hour +:hour 3:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 26 | 286 | 39 | (9+((13/x)*3))=10 | 9 13 x / 3 * + 10 = | 9:hour 13:hour x:dollar /:hour 3:dollar *:hour +:hour 10:hour =:hour
EXPR: 0 | POS | INT | 27 | 286 | 17 | 13=(((x-10)-3)+9) | 13 x 10 - 3 - 9 + = | 13:hour x:hour 10:hour -:hour 3:hour -:hour 9:hour +:hour =:hour
EXPR: 0 | POS | INT | 27 | 286 | 4 | 9=(((10*x)-13)/3) | 9 10 x * 13 - 3 / = | 9:hour 10:hour x:dollar *:hour 13:hour -:hour 3:dollar /:hour =:hour
EXPR: 0 | POS | INT | 28 | 286 | 70 | x=(10*((13+3)-9)) | x 10 13 3 + 9 - * = | x:dollar 10:dollar 13:hour 3:hour +:hour 9:hour -:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 28 | 286 | 250 | x=(10*((13+3)+9)) | x 10 13 3 + 9 + * = | x:dollar 10:dollar 13:hour 3:hour +:hour 9:hour +:hour *:dollar =:dollar
EXPR: 0 | POS | INT | 28 | 286 | 190 | x=(((9-3)+13)*10) | x 9 3 - 13 + 10 * = | x:dollar 9:hour 3:hour -:hour 13:hour +:hour 10:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 29 | 286 | zoo | x=(9/((10+3)-13)) | x 9 10 3 + 13 - / = | x:dollar 9:dollar 10:hour 3:hour +:hour 13:hour -:hour /:dollar =:dollar
EXPR: 0 | POS | INT | 29 | 286 | 1209 | x=(((9*10)+3)*13) | x 9 10 * 3 + 13 * = | x:hour 9:dollar 10:hour *:hour 3:hour +:hour 13:dollar *:hour =:hour
EXPR: 0 | POS | INT | 29 | 286 | 70 | x=((3+(13-9))*10) | x 3 13 9 - + 10 * = | x:dollar 3:hour 13:hour 9:hour -:hour +:hour 10:dollar *:dollar =:dollar
