parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 18 | 2 | x=(6/3) | x 6 3 / = | x:balloon 6:balloon 3:time /:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 18 | 2 | 6=(x*3) | 6 x 3 * = | 6:time x:balloon 3:time *:time =:time
EXPR: 0 | POS | INT | 12 | 18 | 3 | 6=(3+x) | 6 3 x + = | 6:balloon 3:balloon x:balloon +:balloon =:balloon
EXPR: 0 | POS | INT | 12 | 18 | 2 | (6/x)=3 | 6 x / 3 = | 6:time x:balloon /:time 3:time =:time
EXPR: 0 | POS | INT | 14 | 18 | 3 | (x+3)=6 | x 3 + 6 = | x:balloon 3:balloon +:balloon 6:balloon =:balloon
EXPR: 0 | POS | INT | 14 | 18 | 3 | 3=(6-x) | 3 6 x - = | 3:balloon 6:balloon x:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 14 | 18 | 2 | (x*3)=6 | x 3 * 6 = | x:balloon 3:time *:time 6:time =:time
EXPR: 1 | POS | INT | 14 | 18 | 18 | 3=(x/6) | 3 x 6 / = | 3:time x:time 6:balloon /:time =:time
EXPR: 0 | POS | INT | 14 | 18 | 9 | (x-3)=6 | x 3 - 6 = | x:balloon 3:balloon -:balloon 6:balloon =:balloon
EXPR: 0 | POS | INT | 14 | 18 | 3 | (3+x)=6 | 3 x + 6 = | 3:balloon x:balloon +:balloon 6:balloon =:balloon
EXPR: 0 | POS | INT | 14 | 18 | 9 | 3=(x-6) | 3 x 6 - = | 3:balloon x:balloon 6:balloon -:balloon =:balloon
EXPR: 0 | POS | INT | 14 | 18 | 2 | 3=(6/x) | 3 6 x / = | 3:time 6:time x:balloon /:time =:time
EXPR: 0 | POS | INT | 14 | 18 | 2 | (3*x)=6 | 3 x * 6 = | 3:time x:balloon *:time 6:time =:time
EXPR: 0 | POS | INT | 20 | 18 | 9 | (6+3)=x | 6 3 + x = | 6:time 3:time +:time x:time =:time
EXPR: 0 | POS | INT | 20 | 18 | 3 | (6-3)=x | 6 3 - x = | 6:time 3:time -:time x:time =:time
EXPR: 1 | POS | INT | 20 | 18 | 18 | (6*3)=x | 6 3 * x = | 6:time 3:balloon *:balloon x:balloon =:balloon
EXPR: 0 | POS | INT | 20 | 18 | 3 | x=(6-3) | x 6 3 - = | x:time 6:time 3:time -:time =:time
EXPR: 0 | POS | INT | 20 | 18 | 9 | x=(6+3) | x 6 3 + = | x:time 6:time 3:time +:time =:time
EXPR: 1 | POS | INT | 20 | 18 | 18 | x=(6*3) | x 6 3 * = | x:balloon 6:time 3:balloon *:balloon =:balloon
EXPR: 0 | POS | INT | 21 | 18 | 3 | (6-3)=x | 6 3 - x = | 6:time 3:time -:time x:time =:time
EXPR: 0 | POS | INT | 21 | 18 | 3 | x=(6-3) | x 6 3 - = | x:time 6:time 3:time -:time =:time
EXPR: 0 | POS | INT | 21 | 18 | 9 | (6+3)=x | 6 3 + x = | 6:time 3:time +:time x:time =:time
EXPR: 1 | POS | INT | 21 | 18 | 18 | (6*3)=x | 6 3 * x = | 6:time 3:balloon *:balloon x:balloon =:balloon
EXPR: 1 | POS | INT | 21 | 18 | 18 | x=(6*3) | x 6 3 * = | x:balloon 6:time 3:balloon *:balloon =:balloon
EXPR: 0 | POS | INT | 21 | 18 | 9 | x=(6+3) | x 6 3 + = | x:time 6:time 3:time +:time =:time
EXPR: 0 | POS | INT | 22 | 18 | 9 | (x-6)=3 | x 6 - 3 = | x:time 6:time -:time 3:time =:time
EXPR: 0 | POS | INT | 22 | 18 | 3 | (6-x)=3 | 6 x - 3 = | 6:time x:time -:time 3:time =:time
EXPR: 1 | POS | INT | 22 | 18 | 18 | (x/6)=3 | x 6 / 3 = | x:balloon 6:time /:balloon 3:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 18 | 9 | 6=(x-3) | 6 x 3 - = | 6:time x:time 3:time -:time =:time
EXPR: 0 | POS | INT | 22 | 18 | 2 | (6/x)=3 | 6 x / 3 = | 6:balloon x:time /:balloon 3:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 18 | 2 | 6=(3*x) | 6 3 x * = | 6:balloon 3:balloon x:time *:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 18 | 3 | 6=(x+3) | 6 x 3 + = | 6:time x:time 3:time +:time =:time
EXPR: 0 | POS | INT | 22 | 18 | 2 | 6=(x*3) | 6 x 3 * = | 6:balloon x:time 3:balloon *:balloon =:balloon
EXPR: 0 | POS | INT | 22 | 18 | 3 | 6=(3+x) | 6 3 x + = | 6:time 3:time x:time +:time =:time
EXPR: 0 | POS | INT | 24 | 18 | 3 | 3=(6-x) | 3 6 x - = | 3:time 6:time x:time -:time =:time
EXPR: 0 | POS | INT | 24 | 18 | 9 | (x-3)=6 | x 3 - 6 = | x:time 3:time -:time 6:time =:time
EXPR: 0 | POS | INT | 24 | 18 | 3 | (3+x)=6 | 3 x + 6 = | 3:time x:time +:time 6:time =:time
EXPR: 0 | POS | INT | 24 | 18 | 2 | 3=(6/x) | 3 6 x / = | 3:balloon 6:balloon x:time /:balloon =:balloon
EXPR: 0 | POS | INT | 24 | 18 | 2 | (x*3)=6 | x 3 * 6 = | x:time 3:balloon *:balloon 6:balloon =:balloon
EXPR: 0 | POS | INT | 24 | 18 | 3 | (x+3)=6 | x 3 + 6 = | x:time 3:time +:time 6:time =:time
EXPR: 0 | POS | INT | 24 | 18 | 9 | 3=(x-6) | 3 x 6 - = | 3:time x:time 6:time -:time =:time
EXPR: 0 | POS | INT | 24 | 18 | 2 | (3*x)=6 | 3 x * 6 = | 3:balloon x:time *:balloon 6:balloon =:balloon
EXPR: 1 | POS | INT | 24 | 18 | 18 | 3=(x/6) | 3 x 6 / = | 3:balloon x:balloon 6:time /:balloon =:balloon
EXPR: 1 | POS | INT | 30 | 18 | 18 | x=(6*3) | x 6 3 * = | x:time 6:time 3:balloon *:time =:time
EXPR: 0 | POS | INT | 30 | 18 | 2 | (6/3)=x | 6 3 / x = | 6:time 3:balloon /:time x:time =:time
EXPR: 1 | POS | INT | 30 | 18 | 18 | (6*3)=x | 6 3 * x = | 6:time 3:balloon *:time x:time =:time
EXPR: 0 | POS | INT | 30 | 18 | 2 | x=(6/3) | x 6 3 / = | x:time 6:time 3:balloon /:time =:time
EXPR: 1 | POS | INT | 31 | 18 | 18 | x=(6*3) | x 6 3 * = | x:time 6:time 3:balloon *:time =:time
EXPR: 1 | POS | INT | 31 | 18 | 18 | (6*3)=x | 6 3 * x = | 6:time 3:balloon *:time x:time =:time
EXPR: 0 | POS | INT | 31 | 18 | 2 | x=(6/3) | x 6 3 / = | x:time 6:time 3:balloon /:time =:time
EXPR: 0 | POS | INT | 31 | 18 | 2 | (6/3)=x | 6 3 / x = | 6:time 3:balloon /:time x:time =:time
EXPR: 0 | POS | INT | 32 | 18 | 2 | 6=(x*3) | 6 x 3 * = | 6:time x:time 3:balloon *:time =:time
EXPR: 0 | POS | INT | 32 | 18 | 2 | 6=(3*x) | 6 3 x * = | 6:time 3:balloon x:time *:time =:time
EXPR: 1 | POS | INT | 32 | 18 | 18 | 6=(x/3) | 6 x 3 / = | 6:time x:time 3:balloon /:time =:time
EXPR: 1 | POS | INT | 34 | 18 | 18 | (x/3)=6 | x 3 / 6 = | x:time 3:balloon /:time 6:time =:time
EXPR: 0 | POS | INT | 34 | 18 | 2 | (x*3)=6 | x 3 * 6 = | x:time 3:balloon *:time 6:time =:time
EXPR: 0 | POS | INT | 34 | 18 | 2 | (3*x)=6 | 3 x * 6 = | 3:balloon x:time *:time 6:time =:time
NET 88 non-negative, integer-valued solutions found out of 136 total solutions
