parameters: n=9 l=4 k=1 p=5 q=2 m=10
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 55 | 8 | (((9+7)/10)*5)=x | 9 7 + 10 / 5 * x = | 9:package 7:package +:package 10:can /:package 5:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 30 | x=((9-7)*(10+5)) | x 9 7 - 10 5 + * = | x:can 9:package 7:package -:package 10:can 5:can +:can *:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 240 | x=((9+7)*(10+5)) | x 9 7 + 10 5 + * = | x:can 9:package 7:package +:package 10:can 5:can +:can *:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 395 | x=((9+(7*10))*5) | x 9 7 10 * + 5 * = | x:can 9:package 7:package 10:can *:package +:package 5:can *:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 25 | x=(((9-7)*10)+5) | x 9 7 - 10 * 5 + = | x:can 9:package 7:package -:package 10:can *:can 5:can +:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 165 | (((9+7)*10)+5)=x | 9 7 + 10 * 5 + x = | 9:package 7:package +:package 10:can *:can 5:can +:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 155 | x=(((9+7)*10)-5) | x 9 7 + 10 * 5 - = | x:can 9:package 7:package +:package 10:can *:can 5:can -:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 165 | x=(((9+7)*10)+5) | x 9 7 + 10 * 5 + = | x:can 9:package 7:package +:package 10:can *:can 5:can +:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 10 | x=((9-7)*(10-5)) | x 9 7 - 10 5 - * = | x:can 9:package 7:package -:package 10:can 5:can -:can *:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 25 | (((9-7)*10)+5)=x | 9 7 - 10 * 5 + x = | 9:package 7:package -:package 10:can *:can 5:can +:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 240 | ((9+7)*(10+5))=x | 9 7 + 10 5 + * x = | 9:package 7:package +:package 10:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 30 | ((9-7)*(10+5))=x | 9 7 - 10 5 + * x = | 9:package 7:package -:package 10:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 8 | x=(((9+7)/10)*5) | x 9 7 + 10 / 5 * = | x:can 9:package 7:package +:package 10:can /:package 5:can *:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 80 | x=((9+7)*(10-5)) | x 9 7 + 10 5 - * = | x:can 9:package 7:package +:package 10:can 5:can -:can *:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 10 | ((9-7)*(10-5))=x | 9 7 - 10 5 - * x = | 9:package 7:package -:package 10:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 0 | 55 | 1 | x=(((9-7)/10)*5) | x 9 7 - 10 / 5 * = | x:can 9:package 7:package -:package 10:can /:package 5:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 1 | (((9-7)/10)*5)=x | 9 7 - 10 / 5 * x = | 9:package 7:package -:package 10:can /:package 5:can *:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 8 | (((9+7)/10)*5)=x | 9 7 + 10 / 5 * x = | 9:package 7:package +:package 10:can /:package 5:can *:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 155 | (((9+7)*10)-5)=x | 9 7 + 10 * 5 - x = | 9:package 7:package +:package 10:can *:can 5:can -:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 80 | ((9+7)*(10-5))=x | 9 7 + 10 5 - * x = | 9:package 7:package +:package 10:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 675 | (9*((7*10)+5))=x | 9 7 10 * 5 + * x = | 9:package 7:package 10:can *:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 395 | ((9+(7*10))*5)=x | 9 7 10 * + 5 * x = | 9:package 7:package 10:can *:package +:package 5:can *:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 15 | x=(((9-7)*10)-5) | x 9 7 - 10 * 5 - = | x:can 9:package 7:package -:package 10:can *:can 5:can -:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 15 | (((9-7)*10)-5)=x | 9 7 - 10 * 5 - x = | 9:package 7:package -:package 10:can *:can 5:can -:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 675 | x=(9*((7*10)+5)) | x 9 7 10 * 5 + * = | x:can 9:package 7:package 10:can *:can 5:can +:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 240 | x=((9+7)*(10+5)) | x 9 7 + 10 5 + * = | x:can 9:package 7:package +:package 10:can 5:can +:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 585 | (9*((7*10)-5))=x | 9 7 10 * 5 - * x = | 9:package 7:package 10:can *:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 395 | x=((9+(7*10))*5) | x 9 7 10 * + 5 * = | x:can 9:package 7:package 10:can *:package +:package 5:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 25 | x=(((9-7)*10)+5) | x 9 7 - 10 * 5 + = | x:can 9:package 7:package -:package 10:can *:can 5:can +:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 165 | (((9+7)*10)+5)=x | 9 7 + 10 * 5 + x = | 9:package 7:package +:package 10:can *:can 5:can +:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 155 | x=(((9+7)*10)-5) | x 9 7 + 10 * 5 - = | x:can 9:package 7:package +:package 10:can *:can 5:can -:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 30 | x=((9-7)*(10+5)) | x 9 7 - 10 5 + * = | x:can 9:package 7:package -:package 10:can 5:can +:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 165 | x=(((9+7)*10)+5) | x 9 7 + 10 * 5 + = | x:can 9:package 7:package +:package 10:can *:can 5:can +:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 10 | x=((9-7)*(10-5)) | x 9 7 - 10 5 - * = | x:can 9:package 7:package -:package 10:can 5:can -:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 25 | (((9-7)*10)+5)=x | 9 7 - 10 * 5 + x = | 9:package 7:package -:package 10:can *:can 5:can +:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 240 | ((9+7)*(10+5))=x | 9 7 + 10 5 + * x = | 9:package 7:package +:package 10:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 585 | x=(9*((7*10)-5)) | x 9 7 10 * 5 - * = | x:can 9:package 7:package 10:can *:can 5:can -:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 80 | x=((9+7)*(10-5)) | x 9 7 + 10 5 - * = | x:can 9:package 7:package +:package 10:can 5:can -:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 10 | ((9-7)*(10-5))=x | 9 7 - 10 5 - * x = | 9:package 7:package -:package 10:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 8 | x=(((9+7)/10)*5) | x 9 7 + 10 / 5 * = | x:can 9:package 7:package +:package 10:can /:package 5:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 1 | x=(((9-7)/10)*5) | x 9 7 - 10 / 5 * = | x:can 9:package 7:package -:package 10:can /:package 5:can *:can =:can
EXPR: 0 | POS | INT | 1 | 55 | 30 | ((9-7)*(10+5))=x | 9 7 - 10 5 + * x = | 9:package 7:package -:package 10:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 4 | (((9-7)/5)*10)=x | 9 7 - 5 / 10 * x = | 9:package 7:package -:package 5:can /:package 10:can *:can x:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 70 | (((9+7)*5)-10)=x | 9 7 + 5 * 10 - x = | 9:package 7:package +:package 5:can *:can 10:can -:can x:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 0 | (((9-7)*5)-10)=x | 9 7 - 5 * 10 - x = | 9:package 7:package -:package 5:can *:can 10:can -:can x:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 405 | x=(9*((7*5)+10)) | x 9 7 5 * 10 + * = | x:can 9:package 7:package 5:can *:can 10:can +:can *:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 440 | x=((9+(7*5))*10) | x 9 7 5 * + 10 * = | x:can 9:package 7:package 5:can *:package +:package 10:can *:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 90 | (((9+7)*5)+10)=x | 9 7 + 5 * 10 + x = | 9:package 7:package +:package 5:can *:can 10:can +:can x:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 76 | x=((9-(7/5))*10) | x 9 7 5 / - 10 * = | x:can 9:package 7:package 5:can /:package -:package 10:can *:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 225 | x=(9*((7*5)-10)) | x 9 7 5 * 10 - * = | x:can 9:package 7:package 5:can *:can 10:can -:can *:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 20 | (((9-7)*5)+10)=x | 9 7 - 5 * 10 + x = | 9:package 7:package -:package 5:can *:can 10:can +:can x:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 32 | x=(((9+7)/5)*10) | x 9 7 + 5 / 10 * = | x:can 9:package 7:package +:package 5:can /:package 10:can *:can =:can
EXPR: 0 | POS | INT | 2 | 55 | 595 | x=(7*((9*10)-5)) | x 7 9 10 * 5 - * = | x:can 7:package 9:package 10:can *:can 5:can -:can *:can =:can
EXPR: 0 | POS | INT | 3 | 55 | 76 | x=((9-(7/5))*10) | x 9 7 5 / - 10 * = | x:can 9:package 7:package 5:can /:package -:package 10:can *:can =:can
EXPR: 0 | POS | INT | 3 | 55 | 32 | x=(((9+7)/5)*10) | x 9 7 + 5 / 10 * = | x:can 9:package 7:package +:package 5:can /:package 10:can *:can =:can
EXPR: 0 | POS | INT | 3 | 55 | 225 | x=(9*((7*5)-10)) | x 9 7 5 * 10 - * = | x:can 9:package 7:package 5:can *:can 10:can -:can *:can =:can
EXPR: 0 | POS | INT | 5 | 55 | 25 | x=((7*10)-(9*5)) | x 7 10 * 9 5 * - = | x:can 7:package 10:can *:can 9:package 5:can *:can -:can =:can
EXPR: 0 | POS | INT | 5 | 55 | 115 | x=((7*10)+(9*5)) | x 7 10 * 9 5 * + = | x:can 7:package 10:can *:can 9:package 5:can *:can +:can =:can
EXPR: 0 | POS | INT | 6 | 55 | 115 | x=((7*10)+(9*5)) | x 7 10 * 9 5 * + = | x:can 7:package 10:can *:can 9:package 5:can *:can +:can =:can
EXPR: 0 | POS | INT | 7 | 55 | 0 | 10=(((9-7)*5)+x) | 10 9 7 - 5 * x + = | 10:can 9:package 7:package -:package 5:can *:can x:can +:can =:can
EXPR: 0 | POS | INT | 7 | 55 | 385 | (((9*5)+10)*7)=x | 9 5 * 10 + 7 * x = | 9:package 5:can *:can 10:can +:can 7:package *:can x:can =:can
EXPR: 0 | POS | INT | 8 | 55 | 385 | (((9*5)+10)*7)=x | 9 5 * 10 + 7 * x = | 9:package 5:can *:can 10:can +:can 7:package *:can x:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 80 | ((9+7)*(10-5))=x | 9 7 + 10 5 - * x = | 9:package 7:package +:package 10:can 5:can -:can *:package x:package =:package
EXPR: 0 | POS | INT | 10 | 55 | 108 | (9*((7+10)-5))=x | 9 7 10 + 5 - * x = | 9:package 7:can 10:can +:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 240 | ((9+7)*(10+5))=x | 9 7 + 10 5 + * x = | 9:package 7:package +:package 10:can 5:can +:can *:package x:package =:package
EXPR: 0 | POS | INT | 10 | 55 | 198 | (9*((7+10)+5))=x | 9 7 10 + 5 + * x = | 9:package 7:can 10:can +:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 60 | x=(((9-7)+10)*5) | x 9 7 - 10 + 5 * = | x:can 9:package 7:package -:package 10:package +:package 5:can *:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 68 | x=(((9*7)+10)-5) | x 9 7 * 10 + 5 - = | x:can 9:package 7:can *:can 10:can +:can 5:can -:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 48 | x=((9*7)-(10+5)) | x 9 7 * 10 5 + - = | x:can 9:package 7:can *:can 10:can 5:can +:can -:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 8 | x=(((9+7)/10)*5) | x 9 7 + 10 / 5 * = | x:package 9:package 7:package +:package 10:can /:package 5:can *:package =:package
EXPR: 0 | POS | INT | 10 | 55 | 1 | x=(((9-7)/10)*5) | x 9 7 - 10 / 5 * = | x:package 9:package 7:package -:package 10:can /:package 5:can *:package =:package
EXPR: 0 | POS | INT | 10 | 55 | 10 | x=((9-7)*(10-5)) | x 9 7 - 10 5 - * = | x:package 9:package 7:package -:package 10:can 5:can -:can *:package =:package
EXPR: 0 | POS | INT | 10 | 55 | 80 | x=((9+7)*(10-5)) | x 9 7 + 10 5 - * = | x:package 9:package 7:package +:package 10:can 5:can -:can *:package =:package
EXPR: 0 | POS | INT | 10 | 55 | 148 | x=((9*(7+10))-5) | x 9 7 10 + * 5 - = | x:can 9:package 7:can 10:can +:can *:can 5:can -:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 315 | ((9*7)*(10-5))=x | 9 7 * 10 5 - * x = | 9:package 7:can *:package 10:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 945 | ((9*7)*(10+5))=x | 9 7 * 10 5 + * x = | 9:package 7:can *:package 10:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 78 | (((9*7)+10)+5)=x | 9 7 * 10 + 5 + x = | 9:package 7:can *:can 10:can +:can 5:can +:can x:can =:can
EXPR: 0 | POS | INT | 10 | 55 | 74 | x=((9+(7*10))-5) | x 9 7 10 * + 5 - = | x:can 9:can 7:package 10:can *:can +:can 5:can -:can =:can
EXPR: 0 | POS | INT | 11 | 55 | 80 | ((9+7)*(10-5))=x | 9 7 + 10 5 - * x = | 9:package 7:package +:package 10:can 5:can -:can *:package x:package =:package
EXPR: 0 | POS | INT | 11 | 55 | 240 | ((9+7)*(10+5))=x | 9 7 + 10 5 + * x = | 9:package 7:package +:package 10:can 5:can +:can *:package x:package =:package
EXPR: 0 | POS | INT | 11 | 55 | 48 | x=((9*7)-(10+5)) | x 9 7 * 10 5 + - = | x:can 9:package 7:can *:can 10:can 5:can +:can -:can =:can
EXPR: 0 | POS | INT | 11 | 55 | 1 | x=(((9-7)/10)*5) | x 9 7 - 10 / 5 * = | x:package 9:package 7:package -:package 10:can /:package 5:can *:package =:package
EXPR: 0 | POS | INT | 11 | 55 | 8 | x=(((9+7)/10)*5) | x 9 7 + 10 / 5 * = | x:package 9:package 7:package +:package 10:can /:package 5:can *:package =:package
EXPR: 0 | POS | INT | 11 | 55 | 108 | (9*((7+10)-5))=x | 9 7 10 + 5 - * x = | 9:package 7:can 10:can +:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 11 | 55 | 80 | x=((9+7)*(10-5)) | x 9 7 + 10 5 - * = | x:package 9:package 7:package +:package 10:can 5:can -:can *:package =:package
EXPR: 0 | POS | INT | 11 | 55 | 405 | (((7*5)+10)*9)=x | 7 5 * 10 + 9 * x = | 7:package 5:can *:can 10:can +:can 9:package *:can x:can =:can
EXPR: 0 | POS | INT | 11 | 55 | 945 | ((9*7)*(10+5))=x | 9 7 * 10 5 + * x = | 9:package 7:can *:package 10:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 11 | 55 | 405 | ((10+(7*5))*9)=x | 10 7 5 * + 9 * x = | 10:can 7:package 5:can *:can +:can 9:package *:can x:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 66 | ((9-(7*10))+x)=5 | 9 7 10 * - x + 5 = | 9:can 7:package 10:can *:can -:can x:can +:can 5:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 92 | ((9*10)+(7-5))=x | 9 10 * 7 5 - + x = | 9:package 10:can *:can 7:can 5:can -:can +:can x:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 68 | (((9*7)-5)+10)=x | 9 7 * 5 - 10 + x = | 9:package 7:can *:can 5:can -:can 10:can +:can x:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 128 | x=((7*(9+10))-5) | x 7 9 10 + * 5 - = | x:can 7:package 9:can 10:can +:can *:can 5:can -:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 28 | x=(7*(9-(10-5))) | x 7 9 10 5 - - * = | x:can 7:package 9:can 10:can 5:can -:can -:can *:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 32 | x=(((9+7)/5)*10) | x 9 7 + 5 / 10 * = | x:package 9:package 7:package +:package 5:can /:package 10:can *:package =:package
EXPR: 0 | POS | INT | 12 | 55 | 102 | ((9*10)+(7+5))=x | 9 10 * 7 5 + + x = | 9:package 10:can *:can 7:can 5:can +:can +:can x:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 15 | ((9-7)*10)=(5+x) | 9 7 - 10 * 5 x + = | 9:package 7:package -:package 10:can *:can 5:can x:can +:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 180 | ((9*10)*(7-5))=x | 9 10 * 7 5 - * x = | 9:package 10:can *:package 7:can 5:can -:can *:can x:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 1080 | ((9*10)*(7+5))=x | 9 10 * 7 5 + * x = | 9:package 10:can *:package 7:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 405 | ((10+(7*5))*9)=x | 10 7 5 * + 9 * x = | 10:can 7:package 5:can *:can +:can 9:package *:can x:can =:can
EXPR: 0 | POS | INT | 12 | 55 | 595 | x=(7*((9*10)-5)) | x 7 9 10 * 5 - * = | x:package 7:package 9:package 10:can *:can 5:can -:can *:package =:package
EXPR: 0 | POS | INT | 13 | 55 | 68 | (((9*7)-5)+10)=x | 9 7 * 5 - 10 + x = | 9:package 7:can *:can 5:can -:can 10:can +:can x:can =:can
EXPR: 0 | POS | INT | 13 | 55 | 128 | x=((7*(9+10))-5) | x 7 9 10 + * 5 - = | x:can 7:package 9:can 10:can +:can *:can 5:can -:can =:can
EXPR: 0 | POS | INT | 13 | 55 | 32 | x=(((9+7)/5)*10) | x 9 7 + 5 / 10 * = | x:package 9:package 7:package +:package 5:can /:package 10:can *:package =:package
EXPR: 0 | POS | INT | 13 | 55 | 102 | ((9*10)+(7+5))=x | 9 10 * 7 5 + + x = | 9:package 10:can *:can 7:can 5:can +:can +:can x:can =:can
EXPR: 0 | POS | INT | 13 | 55 | 1080 | ((9*10)*(7+5))=x | 9 10 * 7 5 + * x = | 9:package 10:can *:package 7:can 5:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 14 | 55 | 88 | x=((7*(9+5))-10) | x 7 9 5 + * 10 - = | x:can 7:package 9:can 5:can +:can *:can 10:can -:can =:can
EXPR: 0 | POS | INT | 14 | 55 | 92 | ((9*10)+(7-x))=5 | 9 10 * 7 x - + 5 = | 9:package 10:can *:can 7:can x:can -:can +:can 5:can =:can
EXPR: 0 | POS | INT | 14 | 55 | 0 | ((9-7)*5)=(10+x) | 9 7 - 5 * 10 x + = | 9:package 7:package -:package 5:can *:can 10:can x:can +:can =:can
EXPR: 0 | POS | INT | 14 | 55 | 35 | 9=(10-((7/x)*5)) | 9 10 7 x / 5 * - = | 9:can 10:can 7:package x:can /:package 5:can *:can -:can =:can
EXPR: 0 | POS | INT | 15 | 55 | 42 | x=(7*(10-(9-5))) | x 7 10 9 5 - - * = | x:can 7:package 10:can 9:can 5:can -:can -:can *:can =:can
EXPR: 0 | POS | INT | 15 | 55 | 126 | (((9*10)/5)*7)=x | 9 10 * 5 / 7 * x = | 9:package 10:can *:can 5:package /:can 7:package *:can x:can =:can
EXPR: 0 | POS | INT | 15 | 55 | 62 | ((9*5)+(7+10))=x | 9 5 * 7 10 + + x = | 9:package 5:can *:can 7:can 10:can +:can +:can x:can =:can
EXPR: 0 | POS | INT | 15 | 55 | 765 | ((9*5)*(7+10))=x | 9 5 * 7 10 + * x = | 9:package 5:can *:package 7:can 10:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 15 | 55 | 84 | (((7*10)+9)+5)=x | 7 10 * 9 + 5 + x = | 7:package 10:can *:can 9:can +:can 5:can +:can x:can =:can
EXPR: 0 | POS | INT | 15 | 55 | 84 | ((7*10)+(9+5))=x | 7 10 * 9 5 + + x = | 7:package 10:can *:can 9:can 5:can +:can +:can x:can =:can
EXPR: 0 | POS | INT | 15 | 55 | 92 | x=(((9*10)-5)+7) | x 9 10 * 5 - 7 + = | x:can 9:package 10:can *:can 5:can -:can 7:can +:can =:can
EXPR: 0 | POS | INT | 16 | 55 | 42 | x=(7*(10-(9-5))) | x 7 10 9 5 - - * = | x:can 7:package 10:can 9:can 5:can -:can -:can *:can =:can
EXPR: 0 | POS | INT | 16 | 55 | 126 | (((9*10)/5)*7)=x | 9 10 * 5 / 7 * x = | 9:package 10:can *:can 5:package /:can 7:package *:can x:can =:can
EXPR: 0 | POS | INT | 16 | 55 | 126 | 7=(x/((9/5)*10)) | 7 x 9 5 / 10 * / = | 7:can x:can 9:package 5:can /:package 10:can *:package /:can =:can
EXPR: 0 | POS | INT | 16 | 55 | 2 | ((7*x)-(9-5))=10 | 7 x * 9 5 - - 10 = | 7:package x:can *:can 9:can 5:can -:can -:can 10:can =:can
EXPR: 0 | POS | INT | 16 | 55 | 92 | x=(((9*10)-5)+7) | x 9 10 * 5 - 7 + = | x:can 9:package 10:can *:can 5:can -:can 7:can +:can =:can
EXPR: 0 | POS | INT | 16 | 55 | 765 | ((9*5)*(7+10))=x | 9 5 * 7 10 + * x = | 9:package 5:can *:package 7:can 10:can +:can *:can x:can =:can
EXPR: 0 | POS | INT | 17 | 55 | 48 | (((9*5)+10)-7)=x | 9 5 * 10 + 7 - x = | 9:package 5:can *:can 10:can +:can 7:can -:can x:can =:can
EXPR: 0 | POS | INT | 17 | 55 | 126 | 9=(5/((7/x)*10)) | 9 5 7 x / 10 * / = | 9:package 5:package 7:package x:can /:package 10:can *:can /:package =:package
EXPR: 0 | POS | INT | 17 | 55 | 48 | ((9*5)+(10-7))=x | 9 5 * 10 7 - + x = | 9:package 5:can *:can 10:can 7:can -:can +:can x:can =:can
EXPR: 0 | POS | INT | 17 | 55 | 11 | x=(((9/5)*10)-7) | x 9 5 / 10 * 7 - = | x:can 9:package 5:can /:package 10:can *:can 7:can -:can =:can
EXPR: 0 | POS | INT | 18 | 55 | 98 | x=(((7+5)*9)-10) | x 7 5 + 9 * 10 - = | x:can 7:can 5:can +:can 9:package *:can 10:can -:can =:can
EXPR: 0 | POS | INT | 18 | 55 | 42 | x=(7*(5-(9-10))) | x 7 5 9 10 - - * = | x:can 7:package 5:can 9:can 10:can -:can -:can *:can =:can
EXPR: 0 | POS | INT | 19 | 55 | 74 | x=(((7*10)-5)+9) | x 7 10 * 5 - 9 + = | x:can 7:package 10:can *:can 5:can -:can 9:can +:can =:can
EXPR: 0 | POS | INT | 19 | 55 | 66 | x=(((7*10)+5)-9) | x 7 10 * 5 + 9 - = | x:can 7:package 10:can *:can 5:can +:can 9:can -:can =:can
EXPR: 0 | POS | INT | 19 | 55 | 96 | x=((7*(10+5))-9) | x 7 10 5 + * 9 - = | x:can 7:package 10:can 5:can +:can *:can 9:can -:can =:can
EXPR: 0 | POS | INT | 19 | 55 | 126 | (((7*10)/5)*9)=x | 7 10 * 5 / 9 * x = | 7:package 10:can *:can 5:package /:can 9:package *:can x:can =:can
EXPR: 0 | POS | INT | 19 | 55 | 98 | x=(((7+5)*9)-10) | x 7 5 + 9 * 10 - = | x:can 7:can 5:can +:can 9:package *:can 10:can -:can =:can
EXPR: 0 | POS | INT | 20 | 55 | 15 | (((9-7)*10)-5)=x | 9 7 - 10 * 5 - x = | 9:package 7:package -:package 10:can *:package 5:package -:package x:package =:package
EXPR: 0 | POS | INT | 20 | 55 | 74 | x=(((7*10)-5)+9) | x 7 10 * 5 - 9 + = | x:can 7:package 10:can *:can 5:can -:can 9:can +:can =:can
EXPR: 0 | POS | INT | 20 | 55 | 945 | x=((9*7)*(10+5)) | x 9 7 * 10 5 + * = | x:package 9:can 7:package *:package 10:can 5:can +:can *:package =:package
EXPR: 0 | POS | INT | 20 | 55 | 315 | x=((9*7)*(10-5)) | x 9 7 * 10 5 - * = | x:package 9:can 7:package *:package 10:can 5:can -:can *:package =:package
EXPR: 0 | POS | INT | 20 | 55 | 13 | x=((9*7)-(10*5)) | x 9 7 * 10 5 * - = | x:can 9:package 7:can *:can 10:package 5:can *:can -:can =:can
EXPR: 0 | POS | INT | 20 | 55 | 165 | (((9+7)*10)+5)=x | 9 7 + 10 * 5 + x = | 9:package 7:package +:package 10:can *:package 5:package +:package x:package =:package
EXPR: 0 | POS | INT | 20 | 55 | 66 | x=(((7*10)+5)-9) | x 7 10 * 5 + 9 - = | x:can 7:package 10:can *:can 5:can +:can 9:can -:can =:can
EXPR: 0 | POS | INT | 20 | 55 | 126 | (((7*10)/5)*9)=x | 7 10 * 5 / 9 * x = | 7:package 10:can *:can 5:package /:can 9:package *:can x:can =:can
EXPR: 0 | POS | INT | 20 | 55 | 96 | x=((7*(10+5))-9) | x 7 10 5 + * 9 - = | x:can 7:package 10:can 5:can +:can *:can 9:can -:can =:can
