parameters: n=7 l=3 k=1 p=5 q=3 m=9
TOTAL 1000 solutions found
EXPR: 1 | POS | INT | 2 | 200 | 200 | ((25.00/x)*96)=12 | 25.00 x / 96 * 12 = | 25.00:dollar x:dozen /:dollar 96:house *:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 200 | 1177 | (25.00+(96*12))=x | 25.00 96 12 * + x = | 25.00:dollar 96:house 12:dollar *:dollar +:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 200 | 28800 | ((25.00*96)*12)=x | 25.00 96 * 12 * x = | 25.00:dollar 96:house *:house 12:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 200 | 28800 | (25.00*(96*12))=x | 25.00 96 12 * * x = | 25.00:dollar 96:house 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 10 | 200 | 28800 | x=(25.00*(96*12)) | x 25.00 96 12 * * = | x:dollar 25.00:dollar 96:house 12:dollar *:house *:dollar =:dollar
EXPR: 0 | POS | INT | 10 | 200 | 28800 | ((25.00*96)*12)=x | 25.00 96 * 12 * x = | 25.00:dollar 96:house *:house 12:dollar *:house x:house =:house
EXPR: 1 | POS | INT | 10 | 200 | 200 | x=(25.00*(96/12)) | x 25.00 96 12 / * = | x:dozen 25.00:dozen 96:house 12:dollar /:house *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 200 | 28800 | x=(25.00*(96*12)) | x 25.00 96 12 * * = | x:dozen 25.00:dollar 96:dozen 12:dollar *:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 200 | 200 | x=(25.00*(96/12)) | x 25.00 96 12 / * = | x:dollar 25.00:dollar 96:house 12:dollar /:house *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 200 | 1177 | x=(25.00+(96*12)) | x 25.00 96 12 * + = | x:dollar 25.00:dollar 96:house 12:dollar *:dollar +:dollar =:dollar
EXPR: 1 | POS | INT | 11 | 200 | 200 | x=((25.00*96)/12) | x 25.00 96 * 12 / = | x:house 25.00:dollar 96:house *:house 12:dollar /:house =:house
EXPR: 0 | POS | INT | 11 | 200 | 28800 | x=(25.00*(96*12)) | x 25.00 96 12 * * = | x:dozen 25.00:dozen 96:house 12:dollar *:dollar *:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 200 | 200 | x=(25.00*(96/12)) | x 25.00 96 12 / * = | x:dozen 25.00:dollar 96:dozen 12:dollar /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 200 | 28800 | x=((25.00*96)*12) | x 25.00 96 * 12 * = | x:dollar 25.00:dollar 96:house *:house 12:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 11 | 200 | 28800 | ((25.00*96)*12)=x | 25.00 96 * 12 * x = | 25.00:dollar 96:dozen *:dozen 12:dollar *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 200 | 200 | ((25.00*96)/12)=x | 25.00 96 * 12 / x = | 25.00:dollar 96:dozen *:dozen 12:dollar /:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 200 | 28800 | ((25.00*96)*12)=x | 25.00 96 * 12 * x = | 25.00:dollar 96:house *:dollar 12:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 200 | 28800 | ((25.00*96)*12)=x | 25.00 96 * 12 * x = | 25.00:dollar 96:house *:house 12:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 11 | 200 | 200 | x=(25.00*(96/12)) | x 25.00 96 12 / * = | x:dozen 25.00:dozen 96:house 12:dollar /:house *:dozen =:dozen
EXPR: 0 | POS | INT | 11 | 200 | 28800 | (25.00*(96*12))=x | 25.00 96 12 * * x = | 25.00:dollar 96:house 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 12 | 200 | 200 | ((25.00/x)*96)=12 | 25.00 x / 96 * 12 = | 25.00:dollar x:dozen /:dollar 96:house *:house 12:house =:house
EXPR: 0 | POS | INT | 12 | 200 | 1127 | ((25.00+x)/96)=12 | 25.00 x + 96 / 12 = | 25.00:dollar x:dollar +:dollar 96:house /:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 200 | 28800 | 25.00=(x/(96*12)) | 25.00 x 96 12 * / = | 25.00:dollar x:dollar 96:house 12:dollar *:house /:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 200 | 200 | ((25.00/x)*96)=12 | 25.00 x / 96 * 12 = | 25.00:dollar x:house /:dollar 96:house *:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 200 | 28800 | 25.00=(x/(96*12)) | 25.00 x 96 12 * / = | 25.00:dozen x:dozen 96:house 12:dollar *:dollar /:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 200 | 2388 | ((25.00*96)-x)=12 | 25.00 96 * x - 12 = | 25.00:dollar 96:house *:dollar x:dollar -:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 200 | 200 | ((25.00*96)/x)=12 | 25.00 96 * x / 12 = | 25.00:dollar 96:house *:house x:dozen /:house 12:house =:house
EXPR: 1 | POS | INT | 12 | 200 | 200 | ((25.00*96)/x)=12 | 25.00 96 * x / 12 = | 25.00:dollar 96:dozen *:dollar x:dozen /:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 200 | 200 | ((25.00*96)/x)=12 | 25.00 96 * x / 12 = | 25.00:dollar 96:house *:dollar x:house /:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 200 | 200 | 25.00=((x/96)*12) | 25.00 x 96 / 12 * = | 25.00:dollar x:dozen 96:dollar /:dozen 12:dollar *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 200 | 28800 | x=(96*(25.00*12)) | x 96 25.00 12 * * = | x:dozen 96:house 25.00:dozen 12:dollar *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 200 | 3552 | ((25.00+12)*96)=x | 25.00 12 + 96 * x = | 25.00:dollar 12:dollar +:dollar 96:house *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 200 | 200 | x=(96*(25.00/12)) | x 96 25.00 12 / * = | x:dozen 96:house 25.00:dozen 12:dollar /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 200 | 28800 | x=(96*(25.00*12)) | x 96 25.00 12 * * = | x:dozen 96:house 25.00:dollar 12:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 200 | 1248 | (96*(25.00-12))=x | 96 25.00 12 - * x = | 96:house 25.00:dollar 12:dollar -:dollar *:house x:house =:house
EXPR: 1 | POS | INT | 12 | 200 | 200 | ((25.00/x)*96)=12 | 25.00 x / 96 * 12 = | 25.00:dollar x:dozen /:dollar 96:dozen *:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 200 | 28800 | (96*(25.00*12))=x | 96 25.00 12 * * x = | 96:house 25.00:dollar 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 12 | 200 | 1248 | (96*(25.00-12))=x | 96 25.00 12 - * x = | 96:house 25.00:dollar 12:dollar -:dollar *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 12 | 200 | 200 | (25.00*96)=(12*x) | 25.00 96 * 12 x * = | 25.00:dollar 96:house *:dollar 12:dollar x:dozen *:dollar =:dollar
EXPR: 0 | POS | INT | 12 | 200 | 3552 | x=((25.00+12)*96) | x 25.00 12 + 96 * = | x:dozen 25.00:dollar 12:dollar +:dollar 96:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 13 | 200 | 28800 | x=(96*(25.00*12)) | x 96 25.00 12 * * = | x:dozen 96:house 25.00:dozen 12:dollar *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 13 | 200 | 3552 | ((25.00+12)*96)=x | 25.00 12 + 96 * x = | 25.00:dollar 12:dollar +:dollar 96:house *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 13 | 200 | 200 | x=(96*(25.00/12)) | x 96 25.00 12 / * = | x:dozen 96:house 25.00:dozen 12:dollar /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 13 | 200 | 28800 | x=(96*(25.00*12)) | x 96 25.00 12 * * = | x:dozen 96:house 25.00:dollar 12:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 13 | 200 | 1248 | (96*(25.00-12))=x | 96 25.00 12 - * x = | 96:house 25.00:dollar 12:dollar -:dollar *:house x:house =:house
EXPR: 0 | POS | INT | 13 | 200 | 1248 | (96*(25.00-12))=x | 96 25.00 12 - * x = | 96:house 25.00:dollar 12:dollar -:dollar *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 13 | 200 | 28800 | (96*(25.00*12))=x | 96 25.00 12 * * x = | 96:house 25.00:dollar 12:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 13 | 200 | 3552 | x=((25.00+12)*96) | x 25.00 12 + 96 * = | x:dozen 25.00:dollar 12:dollar +:dollar 96:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 200 | 200 | 25.00=(12*(x/96)) | 25.00 12 x 96 / * = | 25.00:dozen 12:dollar x:dozen 96:house /:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 14 | 200 | 2388 | 25.00=((12+x)/96) | 25.00 12 x + 96 / = | 25.00:dollar 12:dollar x:dollar +:dollar 96:house /:dollar =:dollar
EXPR: 1 | POS | INT | 14 | 200 | 200 | 25.00=((12/96)*x) | 25.00 12 96 / x * = | 25.00:dollar 12:dollar 96:dozen /:dollar x:dozen *:dollar =:dollar
EXPR: 1 | POS | INT | 14 | 200 | 200 | 25.00=((12*x)/96) | 25.00 12 x * 96 / = | 25.00:dollar 12:dollar x:dozen *:dollar 96:dozen /:dollar =:dollar
EXPR: 1 | POS | INT | 14 | 200 | 200 | 25.00=(x*(12/96)) | 25.00 x 12 96 / * = | 25.00:dozen x:dozen 12:dollar 96:house /:dollar *:dozen =:dozen
EXPR: 0 | POS | INT | 14 | 200 | 3552 | ((x/96)-25.00)=12 | x 96 / 25.00 - 12 = | x:dollar 96:house /:dollar 25.00:dollar -:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 14 | 200 | 200 | ((x/25.00)*12)=96 | x 25.00 / 12 * 96 = | x:house 25.00:dollar /:house 12:dollar *:house 96:house =:house
EXPR: 1 | POS | INT | 14 | 200 | 200 | 96=((x/25.00)*12) | 96 x 25.00 / 12 * = | 96:house x:dozen 25.00:dollar /:dozen 12:house *:house =:house
EXPR: 1 | POS | INT | 14 | 200 | 200 | 25.00=((12/96)*x) | 25.00 12 96 / x * = | 25.00:dozen 12:dollar 96:house /:dollar x:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 14 | 200 | 3552 | 96=(x/(25.00+12)) | 96 x 25.00 12 + / = | 96:dozen x:dozen 25.00:dollar 12:dollar +:dollar /:dozen =:dozen
EXPR: 0 | POS | INT | 14 | 200 | 1248 | 96=(x/(25.00-12)) | 96 x 25.00 12 - / = | 96:dozen x:dozen 25.00:dollar 12:dollar -:dollar /:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 200 | 200 | 96=((x/25.00)*12) | 96 x 25.00 / 12 * = | 96:house x:house 25.00:dollar /:house 12:dollar *:house =:house
EXPR: 1 | POS | INT | 14 | 200 | 200 | (96*(25.00/x))=12 | 96 25.00 x / * 12 = | 96:house 25.00:dollar x:dozen /:dollar *:house 12:house =:house
EXPR: 0 | POS | INT | 14 | 200 | 2412 | 25.00=((x-12)/96) | 25.00 x 12 - 96 / = | 25.00:dollar x:dollar 12:dollar -:dollar 96:house /:dollar =:dollar
EXPR: 0 | POS | INT | 14 | 200 | 3552 | 96=(x/(25.00+12)) | 96 x 25.00 12 + / = | 96:house x:house 25.00:dollar 12:dollar +:dollar /:house =:house
EXPR: 1 | POS | INT | 14 | 200 | 200 | 25.00=((x*12)/96) | 25.00 x 12 * 96 / = | 25.00:dozen x:dozen 12:dollar *:dozen 96:house /:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 200 | 200 | ((x/25.00)*12)=96 | x 25.00 / 12 * 96 = | x:dozen 25.00:dollar /:dozen 12:dollar *:dozen 96:dozen =:dozen
EXPR: 0 | POS | INT | 14 | 200 | 3552 | (x/(25.00+12))=96 | x 25.00 12 + / 96 = | x:dozen 25.00:dollar 12:dollar +:dollar /:dozen 96:dozen =:dozen
EXPR: 1 | POS | INT | 14 | 200 | 200 | (96*(25.00/x))=12 | 96 25.00 x / * 12 = | 96:house 25.00:dollar x:house /:dollar *:dollar 12:dollar =:dollar
EXPR: 1 | POS | INT | 14 | 200 | 200 | (96*(25.00/x))=12 | 96 25.00 x / * 12 = | 96:dozen 25.00:dollar x:dozen /:dollar *:dollar 12:dollar =:dollar
EXPR: 0 | POS | INT | 15 | 200 | 28800 | ((96*12)*25.00)=x | 96 12 * 25.00 * x = | 96:house 12:dozen *:dozen 25.00:dollar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 15 | 200 | 28800 | x=((96*12)*25.00) | x 96 12 * 25.00 * = | x:dozen 96:house 12:dollar *:dollar 25.00:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 15 | 200 | 28800 | x=(12*(25.00*96)) | x 12 25.00 96 * * = | x:house 12:dollar 25.00:dollar 96:house *:house *:house =:house
EXPR: 0 | POS | INT | 15 | 200 | 28800 | x=((96*12)*25.00) | x 96 12 * 25.00 * = | x:dozen 96:house 12:dozen *:dozen 25.00:dollar *:dozen =:dozen
EXPR: 0 | POS | INT | 15 | 200 | 28800 | (12*(25.00*96))=x | 12 25.00 96 * * x = | 12:dollar 25.00:dollar 96:house *:house *:house x:house =:house
EXPR: 0 | POS | INT | 15 | 200 | 28800 | (12*(25.00*96))=x | 12 25.00 96 * * x = | 12:dollar 25.00:dollar 96:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 15 | 200 | 28800 | x=(12*(25.00*96)) | x 12 25.00 96 * * = | x:dozen 12:dollar 25.00:dollar 96:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 15 | 200 | 28800 | x=(12*(25.00*96)) | x 12 25.00 96 * * = | x:dozen 12:dollar 25.00:dozen 96:house *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 15 | 200 | 28800 | ((96*12)*25.00)=x | 96 12 * 25.00 * x = | 96:house 12:dollar *:dollar 25.00:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 15 | 200 | 28800 | ((96*12)*25.00)=x | 96 12 * 25.00 * x = | 96:dozen 12:dollar *:dozen 25.00:dollar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 15 | 200 | 28800 | (12*(25.00*96))=x | 12 25.00 96 * * x = | 12:dollar 25.00:dollar 96:house *:house *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 15 | 200 | 200 | x=((96/12)*25.00) | x 96 12 / 25.00 * = | x:dollar 96:house 12:dollar /:house 25.00:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 15 | 200 | 200 | ((96/12)*25.00)=x | 96 12 / 25.00 * x = | 96:house 12:dollar /:house 25.00:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 15 | 200 | 28800 | x=(12*(25.00*96)) | x 12 25.00 96 * * = | x:dollar 12:dollar 25.00:dollar 96:house *:house *:dollar =:dollar
EXPR: 0 | POS | INT | 16 | 200 | 28800 | ((96*12)*25.00)=x | 96 12 * 25.00 * x = | 96:house 12:dozen *:dozen 25.00:dollar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 16 | 200 | 28800 | x=(12*(25.00*96)) | x 12 25.00 96 * * = | x:house 12:dollar 25.00:dollar 96:house *:house *:house =:house
EXPR: 0 | POS | INT | 16 | 200 | 28800 | x=((96*12)*25.00) | x 96 12 * 25.00 * = | x:dozen 96:house 12:dozen *:dozen 25.00:dollar *:dozen =:dozen
EXPR: 0 | POS | INT | 16 | 200 | 28800 | (12*(25.00*96))=x | 12 25.00 96 * * x = | 12:dollar 25.00:dollar 96:house *:house *:house x:house =:house
EXPR: 0 | POS | INT | 16 | 200 | 28800 | x=(12*(25.00*96)) | x 12 25.00 96 * * = | x:dozen 12:dollar 25.00:dollar 96:dozen *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 16 | 200 | 28800 | (12*(25.00*96))=x | 12 25.00 96 * * x = | 12:dollar 25.00:dollar 96:dozen *:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 16 | 200 | 28800 | x=(12*(25.00*96)) | x 12 25.00 96 * * = | x:dozen 12:dollar 25.00:dozen 96:house *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 16 | 200 | 28800 | ((96*12)*25.00)=x | 96 12 * 25.00 * x = | 96:house 12:dollar *:dollar 25.00:dozen *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 16 | 200 | 28800 | ((96*12)*25.00)=x | 96 12 * 25.00 * x = | 96:dozen 12:dollar *:dozen 25.00:dollar *:dozen x:dozen =:dozen
EXPR: 0 | POS | INT | 16 | 200 | 28800 | (12*(25.00*96))=x | 12 25.00 96 * * x = | 12:dollar 25.00:dollar 96:house *:house *:dollar x:dollar =:dollar
EXPR: 1 | POS | INT | 16 | 200 | 200 | x=((96/12)*25.00) | x 96 12 / 25.00 * = | x:dollar 96:house 12:dollar /:house 25.00:dollar *:dollar =:dollar
EXPR: 1 | POS | INT | 16 | 200 | 200 | ((96/12)*25.00)=x | 96 12 / 25.00 * x = | 96:house 12:dollar /:house 25.00:dozen *:dozen x:dozen =:dozen
EXPR: 1 | POS | INT | 17 | 200 | 200 | (12*(x/25.00))=96 | 12 x 25.00 / * 96 = | 12:dollar x:dozen 25.00:dollar /:dozen *:dollar 96:dollar =:dollar
EXPR: 1 | POS | INT | 17 | 200 | 200 | 96=((12*x)/25.00) | 96 12 x * 25.00 / = | 96:house 12:dollar x:house *:house 25.00:dollar /:house =:house
EXPR: 1 | POS | INT | 17 | 200 | 200 | 96=((x*12)/25.00) | 96 x 12 * 25.00 / = | 96:house x:house 12:dollar *:house 25.00:dollar /:house =:house
EXPR: 1 | POS | INT | 17 | 200 | 200 | ((x*12)/25.00)=96 | x 12 * 25.00 / 96 = | x:dozen 12:dollar *:dozen 25.00:dollar /:dozen 96:dozen =:dozen
EXPR: 1 | POS | INT | 17 | 200 | 200 | 96=((x*12)/25.00) | 96 x 12 * 25.00 / = | 96:house x:dozen 12:house *:house 25.00:dollar /:house =:house
EXPR: 1 | POS | INT | 17 | 200 | 200 | 96=(12*(x/25.00)) | 96 12 x 25.00 / * = | 96:dozen 12:dollar x:dozen 25.00:dollar /:dozen *:dozen =:dozen
EXPR: 1 | POS | INT | 17 | 200 | 200 | 96=((x*12)/25.00) | 96 x 12 * 25.00 / = | 96:dozen x:dozen 12:dollar *:dozen 25.00:dollar /:dozen =:dozen
EXPR: 0 | POS | INT | 17 | 200 | 3552 | ((x/96)-12)=25.00 | x 96 / 12 - 25.00 = | x:dollar 96:house /:dollar 12:dollar -:dollar 25.00:dollar =:dollar
EXPR: 1 | POS | INT | 17 | 200 | 200 | 12=(25.00*(96/x)) | 12 25.00 96 x / * = | 12:house 25.00:dollar 96:house x:dozen /:house *:house =:house
EXPR: 0 | POS | INT | 17 | 200 | 28800 | 12=(x/(25.00*96)) | 12 x 25.00 96 * / = | 12:dozen x:dozen 25.00:dollar 96:house *:house /:dozen =:dozen
EXPR: 0 | POS | INT | 17 | 200 | 28800 | (x/(96*12))=25.00 | x 96 12 * / 25.00 = | x:dollar 96:house 12:dollar *:house /:dollar 25.00:dollar =:dollar
EXPR: 0 | POS | INT | 17 | 200 | 28800 | 12=(x/(25.00*96)) | 12 x 25.00 96 * / = | 12:dozen x:dozen 25.00:dollar 96:house *:dollar /:dozen =:dozen
EXPR: 1 | POS | INT | 17 | 200 | 200 | (x*(12/25.00))=96 | x 12 25.00 / * 96 = | x:dozen 12:house 25.00:dollar /:house *:house 96:house =:house
EXPR: 1 | POS | INT | 17 | 200 | 200 | (12*(x/25.00))=96 | 12 x 25.00 / * 96 = | 12:house x:dozen 25.00:dollar /:dozen *:house 96:house =:house
EXPR: 1 | POS | INT | 19 | 200 | 200 | ((12*x)/96)=25.00 | 12 x * 96 / 25.00 = | 12:dollar x:dozen *:dozen 96:house /:dozen 25.00:dozen =:dozen
EXPR: 1 | POS | INT | 19 | 200 | 200 | ((x*12)/96)=25.00 | x 12 * 96 / 25.00 = | x:dozen 12:dollar *:dollar 96:dozen /:dollar 25.00:dollar =:dollar
EXPR: 0 | POS | INT | 19 | 200 | 2388 | ((12+x)/96)=25.00 | 12 x + 96 / 25.00 = | 12:dollar x:dollar +:dollar 96:house /:dollar 25.00:dollar =:dollar
EXPR: 1 | POS | INT | 19 | 200 | 200 | (12/96)=(25.00/x) | 12 96 / 25.00 x / = | 12:dollar 96:house /:dollar 25.00:dollar x:dozen /:dollar =:dollar
EXPR: 0 | POS | INT | 19 | 200 | 1248 | (12+(x/96))=25.00 | 12 x 96 / + 25.00 = | 12:dollar x:dollar 96:house /:dollar +:dollar 25.00:dollar =:dollar
EXPR: 1 | POS | INT | 19 | 200 | 200 | ((12/96)*x)=25.00 | 12 96 / x * 25.00 = | 12:dollar 96:dozen /:dollar x:dozen *:dollar 25.00:dollar =:dollar
EXPR: 1 | POS | INT | 19 | 200 | 200 | ((12/96)*x)=25.00 | 12 96 / x * 25.00 = | 12:dollar 96:house /:dollar x:house *:dollar 25.00:dollar =:dollar
EXPR: 1 | POS | INT | 19 | 200 | 200 | 12=((96/x)*25.00) | 12 96 x / 25.00 * = | 12:house 96:house x:dozen /:house 25.00:dollar *:house =:house
EXPR: 0 | POS | INT | 19 | 200 | 3552 | 12=((x/96)-25.00) | 12 x 96 / 25.00 - = | 12:dollar x:dollar 96:house /:dollar 25.00:dollar -:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 200 | 28800 | (25.00*(96*12))=x | 25.00 96 12 * * x = | 25.00:dollar 96:house 12:dozen *:house *:house x:house =:house
EXPR: 1 | POS | INT | 20 | 200 | 200 | (25.00*(96/12))=x | 25.00 96 12 / * x = | 25.00:dollar 96:house 12:dozen /:house *:house x:house =:house
EXPR: 0 | POS | INT | 20 | 200 | 2100 | (25.00*(96-12))=x | 25.00 96 12 - * x = | 25.00:dollar 96:house 12:house -:house *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 200 | 28800 | (25.00*(96*12))=x | 25.00 96 12 * * x = | 25.00:dollar 96:house 12:dozen *:dozen *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 200 | 1452 | x=((25.00+96)*12) | x 25.00 96 + 12 * = | x:dozen 25.00:dollar 96:dollar +:dollar 12:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 20 | 200 | 28800 | x=(25.00*(96*12)) | x 25.00 96 12 * * = | x:dozen 25.00:dollar 96:dozen 12:house *:dozen *:dozen =:dozen
EXPR: 0 | POS | INT | 20 | 200 | 2700 | (25.00*(96+12))=x | 25.00 96 12 + * x = | 25.00:dollar 96:house 12:house +:house *:dollar x:dollar =:dollar
EXPR: 0 | POS | INT | 20 | 200 | 2700 | (25.00*(96+12))=x | 25.00 96 12 + * x = | 25.00:dollar 96:house 12:house +:house *:house x:house =:house
EXPR: 0 | POS | INT | 20 | 200 | 28800 | (25.00*(96*12))=x | 25.00 96 12 * * x = | 25.00:dollar 96:dollar 12:dozen *:dozen *:dozen x:dozen =:dozen
