parameters: n=5 l=2 k=1 p=5 q=2 m=8
TOTAL 136 solutions found
EXPR: 0 | POS | INT | 0 | 14 | 19 | x=(6+13) | x 6 13 + = | x:book 6:book 13:book +:book =:book
EXPR: 0 | POS | INT | 14 | 14 | 78 | (x/13)=6 | x 13 / 6 = | x:NONE 13:book /:NONE 6:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 14 | 78 | (x/13)=6 | x 13 / 6 = | x:book 13:NONE /:book 6:book =:book
EXPR: 0 | POS | INT | 14 | 14 | 78 | 13=(x/6) | 13 x 6 / = | 13:NONE x:NONE 6:book /:NONE =:NONE
EXPR: 0 | POS | INT | 14 | 14 | 78 | 13=(x/6) | 13 x 6 / = | 13:book x:book 6:NONE /:book =:book
EXPR: 0 | POS | INT | 20 | 14 | 19 | x=(6+13) | x 6 13 + = | x:NONE 6:NONE 13:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 20 | 14 | 19 | (6+13)=x | 6 13 + x = | 6:NONE 13:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 14 | 19 | x=(6+13) | x 6 13 + = | x:NONE 6:NONE 13:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 21 | 14 | 19 | (6+13)=x | 6 13 + x = | 6:NONE 13:NONE +:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 14 | 19 | (x-6)=13 | x 6 - 13 = | x:NONE 6:NONE -:NONE 13:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 14 | 7 | (x+6)=13 | x 6 + 13 = | x:NONE 6:NONE +:NONE 13:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 14 | 7 | x=(13-6) | x 13 6 - = | x:NONE 13:NONE 6:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 14 | 7 | (6+x)=13 | 6 x + 13 = | 6:NONE x:NONE +:NONE 13:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 14 | 19 | 6=(x-13) | 6 x 13 - = | 6:NONE x:NONE 13:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 14 | 7 | 6=(13-x) | 6 13 x - = | 6:NONE 13:NONE x:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 22 | 14 | 7 | (13-6)=x | 13 6 - x = | 13:NONE 6:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 23 | 14 | 7 | x=(13-6) | x 13 6 - = | x:NONE 13:NONE 6:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 23 | 14 | 7 | (13-6)=x | 13 6 - x = | 13:NONE 6:NONE -:NONE x:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 14 | 19 | (x-13)=6 | x 13 - 6 = | x:NONE 13:NONE -:NONE 6:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 14 | 7 | (13-x)=6 | 13 x - 6 = | 13:NONE x:NONE -:NONE 6:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 14 | 19 | 13=(x-6) | 13 x 6 - = | 13:NONE x:NONE 6:NONE -:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 14 | 7 | 13=(x+6) | 13 x 6 + = | 13:NONE x:NONE 6:NONE +:NONE =:NONE
EXPR: 0 | POS | INT | 24 | 14 | 7 | 13=(6+x) | 13 6 x + = | 13:NONE 6:NONE x:NONE +:NONE =:NONE
NET 60 non-negative, integer-valued solutions found out of 136 total solutions
