parameters: n=5 l=2 k=1 p=5 q=3 m=8
TOTAL 258 solutions found
EXPR: 0 | POS | INT | 10 | 9 | 225 | x=(45*5) | x 45 5 * = | x:LENGTH 45:hour 5:LENGTH *:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 22 | 9 | 9 | (x*5)=45 | x 5 * 45 = | x:LENGTH 5:day *:LENGTH 45:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 22 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:day x:hour *:hour 45:hour =:hour
EXPR: 0 | POS | INT | 22 | 9 | 50 | (x-45)=5 | x 45 - 5 = | x:day 45:day -:day 5:day =:day
EXPR: 1 | POS | INT | 22 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:day x:LENGTH *:LENGTH 45:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 22 | 9 | 40 | (45-x)=5 | 45 x - 5 = | 45:hour x:hour -:hour 5:hour =:hour
EXPR: 0 | POS | INT | 22 | 9 | 225 | (x/45)=5 | x 45 / 5 = | x:day 45:LENGTH /:day 5:day =:day
EXPR: 1 | POS | INT | 22 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:hour x:LENGTH *:hour 45:hour =:hour
EXPR: 1 | POS | INT | 22 | 9 | 9 | (45/x)=5 | 45 x / 5 = | 45:day x:hour /:day 5:day =:day
EXPR: 1 | POS | INT | 22 | 9 | 9 | 5=(45/x) | 5 45 x / = | 5:day 45:day x:LENGTH /:day =:day
EXPR: 1 | POS | INT | 22 | 9 | 9 | 45=(x*5) | 45 x 5 * = | 45:day x:hour 5:day *:day =:day
EXPR: 0 | POS | INT | 22 | 9 | 40 | (45-x)=5 | 45 x - 5 = | 45:day x:day -:day 5:day =:day
EXPR: 0 | POS | INT | 22 | 9 | 225 | 45=(x/5) | 45 x 5 / = | 45:LENGTH x:LENGTH 5:hour /:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 22 | 9 | 9 | 45=(5*x) | 45 5 x * = | 45:LENGTH 5:hour x:LENGTH *:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 22 | 9 | 40 | 45=(x+5) | 45 x 5 + = | 45:day x:day 5:day +:day =:day
EXPR: 0 | POS | INT | 22 | 9 | 50 | 45=(x-5) | 45 x 5 - = | 45:day x:day 5:day -:day =:day
EXPR: 1 | POS | INT | 22 | 9 | 9 | 45=(x*5) | 45 x 5 * = | 45:LENGTH x:LENGTH 5:hour *:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 22 | 9 | 40 | 45=(x+5) | 45 x 5 + = | 45:LENGTH x:LENGTH 5:LENGTH +:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 22 | 9 | 50 | 45=(x-5) | 45 x 5 - = | 45:LENGTH x:LENGTH 5:LENGTH -:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 22 | 9 | 9 | 45=(5*x) | 45 5 x * = | 45:day 5:day x:hour *:day =:day
EXPR: 0 | POS | INT | 22 | 9 | 225 | 5=(x/45) | 5 x 45 / = | 5:day x:day 45:hour /:day =:day
EXPR: 1 | POS | INT | 22 | 9 | 9 | 45=(x*5) | 45 x 5 * = | 45:hour x:day 5:hour *:hour =:hour
EXPR: 0 | POS | INT | 22 | 9 | 50 | 45=(x-5) | 45 x 5 - = | 45:hour x:hour 5:hour -:hour =:hour
EXPR: 0 | POS | INT | 22 | 9 | 40 | 45=(x+5) | 45 x 5 + = | 45:hour x:hour 5:hour +:hour =:hour
EXPR: 0 | POS | INT | 22 | 9 | 40 | (45-x)=5 | 45 x - 5 = | 45:LENGTH x:LENGTH -:LENGTH 5:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 22 | 9 | 40 | 45=(5+x) | 45 5 x + = | 45:LENGTH 5:LENGTH x:LENGTH +:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 30 | 9 | 225 | x=(45*5) | x 45 5 * = | x:day 45:day 5:hour *:day =:day
EXPR: 0 | POS | INT | 30 | 9 | 225 | x=(45*5) | x 45 5 * = | x:hour 45:day 5:hour *:hour =:hour
EXPR: 1 | POS | INT | 30 | 9 | 9 | x=(45/5) | x 45 5 / = | x:day 45:day 5:hour /:day =:day
EXPR: 0 | POS | INT | 30 | 9 | 225 | x=(45*5) | x 45 5 * = | x:day 45:day 5:LENGTH *:day =:day
EXPR: 0 | POS | INT | 30 | 9 | 225 | x=(45*5) | x 45 5 * = | x:hour 45:LENGTH 5:hour *:hour =:hour
EXPR: 1 | POS | INT | 30 | 9 | 9 | x=(45/5) | x 45 5 / = | x:day 45:day 5:LENGTH /:day =:day
EXPR: 1 | POS | INT | 31 | 9 | 9 | x=(45/5) | x 45 5 / = | x:day 45:day 5:hour /:day =:day
EXPR: 0 | POS | INT | 31 | 9 | 225 | x=(45*5) | x 45 5 * = | x:day 45:day 5:LENGTH *:day =:day
EXPR: 0 | POS | INT | 31 | 9 | 225 | x=(45*5) | x 45 5 * = | x:day 45:day 5:hour *:day =:day
EXPR: 0 | POS | INT | 31 | 9 | 225 | x=(45*5) | x 45 5 * = | x:hour 45:day 5:hour *:hour =:hour
EXPR: 0 | POS | INT | 31 | 9 | 225 | x=(45*5) | x 45 5 * = | x:hour 45:LENGTH 5:hour *:hour =:hour
EXPR: 1 | POS | INT | 31 | 9 | 9 | x=(45/5) | x 45 5 / = | x:day 45:day 5:LENGTH /:day =:day
EXPR: 1 | POS | INT | 32 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:day x:hour *:day 45:day =:day
EXPR: 0 | POS | INT | 32 | 9 | 225 | (x/5)=45 | x 5 / 45 = | x:hour 5:LENGTH /:hour 45:hour =:hour
EXPR: 0 | POS | INT | 32 | 9 | 50 | 5=(x-45) | 5 x 45 - = | 5:hour x:hour 45:hour -:hour =:hour
EXPR: 1 | POS | INT | 32 | 9 | 9 | 45=(5*x) | 45 5 x * = | 45:LENGTH 5:LENGTH x:hour *:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 32 | 9 | 40 | (5+x)=45 | 5 x + 45 = | 5:LENGTH x:LENGTH +:LENGTH 45:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 32 | 9 | 225 | 5=(x/45) | 5 x 45 / = | 5:LENGTH x:LENGTH 45:day /:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 32 | 9 | 9 | 5=(45/x) | 5 45 x / = | 5:hour 45:hour x:day /:hour =:hour
EXPR: 0 | POS | INT | 32 | 9 | 225 | (x/5)=45 | x 5 / 45 = | x:LENGTH 5:hour /:LENGTH 45:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 32 | 9 | 50 | 5=(x-45) | 5 x 45 - = | 5:LENGTH x:LENGTH 45:LENGTH -:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 32 | 9 | 50 | (x-5)=45 | x 5 - 45 = | x:hour 5:hour -:hour 45:hour =:hour
EXPR: 1 | POS | INT | 32 | 9 | 9 | 45=(5*x) | 45 5 x * = | 45:LENGTH 5:LENGTH x:day *:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 32 | 9 | 225 | (x/45)=5 | x 45 / 5 = | x:hour 45:day /:hour 5:hour =:hour
EXPR: 1 | POS | INT | 32 | 9 | 9 | 45=(x*5) | 45 x 5 * = | 45:day x:day 5:LENGTH *:day =:day
EXPR: 1 | POS | INT | 32 | 9 | 9 | (x*5)=45 | x 5 * 45 = | x:day 5:hour *:hour 45:hour =:hour
EXPR: 0 | POS | INT | 32 | 9 | 40 | 5=(45-x) | 5 45 x - = | 5:LENGTH 45:LENGTH x:LENGTH -:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 32 | 9 | 40 | (x+5)=45 | x 5 + 45 = | x:hour 5:hour +:hour 45:hour =:hour
EXPR: 0 | POS | INT | 32 | 9 | 50 | (x-5)=45 | x 5 - 45 = | x:LENGTH 5:LENGTH -:LENGTH 45:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 32 | 9 | 9 | (x*5)=45 | x 5 * 45 = | x:hour 5:LENGTH *:hour 45:hour =:hour
EXPR: 1 | POS | INT | 32 | 9 | 9 | 45=(5*x) | 45 5 x * = | 45:day 5:hour x:day *:day =:day
EXPR: 1 | POS | INT | 32 | 9 | 9 | (x*5)=45 | x 5 * 45 = | x:LENGTH 5:hour *:LENGTH 45:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 32 | 9 | 40 | (x+5)=45 | x 5 + 45 = | x:LENGTH 5:LENGTH +:LENGTH 45:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 32 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:LENGTH x:hour *:hour 45:hour =:hour
EXPR: 0 | POS | INT | 32 | 9 | 225 | 5=(x/45) | 5 x 45 / = | 5:day x:day 45:LENGTH /:day =:day
EXPR: 1 | POS | INT | 32 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:hour x:day *:hour 45:hour =:hour
EXPR: 0 | POS | INT | 32 | 9 | 40 | 5=(45-x) | 5 45 x - = | 5:hour 45:hour x:hour -:hour =:hour
EXPR: 0 | POS | INT | 32 | 9 | 225 | 45=(x/5) | 45 x 5 / = | 45:day x:day 5:LENGTH /:day =:day
EXPR: 0 | POS | INT | 32 | 9 | 225 | (x/45)=5 | x 45 / 5 = | x:hour 45:LENGTH /:hour 5:hour =:hour
EXPR: 0 | POS | INT | 32 | 9 | 50 | (x-5)=45 | x 5 - 45 = | x:day 5:day -:day 45:day =:day
EXPR: 0 | POS | INT | 32 | 9 | 40 | (x+5)=45 | x 5 + 45 = | x:day 5:day +:day 45:day =:day
EXPR: 0 | POS | INT | 32 | 9 | 40 | 5=(45-x) | 5 45 x - = | 5:day 45:day x:day -:day =:day
EXPR: 1 | POS | INT | 32 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:hour x:LENGTH *:LENGTH 45:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 32 | 9 | 50 | 5=(x-45) | 5 x 45 - = | 5:day x:day 45:day -:day =:day
EXPR: 0 | POS | INT | 32 | 9 | 40 | (5+x)=45 | 5 x + 45 = | 5:hour x:hour +:hour 45:hour =:hour
EXPR: 1 | POS | INT | 32 | 9 | 9 | 45=(x*5) | 45 x 5 * = | 45:LENGTH x:hour 5:LENGTH *:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 32 | 9 | 9 | 45=(x*5) | 45 x 5 * = | 45:LENGTH x:day 5:LENGTH *:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 32 | 9 | 9 | 45=(5*x) | 45 5 x * = | 45:day 5:LENGTH x:day *:day =:day
EXPR: 1 | POS | INT | 32 | 9 | 9 | (x*5)=45 | x 5 * 45 = | x:hour 5:day *:day 45:day =:day
EXPR: 0 | POS | INT | 32 | 9 | 40 | (5+x)=45 | 5 x + 45 = | 5:day x:day +:day 45:day =:day
EXPR: 1 | POS | INT | 32 | 9 | 9 | 5=(45/x) | 5 45 x / = | 5:day 45:day x:hour /:day =:day
EXPR: 0 | POS | INT | 32 | 9 | 225 | 45=(x/5) | 45 x 5 / = | 45:day x:day 5:hour /:day =:day
EXPR: 1 | POS | INT | 32 | 9 | 9 | 45=(x*5) | 45 x 5 * = | 45:day x:day 5:hour *:day =:day
EXPR: 1 | POS | INT | 32 | 9 | 9 | (45/x)=5 | 45 x / 5 = | 45:LENGTH x:hour /:LENGTH 5:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 32 | 9 | 9 | (45/x)=5 | 45 x / 5 = | 45:LENGTH x:day /:LENGTH 5:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 42 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:LENGTH x:hour *:LENGTH 45:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 42 | 9 | 9 | 5=(45/x) | 5 45 x / = | 5:LENGTH 45:LENGTH x:hour /:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 42 | 9 | 225 | 5=(x/45) | 5 x 45 / = | 5:hour x:hour 45:LENGTH /:hour =:hour
EXPR: 1 | POS | INT | 42 | 9 | 9 | (x*5)=45 | x 5 * 45 = | x:day 5:hour *:day 45:day =:day
EXPR: 0 | POS | INT | 42 | 9 | 225 | 5=(x/45) | 5 x 45 / = | 5:hour x:hour 45:day /:hour =:hour
EXPR: 1 | POS | INT | 42 | 9 | 9 | 5=(45/x) | 5 45 x / = | 5:LENGTH 45:LENGTH x:day /:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 42 | 9 | 9 | (x*5)=45 | x 5 * 45 = | x:day 5:LENGTH *:day 45:day =:day
EXPR: 0 | POS | INT | 42 | 9 | 225 | (x/5)=45 | x 5 / 45 = | x:day 5:LENGTH /:day 45:day =:day
EXPR: 1 | POS | INT | 42 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:hour x:day *:day 45:day =:day
EXPR: 1 | POS | INT | 42 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:LENGTH x:day *:LENGTH 45:LENGTH =:LENGTH
EXPR: 1 | POS | INT | 42 | 9 | 9 | (5*x)=45 | 5 x * 45 = | 5:LENGTH x:day *:day 45:day =:day
EXPR: 1 | POS | INT | 42 | 9 | 9 | (x*5)=45 | x 5 * 45 = | x:hour 5:LENGTH *:LENGTH 45:LENGTH =:LENGTH
EXPR: 0 | POS | INT | 42 | 9 | 225 | (x/5)=45 | x 5 / 45 = | x:day 5:hour /:day 45:day =:day
EXPR: 1 | POS | INT | 42 | 9 | 9 | (x*5)=45 | x 5 * 45 = | x:day 5:LENGTH *:LENGTH 45:LENGTH =:LENGTH
NET 162 non-negative, integer-valued solutions found out of 258 total solutions
