parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 3120 | 18903 | x=((2*7341)+4221) | x 2 7341 * 4221 + = | x:cell 2:sample 7341:cell *:cell 4221:cell +:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 10461 | 7341=((x+4221)/2) | 7341 x 4221 + 2 / = | 7341:cell x:cell 4221:cell +:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 1560 | 7341=(4221+(x*2)) | 7341 4221 x 2 * + = | 7341:cell 4221:cell x:cell 2:sample *:cell +:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 5781 | 4221=((x*2)-7341) | 4221 x 2 * 7341 - = | 4221:cell x:cell 2:sample *:cell 7341:cell -:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 1560 | (4221+(x*2))=7341 | 4221 x 2 * + 7341 = | 4221:cell x:cell 2:sample *:cell +:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 6240 | 7341=(4221+(x/2)) | 7341 4221 x 2 / + = | 7341:cell 4221:cell x:cell 2:sample /:cell +:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 5781 | 4221=((2*x)-7341) | 4221 2 x * 7341 - = | 4221:cell 2:sample x:cell *:cell 7341:cell -:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 10461 | 4221=((2*7341)-x) | 4221 2 7341 * x - = | 4221:cell 2:sample 7341:cell *:cell x:cell -:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 6240 | (4221+(x/2))=7341 | 4221 x 2 / + 7341 = | 4221:cell x:cell 2:sample /:cell +:cell 7341:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 10461 | 7341=((4221+x)/2) | 7341 4221 x + 2 / = | 7341:cell 4221:cell x:cell +:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 7 | 3120 | 18903 | 7341=((x-4221)/2) | 7341 x 4221 - 2 / = | 7341:cell x:cell 4221:cell -:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 9 | 3120 | 1560 | 4221=(7341-(2*x)) | 4221 7341 2 x * - = | 4221:cell 7341:cell 2:sample x:cell *:cell -:cell =:cell
EXPR: 0 | POS | INT | 9 | 3120 | 1560 | 4221=(7341-(x*2)) | 4221 7341 x 2 * - = | 4221:cell 7341:cell x:cell 2:sample *:cell -:cell =:cell
EXPR: 0 | POS | INT | 9 | 3120 | 6240 | 4221=(7341-(x/2)) | 4221 7341 x 2 / - = | 4221:cell 7341:cell x:cell 2:sample /:cell -:cell =:cell
EXPR: 0 | POS | INT | 9 | 3120 | 1101 | 4221=((x+7341)/2) | 4221 x 7341 + 2 / = | 4221:cell x:cell 7341:cell +:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 9 | 3120 | 15783 | 4221=((x-7341)/2) | 4221 x 7341 - 2 / = | 4221:cell x:cell 7341:cell -:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 9 | 3120 | 1101 | 4221=((7341+x)/2) | 4221 7341 x + 2 / = | 4221:cell 7341:cell x:cell +:cell 2:sample /:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 6240 | (2*(7341-4221))=x | 2 7341 4221 - * x = | 2:sample 7341:cell 4221:cell -:cell *:sample x:sample =:sample
EXPR: 0 | POS | INT | 10 | 3120 | 23124 | (2*(7341+4221))=x | 2 7341 4221 + * x = | 2:sample 7341:cell 4221:cell +:cell *:sample x:sample =:sample
EXPR: 0 | POS | INT | 10 | 3120 | 30994803 | x=((2+7341)*4221) | x 2 7341 + 4221 * = | x:cell 2:sample 7341:sample +:sample 4221:cell *:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 3122 | ((2+7341)-4221)=x | 2 7341 + 4221 - x = | 2:cell 7341:cell +:cell 4221:cell -:cell x:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 30994803 | ((2+7341)*4221)=x | 2 7341 + 4221 * x = | 2:sample 7341:sample +:sample 4221:cell *:cell x:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 3122 | x=(2+(7341-4221)) | x 2 7341 4221 - + = | x:cell 2:cell 7341:cell 4221:cell -:cell +:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 3122 | (2+(7341-4221))=x | 2 7341 4221 - + x = | 2:cell 7341:cell 4221:cell -:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 23124 | x=(2*(7341+4221)) | x 2 7341 4221 + * = | x:sample 2:sample 7341:cell 4221:cell +:cell *:sample =:sample
EXPR: 0 | POS | INT | 10 | 3120 | 11564 | (2+(7341+4221))=x | 2 7341 4221 + + x = | 2:cell 7341:cell 4221:cell +:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 11564 | x=((2+7341)+4221) | x 2 7341 + 4221 + = | x:cell 2:cell 7341:cell +:cell 4221:cell +:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 6240 | x=(2*(7341-4221)) | x 2 7341 4221 - * = | x:sample 2:sample 7341:cell 4221:cell -:cell *:sample =:sample
EXPR: 0 | POS | INT | 10 | 3120 | 11564 | ((2+7341)+4221)=x | 2 7341 + 4221 + x = | 2:cell 7341:cell +:cell 4221:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 11564 | x=(2+(7341+4221)) | x 2 7341 4221 + + = | x:cell 2:cell 7341:cell 4221:cell +:cell +:cell =:cell
EXPR: 0 | POS | INT | 10 | 3120 | 3122 | x=((2+7341)-4221) | x 2 7341 + 4221 - = | x:cell 2:cell 7341:cell +:cell 4221:cell -:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 3122 | x=((2+7341)-4221) | x 2 7341 + 4221 - = | x:cell 2:cell 7341:cell +:cell 4221:cell -:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 6240 | (2*(7341-4221))=x | 2 7341 4221 - * x = | 2:sample 7341:cell 4221:cell -:cell *:sample x:sample =:sample
EXPR: 0 | POS | INT | 11 | 3120 | 23124 | (2*(7341+4221))=x | 2 7341 4221 + * x = | 2:sample 7341:cell 4221:cell +:cell *:sample x:sample =:sample
EXPR: 0 | POS | INT | 11 | 3120 | 30994803 | x=((2+7341)*4221) | x 2 7341 + 4221 * = | x:cell 2:sample 7341:sample +:sample 4221:cell *:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 3122 | x=(2+(7341-4221)) | x 2 7341 4221 - + = | x:cell 2:cell 7341:cell 4221:cell -:cell +:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 3122 | (2+(7341-4221))=x | 2 7341 4221 - + x = | 2:cell 7341:cell 4221:cell -:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 30994803 | ((2+7341)*4221)=x | 2 7341 + 4221 * x = | 2:sample 7341:sample +:sample 4221:cell *:cell x:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 23124 | x=(2*(7341+4221)) | x 2 7341 4221 + * = | x:sample 2:sample 7341:cell 4221:cell +:cell *:sample =:sample
EXPR: 0 | POS | INT | 11 | 3120 | 11564 | (2+(7341+4221))=x | 2 7341 4221 + + x = | 2:cell 7341:cell 4221:cell +:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 11564 | x=((2+7341)+4221) | x 2 7341 + 4221 + = | x:cell 2:cell 7341:cell +:cell 4221:cell +:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 6240 | x=(2*(7341-4221)) | x 2 7341 4221 - * = | x:sample 2:sample 7341:cell 4221:cell -:cell *:sample =:sample
EXPR: 0 | POS | INT | 11 | 3120 | 11564 | ((2+7341)+4221)=x | 2 7341 + 4221 + x = | 2:cell 7341:cell +:cell 4221:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 11564 | x=(2+(7341+4221)) | x 2 7341 4221 + + = | x:cell 2:cell 7341:cell 4221:cell +:cell +:cell =:cell
EXPR: 0 | POS | INT | 11 | 3120 | 3122 | ((2+7341)-4221)=x | 2 7341 + 4221 - x = | 2:cell 7341:cell +:cell 4221:cell -:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 30977919 | ((7341-2)*4221)=x | 7341 2 - 4221 * x = | 7341:sample 2:sample -:sample 4221:cell *:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 11560 | ((7341-2)+4221)=x | 7341 2 - 4221 + x = | 7341:cell 2:cell -:cell 4221:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 3122 | ((2-4221)+7341)=x | 2 4221 - 7341 + x = | 2:cell 4221:cell -:cell 7341:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 30994803 | (x/(2+7341))=4221 | x 2 7341 + / 4221 = | x:cell 2:sample 7341:sample +:sample /:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 31001043 | x=(7341*(2+4221)) | x 7341 2 4221 + * = | x:cell 7341:cell 2:sample 4221:sample +:sample *:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 11560 | (x+(2-7341))=4221 | x 2 7341 - + 4221 = | x:cell 2:cell 7341:cell -:cell +:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 31001043 | ((2+4221)*7341)=x | 2 4221 + 7341 * x = | 2:sample 4221:sample +:sample 7341:cell *:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 11564 | (7341+(2+4221))=x | 7341 2 4221 + + x = | 7341:cell 2:cell 4221:cell +:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 11564 | ((2+4221)+7341)=x | 2 4221 + 7341 + x = | 2:cell 4221:cell +:cell 7341:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 11564 | ((x-2)-7341)=4221 | x 2 - 7341 - 4221 = | x:cell 2:cell -:cell 7341:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 3122 | ((2-x)+7341)=4221 | 2 x - 7341 + 4221 = | 2:cell x:cell -:cell 7341:cell +:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 3122 | (7341+(2-4221))=x | 7341 2 4221 - + x = | 7341:cell 2:cell 4221:cell -:cell +:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 11560 | ((2-7341)+x)=4221 | 2 7341 - x + 4221 = | 2:cell 7341:cell -:cell x:cell +:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 3118 | ((7341-2)-4221)=x | 7341 2 - 4221 - x = | 7341:cell 2:cell -:cell 4221:cell -:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 31001043 | x=((2+4221)*7341) | x 2 4221 + 7341 * = | x:cell 2:sample 4221:sample +:sample 7341:cell *:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 30977919 | x=((7341-2)*4221) | x 7341 2 - 4221 * = | x:cell 7341:sample 2:sample -:sample 4221:cell *:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 11564 | (x-(2+7341))=4221 | x 2 7341 + - 4221 = | x:cell 2:cell 7341:cell +:cell -:cell 4221:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 11560 | (7341-(2-4221))=x | 7341 2 4221 - - x = | 7341:cell 2:cell 4221:cell -:cell -:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 3118 | (7341-(2+4221))=x | 7341 2 4221 + - x = | 7341:cell 2:cell 4221:cell +:cell -:cell x:cell =:cell
EXPR: 0 | POS | INT | 12 | 3120 | 11560 | ((x+2)-7341)=4221 | x 2 + 7341 - 4221 = | x:cell 2:cell +:cell 7341:cell -:cell 4221:cell =:cell
