parameters: n=7 l=3 k=1 p=5 q=2 m=9
TOTAL 1000 solutions found
EXPR: 0 | POS | INT | 0 | 16 | 10 | ((4+9)-3)=x | 4 9 + 3 - x = | 4:plum 9:plum +:plum 3:plum -:plum x:plum =:plum
EXPR: 1 | POS | INT | 2 | 16 | 16 | ((4+3)+9)=x | 4 3 + 9 + x = | 4:plum 3:plum +:plum 9:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | ((4+x)-9)=3 | 4 x + 9 - 3 = | 4:plum x:plum +:plum 9:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 2 | 4=(9-(x+3)) | 4 9 x 3 + - = | 4:plum 9:plum x:plum 3:plum +:plum -:plum =:plum
EXPR: 1 | POS | INT | 2 | 16 | 16 | (x-(4+9))=3 | x 4 9 + - 3 = | x:plum 4:plum 9:plum +:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | (x+(4-9))=3 | x 4 9 - + 3 = | x:plum 4:plum 9:plum -:plum +:plum 3:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 10 | (4+(9-x))=3 | 4 9 x - + 3 = | 4:plum 9:plum x:plum -:plum +:plum 3:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | 4=(9-(x-3)) | 4 9 x 3 - - = | 4:plum 9:plum x:plum 3:plum -:plum -:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 10 | ((4-x)+9)=3 | 4 x - 9 + 3 = | 4:plum x:plum -:plum 9:plum +:plum 3:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 10 | x=(4-(3-9)) | x 4 3 9 - - = | x:plum 4:plum 3:plum 9:plum -:plum -:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 3 | ((4*x)-9)=3 | 4 x * 9 - 3 = | 4:plum x:NONE *:plum 9:plum -:plum 3:plum =:plum
EXPR: 1 | POS | INT | 2 | 16 | 16 | 4=((x-9)-3) | 4 x 9 - 3 - = | 4:plum x:plum 9:plum -:plum 3:plum -:plum =:plum
EXPR: 1 | POS | INT | 2 | 16 | 16 | x=(9+(4+3)) | x 9 4 3 + + = | x:plum 9:plum 4:plum 3:plum +:plum +:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 2 | x=(9-(4+3)) | x 9 4 3 + - = | x:plum 9:plum 4:plum 3:plum +:plum -:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 10 | x=(9+(4-3)) | x 9 4 3 - + = | x:plum 9:plum 4:plum 3:plum -:plum +:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | x=(9-(4-3)) | x 9 4 3 - - = | x:plum 9:plum 4:plum 3:plum -:plum -:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | 4=((9-x)+3) | 4 9 x - 3 + = | 4:plum 9:plum x:plum -:plum 3:plum +:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | (4-(9-x))=3 | 4 9 x - - 3 = | 4:plum 9:plum x:plum -:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 10 | 4=((x-9)+3) | 4 x 9 - 3 + = | 4:plum x:plum 9:plum -:plum 3:plum +:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 2 | 4=((9-x)-3) | 4 9 x - 3 - = | 4:plum 9:plum x:plum -:plum 3:plum -:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | ((x+4)-9)=3 | x 4 + 9 - 3 = | x:plum 4:plum +:plum 9:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | (4+(x-9))=3 | 4 x 9 - + 3 = | 4:plum x:plum 9:plum -:plum +:plum 3:plum =:plum
EXPR: 1 | POS | INT | 2 | 16 | 16 | ((x-4)-9)=3 | x 4 - 9 - 3 = | x:plum 4:plum -:plum 9:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | 4=(9+(3-x)) | 4 9 3 x - + = | 4:plum 9:plum 3:plum x:plum -:plum +:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 2 | 4=(9-(3+x)) | 4 9 3 x + - = | 4:plum 9:plum 3:plum x:plum +:plum -:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 10 | ((4+9)-x)=3 | 4 9 + x - 3 = | 4:plum 9:plum +:plum x:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 2 | 16 | 8 | ((4-9)+x)=3 | 4 9 - x + 3 = | 4:plum 9:plum -:plum x:plum +:plum 3:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 10 | ((4-3)+9)=x | 4 3 - 9 + x = | 4:plum 3:plum -:plum 9:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 2 | x=((9-4)-3) | x 9 4 - 3 - = | x:plum 9:plum 4:plum -:plum 3:plum -:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 10 | (4-(3-9))=x | 4 3 9 - - x = | 4:plum 3:plum 9:plum -:plum -:plum x:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 2 | ((9-4)-3)=x | 9 4 - 3 - x = | 9:plum 4:plum -:plum 3:plum -:plum x:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 8 | ((9-4)+3)=x | 9 4 - 3 + x = | 9:plum 4:plum -:plum 3:plum +:plum x:plum =:plum
EXPR: 1 | POS | INT | 3 | 16 | 16 | x=((4+3)+9) | x 4 3 + 9 + = | x:plum 4:plum 3:plum +:plum 9:plum +:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 2 | (9-(4+3))=x | 9 4 3 + - x = | 9:plum 4:plum 3:plum +:plum -:plum x:plum =:plum
EXPR: 1 | POS | INT | 3 | 16 | 16 | (9+(4+3))=x | 9 4 3 + + x = | 9:plum 4:plum 3:plum +:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 8 | (9-(4-3))=x | 9 4 3 - - x = | 9:plum 4:plum 3:plum -:plum -:plum x:plum =:plum
EXPR: 1 | POS | INT | 3 | 16 | 16 | ((4+3)+9)=x | 4 3 + 9 + x = | 4:plum 3:plum +:plum 9:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 10 | (9+(4-3))=x | 9 4 3 - + x = | 9:plum 4:plum 3:plum -:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 8 | x=((9-4)+3) | x 9 4 - 3 + = | x:plum 9:plum 4:plum -:plum 3:plum +:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 10 | x=((4-3)+9) | x 4 3 - 9 + = | x:plum 4:plum 3:plum -:plum 9:plum +:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 10 | x=(4-(3-9)) | x 4 3 9 - - = | x:plum 4:plum 3:plum 9:plum -:plum -:plum =:plum
EXPR: 1 | POS | INT | 3 | 16 | 16 | x=(9+(4+3)) | x 9 4 3 + + = | x:plum 9:plum 4:plum 3:plum +:plum +:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 2 | x=(9-(4+3)) | x 9 4 3 + - = | x:plum 9:plum 4:plum 3:plum +:plum -:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 8 | x=(9-(4-3)) | x 9 4 3 - - = | x:plum 9:plum 4:plum 3:plum -:plum -:plum =:plum
EXPR: 0 | POS | INT | 3 | 16 | 10 | x=(9+(4-3)) | x 9 4 3 - + = | x:plum 9:plum 4:plum 3:plum -:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | 9=((4+3)+x) | 9 4 3 + x + = | 9:plum 4:plum 3:plum +:plum x:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | 9=((x+4)+3) | 9 x 4 + 3 + = | 9:plum x:plum 4:plum +:plum 3:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | 9=((x-4)+3) | 9 x 4 - 3 + = | 9:plum x:plum 4:plum -:plum 3:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | 4=(x+(3-9)) | 4 x 3 9 - + = | 4:plum x:plum 3:plum 9:plum -:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | 9=((4-3)+x) | 9 4 3 - x + = | 9:plum 4:plum 3:plum -:plum x:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 9 | (x*(4-3))=9 | x 4 3 - * 9 = | x:NONE 4:plum 3:plum -:plum *:plum 9:plum =:plum
EXPR: 1 | POS | INT | 4 | 16 | 16 | (x-(4+3))=9 | x 4 3 + - 9 = | x:plum 4:plum 3:plum +:plum -:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | (4+(x-3))=9 | 4 x 3 - + 9 = | 4:plum x:plum 3:plum -:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 12 | 9=((x/4)*3) | 9 x 4 / 3 * = | 9:plum x:NONE 4:plum /:NONE 3:plum *:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 9 | 9=((4-3)*x) | 9 4 3 - x * = | 9:plum 4:plum 3:plum -:plum x:NONE *:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | 9=(x+(4+3)) | 9 x 4 3 + + = | 9:plum x:plum 4:plum 3:plum +:plum +:plum =:plum
EXPR: 1 | POS | INT | 4 | 16 | 16 | 9=((x-4)-3) | 9 x 4 - 3 - = | 9:plum x:plum 4:plum -:plum 3:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 3 | 9=((x*4)-3) | 9 x 4 * 3 - = | 9:plum x:NONE 4:plum *:plum 3:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | (x-(4-3))=9 | x 4 3 - - 9 = | x:plum 4:plum 3:plum -:plum -:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | (x+(4-3))=9 | x 4 3 - + 9 = | x:plum 4:plum 3:plum -:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | 9=(x+(4-3)) | 9 x 4 3 - + = | 9:plum x:plum 4:plum 3:plum -:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | 9=(4+(3+x)) | 9 4 3 x + + = | 9:plum 4:plum 3:plum x:plum +:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | 9=((4+x)+3) | 9 4 x + 3 + = | 9:plum 4:plum x:plum +:plum 3:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | 9=((4+x)-3) | 9 4 x + 3 - = | 9:plum 4:plum x:plum +:plum 3:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | 4=(3+(x-9)) | 4 3 x 9 - + = | 4:plum 3:plum x:plum 9:plum -:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 9 | 9=(x*(4-3)) | 9 x 4 3 - * = | 9:plum x:NONE 4:plum 3:plum -:plum *:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | 9=(4-(3-x)) | 9 4 3 x - - = | 9:plum 4:plum 3:plum x:plum -:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | 9=(x-(4-3)) | 9 x 4 3 - - = | 9:plum x:plum 4:plum 3:plum -:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | (x+(4+3))=9 | x 4 3 + + 9 = | x:plum 4:plum 3:plum +:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | 9=((x+4)-3) | 9 x 4 + 3 - = | 9:plum x:plum 4:plum +:plum 3:plum -:plum =:plum
EXPR: 1 | POS | INT | 4 | 16 | 16 | 9=(x-(4+3)) | 9 x 4 3 + - = | 9:plum x:plum 4:plum 3:plum +:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | (4+(x+3))=9 | 4 x 3 + + 9 = | 4:plum x:plum 3:plum +:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | (9-(x-4))=3 | 9 x 4 - - 3 = | 9:plum x:plum 4:plum -:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 3 | 9=((4*x)-3) | 9 4 x * 3 - = | 9:plum 4:plum x:NONE *:plum 3:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 3 | ((x*4)-3)=9 | x 4 * 3 - 9 = | x:NONE 4:plum *:plum 3:plum -:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | ((4+x)+3)=9 | 4 x + 3 + 9 = | 4:plum x:plum +:plum 3:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | ((9-x)+4)=3 | 9 x - 4 + 3 = | 9:plum x:plum -:plum 4:plum +:plum 3:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | 4=((3-9)+x) | 4 3 9 - x + = | 4:plum 3:plum 9:plum -:plum x:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | ((4+x)-3)=9 | 4 x + 3 - 9 = | 4:plum x:plum +:plum 3:plum -:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | 9=(4+(x+3)) | 9 4 x 3 + + = | 9:plum 4:plum x:plum 3:plum +:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | ((9-x)-4)=3 | 9 x - 4 - 3 = | 9:plum x:plum -:plum 4:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | 9=(4+(x-3)) | 9 4 x 3 - + = | 9:plum 4:plum x:plum 3:plum -:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | (9-(4+x))=3 | 9 4 x + - 3 = | 9:plum 4:plum x:plum +:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | (9+(4-x))=3 | 9 4 x - + 3 = | 9:plum 4:plum x:plum -:plum +:plum 3:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | (x-(9-4))=3 | x 9 4 - - 3 = | x:plum 9:plum 4:plum -:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | ((9-4)-x)=3 | 9 4 - x - 3 = | 9:plum 4:plum -:plum x:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 3 | ((4*x)-3)=9 | 4 x * 3 - 9 = | 4:plum x:NONE *:plum 3:plum -:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | 4=(3-(x-9)) | 4 3 x 9 - - = | 4:plum 3:plum x:plum 9:plum -:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 12 | ((x/4)*3)=9 | x 4 / 3 * 9 = | x:NONE 4:plum /:NONE 3:plum *:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 12 | 4=(3*(x/9)) | 4 3 x 9 / * = | 4:plum 3:plum x:NONE 9:plum /:NONE *:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | (4-(3-x))=9 | 4 3 x - - 9 = | 4:plum 3:plum x:plum -:plum -:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | 4=((3-x)+9) | 4 3 x - 9 + = | 4:plum 3:plum x:plum -:plum 9:plum +:plum =:plum
EXPR: 1 | POS | INT | 4 | 16 | 16 | 4=((x-3)-9) | 4 x 3 - 9 - = | 4:plum x:plum 3:plum -:plum 9:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | 4=((x+3)-9) | 4 x 3 + 9 - = | 4:plum x:plum 3:plum +:plum 9:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | 4=((3+x)-9) | 4 3 x + 9 - = | 4:plum 3:plum x:plum +:plum 9:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | (4+(3+x))=9 | 4 3 x + + 9 = | 4:plum 3:plum x:plum +:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | ((x+4)-3)=9 | x 4 + 3 - 9 = | x:plum 4:plum +:plum 3:plum -:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | ((x+4)+3)=9 | x 4 + 3 + 9 = | x:plum 4:plum +:plum 3:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | (9-(x+4))=3 | 9 x 4 + - 3 = | 9:plum x:plum 4:plum +:plum -:plum 3:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | ((x-9)+4)=3 | x 9 - 4 + 3 = | x:plum 9:plum -:plum 4:plum +:plum 3:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 9 | 4=(3+(9/x)) | 4 3 9 x / + = | 4:plum 3:plum 9:plum x:NONE /:plum +:plum =:plum
EXPR: 1 | POS | INT | 4 | 16 | 16 | ((x-9)-4)=3 | x 9 - 4 - 3 = | x:plum 9:plum -:plum 4:plum -:plum 3:plum =:plum
EXPR: 1 | POS | INT | 4 | 16 | 16 | ((x-4)-3)=9 | x 4 - 3 - 9 = | x:plum 4:plum -:plum 3:plum -:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | 4=(3+(9-x)) | 4 3 9 x - + = | 4:plum 3:plum 9:plum x:plum -:plum +:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | 4=(3-(9-x)) | 4 3 9 x - - = | 4:plum 3:plum 9:plum x:plum -:plum -:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 2 | ((4+3)+x)=9 | 4 3 + x + 9 = | 4:plum 3:plum +:plum x:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 9 | ((4-3)*x)=9 | 4 3 - x * 9 = | 4:plum 3:plum -:plum x:NONE *:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 10 | ((x-4)+3)=9 | x 4 - 3 + 9 = | x:plum 4:plum -:plum 3:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 4 | 16 | 8 | ((4-3)+x)=9 | 4 3 - x + 9 = | 4:plum 3:plum -:plum x:plum +:plum 9:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 8 | (9+(3-4))=x | 9 3 4 - + x = | 9:plum 3:plum 4:plum -:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 10 | (9-(3-4))=x | 9 3 4 - - x = | 9:plum 3:plum 4:plum -:plum -:plum x:plum =:plum
EXPR: 1 | POS | INT | 5 | 16 | 16 | x=((9+3)+4) | x 9 3 + 4 + = | x:plum 9:plum 3:plum +:plum 4:plum +:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 8 | x=((9+3)-4) | x 9 3 + 4 - = | x:plum 9:plum 3:plum +:plum 4:plum -:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 8 | x=((3-4)+9) | x 3 4 - 9 + = | x:plum 3:plum 4:plum -:plum 9:plum +:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 2 | x=((9-3)-4) | x 9 3 - 4 - = | x:plum 9:plum 3:plum -:plum 4:plum -:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 10 | x=((9-3)+4) | x 9 3 - 4 + = | x:plum 9:plum 3:plum -:plum 4:plum +:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 8 | ((3-4)+9)=x | 3 4 - 9 + x = | 3:plum 4:plum -:plum 9:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 2 | ((9-3)-4)=x | 9 3 - 4 - x = | 9:plum 3:plum -:plum 4:plum -:plum x:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 10 | ((9-3)+4)=x | 9 3 - 4 + x = | 9:plum 3:plum -:plum 4:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 8 | (3-(4-9))=x | 3 4 9 - - x = | 3:plum 4:plum 9:plum -:plum -:plum x:plum =:plum
EXPR: 1 | POS | INT | 5 | 16 | 16 | (3+(4+9))=x | 3 4 9 + + x = | 3:plum 4:plum 9:plum +:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 8 | x=(9+(3-4)) | x 9 3 4 - + = | x:plum 9:plum 3:plum 4:plum -:plum +:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 10 | x=(9-(3-4)) | x 9 3 4 - - = | x:plum 9:plum 3:plum 4:plum -:plum -:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 8 | ((9+3)-4)=x | 9 3 + 4 - x = | 9:plum 3:plum +:plum 4:plum -:plum x:plum =:plum
EXPR: 1 | POS | INT | 5 | 16 | 16 | x=(3+(4+9)) | x 3 4 9 + + = | x:plum 3:plum 4:plum 9:plum +:plum +:plum =:plum
EXPR: 1 | POS | INT | 5 | 16 | 16 | ((9+3)+4)=x | 9 3 + 4 + x = | 9:plum 3:plum +:plum 4:plum +:plum x:plum =:plum
EXPR: 0 | POS | INT | 5 | 16 | 8 | x=(3-(4-9)) | x 3 4 9 - - = | x:plum 3:plum 4:plum 9:plum -:plum -:plum =:plum
